p.geomean	stat.mean	p.value	p.adj	set.size	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	0.999998590730291	-5.50167223595871	1	1	188	0.589681191407855	-0.582592741128697	-1	0
AKAP8	0.984391508701451	-2.7284858775083	0.999999542588154	1	192	0.93766156908568	-0.853094063078166	-1	0
RPS10	0.999789905205105	-3.97364137074395	0.999999999997056	1	187	0.54473029853302	-0.562381701705746	-1	0
KHDRBS1	0.999999977030345	-5.70219434007682	1	1	192	0.614388502107018	-0.604991787390786	-1	0
HNRNPUL1	0.825259274471391	-1.03180092851005	0.984870424657041	1	184	1.1478077266037	-1.28763030085798	-1	0
EIF4G2	0.999932929731739	-4.22755898688092	0.99999999999951	1	182	0.643426786329601	-0.662484892763279	-1	0
SUB1	0.999960548469608	-5.22432369370905	1	1	195	0.83670485976727	-0.999259487252648	-1	0
PABPC4	0.999905907143579	-5.02363430296626	1	1	195	0.748013459729234	-0.896103583387413	-1	0
HNRNPU	0.999996666613229	-5.84469002891392	1	1	195	0.640378699702139	-0.705282210862711	-1	0
SF3B1	0.91421229317603	-1.50897579969478	0.993552273348581	1	185	1.08157595440881	-1.07494201757879	-1	0
HNRNPA1	0.937673170667625	-1.83686741636954	0.999566399836875	1	183	0.756896570297169	0.59851062238813	1	0
CIRBP	0.999998974181622	-5.25228702511145	1	1	197	0.649892199488789	-0.573605460757701	-1	0
TROVE2	0.99999987805303	-6.35642572490809	1	1	195	0.772755877647373	-0.691690781728917	-1	0
SRSF1	0.999995602491456	-5.18862339891003	1	1	194	0.594255707262845	-0.635288291589886	-1	0
DDX24	0.999999953719796	-5.73619969266108	1	1	197	0.633724525650102	-0.611733568830464	-1	0
EIF2S2	0.999188922755239	-3.29229388786786	0.999999994987231	1	185	1.0334332355707	-1.12466736649509	-1	0
ESF1	0.997743127339296	-3.00357586502348	0.999999924459008	1	187	0.891728521101818	-0.991919236563781	-1	0
TBRG4	0.999978288474175	-4.53615076822012	0.999999999999992	1	190	0.718442884453098	-0.661621201598794	-1	0
DNAJC21	0.992721955837709	-2.85685415385918	0.999999919958506	1	190	0.783280857682454	-0.871897366631371	-1	0
SF3B4	0.999999999218798	-6.34296045638052	1	1	189	0.454438817124086	-0.459532371381704	-1	0
STIP1	0.724591048934848	-0.690281277846473	0.912428553809913	1	190	1.52392535851605	-1.59781144959957	-1	0
