p.geomean	stat.mean	p.value	p.adj	set.size	avg.logfc	avg.logfc.dir	direction	significance
SUGP2	0.0333444614299948	1.83076072226083	0.00425507476013688	0.838249727746966	189	0.949649923128461	-0.888067424979712	-1	100
DDX3X	0.998684008321946	-3.36809979225045	0.999999997314787	1	188	0.735660696095787	0.773378332691829	1	0
AKAP8	0.997291600595654	-2.99841047859902	0.999999879059387	1	192	0.743959713611139	-0.640291483573802	-1	0
RPS10	0.957721428437812	-1.86569424082357	0.999630160685459	1	187	0.732705753092423	0.792670411471002	1	0
KHDRBS1	0.999996510715194	-4.63754550624513	0.999999999999999	1	192	0.736978616808801	-0.68838121170505	-1	0
HNRNPUL1	0.689170321971106	-0.642590993143351	0.850128288807907	1	184	0.830717055782287	-0.80386200845551	-1	0
EIF4G2	0.949338310538409	-1.79430150106805	0.999183129097165	1	182	0.714756977600263	-0.672511342794755	-1	0
SUB1	0.999999782748525	-5.26918598413125	1	1	195	0.616252174922447	0.761627236027827	1	0
PABPC4	0.999958800704399	-4.49356498301649	1	1	195	0.557894148265122	-0.570734478758795	-1	0
HNRNPU	0.999990032936957	-4.59440591770997	1	1	195	0.738330025943976	0.772459176102103	1	0
SF3B1	0.523766927768404	-0.0277118094933256	0.554216850526291	1	185	0.885709018566868	-0.829343829197501	-1	0
HNRNPA1	0.776213509529064	-0.760383689783931	0.92528157474329	1	183	0.799036303454242	0.839099579880328	1	0
CIRBP	0.999233526363421	-3.32045201226465	0.999999998465228	1	197	0.684388371127281	-0.732468132324547	-1	0
TROVE2	0.999999059462974	-5.09046794940911	1	1	195	0.805033307669311	0.89502132546566	1	0
SRSF1	0.999123705646769	-3.46342262463523	0.999999997471917	1	194	0.721499519036253	0.673353287182991	1	0
DDX24	0.999981794598215	-4.33943335776493	0.999999999999955	1	197	0.650043562072258	-0.538343872576031	-1	0
EIF2S2	0.998827725483508	-3.39229310663695	0.999999997858305	1	185	0.645844960229898	-0.682361979360305	-1	0
ESF1	0.813383479255939	-1.11634712933459	0.992623008890351	1	187	0.802898860279257	-0.746987621948583	-1	0
TBRG4	0.997872690986709	-2.86064300076986	0.999999694011914	1	190	0.708189222484312	0.803235190900572	1	0
DNAJC21	0.82278103479575	-0.922309673923488	0.96784247716317	1	190	0.899444616092271	-0.805998795939475	-1	0
SF3B4	0.999714648052185	-4.24067637065346	0.999999999998515	1	189	0.624032490651399	0.620939465648299	1	0
STIP1	0.825522832383024	-0.972330133598274	0.977315695429896	1	190	0.773128816661379	0.899002857794941	1	0
RPS19	0.770307325645207	-0.98129364787423	0.939121875775452	1	184	0.754935433986838	-0.718456272843548	-1	0
SUCLG1	0.980020637810239	-2.2365784046198	0.999960182025443	1	192	0.758688543797138	0.819968742027696	1	0
SLBP	0.999628984548012	-3.5724030070547	0.999999999870178	1	196	0.605053482482937	-0.663132204560984	-1	0
CNOT7	0.999051496808762	-3.29704439422144	0.999999995866825	1	192	0.817035436905689	0.985670112747843	1	0
EFTUD2	0.999997866272998	-5.04707262118298	1	1	196	0.642562676898739	-0.600644482062316	-1	0
PUM2	0.936152675426482	-2.00641747321578	0.999609779229821	1	187	0.688606253193867	0.692110850806115	1	0
DDX6	0.999986713657139	-4.30892842531097	0.999999999999872	1	187	0.695144879512131	0.691291143622815	1	0
ILF2	0.638464605234196	-0.612128134821067	0.943374503733389	1	190	0.836938733458664	-0.784343923569875	-1	0
SMN1	0.998374758557513	-2.95283835429889	0.999999854933752	1	179	0.542763842013645	-0.568678012055305	-1	0
TARDBP	0.999999952137289	-5.52695219201768	1	1	193	0.654701266932426	0.670784779713296	1	0
PRPF8	0.992303080118643	-2.63038105940486	0.999997957517537	1	189	0.70086240644192	-0.689849591054028	-1	0
EIF3G	0.987426201424757	-2.38518647119361	0.999984751427063	1	192	0.712632281550375	0.779809078119007	1	0
RBM25	0.999999912413882	-5.48338567333216	1	1	192	0.604618968014025	0.582024122280496	1	0
DDX47	0.957076823359159	-2.01781181218063	0.999874871349124	1	195	0.740415889106429	-0.744303855477513	-1	0
ADAR	0.843312402942669	-1.01230475860326	0.961107202405947	1	174	0.970491840089299	1.17651191576832	1	0
UTP18	0.990747056608091	-2.42840513736325	0.999992422601178	1	191	0.70656515968803	-0.589587297457441	-1	0
MSI2	0.999737227493204	-3.6090811426765	0.999999999903315	1	193	0.663376402121294	-0.596839601521803	-1	0
EEF2	0.887554379510684	-1.36888853494923	0.990599567573205	1	194	0.6849210878021	-0.647012465275856	-1	0
GTF2F1	0.719318098523496	-0.819565500511174	0.926952458475003	1	184	0.779527708984241	-0.921965523895417	-1	0
PNPT1	0.927725445688884	-1.48175024295999	0.996961003823334	1	184	0.779584191869936	-0.640213984879128	-1	0
PABPC1	0.906574935374688	-1.35469958893212	0.992278246212445	1	180	0.784894851895103	-0.690913163145648	-1	0
NELFE	0.98943335774765	-2.53492628332274	0.999995802271522	1	193	0.682834664595364	-0.609385088531967	-1	0
DDX28	0.999796911773183	-3.61660064294583	0.999999999850227	1	189	0.619043377259879	0.6942610112838	1	0
DDX1	0.98673761988761	-2.25237162369811	0.999965615012538	1	181	0.736112293562238	-0.731974214071377	-1	0
RRP9	0.965441305982405	-1.85271497174841	0.999632301781823	1	188	0.648684624468087	0.673308300218254	1	0
SBDS	0.987649260664867	-2.6220192516609	0.999993053018528	1	187	0.877602640358365	0.888370132782925	1	0
HSPD1	0.991620193114127	-2.6107544657821	0.999997217519919	1	189	0.696227271822636	-0.634436652777273	-1	0
CPSF7	0.25170198605794	0.697791308686058	0.127626413471955	1	176	1.0511773554668	-0.940950826854694	-1	0
NOL12	0.663243459703078	-0.430871486892081	0.791825464136188	1	196	0.870538834144789	-0.744609538373549	-1	0
ATP5C1	0.99999573906923	-4.90997260640556	1	1	197	0.692721065849536	-0.660313749222541	-1	0
XRCC6	0.972130214303631	-1.93486737421289	0.999618841508761	1	190	0.846405832780314	0.839168137429238	1	0
SND1	0.906920718192023	-1.40568475347676	0.997182542589728	1	195	0.805847105332617	-0.77569121602181	-1	0
SLTM	0.986678004061116	-2.44845368920886	0.999988993803922	1	186	0.717878624099427	-0.732946502379553	-1	0
KRR1	0.812582502453176	-0.884812413751164	0.949361356203851	1	191	0.847877335862246	-0.735703324475312	-1	0
G3BP2	0.999994965550324	-4.71817693342499	1	1	194	0.625815315790046	-0.667177136608029	-1	0
UPF1	0.999861583596045	-3.9359921793686	0.999999999995501	1	186	0.618188086704021	-0.635781822154648	-1	0
ASCC1	0.999788207937248	-3.71314448194135	0.99999999978815	1	191	0.614804974091826	-0.560622705598072	-1	0
