p.geomean	stat.mean	p.value	p.adj	set.size	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	0.999934109552272	-4.05474215334447	0.999999999999354	1	188	0.690643583741759	-0.698930501850509	-1	0
AKAP8	0.996984492414382	-2.7706334602061	0.999999047815834	1	192	0.732426234853183	-0.759101085626423	-1	0
RPS10	0.972884663287001	-2.08962004406796	0.999960275490275	1	187	0.809995946583709	-0.879912823319645	-1	0
KHDRBS1	0.999998451355363	-5.35171429016454	1	1	192	0.573903440429338	0.434329698690243	1	0
HNRNPUL1	0.91847974913506	-1.6196248208177	0.998507143447992	1	184	0.750157276854783	-0.642940892878048	-1	0
EIF4G2	0.64837337991606	-0.320778321894542	0.780195839992185	1	182	0.905250048455408	-0.949363506401815	-1	0
SUB1	0.999748198025573	-4.10092633919924	0.999999999999912	1	195	0.645060806897338	-0.611384916777047	-1	0
PABPC4	0.999962773457141	-4.758553674648	1	1	195	0.55608506009834	-0.549845163281478	-1	0
HNRNPU	0.999941446906753	-4.5429425849437	1	1	195	0.605836610597163	-0.610978971285752	-1	0
SF3B1	0.817063380728642	-0.874776921652325	0.95863561839733	1	185	0.809295038327821	-0.914955566716618	-1	0
HNRNPA1	0.316584274658209	0.566976652137805	0.236858785662662	1	183	1.01861829140624	-1.10565046379107	-1	0
CIRBP	0.999977481924403	-4.21074342845366	0.999999999999841	1	197	0.559515956280933	-0.587194531439237	-1	0
TROVE2	0.999956723265519	-4.30743937855071	0.999999999999988	1	195	0.64688430973426	-0.627735496151901	-1	0
SRSF1	0.999711852997834	-3.59236324454664	0.999999999602633	1	194	0.711323490946256	-0.781027220915817	-1	0
DDX24	0.999716417562101	-3.79571324312491	0.999999999991051	1	197	0.566167590364509	-0.635123466540316	-1	0
EIF2S2	0.990147715428365	-2.7091986038004	0.999998215470443	1	185	0.674834450146919	-0.651740458145417	-1	0
ESF1	0.903183207210153	-1.57789585317454	0.99860806897922	1	187	0.763810194686252	0.724797878129909	1	0
TBRG4	0.999805886293786	-3.57680319099817	0.999999999741344	1	190	0.661143420280856	-0.688809381074219	-1	0
DNAJC21	0.86281004371361	-1.16255164289814	0.975878310280938	1	190	0.798561031024547	-0.868614769869775	-1	0
SF3B4	0.999881359759804	-3.74643756126737	0.999999999971774	1	189	0.654992284234246	-0.666560315875231	-1	0
STIP1	0.452986800163729	0.187294114512561	0.450388061539887	1	190	0.961299037396178	-1.0077114530343	-1	0
RPS19	0.406205505301785	0.256848665823276	0.364476625005855	1	184	0.942944692388752	-0.996554504405676	-1	0
SUCLG1	0.997707970151794	-2.8949226009802	0.999999868170032	1	192	0.775318679424844	-0.854743204002923	-1	0
SLBP	0.998810428954815	-3.21787856657965	0.999999993276073	1	196	0.636719139199924	-0.727593227943143	-1	0
