p.geomean	stat.mean	p.value	p.adj	set.size	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	0.999620050938753	-3.48400178292047	0.999999998132118	1	188	0.908448329303795	0.941533549292427	1	0
AKAP8	0.972030031133125	-2.09056437117119	0.999706869373469	1	192	0.912088720631364	-1.03777213594839	-1	0
RPS10	0.992193179196756	-2.51322667188736	0.999994248325102	1	187	0.886605811015768	-0.88212766918508	-1	0
KHDRBS1	0.99998904752051	-4.41783482696701	0.999999999999963	1	192	0.879533654465847	-1.11036244090521	-1	0
HNRNPUL1	0.775901690961098	-0.961823978987998	0.948927603263833	1	184	0.993715201776475	-1.11558405649188	-1	0
EIF4G2	0.792971718355984	-0.914719199468882	0.928348636951796	1	182	1.08540820992851	-1.01794425996045	-1	0
SUB1	0.999060609744286	-3.39390837672046	0.999999992339061	1	195	0.889984570567674	-0.883161272332398	-1	0
PABPC4	0.999980731591494	-4.22681263377701	0.999999999999791	1	195	0.857965744078846	-0.880906412656003	-1	0
HNRNPU	0.9999968596508	-4.70391176564576	1	1	195	0.780965327068716	-0.76902617558163	-1	0
SF3B1	0.698149325791114	-0.648371629593053	0.86285575003146	1	185	0.996448384286069	-0.997665060186976	-1	0
HNRNPA1	0.489610846088133	-0.151660888580559	0.526839073783363	1	183	1.12541931473847	-1.12367694494345	-1	0
CIRBP	0.999994919826759	-4.63453903315692	0.999999999999999	1	197	0.618728233132071	0.685218554622805	1	0
TROVE2	0.999611691971354	-3.60197539564009	0.999999999327882	1	195	0.911271785026774	-0.909611081091127	-1	0
SRSF1	0.998603388423717	-3.1731389270225	0.999999944559018	1	194	0.793221670015017	0.74438893522309	1	0
DDX24	0.998751007206046	-3.35537975286946	0.999999994185563	1	197	0.778632500913713	-0.780957073518572	-1	0
EIF2S2	0.990503379195815	-2.66718632894614	0.99999639951805	1	185	0.757134147426582	-0.702084418520072	-1	0
ESF1	0.780093795511652	-0.94891140889678	0.955593796904483	1	187	0.953462582903433	0.889892637090791	1	0
TBRG4	0.991950618122608	-2.85583263946565	0.99999963848856	1	190	0.930472478604815	-1.00076247035065	-1	0
DNAJC21	0.715056794138759	-0.690880141859421	0.852813018175326	1	190	1.1928046655183	1.16462248942489	1	0
SF3B4	0.999999579921003	-5.10836999662287	1	1	189	0.76460532548244	-0.756035930522276	-1	0
STIP1	0.359057839925632	0.15483682797264	0.304415359651391	1	190	0.845163114025602	-0.896455178963843	-1	0
RPS19	0.747115102998286	-0.804408281052752	0.893175798308021	1	184	1.01288345295227	1.06573130294746	1	0
SUCLG1	0.9987697453488	-3.3491393745918	0.99999998370049	1	192	0.922573872193675	-1.04962225053097	-1	0
SLBP	0.999996188416101	-4.57874240835364	0.999999999999997	1	196	0.86006517784261	-1.08663063670326	-1	0
CNOT7	0.999769221747917	-3.64822306049268	0.999999999882494	1	192	0.969299916937789	-1.02411998914261	-1	0
EFTUD2	0.999999842490906	-5.24131880984294	1	1	196	0.777318484694096	-0.761294803331177	-1	0
PUM2	0.979636273024135	-2.13834416194429	0.999858393700247	1	187	0.830979010474658	-0.865002939288715	-1	0
