p.geomean	stat.mean	p.value	p.adj	set.size	avg.logfc	avg.logfc.dir	direction	significance
SUGP2	0.0129575546976848	2.35000162943428	9.34807559374543e-05	0.0184157089196785	189	1.27053304585062	-1.18849453561787	-1	100
KRR1	0.0417150649728886	1.52866368863029	0.00181808924698301	0.179081790827827	191	1.0956416209093	-1.12176683336479	-1	37.1296581226394
DAZAP1	0.0812958930707065	1.43345551814195	0.008755976189715	0.574975769791285	190	1.27471545572819	1.48045459635417	1	13.9001642129391
HNRNPAB	0.0926144309218287	1.19711511158552	0.0138483908860187	0.682033251136422	185	1.07871408498536	1.20542905667894	1	8.13363347950468
DDX3X	0.198503093949392	0.487151119858166	0.143086038771565	1	188	1.12155211189009	-1.05502514982209	-1	0
AKAP8	0.951741558910101	-1.99329936828682	0.999224053742398	1	192	0.889564537164666	-0.770016371292024	-1	0
RPS10	0.759599557949576	-1.00846481307158	0.926013318210493	1	187	0.945807825936421	1.00838039311924	1	0
KHDRBS1	0.99950045595395	-3.31534433056153	0.999999995513855	1	192	0.864141354462948	-0.856630698492751	-1	0
HNRNPUL1	0.736652914114911	-0.669780782445605	0.909288463407042	1	184	0.911746338900868	0.752297049293406	1	0
EIF4G2	0.640004723588213	-0.864105268689533	0.870337746140032	1	182	0.964271954525192	1.00270240978051	1	0
SUB1	0.999927612603226	-5.04981867018819	1	1	195	0.697944655002048	-0.691597956617828	-1	0
PABPC4	0.999628828243609	-3.64143519961333	0.999999999312352	1	195	0.983936942967491	-1.13110699733887	-1	0
HNRNPU	0.999129933463038	-3.79171839575904	0.999999999750426	1	195	1.03863521285565	-0.990975652808225	-1	0
SF3B1	0.400423400046703	0.246163044189674	0.340965875523947	1	185	0.999026409295534	-0.868868201852076	-1	0
HNRNPA1	0.265159851110409	0.279840362956868	0.190915946413996	1	183	1.01890391505973	0.968071763934938	1	0
CIRBP	0.926851514288901	-1.65253988180287	0.996306793363505	1	197	1.0631481320917	-1.0122843078013	-1	0
TROVE2	0.999898761806691	-4.28352125826869	0.999999999999514	1	195	0.834022085604841	0.94759921167189	1	0
SRSF1	0.977838019996472	-2.37919098988995	0.999951137449877	1	194	0.941185074579944	1.04952964541033	1	0
DDX24	0.90640811899259	-1.54515491848692	0.994468846025123	1	197	1.10142404557262	-1.13209919652831	-1	0
EIF2S2	0.993318106202137	-2.95125675830444	0.999999837743192	1	185	0.748007768928762	-0.702450788457773	-1	0
ESF1	0.224918257287104	0.852284672020647	0.114520631015851	1	187	1.07498521837423	-1.14191920769877	-1	0
TBRG4	0.990975964653739	-2.52437547564339	0.999989583716429	1	190	0.950530246988212	-0.918505885875391	-1	0
DNAJC21	0.66415147852864	-0.429479408031288	0.771407104640531	1	190	1.01671008914092	1.13994190259019	1	0
SF3B4	0.973028042977726	-2.3440993698379	0.999947224023354	1	189	1.00793783764572	-0.996271147222616	-1	0
STIP1	0.454085650863513	0.0710084966662975	0.443462441098055	1	190	0.955947265837009	-0.73000646491398	-1	0
RPS19	0.333772546227539	0.327885028320045	0.269260353376194	1	184	1.19202851487697	-1.12367517584444	-1	0
SUCLG1	0.918780581445345	-1.69142740371109	0.996553177828959	1	192	0.972828348030128	-0.81110775608318	-1	0
SLBP	0.897134987479132	-1.40770009691093	0.988926193111816	1	196	0.906552115390975	-0.789894078833139	-1	0
CNOT7	0.992598608089682	-2.76351584704895	0.99999678529556	1	192	0.88037676684325	0.955710875584489	1	0
EFTUD2	0.999345947270772	-4.17376482302933	0.999999999996245	1	196	0.888076294600546	-0.889394033997146	-1	0
PUM2	0.648116672306737	-0.720688935919513	0.905757726164537	1	187	0.877371301075548	0.942913575682497	1	0
DDX6	0.994968676202207	-3.4666672816945	0.999999989771257	1	187	0.911608838568967	-1.02038733674718	-1	0
ILF2	0.472499998446404	-0.029822393178602	0.703449356799106	1	190	0.975119768537883	-0.993291525761168	-1	0
SMN1	0.973970286657047	-2.35820066872656	0.999945949736959	1	179	1.10047494363429	1.07835998372992	1	0
TARDBP	0.999976493001734	-4.58214231764325	0.999999999999977	1	193	0.909697784475402	-0.913127223032393	-1	0
PRPF8	0.963450319709011	-2.13912995528103	0.999698604510985	1	189	1.10117811867529	1.21258075457096	1	0
EIF3G	0.476698322654602	-0.194727065197444	0.527860803208392	1	192	1.01910666392749	0.939713088194561	1	0
RBM25	0.999349969917827	-4.03967237751241	0.999999999958525	1	192	0.988042540227967	1.01566090480447	1	0
DDX47	0.542782862641467	-0.282374857365159	0.635326342225879	1	195	1.08096634689069	-1.01582156837096	-1	0
ADAR	0.88680128457869	-1.30961090989755	0.984792264917726	1	174	1.06357005509012	1.08539365479234	1	0
UTP18	0.858661602619227	-1.17769004536012	0.974825081987002	1	191	0.880640896016244	-0.846168980950095	-1	0
MSI2	0.992264996789527	-2.68627294648786	0.999995619897178	1	193	0.850452332543604	-0.817614308406007	-1	0
EEF2	0.836824027299668	-1.15687365682472	0.968567152980909	1	194	0.878052721338751	0.873202287081214	1	0
GTF2F1	0.536621406714976	-0.104089395397739	0.700128906675583	1	184	1.19820821427089	-0.887531080227835	-1	0
PNPT1	0.761758994354888	-0.961951358816312	0.928352304942888	1	184	0.988114232301633	1.07800400073665	1	0
PABPC1	0.830302394153006	-0.930319549047502	0.953515582943109	1	180	0.854007846578631	0.971442422177458	1	0
NELFE	0.906141385621837	-1.46513024372425	0.994026982077448	1	193	1.04637767041673	1.14601623492999	1	0
DDX28	0.98835387945234	-2.50615448425214	0.999984935066683	1	189	0.808265536223219	0.799797522242521	1	0
