p.geomean	stat.mean	p.value	p.adj	set.size	avg.logfc	avg.logfc.dir	direction	significance
CPSF7	0.00806434825531792	2.3919578038989	1.56141271923191e-05	0.00307598305688686	176	1.85257028583705	2.22902769425045	1	100
NUFIP2	0.0269780637361085	1.96888145260269	0.000427602485688025	0.0421188448402705	182	1.84461214822763	-1.61812544628745	-1	54.5225285345363
SF1	0.0601928036182221	1.6644063029394	0.00428470863695337	0.230745981913057	188	1.70511282837419	-1.63034411624848	-1	23.3347944557714
HNRNPM	0.0659060245495104	1.45312944661746	0.00468519760229557	0.230745981913057	179	1.78478613898632	-1.70798237876382	-1	24.4251389161539
HNRNPA1	0.090570277826442	1.32326825863882	0.0104329656547916	0.342549038998992	183	1.70207142123611	2.02133060517593	1	17.0173718453893
NOL12	0.0890046016407652	1.36015425747711	0.0102361727964896	0.342549038998992	196	1.61132191416056	-1.37615957416641	-1	16.1100549799379
PABPC1	0.106499168686492	1.29070195372559	0.0162193996304717	0.399402715900366	180	1.65363341815367	-1.4831487461946	-1	14.1633970066172
DDX27	0.106812091473623	1.21194071474686	0.0157951347019288	0.399402715900366	188	1.55987450691793	-1.42879590590217	-1	13.3603504134837
APOBEC3C	0.113591181734062	1.2783848978497	0.0194162887478315	0.425000987035866	183	1.54841742615248	-1.38312824143806	-1	12.3645526597507
RPS19	0.128957511714527	1.1863138236023	0.0261794240932785	0.515734654637587	184	1.52912385959791	-1.40328619316592	-1	9.44919262101542
RBM17	0.165790881473279	0.983553406727244	0.0463947514382888	0.83088782121299	186	1.61184322837075	1.91514270374072	1	2.7867165898005
XRCC6	0.172486363844781	0.971458816303093	0.0513041454463543	0.842243054410983	190	1.5245610823544	-1.33517938723418	-1	2.44269106746312
SAFB2	0.179808501647097	0.939404648663559	0.056576180639311	0.857346737380328	187	1.49907004374009	1.8199767041201	1	2.1531981854399
DAZAP1	0.191524532753185	0.85249068731264	0.0661715064067277	0.931127625866097	190	1.69032870020997	1.76266592006361	1	1.1256585602311
DDX3X	0.999103037396554	-3.1483563857626	0.999999973669353	1	188	1.06267638626219	-1.04916464759108	-1	0
AKAP8	0.509857331063426	-0.00542944222564081	0.525909514994673	1	192	1.35448139707156	1.36107090530325	1	0
RPS10	0.813274581797327	-0.862362624480511	0.940320219875495	1	187	1.40028462157806	1.64832635174753	1	0
KHDRBS1	0.999996778494709	-4.60495748224506	0.999999999999997	1	192	0.924934232993529	0.991150362491139	1	0
HNRNPUL1	0.494308341735174	0.0495242363227366	0.498801117137536	1	184	1.55391644453726	-1.50780615837896	-1	0
EIF4G2	0.490932651449	0.0545563052554847	0.489436117233866	1	182	1.39538431034305	-1.36864304301517	-1	0
SUB1	0.999971777798177	-4.1326607232156	0.999999999999294	1	195	0.836775544947735	0.78721359760863	1	0
PABPC4	0.990344938974536	-2.49046236572979	0.999992938885436	1	195	1.13927952985131	1.25348056456373	1	0
HNRNPU	0.999502407751452	-3.42442768627573	0.99999999790098	1	195	1.03310765766689	-1.04938876436668	-1	0
SF3B1	0.875894113978022	-1.19779946562129	0.982227503329028	1	185	1.27576520871534	-1.20146828757678	-1	0
CIRBP	0.994757251578996	-2.62767386167993	0.999996607151622	1	197	1.02622404241202	0.974745005310956	1	0
TROVE2	0.999740589189451	-3.59862248628453	0.999999999508429	1	195	0.949619020737415	0.883868235853101	1	0
SRSF1	0.977521932989866	-2.01296092685223	0.999791147092441	1	194	1.11794118825008	-1.11883735520741	-1	0
DDX24	0.999998449256334	-4.95640195329795	1	1	197	0.831954773348649	0.822472783674533	1	0
EIF2S2	0.816767618671111	-0.924801404686822	0.948446908584548	1	185	1.28030081376551	-1.46724657234209	-1	0
ESF1	0.705346469525747	-0.777409915431047	0.903087939873549	1	187	1.35797706535081	-1.55466131845944	-1	0
TBRG4	0.988848607597689	-2.32985944632069	0.999970982246466	1	190	1.13631291430112	1.22715290144123	1	0
DNAJC21	0.563322810020592	-0.130236330646852	0.619274505595001	1	190	1.41971855040798	-1.3619132280037	-1	0
SF3B4	0.985125384081136	-2.18942772780524	0.999921481885225	1	189	1.13868041042807	-1.06608005135284	-1	0
STIP1	0.460840525260233	-0.000411115329068484	0.448338617373393	1	190	1.36282225775936	1.4683043574176	1	0
SUCLG1	0.971211294776396	-1.97098166877785	0.999567497044266	1	192	1.1847679019263	1.26900263392281	1	0
SLBP	0.972998185156165	-2.15800253039726	0.999903228769605	1	196	1.18193154103434	1.34230940714506	1	0
CNOT7	0.985076546245784	-2.17703656037922	0.999922678935389	1	192	1.18605756807969	1.29860104700642	1	0
EFTUD2	0.999951761956037	-3.9420334131819	0.999999999993001	1	196	0.982920206201842	-0.94701760219216	-1	0
PUM2	0.792623717126011	-0.817175097300276	0.925157437724545	1	187	1.32037494241137	1.24321941100218	1	0
DDX6	0.994716377947491	-2.69519461262685	0.999996996873366	1	187	1.1249119314242	1.02530266352954	1	0
ILF2	0.97747713336089	-2.03876975261859	0.999788329662048	1	190	1.33955370489493	1.40869737050931	1	0
SMN1	0.937200058804131	-1.57201341301161	0.996581135438747	1	179	1.2516937011924	-1.33378156552688	-1	0
TARDBP	0.999073873964667	-3.18084960581513	0.999999979464414	1	193	1.03661566579255	-0.823529711472424	-1	0
PRPF8	0.790909476556279	-0.798666278287273	0.931525846435394	1	189	1.2110138533651	-1.23213697518875	-1	0
EIF3G	0.582442003853076	-0.181381508821617	0.643177353280695	1	192	1.33215672828439	-1.25061813893887	-1	0
RBM25	0.999981970959051	-4.29922708177984	0.999999999999961	1	192	0.904615332914571	0.88429374674915	1	0
DDX47	0.370699357416485	0.366787416349161	0.286792284428635	1	195	1.37622012566083	-1.33147499433099	-1	0
ADAR	0.243185563843203	0.731548369376897	0.115294082122122	1	174	1.67201368748205	1.89163198053532	1	0
UTP18	0.910505989190413	-1.38139961792205	0.990370038027078	1	191	1.13767571195701	1.17584901119685	1	0
MSI2	0.975564541556702	-1.95412865595083	0.999751785918507	1	193	1.1523309191056	-1.12607321102985	-1	0
EEF2	0.371920782709152	0.30043682257578	0.287532512419865	1	194	1.49601374827373	-1.2701157983169	-1	0
GTF2F1	0.57045184347102	-0.181014660479136	0.6259802328362	1	184	1.51310235555794	1.67487279159017	1	0
PNPT1	0.208357918557928	0.773328308806488	0.0815686549363349	1	184	1.6797570319657	-1.66894376262152	-1	0
SUGP2	0.514198052602703	-0.300545286544618	0.69205631445952	1	189	1.5789631714435	1.44190598434185	1	0
NELFE	0.983607020831134	-2.14159120618739	0.999938847008227	1	193	1.16900237849931	-1.12394084889507	-1	0
DDX28	0.944428791215155	-1.64688875338954	0.997428054273112	1	189	1.19185891646007	1.17904295337426	1	0
DDX1	0.641877948136708	-0.359327833446139	0.751084907182723	1	181	1.39597733738759	-1.34804092266277	-1	0
RRP9	0.303574745163287	0.515987032481764	0.18707262498738	1	188	1.53672309982009	1.73817203960009	1	0
SBDS	0.893009528500474	-1.23825076075348	0.986429111071953	1	187	1.20904679012951	1.31658924466277	1	0
HSPD1	0.509035255296974	-0.0293158993622852	0.518827135754597	1	189	1.40298563002324	-1.51107166476872	-1	0
ATP5C1	0.999893570436097	-3.78258255029112	0.999999999937443	1	197	0.972325484533733	0.99116770991072	1	0
SND1	0.877230113036377	-1.18362253006169	0.978586093144877	1	195	1.28047142220507	1.19770478315829	1	0
SLTM	0.950459425434748	-1.63528544063679	0.998231152933279	1	186	1.16678363138623	-1.24761384512528	-1	0
KRR1	0.548926209203864	-0.0694988982180562	0.602458753848971	1	191	1.55140685697735	-1.23229444029314	-1	0
G3BP2	0.950057633326178	-1.67092133228883	0.998120646682746	1	194	1.13465121865781	-0.975218500738939	-1	0
UPF1	0.98436431633205	-2.23224398171029	0.999937845210762	1	186	1.10842757788226	0.97475800945699	1	0
ASCC1	0.999844050205159	-3.78300279468093	0.999999999966682	1	191	0.892561214788612	-0.770030468472414	-1	0
QKI	0.998037303788513	-3.0878681250485	0.999999939758704	1	196	1.05961735316203	-0.950617152701729	-1	0
BUD13	0.99642998548742	-2.86553551407404	0.999999659579192	1	191	1.01558737486604	-1.14539259494529	-1	0
AGO1	0.890904817312896	-1.32808321143531	0.986221414680839	1	182	1.33381705153576	-1.45729458059663	-1	0
ILF3	0.995639001780577	-2.91169765786545	0.999999709384566	1	194	1.13817394650664	-0.934646956309508	-1	0
DDX19B	0.974872313057184	-2.19183976073887	0.999892523656632	1	193	1.12482852688385	-1.20355561971125	-1	0
CSTF2T	0.95872201219397	-1.77951215305379	0.998748329573124	1	195	1.21652893065981	-0.93470943312227	-1	0
TRIM56	0.952007957847427	-1.67348722163416	0.998373530478815	1	195	1.24155254656385	1.42568501962492	1	0
IGF2BP3	0.995122720525223	-2.63906227602592	0.999997635061007	1	191	1.06772457493908	1.02923029889121	1	0
YBX3	0.561513049428457	-0.12499297896065	0.621788742318393	1	188	1.52427871483799	-1.25231244103306	-1	0
PARN	0.768381603619465	-0.807131814806417	0.903258487850094	1	187	1.20515350762525	1.27206437920259	1	0
PA2G4	0.996653243301466	-2.90815794806824	0.999999479159108	1	193	1.15085261686623	-0.950537956950395	-1	0
