p.geomean	stat.mean	p.value	p.adj	set.size	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	0.986386234598827	-2.69813520283616	0.9999931509628	1	188	0.637630675406161	-0.543782845120939	-1	0
AKAP8	0.921145473042541	-1.78156454928284	0.999208330617772	1	192	0.558444385693411	-0.49195022691941	-1	0
RPS10	0.996527109759387	-2.89031309190217	0.999999763138854	1	187	0.579896438920481	-0.558131905594222	-1	0
KHDRBS1	0.999998574268596	-4.87886778607607	1	1	192	0.499114869548539	-0.519499064397773	-1	0
HNRNPUL1	0.462478663402761	-0.147866846804575	0.530609539427872	1	184	0.705531744605809	-0.582733275108119	-1	0
EIF4G2	0.936357402093472	-1.65918222906581	0.998203990378568	1	182	0.795924297745512	-0.607030641870252	-1	0
SUB1	0.977160546065188	-2.18569911632961	0.999864008844799	1	195	0.670312561547308	-0.495825980852045	-1	0
PABPC4	0.986404113765163	-2.74660933806957	0.999999294655235	1	195	0.592840923735839	-0.512724378733525	-1	0
HNRNPU	0.999988303724492	-4.74062136246638	0.999999999999999	1	195	0.531746988684212	-0.503316841811288	-1	0
SF3B1	0.815426896089108	-1.07694569497672	0.953306560645902	1	185	0.816197584005036	-0.658092241264612	-1	0
HNRNPA1	0.199225424699706	0.823497360392943	0.0850916999373305	1	183	0.930375770072451	-0.714918999194148	-1	0
CIRBP	0.999798668769069	-3.70727616435714	0.999999999834099	1	197	0.582822264264784	-0.596882439268879	-1	0
TROVE2	0.999953662006701	-4.21717550596888	0.999999999999097	1	195	0.600040789031032	-0.566228532115099	-1	0
SRSF1	0.998218636942258	-2.9277243420639	0.999999840185301	1	194	0.667123844990537	-0.557371766477375	-1	0
DDX24	0.999393232810087	-3.38529772461885	0.999999994659202	1	197	0.556991904602885	-0.503078849636076	-1	0
EIF2S2	0.97334910260594	-2.13537938535121	0.99979814354743	1	185	0.709610692983572	-0.521081348356642	-1	0
ESF1	0.921797698396576	-1.42645901856683	0.995491706275761	1	187	0.709301069557523	-0.580520367820021	-1	0
TBRG4	0.988642599552026	-2.36028023272265	0.999988559495611	1	190	0.608515710549778	-0.554710698580331	-1	0
DNAJC21	0.948134408332289	-1.98900679347834	0.9996866920844	1	190	0.631980160386587	-0.573479120774756	-1	0
SF3B4	0.999753741047378	-3.65696109612676	0.999999999627624	1	189	0.569170558732537	-0.547900845794945	-1	0
STIP1	0.343516036515042	0.408827820344446	0.26754531169666	1	190	0.740263504280758	-0.534277869316858	-1	0
RPS19	0.637521719609217	-0.368172913068378	0.734411439563843	1	184	0.790600773230125	-0.665310831760544	-1	0
