p.geomean	stat.mean	p.value	p.adj	set.size	avg.logfc	avg.logfc.dir	direction	significance
SUGP2	0.00517814017677345	1.22695238671289	0.000979736462692174	0.193008083150358	189	0.582239387660131	0.593577314412842	1	100
DNAJC2	0.0137249581748523	1.03140357927502	0.00460890148058607	0.453976795837728	187	0.536521086125506	0.596414633383433	1	44.2364612129803
DDX3X	0.996861990039036	-2.76246195283995	0.999998939327839	1	188	0.416658296744398	-0.41496809641618	-1	0
AKAP8	0.960710379091116	-2.01964740928403	0.9997309541715	1	192	0.402077751423633	-0.37127581204458	-1	0
RPS10	0.981470302551364	-2.25198455757781	0.99998443794656	1	187	0.429643700064253	-0.377663577323825	-1	0
KHDRBS1	0.999896560619004	-3.88913884208806	0.999999999991626	1	192	0.347270468089077	0.346274048728976	1	0
HNRNPUL1	0.648397064149487	-0.496843744430078	0.860120558370338	1	184	0.472812025319034	-0.463032909051934	-1	0
EIF4G2	0.989662833530483	-2.30706216730068	0.999975922424846	1	182	0.429211674024708	-0.393561913025979	-1	0
SUB1	0.995846177954725	-3.12857595484265	0.999999958797814	1	195	0.322131578623421	-0.357410253901355	-1	0
PABPC4	0.98978718492627	-2.59360864263851	0.99999303140628	1	195	0.388348345005012	-0.380704913346845	-1	0
HNRNPU	0.999965133660345	-4.17881547574969	0.999999999998996	1	195	0.321060507438172	-0.327283744474279	-1	0
SF3B1	0.684092458693645	-0.740765766842139	0.89670425741118	1	185	0.476850585122422	0.508652079145204	1	0
HNRNPA1	0.58856167829909	-0.221774747605617	0.66847453787238	1	183	0.559642285403108	0.681567104475726	1	0
CIRBP	0.999874911735168	-3.68420495556201	0.999999999911561	1	197	0.35668997081079	-0.295024549701696	-1	0
TROVE2	0.999955157259423	-4.04846157757078	0.999999999997329	1	195	0.335256150218159	-0.327875128647577	-1	0
SRSF1	0.999911897358647	-4.20660599062924	0.99999999999997	1	194	0.343419005778286	-0.336528893039372	-1	0
DDX24	0.999727339614186	-3.57474883143774	0.999999999749809	1	197	0.343886787285146	-0.299974036181431	-1	0
EIF2S2	0.999991484201979	-4.66048072107338	1	1	185	0.29735277466395	-0.256403624746463	-1	0
ESF1	0.785620707585557	-1.35164027228999	0.973435362978839	1	187	0.43860571421313	0.425110372371226	1	0
TBRG4	0.992650364018885	-2.48627856428888	0.999994999899321	1	190	0.395067536319577	-0.381021675478799	-1	0
DNAJC21	0.938833210403563	-1.52831187913815	0.997361177440727	1	190	0.471323546811014	-0.462215060840131	-1	0
SF3B4	0.99998103495243	-4.47422878204502	0.999999999999999	1	189	0.331093985061466	-0.34242422436241	-1	0
STIP1	0.432492911728073	-0.0814058479333231	0.463010611124564	1	190	0.51489690524409	-0.487589276293322	-1	0
RPS19	0.988509588687914	-2.37165768517249	0.999985945493357	1	184	0.435674428112425	-0.439069000275189	-1	0
SUCLG1	0.996782709059597	-3.08198016346293	0.999999983962904	1	192	0.361893229232179	-0.324386994832144	-1	0
SLBP	0.999412745532247	-3.63092502689069	0.999999999772304	1	196	0.360243734791955	-0.28561704427283	-1	0
CNOT7	0.999933426487426	-4.02974721820165	0.999999999998613	1	192	0.354771045251269	-0.311302927862228	-1	0
EFTUD2	0.999999912153528	-5.69531096553781	1	1	196	0.292450193248885	0.344028079739411	1	0
PUM2	0.978528043589455	-2.25919865669729	0.999981610283047	1	187	0.396613655715425	-0.379023399645163	-1	0
DDX6	0.997527880364743	-2.89595637674624	0.99999954461122	1	187	0.394445646012473	-0.376085770366276	-1	0
ILF2	0.327555057960364	-0.793136227549484	0.725654137128694	1	190	0.463615840466719	0.534799930012997	1	0
SMN1	0.950095263097347	-1.77736641683604	0.99867614185877	1	179	0.421584565546863	-0.481664695387323	-1	0
TARDBP	0.999999779587818	-5.37316255335343	1	1	193	0.297760295206399	-0.279402226492577	-1	0
PRPF8	0.996078658078906	-2.67165369830707	0.999998492761736	1	189	0.411424168743531	-0.43073130290599	-1	0
EIF3G	0.985707377364416	-2.386273271647	0.999959962578806	1	192	0.464252297972958	-0.463232372075436	-1	0
RBM25	0.999999982029936	-5.95493726276356	1	1	192	0.253416025188376	-0.263707957040557	-1	0
DDX47	0.993661420050221	-2.72077534917738	0.999999701932357	1	195	0.428246041284172	-0.425264104359759	-1	0
ADAR	0.49200061062243	-0.00151933734004131	0.586112554716951	1	174	0.538054376556477	0.605865122215619	1	0
UTP18	0.663900003132816	-0.80123051457918	0.903597781151638	1	191	0.455660966601051	-0.43218928612468	-1	0
MSI2	0.999681872035934	-3.55584659854285	0.999999999472743	1	193	0.352621397133817	-0.326392634753138	-1	0
EEF2	0.989458098272303	-2.3847600652069	0.999972993206209	1	194	0.415762391836894	-0.3664185896251	-1	0
GTF2F1	0.638037392395387	-0.305669137410521	0.75154081429049	1	184	0.533251371563835	-0.486247809523801	-1	0
PNPT1	0.939274741296535	-1.55823939993826	0.998063453325029	1	184	0.458783973395883	-0.438079707392828	-1	0
PABPC1	0.965816711541057	-2.05020558407436	0.999936693144467	1	180	0.435362887099579	-0.36533482424913	-1	0
NELFE	0.99840819183778	-3.59867309215546	0.999999999987442	1	193	0.360643428466801	-0.383319035867176	-1	0
DDX28	0.995435046288865	-2.81521999645344	0.999998616169599	1	189	0.388503954218568	-0.407281498365601	-1	0
DDX1	0.945730095913757	-1.612547061241	0.997458961531214	1	181	0.443686361390198	-0.461410127824831	-1	0
RRP9	0.94647878080636	-1.5833558007836	0.997762271639597	1	188	0.448512273067438	-0.331697283539213	-1	0
SBDS	0.85232663796153	-1.32583101723581	0.983243960813509	1	187	0.432462838484336	-0.371394975281087	-1	0
HSPD1	0.960318941800878	-1.92851026558209	0.99923642494669	1	189	0.43377356686787	-0.449072988152774	-1	0
CPSF7	0.343793562205373	0.393866334113297	0.274651991269603	1	176	0.536859212102611	0.587163623999633	1	0
NOL12	0.725167643588482	-0.78129552346715	0.934360491932655	1	196	0.493641672023451	-0.489713033961334	-1	0
ATP5C1	0.999977048472752	-4.42409556057888	0.999999999999996	1	197	0.323536292985371	-0.290405992888639	-1	0
XRCC6	0.976844035453851	-2.1882339671872	0.999981393712511	1	190	0.452959232208767	-0.4400602065975	-1	0
SND1	0.97907329261	-2.91298831686087	0.999998882389517	1	195	0.353963083496828	0.414673088621728	1	0
SLTM	0.983108738443215	-2.72934473447719	0.999991360445835	1	186	0.38870923886232	-0.343591711114281	-1	0
KRR1	0.921668567558132	-1.55131257975584	0.9960468075178	1	191	0.445584930728073	-0.379406674194095	-1	0
G3BP2	0.999961418244221	-4.67306467850917	1	1	194	0.273398817915186	-0.298343467974428	-1	0
UPF1	0.99999454408192	-4.56840745416448	0.999999999999997	1	186	0.297995436500913	-0.27944507568665	-1	0
ASCC1	0.998457292328371	-3.37757168019202	0.999999999559983	1	191	0.360319559726108	-0.314281067769845	-1	0
QKI	0.999340937402312	-4.01197695251816	0.999999999975823	1	196	0.303854147634201	-0.293843591138762	-1	0
