p.geomean	stat.mean	p.value	p.adj	set.size	avg.logfc	avg.logfc.dir	direction	significance
HNRNPA1	0.0193729652211813	2.05003679234987	0.000175599541110577	0.0345931095987837	183	1.31424584083946	1.4369875969847	1	100
MAGOH	0.0472870564065857	1.65698014034767	0.00189854533098539	0.187006715102061	183	1.21333004613759	-1.13660892125519	-1	46.0114153765669
EIF4A3	0.0577825988499236	1.64010088247344	0.00361527447607473	0.237403023928907	188	1.28237024286332	-1.27386850533375	-1	41.7085912206924
EIF3D	0.0786244153373651	1.3130982273572	0.00772511177333518	0.380461754836758	185	1.2443494083757	-1.46780430446803	-1	27.1981902541202
YBX3	0.0965107869711995	1.15977347772518	0.0136706663044633	0.538624252395854	188	1.32995061163156	1.37929158598097	1	18.6121285775202
DDX3X	0.120520799488956	1.09790193902905	0.0225017236351389	0.562307335208439	188	1.17728204287427	-1.21931084478586	-1	15.3297901947275
RPS19	0.118789238709214	1.11970421287993	0.0211182168437559	0.562307335208439	184	1.08649267134311	-1.08762455715807	-1	14.1475908858126
SF1	0.118206826772093	1.21055247166647	0.0228348156429823	0.562307335208439	188	1.00045249514181	-0.909218583080672	-1	13.0272324657835
DDX47	0.153319157967183	0.974878174043708	0.0391413163414985	0.856759924363912	195	1.08199562252726	-1.12958620127487	-1	3.78340175447396
KRR1	0.166113328913706	0.938552795280971	0.0477319613839595	0.940319639264003	191	1.23712327014864	-1.30528454722191	-1	1.72183898558836
AKAP8	0.715753884365275	-0.745538830331116	0.873358475589344	1	192	0.774730457487414	-0.739059318971472	-1	0
RPS10	0.916289927328038	-1.53674028792795	0.99356362152801	1	187	0.823503720982397	-0.678248391589101	-1	0
KHDRBS1	0.999736909951519	-3.55514227467035	0.999999999337509	1	192	0.692804229124388	-0.715432334746295	-1	0
HNRNPUL1	0.591491871020265	-0.244773949953645	0.674206633450644	1	184	0.978239843361807	-0.981123589558054	-1	0
EIF4G2	0.816461953329135	-0.981104534959295	0.947120913620673	1	182	0.955471382700691	-0.74795151810426	-1	0
SUB1	0.994145700780465	-2.95593068962055	0.999999688486219	1	195	0.727975553028984	-0.700234064359554	-1	0
PABPC4	0.972566383880242	-2.10375321623491	0.999749202740993	1	195	0.862372590270314	-0.908248285154771	-1	0
HNRNPU	0.997917313106217	-3.07774875438395	0.999999904190919	1	195	0.769902287443078	-0.7840542326267	-1	0
SF3B1	0.26644970304016	0.549864791084924	0.185569334027546	1	185	0.950446834193906	-0.806563447882128	-1	0
