logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	0.221527675555562	0.0446935679487513	0.721150127554349	0.471244839862353	0.780128012209106	-4.6205669629302	0.735660696095787	0.773378332691829	1	67.5488166844873
AKAP8	0.340789387529762	0.0518059062887527	1.10938874643957	0.267939178705444	0.780128012209106	-4.5865184191695	0.743959713611139	-0.640291483573802	-1	68.3197617323966
RPS10	0.490537488746653	0.00726877774599589	1.59687123377554	0.111096103913947	0.780128012209106	-4.52331371742352	0.732705753092423	0.792670411471002	1	67.2743144712936
KHDRBS1	-0.230094970209558	-0.00969584810939412	-0.749039670551765	0.454280241559383	0.780128012209106	-4.61860253701298	0.736978616808801	-0.68838121170505	-1	67.6712461703097
EIF4G2	0.323214726916897	0.0181230529211026	1.05217707430467	0.293363182281566	0.780128012209106	-4.59244322276524	0.714756977600263	-0.672511342794755	-1	65.6069460682126
SUB1	0.360025019686962	0.0454728817472363	1.17200746235831	0.241902253788305	0.780128012209106	-4.57967417135971	0.616252174922447	0.761627236027827	1	56.4562496539381
PABPC4	0.448117078381331	0.0595462481905533	1.45877794918191	0.145422954489591	0.780128012209106	-4.54352979539074	0.557894148265122	-0.570734478758795	-1	51.0350258073815
HNRNPU	0.341966775005358	0.0531330524881699	1.11322155480574	0.266291984342276	0.780128012209106	-4.58611028657383	0.738330025943976	0.772459176102103	1	67.7967865946473
TROVE2	0.320715529597957	0.0211499122577162	1.04404131221166	0.297106414827394	0.780128012209106	-4.59326028590573	0.805033307669311	0.89502132546566	1	73.9932507701127
SRSF1	0.222368007420198	0.00344427670681005	0.723885701923784	0.469565484410394	0.780128012209106	-4.62037757687672	0.721499519036253	0.673353287182991	1	66.2333008048766
ESF1	-0.650428902001697	0.00507859554605435	-2.11737375236401	0.0348541141939296	0.780128012209106	-4.43069170055166	0.802898860279257	-0.746987621948583	-1	73.794969269641
TBRG4	0.229792247656203	-0.0144704360440741	0.748054202675492	0.454873730064232	0.780128012209106	-4.61867321958715	0.708189222484312	0.803235190900572	1	64.9968282713583
STIP1	0.275837423187599	0.0319950993856533	0.897947366698694	0.369761993766075	0.780128012209106	-4.60685279913836	0.773128816661379	0.899002857794941	1	71.0294530310275
SUCLG1	0.36160811638218	0.030391949461512	1.17716099624894	0.239841873946009	0.780128012209106	-4.57909415512446	0.758688543797138	0.819968742027696	1	69.6880102837926
CNOT7	0.377891469672274	0.0312359608483524	1.23016901103858	0.219367806608479	0.780128012209106	-4.57298054102936	0.817035436905689	0.985670112747843	1	75.1081998688505
EFTUD2	0.283311169642953	0.0474262311125956	0.922277027523558	0.356948500232331	0.780128012209106	-4.60473110958753	0.642562676898739	-0.600644482062316	-1	58.900388513641
PUM2	0.316200121390915	0.0290150450999552	1.02934207792275	0.303950432719929	0.780128012209106	-4.59472042819635	0.688606253193867	0.692110850806115	1	63.1776498963399
DDX6	0.268200386501424	0.00342925650204373	0.873086139014341	0.383147917808504	0.780128012209106	-4.60896225382687	0.695144879512131	0.691291143622815	1	63.7850617461003
ILF2	-0.397709803194055	-0.00871442986071953	-1.29468462386801	0.196187262719921	0.780128012209106	-4.56517645790138	0.836938733458664	-0.784343923569875	-1	76.9571353465982
SMN1	0.247009404747701	0.0185661962800358	0.804102075707696	0.42182291416561	0.780128012209106	-4.6145053373969	0.542763842013645	-0.568678012055305	-1	49.6294817587821
TARDBP	0.442625501248906	0.0358510761408378	1.44090094334239	0.150406891604973	0.780128012209106	-4.54601330326788	0.654701266932426	0.670784779713296	1	60.0280142666605
EIF3G	0.339998187156346	0.0304669642213106	1.10681311227206	0.269050028182136	0.780128012209106	-4.58679189210033	0.712632281550375	0.779809078119007	1	65.4095704276692
RBM25	0.560209050734247	0.0442154009054147	1.82367655590182	0.0689584263561592	0.780128012209106	-4.48614566916069	0.604618968014025	0.582024122280496	1	55.375571942298
