logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
EIF4G2	-0.60338770467629	-0.00728817786199731	-3.64892455027325	0.0115043197084032	0.2926369722484	-4.20067093442471	0.905250048455408	-0.949363506401815	-1	89.2105123121163
EIF3G	-0.696222338507054	-0.0143455518459676	-3.94477456066209	0.00821859358827428	0.2926369722484	-4.17572429478527	0.752814297749684	-0.773474699379891	-1	74.1322654013515
EEF2	-0.530348394327771	-0.0111292276804241	-3.21422629866046	0.0193266287555059	0.2926369722484	-4.24412245016096	0.826650851627903	-0.857517166665397	-1	81.435839433437
PNPT1	-0.546555706080095	-0.0243506208112578	-3.29871141492792	0.0174332234594554	0.2926369722484	-4.23498335609304	0.915164121259711	-0.901670743074026	-1	90.1911670269224
NPM1	-0.512054963982156	-0.0170972913978011	-3.15469639659874	0.020796536098871	0.2926369722484	-4.25077649607095	0.960001998624526	-0.866170134926378	-1	94.6263246768259
PTBP1	-0.516166939107249	-0.0308848816910925	-3.17615991583663	0.020252847698504	0.2926369722484	-4.24835663533148	0.604602047087742	-0.626586517987945	-1	59.4717877880969
HNRNPC	-0.628846325068607	-0.0102108004274396	-3.85668033293331	0.00907147317112139	0.2926369722484	-4.18279785474166	0.689532607761847	-0.710009508150809	-1	67.8727302060343
EIF3D	-0.556340777490666	-0.00600362001302996	-3.37120160040385	0.0159711359712937	0.2926369722484	-4.22741881236187	0.766268774613938	-0.816531014836277	-1	75.4631206848081
XRN2	-0.608723946450681	-0.00575759600276207	-3.43081587799911	0.0148701373580661	0.2926369722484	-4.2213842293056	0.692140606822637	-0.685412007780254	-1	68.1307015388718
ABCF1	-0.728134171515801	-0.00886343551626398	-4.44587658451818	0.00479218659831558	0.2926369722484	-4.14052235836804	0.768829980992814	-0.784621260666828	-1	75.7164634996749
PRPF6	-0.523657251006226	-0.0262002116759472	-3.16507876471944	0.0205315654647901	0.2926369722484	-4.24960301931351	0.697917880870808	-0.741728951675526	-1	68.7021630507952
MATR3	-0.561882756449274	-0.0123675569800259	-3.29518802819595	0.0175079649651823	0.2926369722484	-4.23535748273595	0.825068695836772	-0.801385848731946	-1	81.2793398225548
RBM17	-0.547886568541634	-0.00813566494124909	-3.30433412114568	0.0173146777986986	0.2926369722484	-4.23438756538308	1.01432795818631	-1.02983150529093	-1	100
EIF4A3	-0.56350879909144	-0.0327258044890609	-3.23071588782224	0.0189399667916293	0.2926369722484	-4.24231091905175	0.944199192698265	-1.02431118506361	-1	93.0631834285563
HNRNPA1	-0.497506565760747	-0.0174155701295553	-3.02884570685606	0.0243249369946617	0.306018768168184	-4.26544606570002	1.01861829140624	-1.10565046379107	-1	96.7580974322667
RPS19	-0.553420539647524	-0.0417403787031595	-2.96548913689515	0.0263450278981456	0.306018768168184	-4.27314909757635	0.942944692388752	-0.996554504405676	-1	89.5451810487451
PABPC1	-0.488380968850815	-0.0199713014507103	-2.89600867544714	0.028772853680512	0.306018768168184	-4.28184780712729	0.802825181871053	-0.763246284812013	-1	76.1895282690946
HSPD1	-0.458420005696251	-0.0228702898730193	-2.72755746010635	0.035728079532326	0.306018768168184	-4.30405533772349	0.835405230460568	-0.85236615808647	-1	79.2949331830715
UPF1	-0.536506402245161	-0.0266281712722232	-2.7927797954385	0.0328401661477129	0.306018768168184	-4.29526665995429	0.611455023988105	-0.649409511981139	-1	57.9488609157162
AKAP1	-0.485656932587712	-0.0125263434665236	-2.88336342899185	0.0292403469710715	0.306018768168184	-4.28345957065211	0.751512467818199	-0.842472381312135	-1	71.2985977374407
XRCC5	-0.547598740927558	-0.0128389641933915	-2.84866121497293	0.0305661866782882	0.306018768168184	-4.28792843725394	0.871400232157586	-0.925745958187406	-1	82.7258382918042
SUPV3L1	-0.484024701247109	-0.0186569112281022	-2.76141947711454	0.0341959664129141	0.306018768168184	-4.29946219430764	0.693044129047056	-0.67324008821455	-1	65.7256205814027
UTP3	-0.462388075049149	-0.00489857629296393	-2.80313987669192	0.0324051291478938	0.306018768168184	-4.29389289724825	0.784875051568009	-0.774384831530669	-1	74.4785908929134
ATP5C1	-0.490653810183413	-0.0569954017249747	-2.62925309048264	0.0406099937637797	0.312056482815128	-4.31776281195316	0.709999055872714	-0.743218804732777	-1	66.2250730968741
U2AF2	-0.430274987335985	-0.0368563939590867	-2.61851555725382	0.0411851195593571	0.312056482815128	-4.31929386701245	0.592218754123615	-0.619320686114474	-1	55.183942572523
CKAP4	-0.483058800415208	-0.0215149272041914	-2.64988893370914	0.0395287196501143	0.312056482815128	-4.31483911694388	0.737051135280665	-0.702137025123893	-1	68.7610280508236
XRCC6	-0.450718748947061	-0.0529928465437682	-2.58167123378267	0.0432258084779527	0.3153883063021	-4.32459832498671	0.803787706522145	-0.869681658406238	-1	74.3299854537666
MTPAP	-0.455133575102638	-0.012841286014771	-2.55323129413515	0.0448748439522543	0.315726580664075	-4.32874674470356	0.753981078991261	-0.800176595361836	-1	69.6384588114386
RAVER1	-0.401850771707209	-0.0199011728634617	-2.47081316537706	0.0500437178807493	0.339952152500262	-4.34103441197681	0.69875190269566	-0.745196916825327	-1	60.3548366293732
CELF1	-0.432773701890296	-0.0193081760038251	-2.42844693182375	0.0529434556379216	0.347662025355685	-4.34750428193381	0.857785270704158	-0.865258433366997	-1	72.6186181472205
PUM2	-0.445017586083575	-0.010506955451714	-2.39024442335759	0.0557107837061574	0.354033044842355	-4.35342730985014	0.718631815897242	-0.775503021392945	-1	59.7336882356207
AKAP8	-0.464939936995808	-0.0264728602756591	-2.36204549051306	0.0578511493091344	0.356146137934359	-4.35785325150363	0.732426234853183	-0.759101085626423	-1	60.5358362774626
