logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
AKAP8	-0.381232264119457	0.00543849903221158	-1.76488655448298	0.118005474787914	0.505683828711517	-4.47614366943207	0.912088720631364	-1.03777213594839	-1	74.2939458245158
RPS10	-0.443454320225883	0.0198041925633913	-2.14694637884738	0.0662643317820317	0.505683828711517	-4.41240293276289	0.886605811015768	-0.88212766918508	-1	72.188366706987
EIF4G2	-0.417818568237135	-0.00292670288338287	-2.09416092401175	0.0717978106407858	0.505683828711517	-4.42098666876996	1.08540820992851	-1.01794425996045	-1	88.6148339346185
SUB1	-0.487228491547655	0.0615986256416423	-1.85685373504572	0.102804106833009	0.505683828711517	-4.46052157554414	0.889984570567674	-0.883161272332398	-1	72.4675438364028
HNRNPU	-0.383418846385421	0.0213480334370829	-1.75220035577399	0.120262805294093	0.505683828711517	-4.47830650389146	0.780965327068716	-0.76902617558163	-1	63.4595990615371
SF3B1	-0.36712714626569	-0.0148182929069404	-1.8825404360077	0.0989047436737831	0.505683828711517	-4.45618118521372	0.996448384286069	-0.997665060186976	-1	81.2643408395489
HNRNPA1	-0.488470815094753	0.00313089556454493	-2.4356154836575	0.0427323934101681	0.505683828711517	-4.36723149670304	1.12541931473847	-1.12367694494345	-1	91.9208358012795
TROVE2	-0.370983192463259	0.021647750227719	-1.50093714613325	0.174164963125951	0.505683828711517	-4.52119781020318	0.911271785026774	-0.909611081091127	-1	74.2264447983246
EIF2S2	-0.344415676742356	0.011886804421324	-1.50106177560929	0.174133462070329	0.505683828711517	-4.52117664267403	0.757134147426582	-0.702084418520072	-1	61.4904976144307
TBRG4	-0.319088991918888	-0.00470658335171891	-1.46036284555102	0.184697001243269	0.505683828711517	-4.52807502245878	0.930472478604815	-1.00076247035065	-1	75.8129425746714
SUCLG1	-0.357496285996724	0.0131752401274974	-1.57110737975233	0.157223606403156	0.505683828711517	-4.50924792034859	0.922573872193675	-1.04962225053097	-1	75.1603035719927
CNOT7	-0.460136270425148	0.0347496061534323	-1.78203958996691	0.115017025261805	0.505683828711517	-4.47322183434448	0.969299916937789	-1.02411998914261	-1	79.0211415038474
EFTUD2	-0.45789280280315	0.0215721630697028	-2.04683673801839	0.077144960765236	0.505683828711517	-4.42875525795488	0.777318484694096	-0.761294803331177	-1	63.1582710238542
PUM2	-0.408259814004297	0.0198203695918448	-1.94187591864527	0.0904345394738832	0.505683828711517	-4.44620374500417	0.830979010474658	-0.865002939288715	-1	67.5920850672086
TARDBP	-0.437019202847969	0.0270494527254634	-1.67816761513182	0.134267819483794	0.505683828711517	-4.49095070195375	0.807226788840289	-0.77063836941275	-1	65.6295076919143
PRPF8	-0.278054281098689	0.00638766488045247	-1.39349999295087	0.203296121356439	0.505683828711517	-4.53933203759466	0.863690014074636	-0.730628692523204	-1	70.2949006849106
ADAR	-0.676461057275283	-0.0160817548119637	-3.45769055988114	0.00947000746074771	0.505683828711517	-4.23648404748086	1.12849774344172	-1.1709535014642	-1	92.1751974613153
UTP18	-0.311518046346227	0.0184947167459626	-1.41883861874021	0.196061165935693	0.505683828711517	-4.53507885159898	0.810049457067544	-0.912455602242239	-1	65.8627366035525
MSI2	-0.275795009584411	0.0159031907893567	-1.38643844668162	0.205353839070667	0.505683828711517	-4.54051421940333	0.782310449574364	-0.72551303883059	-1	63.5707426436921
EEF2	-0.33463005164881	0.0142202760707815	-1.69777504150396	0.130416750539164	0.505683828711517	-4.48759918409307	0.970091190441893	-1.12018758200116	-1	79.0865221448977
PNPT1	-0.381153267942091	0.00436989937565607	-1.72645614042333	0.124969447508831	0.505683828711517	-4.48269971667057	1.10094085082772	-1.1980816432394	-1	89.8982511271922
DDX28	-0.44054958366099	0.0334590556135997	-1.85669864356933	0.102828092677111	0.505683828711517	-4.46054781684652	0.797084588209327	-0.815643525150289	-1	64.7914869879806
ATP5C1	-0.333682826078676	0.00650351204998751	-1.62534162771391	0.145176656412927	0.505683828711517	-4.49998282215757	0.926546310752789	-1.1040059382153	-1	75.4885346806812
IGF2BP3	-0.347648335053809	-0.00684681708024339	-1.45522929455027	0.186069398151298	0.505683828711517	-4.52894293968959	0.866619084859092	-0.934254113846927	-1	70.5369213321031
RECQL	-0.463425306461219	0.0472789521837872	-1.47837583735034	0.179952748345106	0.505683828711517	-4.52502551597015	0.955104807707612	-0.952963476470906	-1	77.8482406845545
PHF6	-0.37255450626862	0.0303300369627967	-1.70286116464341	0.129434801023296	0.505683828711517	-4.48673003828537	1.12618745619935	-1.02441811735057	-1	91.9843051085028
FUS	-0.310751435040502	0.0127763086531848	-1.58316504608467	0.154468536344433	0.505683828711517	-4.50718952459245	0.813670090778932	-0.869921848689365	-1	66.1618990951956
AKAP1	-0.484679700346077	0.015003322555826	-2.47538616437276	0.0402323151605484	0.505683828711517	-4.36126852847626	0.872420799321467	-0.86410796733651	-1	71.0163002178786
DHX30	-0.33615173653741	-0.03529087381069	-1.40052853557464	0.201266045182092	0.505683828711517	-4.53815399117603	0.699694298692691	0.775123713236514	1	56.744409046347
CPSF6	-0.435591163314857	0.030303496925934	-1.67342736810599	0.135214648447838	0.505683828711517	-4.49176111835695	0.947209540359813	-0.979545581865631	-1	77.1958775790221
RBM15	-0.337700092789664	0.00104447308038801	-1.52052673444182	0.169276208482801	0.505683828711517	-4.51786781789482	0.746988673477902	-0.712678012578611	-1	60.6522064457214
GEMIN5	-0.434964392288857	0.0093586005630477	-1.98832680906955	0.0842984119022751	0.505683828711517	-4.43844730086786	0.817361796036555	-0.864395049252709	-1	66.4669340231445
ZC3H8	-0.348200650147133	0.00438418862284012	-1.73252231687399	0.12384503685106	0.505683828711517	-4.4816640850751	0.928584653535288	-1.20185564777706	-1	75.6569570493172
