logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	-0.0631992899270132	-0.00267898883629264	-0.176345948473565	0.860662850561814	0.988729387955787	-4.63227475603795	1.12155211189009	-1.05502514982209	-1	73.6155414557534
AKAP8	-0.165537985668268	-0.0129370084203594	-0.461554977025371	0.646201019657876	0.988729387955787	-4.62547118994365	0.889564537164666	-0.770016371292024	-1	57.4537609218597
RPS10	0.501488461946057	-0.00152273401541068	1.43077241623843	0.158091345640025	0.988729387955787	-4.5591976591401	0.945807825936421	1.00838039311924	1	61.3720384016316
KHDRBS1	-0.476603435365621	-0.0290716457115186	-1.36448845085564	0.177910604195382	0.988729387955787	-4.56570749065917	0.864141354462948	-0.856630698492751	-1	55.6826147741207
HNRNPUL1	0.292068616780848	-0.0146870806143738	0.825266509002434	0.412746776197314	0.988729387955787	-4.60816360796872	0.911746338900868	0.752297049293406	1	58.9990911488391
EIF4G2	0.556723264619825	0.00483921945018147	1.59526738865387	0.116320887642261	0.988729387955787	-4.54190676840053	0.964271954525192	1.00270240978051	1	62.6583710612773
PABPC4	0.200269479572844	0.00574172126176305	0.551483226186572	0.583511878809788	0.988729387955787	-4.62208045182574	0.983936942967491	-1.13110699733887	-1	64.0283635179085
HNRNPU	0.074035294089644	-0.00136364727645086	0.206272411349047	0.837331520159426	0.988729387955787	-4.6318452978875	1.03863521285565	-0.990975652808225	-1	67.8390048186872
HNRNPA1	0.303176014072812	-0.00443714795495979	0.86743963394833	0.389429187618702	0.988729387955787	-4.60554810902031	1.01890391505973	0.968071763934938	1	66.4643928162814
CIRBP	-0.0833932065059888	-0.0252062583804464	-0.237059405152301	0.813481892396233	0.988729387955787	-4.63133360758538	1.0631481320917	-1.0122843078013	-1	69.5467360254422
SRSF1	0.182317323295666	-0.0192577423249245	0.519372150593747	0.605562467381194	0.988729387955787	-4.62335904721944	0.941185074579944	1.04952964541033	1	61.0499871324006
DDX24	-0.129250781328966	-0.0351796956420675	-0.365244807575823	0.716314296592627	0.988729387955787	-4.62844370568033	1.10142404557262	-1.13209919652831	-1	72.2132879480834
EIF2S2	0.0404001077078908	-0.00569251379151106	0.112691727272422	0.910680804600045	0.988729387955787	-4.63296516391102	0.748007768928762	-0.702450788457773	-1	47.5919852469177
ESF1	-0.535733298542344	0.00772013471683513	-1.53607170051983	0.13019172144694	0.988729387955787	-4.5483121772582	1.07498521837423	-1.14191920769877	-1	70.3713853235156
TBRG4	-0.0792631810153287	-0.0173638927761247	-0.223670628241554	0.823833319186675	0.988729387955787	-4.63156483653634	0.950530246988212	-0.918505885875391	-1	61.701033317493
DNAJC21	0.13995102433461	-0.0234215198499508	0.401635008450243	0.689492124378142	0.988729387955787	-4.62740102526438	1.01671008914092	1.13994190259019	1	66.3115564711822
SF3B4	0.0763665275196566	-0.000805100342651799	0.208723753600923	0.835426596115296	0.988729387955787	-4.63180715145154	1.00793783764572	-0.996271147222616	-1	65.7004237257267
RPS19	0.363904281683939	-0.0123378266274945	1.04486814023509	0.300604940529698	0.988729387955787	-4.59320353857581	1.19202851487697	-1.12367517584444	-1	78.5253913011189
SUCLG1	0.130492044828126	-0.000845712911692414	0.365527408717708	0.716104554838979	0.988729387955787	-4.62843598593051	0.972828348030128	-0.81110775608318	-1	63.2544657191575
SLBP	-0.189783604938161	-0.0287736757336786	-0.537878705700749	0.592807141401369	0.988729387955787	-4.62263133109477	0.906552115390975	-0.789894078833139	-1	58.637227370099
CNOT7	0.14583321898891	0.0016376538371376	0.406819796427576	0.685702018856186	0.988729387955787	-4.62724449966212	0.88037676684325	0.955710875584489	1	56.8136804015719
EFTUD2	-0.108642405279103	0.00544369463015634	-0.303301712257488	0.762791823232229	0.988729387955787	-4.62999282283528	0.888076294600546	-0.889394033997146	-1	57.3500801547713
PUM2	0.170278314536905	-0.0194212200925533	0.481526807208372	0.632031773414805	0.988729387955787	-4.62476928132643	0.877371301075548	0.942913575682497	1	56.6042998854075
ILF2	-0.372047407140302	0.00423998992747277	-1.05797401179618	0.294641717012469	0.988729387955787	-4.5922070967348	0.975119768537883	-0.993291525761168	-1	63.4141011453265
SMN1	0.279833326415989	-0.00596069515878975	0.787018095136004	0.434612868487817	0.988729387955787	-4.61042815527118	1.10047494363429	1.07835998372992	1	72.1471672636038
TARDBP	0.0831632962255919	0.000780042117116367	0.228531265170538	0.820071611459519	0.988729387955787	-4.63148243976817	0.909697784475402	-0.913127223032393	-1	58.8563753716027
PRPF8	0.424426206075618	-0.0191152892060988	1.21799238120177	0.228369832929378	0.988729387955787	-4.57912634693392	1.10117811867529	1.21258075457096	1	72.19615506264
EIF3G	0.526779552296151	-0.00538341999046804	1.49264855631239	0.141181558085006	0.988729387955787	-4.55288091188979	1.01910666392749	0.939713088194561	1	66.4785176361478
RBM25	0.167928312633903	-0.0151569896808508	0.465296075644595	0.643536590731832	0.988729387955787	-4.62534193784463	0.988042540227967	1.01566090480447	1	64.3143864308292
DDX47	0.0362567881985195	-0.0160112854349558	0.104019401991731	0.917528221148833	0.988729387955787	-4.63303571331002	1.08096634689069	-1.01582156837096	-1	70.7880700814922
ADAR	0.334800174030741	0.00322246871546028	0.956585537614153	0.342916983171577	0.988729387955787	-4.59961430268811	1.06357005509012	1.08539365479234	1	69.576129957039
UTP18	-0.202727624236111	-0.0277802901059682	-0.573917930841561	0.568337597108076	0.988729387955787	-4.62114261145201	0.880640896016244	-0.846168980950095	-1	56.8320813772775
EEF2	0.481402345254305	0.00851248795454436	1.38212784154317	0.172459416674142	0.988729387955787	-4.56400134701082	0.878052721338751	0.873202287081214	1	56.6517721035134
GTF2F1	-0.0349010178316318	-0.0301288414236115	-0.100008128087944	0.920697565541242	0.988729387955787	-4.63306643661438	1.19820821427089	-0.887531080227835	-1	78.9559098126734
PNPT1	0.256716436926495	-0.00690107126053347	0.733124884878923	0.466561748443428	0.988729387955787	-4.61344403181279	0.988114232301633	1.07800400073665	1	64.3193809722911
SUGP2	-0.443722011035184	0.0111987657747327	-1.25198660802795	0.21581541376542	0.988729387955787	-4.57613338587471	1.27053304585062	-1.18849453561787	-1	83.9945333532917
PABPC1	0.179608971655257	0.00112356057101462	0.513109269850445	0.609907475221794	0.988729387955787	-4.62359965498286	0.854007846578631	0.971442422177458	1	54.9766479538775
NELFE	0.126860347361784	-0.035665200319448	0.364233012164722	0.717065414088677	0.988729387955787	-4.628471296155	1.04637767041673	1.14601623492999	1	68.3783953444221
DDX28	0.353342922557992	-0.00754838237390529	0.990915905245713	0.326019072590171	0.988729387955787	-4.59718401911485	0.808265536223219	0.799797522242521	1	51.7899377089326
DDX1	0.229971932674069	-0.011225737119119	0.656333748402586	0.514316334402914	0.988729387955787	-4.61738459051231	0.858753982276188	0.863835638220165	1	55.3072949879645
RRP9	0.266038595109903	-0.0222890553810162	0.760542419401289	0.45014336789254	0.988729387955787	-4.61193540310417	0.914189309980439	1.09505882882043	1	59.1692845847824
SBDS	0.132010707834072	-0.000200078934317172	0.363100818210032	0.71790624408722	0.988729387955787	-4.62850207984766	0.841802680130232	0.766519188019958	1	54.1263557701167
HSPD1	0.190166647209744	-0.00302622912175407	0.542930294463295	0.589347518373163	0.988729387955787	-4.62242835355617	1.05054676358287	1.01029092610054	1	68.6688417998251
CPSF7	0.233770565831276	-0.0102358834828324	0.669574208316481	0.505900122296806	0.988729387955787	-4.61673523523163	1.22200035834501	1.33003955100509	1	80.61342708019
NOL12	0.373357879061929	-0.0240252222299122	1.07101392026232	0.288789830408691	0.988729387955787	-4.59120428613516	1.09616475392409	1.21658565151656	1	71.8468910947699
ATP5C1	-0.196694564026576	-0.0172346367870116	-0.551159410347847	0.583732312872652	0.988729387955787	-4.62209372044186	0.810181879969824	-0.742698511414406	-1	51.923442820561
XRCC6	0.403436018310693	-0.00760264871376005	1.15721020315983	0.252133339457246	0.988729387955787	-4.58429235236493	1.06887853555097	1.14135435592475	1	69.9459536265964
SND1	-0.411648042799025	0.0201905749816176	-1.1629097904401	0.249832453244312	0.988729387955787	-4.58381811627649	1.18394652925469	-1.13026057328921	-1	77.9623470171307
SLTM	0.315673369133112	-0.0308287072520043	0.904771042591538	0.369490116509796	0.988729387955787	-4.60312983456071	1.07960507949854	1.26973360526813	1	70.6932352401607
KRR1	-0.220693970537216	-0.00635832775576541	-0.63188030029438	0.530054465714621	0.988729387955787	-4.6185507565219	1.0956416209093	-1.12176683336479	-1	71.8104462076456
G3BP2	-0.213978735047483	0.0144705200987214	-0.60181192623251	0.549745289863273	0.988729387955787	-4.61992562599968	0.794628343064596	-0.699438880769639	-1	50.8398811242692
UPF1	0.147516649544323	-0.00498432042241276	0.409601584557579	0.683671853585266	0.988729387955787	-4.62715970108199	1.00337438649339	0.974862933983864	1	65.3825036988101
ASCC1	-0.268252342677939	-0.0441559716205151	-0.76394206428505	0.448131251267047	0.988729387955787	-4.61174463183486	0.911625323162839	-0.727004817812519	-1	58.990660396453
QKI	0.226781904720404	-0.00434243275946089	0.618830136466008	0.538555222614504	0.988729387955787	-4.61915548745454	0.84595803873863	0.927711949484298	1	54.4158453858775
BUD13	-0.497235505157506	-0.032978820288689	-1.41787444229687	0.161807132419864	0.988729387955787	-4.56048536900858	0.884452553531038	-0.878501852337717	-1	57.0976265138969
AGO1	-0.345923741800394	-0.00831405897016444	-0.982179677993182	0.330265539123407	0.988729387955787	-4.59781006403367	0.981159949067751	-0.991440095727494	-1	63.8348998550176
ILF3	-0.282044960843445	0.00381903012958595	-0.798663972889412	0.427883322796353	0.988729387955787	-4.6097495208535	0.865098191120819	-0.821640328191636	-1	55.7492743100445
DDX19B	-0.334316936929321	-0.016474271032276	-0.949863311258314	0.346291937154904	0.988729387955787	-4.60008077800677	0.772026123631387	-0.76465331949913	-1	49.2652618348922
CSTF2T	0.410006389379886	-0.0111115973247893	1.14246071471662	0.258157940645952	0.988729387955787	-4.58550974315924	1.04924091953909	0.994305313772122	1	68.5778681135315
TRIM56	0.0851510112948179	-0.0038976297664477	0.235326473633438	0.814819852937854	0.988729387955787	-4.63136429023651	1.13266848549266	-1.06104146278061	-1	74.3899811674932
IGF2BP3	0.0799778594727539	-0.00316782493002189	0.221576746845265	0.825455087770642	0.988729387955787	-4.63159978769604	0.975868425892069	-1.04050765899662	-1	63.4662575414945
PARN	0.221772554901016	0.0104484054047285	0.630907836295681	0.530685497430727	0.988729387955787	-4.61859624283109	0.848732195718123	0.765238339038237	1	54.6091114102419
PA2G4	0.236344471869876	-0.0285567565371045	0.676069225891361	0.501798980955616	0.988729387955787	-4.61641210322869	0.96464081794668	-0.803197539300692	-1	62.6840685137039
RECQL	0.644225306876489	-0.0421386588091365	1.80462270710119	0.0765498563452453	0.988729387955787	-4.51767190840527	0.776139841041512	0.74849884723894	1	49.551850450854
SRP68	-0.0372397163027506	-0.000888936880894267	-0.101971026206231	0.9191464967897	0.988729387955787	-4.63305155314034	0.695832399234906	-0.602688638188725	-1	43.9571057700106
PHF6	0.0509854110244261	-0.018732124309239	0.143894641625924	0.886103888309923	0.988729387955787	-4.63266467327367	0.66398148122855	0.724993799742238	1	41.7381612975273
FUS	-0.0688021868624299	-0.0154399202411044	-0.195712447960286	0.845548671218082	0.988729387955787	-4.63200448855225	0.906892918624842	-0.887294165379559	-1	58.6609699652683
RBFOX2	0.0552842058316077	-0.0225377680708952	0.155356682142914	0.877102710674417	0.988729387955787	-4.63253596269923	0.870552080529168	0.921813613645773	1	56.1292281234252
AKAP1	0.340676152059752	-0.0251303778979984	0.977511236033872	0.332549766301991	0.988729387955787	-4.59814248483102	0.896454269901741	0.853890653817248	1	57.9337450268945
U2AF1	0.0519566793301043	0.0175943111550559	0.145545959367626	0.884806143202327	0.988729387955787	-4.63264673715354	0.876652685816376	-0.963294535566354	-1	56.5542364192034
DHX30	0.0389738660234598	-0.0251964180496376	0.108096546735284	0.914308210857133	0.988729387955787	-4.63300324844306	0.941144889742467	-0.798623340647475	-1	61.0471875922749
NPM1	-0.156690497111241	-0.0353695482027106	-0.44530267202924	0.657829816265058	0.988729387955787	-4.62602075490895	1.04317251275655	-0.852668906864592	-1	68.1551029773991
NCBP2	-0.519670491936303	-0.0211239655630776	-1.48558606533645	0.143036332127689	0.988729387955787	-4.55361345989264	1.13399061218462	-0.920872768146437	-1	74.482089210171
UBE2L3	-0.44832500604816	-0.0184991521165939	-1.26694243674194	0.210456652670244	0.988729387955787	-4.57479328352618	0.962765886581294	-0.982287452030986	-1	62.5534484609733
FUBP3	-0.272038504392889	-0.00353566523148686	-0.781813962617125	0.437640252276557	0.988729387955787	-4.61072832750243	1.24468559316091	-0.981374140202923	-1	82.1938297672232
FKBP4	-0.174175811616452	0.00532559922382102	-0.484555852286944	0.629894681169942	0.988729387955787	-4.62466027032703	1.09130720822675	-0.987771204683041	-1	71.5084825072121
