logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	-0.245219416170031	-0.0320216149785941	-0.956873658319858	0.376482999176862	0.999264880437212	-4.60648777625292	1.06267638626219	-1.04916464759108	-1	23.9394651005504
AKAP8	0.462120680027762	-0.0207740935089053	2.14131551257916	0.0771818923024908	0.999264880437212	-4.43975814752535	1.35448139707156	1.36107090530325	1	52.037979623129
RPS10	0.113001837330016	-0.0120214251753949	0.50962571611006	0.62895981319345	0.999264880437212	-4.65580901898019	1.40028462157806	1.64832635174753	1	56.4484678645995
KHDRBS1	0.181235262032665	-0.010815474309442	0.71272085367251	0.503438986856569	0.999264880437212	-4.63602954514586	0.924934232993529	0.991150362491139	1	10.6759852060288
HNRNPUL1	0.026649286266839	-0.0188066448296202	0.0902040110115597	0.931133823863174	0.999264880437212	-4.67743280613953	1.55391644453726	-1.50780615837896	-1	71.2419972717051
EIF4G2	0.0753780592431598	-0.00836375734340674	0.393982797070587	0.707551881486638	0.999264880437212	-4.66458707325882	1.39538431034305	-1.36864304301517	-1	55.9766066514546
SUB1	0.246278705884838	-0.0242428405063391	0.718551371605586	0.500094375039878	0.999264880437212	-4.63538954603328	0.836775544947735	0.78721359760863	1	2.18700083432289
PABPC4	0.110543296084804	-0.00918139333554215	0.344553625178491	0.742477060220435	0.999264880437212	-4.66772063816695	1.13927952985131	1.25348056456373	1	31.3157419391277
HNRNPU	0.012479966023198	-0.018415432018274	0.0486691842983971	0.962801759725589	0.999264880437212	-4.67794871055393	1.03310765766689	-1.04938876436668	-1	21.0922304093266
SF3B1	-0.203650811284096	-0.0315043558761441	-1.05042200575601	0.334965051600017	0.999264880437212	-4.59396780956692	1.27576520871534	-1.20146828757678	-1	44.4582332865107
HNRNPA1	0.356279880615815	-0.0116279486184897	1.69969980118938	0.141363707970425	0.999264880437212	-4.50036170604247	1.70207142123611	2.02133060517593	1	85.5081497028041
CIRBP	0.217758950841863	-0.0175726381507343	1.10418409556797	0.312845767320163	0.999264880437212	-4.58655471247871	1.02622404241202	0.974745005310956	1	20.4293927059229
TROVE2	0.24694776341462	-0.0198346670905505	0.951542521382967	0.378966809731896	0.999264880437212	-4.60718464900415	0.949619020737415	0.883868235853101	1	13.0529350225673
SRSF1	-0.201965896592916	-0.00483325426830443	-0.918249974839117	0.394768268829807	0.999264880437212	-4.61149147742318	1.11794118825008	-1.11883735520741	-1	29.2610284175653
DDX24	0.266877066010508	-0.0128680727123131	1.34017386831394	0.229888045198305	0.999264880437212	-4.55278063968039	0.831954773348649	0.822472783674533	1	1.72279865900302
EIF2S2	0.126531728845927	-0.00925152229574676	0.474622054820292	0.652252929768895	0.999264880437212	-4.65867224737437	1.28030081376551	-1.46724657234209	-1	44.8949761786814
ESF1	0.053967269954009	0.00388035278985	0.182547528921675	0.861313954474632	0.999264880437212	-4.67519101090621	1.35797706535081	-1.55466131845944	-1	52.3745848295928
TBRG4	0.172968622428004	-0.0254537205379317	0.774381245263139	0.468834315354345	0.999264880437212	-4.62908173180759	1.13631291430112	1.22715290144123	1	31.0300803259545
DNAJC21	-0.224885650429197	0.0102420322532848	-0.902068657562807	0.402629532348034	0.999264880437212	-4.6135554798203	1.41971855040798	-1.3619132280037	-1	58.319801499151
SF3B4	-0.118786933679205	0.00123385872204895	-0.361783734484952	0.730220418907852	0.999264880437212	-4.66667202610233	1.13868041042807	-1.06608005135284	-1	31.2580514773775
STIP1	0.190212969114852	-0.0105517589482345	0.908455660371372	0.399512390036055	0.999264880437212	-4.61274314807814	1.36282225775936	1.4683043574176	1	52.8411385357086
RPS19	-0.424382604334013	0.00607705784804827	-2.21849348352761	0.0694777982931003	0.999264880437212	-4.42990397970444	1.52912385959791	-1.40328619316592	-1	68.8546674378602
SUCLG1	0.357556915454429	-0.00090714209239557	1.40149373326339	0.211825000411884	0.999264880437212	-4.54381993062458	1.1847679019263	1.26900263392281	1	35.6959123817547
SLBP	0.400819736313912	-0.00894605820433518	2.01857940143401	0.0912901868540149	0.999264880437212	-4.45592523330036	1.18193154103434	1.34230940714506	1	35.4227932619254
CNOT7	0.137246570956947	-0.00789921870365398	0.473616600496899	0.652928617819162	0.999264880437212	-4.65875191014825	1.18605756807969	1.29860104700642	1	35.8200970317711
EFTUD2	-0.051803356974543	0.000671811620855722	-0.197146333466188	0.850383303378059	0.999264880437212	-4.67470001896429	0.982920206201842	-0.94701760219216	-1	16.259575788591
PUM2	0.129817513755848	-0.0236302390071269	0.601770997748374	0.569894549830127	0.999264880437212	-4.6474719056624	1.32037494241137	1.24321941100218	1	48.7537978027927
DDX6	0.173838891951104	-0.014936341607575	0.646993295662871	0.542171513680003	0.999264880437212	-4.64298268382212	1.1249119314242	1.02530266352954	1	29.932255850459
ILF2	0.131499689283978	0.00106953497866853	0.390514302797657	0.709978461254425	0.999264880437212	-4.66481942641972	1.33955370489493	1.40869737050931	1	50.6005609364163
SMN1	0.0133155893020718	-0.0182084751994453	0.0446699436726223	0.965855924931635	0.999264880437212	-4.67798213008602	1.2516937011924	-1.33378156552688	-1	42.1403375045374
TARDBP	0.0165010382241171	-0.0095406483842117	0.0513594296479629	0.960747644166313	0.999264880437212	-4.67792462086407	1.03661566579255	-0.823529711472424	-1	21.4300238453986
PRPF8	-0.34058382659054	0.0117002317933189	-1.73309494655819	0.135046711630342	0.999264880437212	-4.49557337063466	1.2110138533651	-1.23213697518875	-1	38.2231899141607
EIF3G	-0.328355496924734	0.00518704381147847	-1.37559232975974	0.219290893182077	0.999264880437212	-4.54760904618263	1.33215672828439	-1.25061813893887	-1	49.8882905948697
RBM25	0.29292298652783	0.0152004523227373	1.01636836793945	0.349628525255565	0.999264880437212	-4.59858572448776	0.904615332914571	0.88429374674915	1	8.71943583983445
DDX47	-0.436563771972433	0.00120399437541864	-2.26951421469659	0.0648262532254134	0.999264880437212	-4.42352764343102	1.37622012566083	-1.33147499433099	-1	54.131247244798
ADAR	0.400203037085167	-0.00349616036270983	1.7474780321809	0.13241186692924	0.999264880437212	-4.49351898694356	1.67201368748205	1.89163198053532	1	82.6138276825558
UTP18	0.258954737078929	0.00540635685563875	1.17919823398749	0.284041021221528	0.999264880437212	-4.57600004371543	1.13767571195701	1.17584901119685	1	31.1613069612306
