logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	-0.583139923262447	0.0252551702404718	-2.09274558878132	0.0370110466730209	0.894680932308559	-4.40584533171225	0.637630675406161	-0.543782845120939	-1	77.1900123677403
AKAP8	-0.384388655776852	0.0338109042861991	-1.37947623145766	0.168530398219686	0.894680932308559	-4.547133114135	0.558444385693411	-0.49195022691941	-1	66.494179597196
KHDRBS1	-0.212600217136354	-0.0315831454450575	-0.762969827373346	0.445937954259186	0.894680932308559	-4.62248446952413	0.499114869548539	-0.519499064397773	-1	58.4804364941312
HNRNPUL1	-0.206767577370519	0.00322901199499797	-0.742037919517318	0.458506471908871	0.894680932308559	-4.62428164767369	0.705531744605809	-0.582733275108119	-1	86.3615303632809
SUB1	-0.381995876791482	0.0462579325224309	-1.37088913689115	0.171189907112484	0.894680932308559	-4.54848046348307	0.670312561547308	-0.495825980852045	-1	81.6044127653307
CIRBP	-0.284395910282325	-0.0177823731482063	-1.0206268906801	0.308057513535717	0.894680932308559	-4.59626751159805	0.582822264264784	-0.596882439268879	-1	69.7869429460773
TROVE2	-0.454050179856214	0.0287857750624883	-1.62947428751471	0.1040118518301	0.894680932308559	-4.50421948361271	0.600040789031032	-0.566228532115099	-1	72.1126796629172
SRSF1	-0.43104659561915	-0.00618623817269671	-1.54692008822589	0.122685332814915	0.894680932308559	-4.51917898670356	0.667123844990537	-0.557371766477375	-1	81.1737071574835
DDX24	-0.286016339986496	0.0128095271876536	-1.02644221386422	0.305312937727297	0.894680932308559	-4.59558838625219	0.556991904602885	-0.503078849636076	-1	66.2979903969823
EIF2S2	-0.453968303744124	0.0388958981915599	-1.62918045431007	0.104074050070639	0.894680932308559	-4.50427410752482	0.709610692983572	-0.521081348356642	-1	86.9124811640634
DNAJC21	-0.299694354312582	-0.00425520356379879	-1.07552923912578	0.282796010703028	0.894680932308559	-4.58970215788102	0.631980160386587	-0.573479120774756	-1	76.4267872698597
SF3B4	-0.443702248720794	0.0302657363863106	-1.59233811080517	0.112110682185967	0.894680932308559	-4.51104508651041	0.569170558732537	-0.547900845794945	-1	67.942982837133
RPS19	-0.330124093818327	0.000543265319787586	-1.1847340810137	0.236836741789558	0.894680932308559	-4.57562080079796	0.790600773230125	-0.665310831760544	-1	97.8519551251803
SUCLG1	-0.227776573355547	0.0137137431342655	-0.817434032728734	0.414174460361798	0.894680932308559	-4.61757400211071	0.711708439162864	-0.472778180833157	-1	87.1958274656788
CNOT7	-0.431249066716282	0.0211113746515014	-1.54764670713582	0.1225102031698	0.894680932308559	-4.51905070930697	0.611552729134884	-0.555156562067083	-1	73.667617855652
EFTUD2	-0.444944309677801	0.0178424425091226	-1.59679556172746	0.111112980494724	0.894680932308559	-4.51023412008726	0.568399315332482	-0.568995309659087	-1	67.8388096215132
PUM2	-0.296411993194551	0.0174455563559501	-1.06374965334109	0.288093631955408	0.894680932308559	-4.59113976761744	0.604159284119738	-0.545017809030775	-1	72.6689721081738
DDX6	-0.376782573126967	0.0175368149890347	-1.35217987379379	0.177093398803637	0.894680932308559	-4.55138688707474	0.641937620390975	-0.530137856012549	-1	77.7717590751136
TARDBP	-0.358127037011804	0.0242655376328745	-1.28522974852551	0.199466979634672	0.894680932308559	-4.56146020544776	0.609064889795016	-0.534106601601007	-1	73.3315809781101
PRPF8	-0.295838427825402	0.00849643760088453	-1.06169126846932	0.28902619829075	0.894680932308559	-4.59138935303036	0.636239772763083	-0.555322162475839	-1	77.0021406777742
EIF3G	-0.465825894365938	0.0198063542483595	-1.67173442716884	0.0953706495446466	0.894680932308559	-4.49626068545344	0.761626983210742	-0.673654554122806	-1	93.938413855595
RBM25	-0.291215497309486	0.0193810184154764	-1.04510070922532	0.296617183088786	0.894680932308559	-4.59338335811633	0.557546406557088	-0.509525349074223	-1	66.3728879606213
DDX47	-0.399526277723061	-0.0214019093279362	-1.43380142904546	0.152422049274762	0.894680932308559	-4.53841429854262	0.78014018078343	-0.666232967113119	-1	96.4390243274811
UTP18	-0.220748515304984	0.00387225815488118	-0.792212063015649	0.428713753382474	0.894680932308559	-4.61989007903924	0.507150139323353	-0.449540914532357	-1	59.5657746516504
MSI2	-0.474917677704951	-0.012315216249865	-1.70436259875831	0.0891017408745083	0.894680932308559	-4.48997646753151	0.590344060457905	-0.552894346764941	-1	70.8029253150907
NELFE	-0.349159684452325	-8.05190949339646e-05	-1.25304812836322	0.210931317730502	0.894680932308559	-4.56612025622768	0.598023238162649	-0.527996341599291	-1	71.8401654843572
DDX1	-0.232709137837005	0.00144746242228904	-0.83513579202897	0.404147370225879	0.894680932308559	-4.61590514240204	0.633521490611078	-0.581580075287332	-1	76.6349774803765
ATP5C1	-0.429268027383931	0.0160451288854147	-1.5405372447948	0.124232174128229	0.894680932308559	-4.52030322593429	0.519349911342678	-0.43419667036773	-1	61.2136195226603
KRR1	-0.250516190516192	-0.00683960912691948	-0.899040919181092	0.369179973876079	0.894680932308559	-4.60958287831223	0.719784801507925	-0.627478261270093	-1	88.2867160696336
UPF1	-0.369274819545963	0.0437268117403965	-1.325236394945	0.185860729551894	0.894680932308559	-4.55550229744478	0.610726898365339	-0.541011898609754	-1	73.5560714270991
ASCC1	-0.424938963815851	-0.00261041664585592	-1.52500130166306	0.128061041165751	0.894680932308559	-4.52302021558562	0.635781266220888	-0.540510289501407	-1	76.940209384904
QKI	-0.256911597842314	0.0219146272636659	-0.921992461231793	0.357096728631776	0.894680932308559	-4.6071985099171	0.620826466055914	-0.534177995179961	-1	74.9202379698811
BUD13	-0.429287201030428	-0.00342300046057117	-1.54060605429064	0.124215417525239	0.894680932308559	-4.52029113099053	0.584068021356542	-0.53865500582352	-1	69.955209568677
AGO1	-0.312946695103296	-0.0316788009918067	-1.12308862688924	0.26208372725096	0.894680932308559	-4.58373689498868	0.638605541841825	-0.605880973324399	-1	77.3216893083736
DDX19B	-0.385928873132504	-0.0118047624654293	-1.38500369227491	0.166835029609495	0.894680932308559	-4.54626138272828	0.633271467840564	-0.526936158285072	-1	76.6012064607726
CSTF2T	-0.288253027004084	0.00885377816090247	-1.03446913279537	0.301551414229696	0.894680932308559	-4.59464464754665	0.754349319409468	-0.678446894448566	-1	92.9554068822787
IGF2BP3	-0.207240698881107	0.00772184356992936	-0.74373583611459	0.457479588089207	0.894680932308559	-4.62413773050169	0.742935325250599	-0.601529882373285	-1	91.4136984222652
PA2G4	-0.20165561284609	-0.0267223762817822	-0.72369233763938	0.469684080600847	0.894680932308559	-4.62581566097096	0.546057633961149	-0.494024258943174	-1	64.821079044321
SRP68	-0.214216706105832	0.0378722281742998	-0.768771008231044	0.442489829345721	0.894680932308559	-4.62197754269616	0.535913741433234	-0.513687394886063	-1	63.4509254670474
