logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	-0.246440848967465	0.0384907864941746	-0.780154003438354	0.46267658541138	0.995234082839437	-4.61418481832424	0.416658296744398	-0.41496809641618	-1	49.8297257858913
AKAP8	-0.0868407414602969	0.0289298472847059	-0.262151903407614	0.801292631351323	0.995234082839437	-4.64080151324252	0.402077751423633	-0.37127581204458	-1	45.4118906762874
RPS10	-0.2571440985529	0.0146873252264687	-0.819882658382781	0.441221006245668	0.995234082839437	-4.6113027595206	0.429643700064253	-0.377663577323825	-1	53.7642405407763
KHDRBS1	0.193459748108815	-0.0315240880283724	0.655722064141588	0.534447380232472	0.995234082839437	-4.62255525031615	0.347270468089077	0.346274048728976	1	28.805547411981
HNRNPUL1	-0.153047979978607	0.0133899827743819	-0.469965357843087	0.653691284415613	0.995234082839437	-4.63288936407638	0.472812025319034	-0.463032909051934	-1	66.8440354824489
EIF4G2	-0.0889191750028045	0.0192782382492973	-0.329151064486873	0.752360718018516	0.995234082839437	-4.63870790706394	0.429211674024708	-0.393561913025979	-1	53.6333387285482
SUB1	-0.196503442364344	0.00710736878092942	-0.471884609047435	0.652391526100901	0.995234082839437	-4.63279740712447	0.322131578623421	-0.357410253901355	-1	21.1885848049887
PABPC4	-0.163146259666417	0.0265738935340245	-0.412212893274668	0.693397325325687	0.995234082839437	-4.63550064311941	0.388348345005012	-0.380704913346845	-1	41.2519465606295
HNRNPU	-0.0371776927111474	-0.00472844755015372	-0.106343087953417	0.918507665086782	0.995234082839437	-4.64387864068559	0.321060507438172	-0.327283744474279	-1	20.864055386988
SF3B1	0.314535714004451	-0.00575623880307259	1.18936049938762	0.275803435447523	0.995234082839437	-4.58092959907464	0.476850585122422	0.508652079145204	1	68.067699680127
HNRNPA1	0.0946679198344808	0.00018634270690741	0.363375560869462	0.72781864315433	0.995234082839437	-4.63746674697522	0.559642285403108	0.681567104475726	1	93.1531866929415
CIRBP	-0.0934539170261376	0.00848564051105113	-0.349517640071498	0.737716246313596	0.995234082839437	-4.63798306100507	0.35668997081079	-0.295024549701696	-1	31.6596114352055
TROVE2	-0.172586425371986	0.013598704698065	-0.467900923061936	0.655090824825831	0.995234082839437	-4.63298791105729	0.335256150218159	-0.327875128647577	-1	25.1652668778578
SRSF1	-0.295260170464891	0.0297528317333226	-1.05392577418211	0.32940066917728	0.995234082839437	-4.5926746216654	0.343419005778286	-0.336528893039372	-1	27.6385728547472
DDX24	-0.196498140262141	0.00863524601733307	-0.678027287852996	0.521081264315877	0.995234082839437	-4.62113309262102	0.343886787285146	-0.299974036181431	-1	27.7803084016122
EIF2S2	-0.131598747824926	-0.00699934581284443	-0.374155540300374	0.7201581289335	0.995234082839437	-4.63705229032536	0.29735277466395	-0.256403624746463	-1	13.6807263746019
ESF1	0.288119637310685	-0.0361234209167858	0.821998245969966	0.440098585862531	0.995234082839437	-4.61114667790066	0.43860571421313	0.425110372371226	1	56.4796877266433
TBRG4	-0.26666853438254	0.0115641252228297	-0.971448355152816	0.36597504434707	0.995234082839437	-4.59952281438552	0.395067536319577	-0.381021675478799	-1	43.2878292141646
DNAJC21	-0.0572397907611578	0.00418436154027691	-0.203943851679365	0.844616039770918	0.995234082839437	-4.64224916803398	0.471323546811014	-0.462215060840131	-1	66.3930336530964
