logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	-0.67085616633612	-0.0385305373622828	-3.93604646373808	0.00561312446607127	0.354079728714655	-2.52135015762629	1.17728204287427	-1.21931084478586	-1	97.2595610075189
SUB1	-0.513928539641312	-0.0857564959209159	-2.25467986983205	0.0587289168585128	0.354079728714655	-3.79345947915991	0.727975553028984	-0.700234064359554	-1	60.0201831948368
CIRBP	-0.375670356982166	-0.0389516186237188	-2.12123165650727	0.0715257187802606	0.354079728714655	-3.9112483066276	0.939857717216588	-0.915065235813408	-1	77.5813806007945
TROVE2	-0.494304603573081	-0.0688563378044069	-2.57412643269314	0.0367335792312228	0.354079728714655	-3.51765161153779	0.696614156475948	-0.698054286673464	-1	57.4208909046809
SRSF1	-0.404461069207988	-0.0499508585170186	-2.18196433528124	0.0653866956986218	0.354079728714655	-3.85751824279917	0.762762718189794	-0.787775548330595	-1	62.9034097133358
DDX24	-0.354851555017972	-0.0495598095813085	-2.09559654684319	0.074287004710899	0.354079728714655	-3.93397468659628	0.824129103444265	-0.834668049208244	-1	67.9895726269335
EIF2S2	-0.383597187272192	-0.0626543762442012	-1.90671439776679	0.0981614739261222	0.354079728714655	-4.10175473024153	0.836858712441907	-0.666535740722095	-1	69.0446268707173
TBRG4	-0.36532650014481	-0.0239882515608353	-2.06475235770807	0.0777504972096343	0.354079728714655	-3.96134682906012	0.886563352932459	-0.908700800260348	-1	73.1642421625164
RPS19	-0.350808697542291	-0.0537691734455079	-2.08356458695494	0.0756194238772682	0.354079728714655	-3.944649036258	1.08649267134311	-1.08762455715807	-1	89.7347649401642
EFTUD2	-0.377847279143291	-0.0481923550681228	-2.02359334636722	0.0826231322921755	0.354079728714655	-3.99790608838343	0.796522198875507	-0.795677468138335	-1	65.7014597847872
PUM2	-0.348765154468415	-0.0610943836464455	-1.93853419451166	0.09366789877859	0.354079728714655	-4.07349580376805	0.761717289203901	-0.720730094946065	-1	62.8167625674301
DDX6	-0.403344897158603	-0.0547289848682103	-2.13683116824029	0.0698958355137261	0.354079728714655	-3.89743119835659	0.855716594779279	-0.93423718307009	-1	70.607604083333
TARDBP	-0.544501370322206	-0.0683381372958961	-2.76625716629419	0.0277974845007251	0.354079728714655	-3.35785218733264	0.774523005858008	-0.778343855594463	-1	63.8781247587677
DDX47	-0.379506573469303	-0.0680953086721915	-2.26939485700638	0.0574672465385225	0.354079728714655	-3.78054018485761	1.08199562252726	-1.12958620127487	-1	89.3620409673739
MSI2	-0.435460495632083	-0.0406132383784629	-2.60478672634151	0.0351278379607744	0.354079728714655	-3.49180139431316	0.843942861802299	-0.848417568312666	-1	69.631774665097
PNPT1	-0.3372560809083	-0.0308072413085169	-1.94780383916488	0.0923971163482452	0.354079728714655	-4.06526003833535	0.867597837733129	-0.778613939827575	-1	71.5923441332598
ATP5C1	-0.511402486638469	-0.0358940479398567	-3.09551110666181	0.0173950083130615	0.354079728714655	-3.09754395617371	0.798075132998971	-0.761535547126064	-1	65.8301699232982
UPF1	-0.501789480589885	-0.0393506467262608	-2.50500244984556	0.0406388092546828	0.354079728714655	-3.57637803949896	0.813977446705295	-0.802626870264367	-1	67.1481839773786
ASCC1	-0.78645752459509	-0.0388896691438329	-4.71169911923222	0.00216878748841226	0.354079728714655	-2.10048430764495	1.04020413172918	-0.919089406548665	-1	85.8982825967328
QKI	-0.469796157404904	-0.0581478490697219	-1.84076219997573	0.108153342870822	0.354079728714655	-4.1602283472929	0.649595155438901	-0.647224984759586	-1	53.523866526964
BUD13	-0.452016761707622	-0.0580937261736056	-2.7262733801842	0.0294494655248538	0.354079728714655	-3.39066347544902	0.791945841785608	-0.829509828517643	-1	65.3221625911607
AGO1	-0.321852666191126	-0.0390244208529211	-1.85281593427808	0.106256375051868	0.354079728714655	-4.14955456840454	1.01113077736473	-0.987609231584135	-1	83.4886276019149
DDX19B	-0.3939101018833	-0.046629141531429	-2.29291117874503	0.0555076997531907	0.354079728714655	-3.75992809179764	0.8164005289422	-0.758629121895256	-1	67.3490136491743
CSTF2T	-0.444856784705913	-0.0552277402498549	-2.06013094165169	0.0782830836406239	0.354079728714655	-3.96545016272123	0.957621875103993	-1.02117734067044	-1	79.0537078474385
SRP68	-0.494070111205531	-0.0499310509205563	-2.54605679875559	0.0382703702244571	0.354079728714655	-3.54142603629113	0.668513121747103	-0.598310587060938	-1	55.0918236135428
PHF6	-0.537246750184699	-0.0472050402732791	-3.10814907724323	0.0170892331992095	0.354079728714655	-3.08792305651818	0.788414784575598	-0.679213723563273	-1	65.0295018428883
FUS	-0.308465727646234	-0.0100820378527705	-1.83654311455091	0.108825027199096	0.354079728714655	-4.16396273958404	0.870095902189433	-0.868060444008204	-1	71.7993884742413
DHX30	-0.392777447353213	-0.0550022778940607	-1.86289805934748	0.104694457054083	0.354079728714655	-4.14062158719046	0.726472564351617	-0.670356181211934	-1	59.895612630045
NPM1	-0.428645219338364	-0.0386021411217472	-2.31647897391349	0.0536118792460402	0.354079728714655	-3.73931597739997	0.758189581084821	-0.758496634447686	-1	62.524379398194
UBE2L3	-0.489680893428407	-0.0447263927275283	-2.61821313897729	0.0344477769584796	0.354079728714655	-3.48052128224685	0.784769325429826	-0.769957516381404	-1	64.7273592442429
RBM15	-0.376806990296856	-0.0500026370034565	-2.12362458862183	0.0712732527850244	0.354079728714655	-3.90912814312846	0.773443721878444	-0.736656219129043	-1	63.7886716464925
AUH	-0.399976552327739	-0.0444627032084449	-1.96432338689904	0.0901742008031435	0.354079728714655	-4.05058046497433	0.946425362179317	-0.953539930089677	-1	78.1257195267486
