p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
NOL12	0.000103935223856361	0.00511880977492577	0.870538834144789	-0.744609538373549	-1	91.4382735213653
FKBP4	2.84438040257885e-05	0.00511880977492577	0.917257454816895	-0.907033790482904	-1	96.3454296963722
SAFB2	6.27450398652429e-05	0.00511880977492577	0.800844502508579	0.88030833828869	1	84.1178311595941
NAA15	9.3171667794893e-05	0.00511880977492577	0.952050821411649	-0.994878015993814	-1	100
XRCC6	0.00027753148672066	0.010934740576794	0.846405832780314	0.839168137429238	1	76.1106565121485
CPSF7	0.000486643112684426	0.0159781155331386	1.0511773554668	-0.940950826854694	-1	86.5852379156144
DDX47	0.00119702973644961	0.0175985689108081	0.740415889106429	-0.744303855477513	-1	59.5636801792853
SND1	0.00119702973644961	0.0175985689108081	0.805847105332617	-0.77569121602181	-1	64.8273760215529
PTBP1	0.00114531985850836	0.0175985689108081	0.710611325241911	0.682249747775928	1	57.1660148454799
AARS	0.000956628984694133	0.0175985689108081	0.781799002890979	-0.771156120845691	-1	62.8927964105169
EIF4G1	0.000872462569525594	0.0175985689108081	0.848906652605378	-0.869334054969004	-1	68.2913550367991
PUM1	0.00104744803722336	0.0175985689108081	0.850429093845616	-0.850910446933007	-1	68.4138297222556
RBM17	0.00079456371523578	0.0175985689108081	0.826352776538577	0.928527937589612	1	66.4769803311625
SSRP1	0.00125065971954981	0.0175985689108081	0.809871653403579	0.753070031197957	1	65.1511358134372
ESF1	0.00268752628801826	0.025953210079509	0.802898860279257	-0.746987621948583	-1	58.379250084684
DNAJC21	0.00303737820017102	0.025953210079509	0.899444616092271	-0.805998795939475	-1	65.3991489811183
SUGP2	0.00291691377190657	0.025953210079509	0.949649923128461	-0.888067424979712	-1	69.0496064920739
SF1	0.00280032685809408	0.025953210079509	0.850260596168577	-0.903071759934928	-1	61.8229498589814
DNAJC2	0.00268752628801826	0.025953210079509	1.08498901652501	-1.00700927170285	-1	78.8901918640388
DDX27	0.00280032685809408	0.025953210079509	0.773662198504939	-0.739166584536047	-1	56.2534351485778
BOP1	0.00303737820017102	0.025953210079509	0.947005803692085	-0.669238746468901	-1	68.8573510070228
