p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	4.64043687798076e-20	9.1416606496221e-18	1.12155211189009	-1.05502514982209	-1	100
KRR1	4.34987859267443e-16	4.28463041378431e-14	1.0956416209093	-1.12176683336479	-1	76.6402056898073
EIF3D	1.11322510021454e-14	7.31017815807549e-13	1.18852644190478	-1.12221941206201	-1	75.4752709044153
DDX47	2.05099106927516e-12	1.01011310161802e-10	1.08096634689069	-1.01582156837096	-1	56.5344981101179
RPS19	1.46269029833859e-10	5.76299977545404e-09	1.19202851487697	-1.12367517584444	-1	51.3878317870574
EIF3G	3.45718822123146e-10	1.13511013263766e-08	1.01910666392749	0.939713088194561	1	42.3611113382672
PUF60	2.68270596832616e-09	7.54990108228935e-08	1.27145880657956	-0.913029361751296	-1	47.378209259361
EIF4A3	3.7684631774167e-08	9.27984057438861e-07	1.04846571387021	-1.1110979135491	-1	33.08758332284
RPS3A	1.21543036469436e-07	2.66044202049765e-06	1.28758977757854	-1.22502239508801	-1	37.5546606719995
DDX27	1.86146206489243e-07	3.66708026783809e-06	1.12222558113392	1.19781511409748	1	31.9112463422494
YBX3	8.6808718715824e-07	1.55466523518339e-05	1.3537585234871	-1.07844947335936	-1	34.0533605169719
DKC1	1.01334034107621e-06	1.65774159751202e-05	1.17463170619373	1.37675722803123	1	29.3742724242216
RTF1	1.09394115571859e-06	1.65774159751202e-05	1.19672866703609	-1.14865068212068	-1	29.9271145204597
FKBP4	1.71231774374098e-06	2.4094756822641e-05	1.09130720822675	-0.987771204683041	-1	26.3620168986795
ESF1	3.54640324192091e-06	4.65760959105612e-05	1.07498521837423	-1.14191920769877	-1	24.3571438563326
SF3B4	4.09677646759282e-06	5.04415602572366e-05	1.00793783764572	-0.996271147222616	-1	22.6544665074578
GRSF1	5.06687958684059e-06	5.87161928592704e-05	1.04966653984173	1.0880201691545	1	23.2305302097708
NELFE	5.43335053094749e-06	5.94650030331475e-05	1.04637767041673	1.14601623492999	1	23.1275610574866
SND1	6.23846586675151e-06	6.14488887875024e-05	1.18394652925469	-1.13026057328921	-1	26.0816709744697
TRIM56	6.23846586675151e-06	6.14488887875024e-05	1.13266848549266	-1.06104146278061	-1	24.9514494540725
CIRBP	7.14898302651515e-06	6.70642693439754e-05	1.0631481320917	-1.0122843078013	-1	23.2078418142543
HNRNPA1	1.12145025089916e-05	9.60546519248409e-05	1.01890391505973	0.968071763934938	1	21.4094335387529
MAGOH	1.12145025089916e-05	9.60546519248409e-05	1.11266353526276	-1.17133052304366	-1	23.380796086181
HSPD1	1.68040834252262e-05	0.000137933518115398	1.05054676358287	1.01029092610054	1	21.2107136651339
DNAJC21	1.79447096637591e-05	0.000141404312150422	1.01671008914092	1.13994190259019	1	20.4696741153671
AUH	1.91535739383788e-05	0.000145125156379255	1.07002628320598	1.1331813480388	1	21.4806541773271
NAA15	2.32254037043158e-05	0.000169459427027785	1.00965699586723	-1.12293731053209	-1	19.912230958472
NOL12	2.63494745462137e-05	0.000178994706400141	1.09616475392409	1.21658565151656	1	21.4831051663522
SSRP1	2.63494745462137e-05	0.000178994706400141	0.92083690100793	0.984435387394338	1	18.0447566446833
RBM17	5.37638161309516e-05	0.000353049059259916	0.961945957434994	1.04638604528956	1	17.365823717112
LARP4	6.45519651326997e-05	0.000410217326811027	1.17315778605228	-1.22359146401368	-1	20.7816229589352
XRCC6	6.85468727443232e-05	0.00042199168533224	1.06887853555097	1.14135435592475	1	18.8644213362171
IGF2BP3	7.2756528892557e-05	0.000434334430055568	0.975868425892069	-1.04050765899662	-1	17.1577639577028
SNRNP200	9.19417205571206e-05	0.000532721145580963	0.944048598038747	-0.928784362027739	-1	16.1597355319126
PCBP1	9.7377542049737e-05	0.000548096450965663	0.975484279117271	-0.823679576460986	-1	16.635207072629
