p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
DDX47	9.39989359745237e-12	1.85177903869812e-09	1.37622012566083	-1.33147499433099	-1	100
RPS19	2.05511010466634e-10	2.02428345309635e-08	1.52912385959791	-1.40328619316592	-1	97.8943130635169
AKAP1	1.16966667166137e-09	7.68081114390966e-08	1.43484030245803	-1.2022916519859	-1	84.943769187242
XRCC6	2.15381867526009e-08	1.0607556975656e-06	1.5245610823544	-1.33517938723418	-1	75.7906950361247
PABPC1	3.6389981294633e-08	1.43376526300854e-06	1.65363341815367	-1.4831487461946	-1	80.4066214555897
NOL12	5.07323107097027e-08	1.66571086830191e-06	1.61132191416056	-1.37615957416641	-1	77.4761141938785
DDX27	6.59959489375419e-08	1.85731456295654e-06	1.55987450691793	-1.42879590590217	-1	74.388641202711
EIF4G2	1.4965194128723e-07	3.27571471484271e-06	1.39538431034305	-1.36864304301517	-1	63.6830817933195
NUFIP2	1.4965194128723e-07	3.27571471484271e-06	1.84461214822763	-1.61812544628745	-1	84.1851258117226
SAFB2	2.57083015727484e-07	5.06453540983143e-06	1.49907004374009	1.8199767041201	1	66.0546656065069
EIF3G	4.2992926425683e-07	7.69964227805413e-06	1.33215672828439	-1.25061813893887	-1	56.6831388011533
EIF3D	7.3750647656284e-07	1.210739799024e-05	1.41746573042098	-1.27011202027408	-1	57.9944055461289
HNRNPM	1.6284781484185e-06	2.46777073260342e-05	1.78478613898632	-1.70798237876382	-1	68.4301960330469
APOBEC3C	2.0549377362482e-06	2.89159095743497e-05	1.54841742615248	-1.38312824143806	-1	58.4807527579307
DAZAP1	2.51834789036184e-06	3.30743022934189e-05	1.69032870020997	1.76266592006361	1	63.019707934688
PUM1	4.01419076334092e-06	4.70553356686939e-05	1.71695272636606	-1.57668509025313	-1	61.8247429312962
RPS3A	4.29947229460147e-06	4.70553356686939e-05	1.56195531446688	-1.36058118727132	-1	56.2435286058768
MAGOH	4.29947229460147e-06	4.70553356686939e-05	1.51539693465087	-1.28131396423915	-1	54.5670341843672
EIF4A3	6.66064965718358e-06	6.90604201297455e-05	1.51621282613007	-1.36445534515645	-1	52.4942506484533
