p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
HNRNPA1	1.94585954763917e-06	0.000383334330884916	0.930375770072451	-0.714918999194148	-1	100
AKAP8L	1.72528090091188e-05	0.0016994016873982	0.684089452615348	-0.679245091499837	-1	59.5995918563415
NUFIP2	0.000154924600847376	0.010173382122311	0.824582987520274	-0.61241318009375	-1	51.6784631845241
RPS19	0.000483655021268402	0.0238200097974688	0.790600773230125	-0.665310831760544	-1	40.3554463625062
APOBEC3C	0.00115194986354911	0.0453868246238351	0.83396258852926	-0.717386667541561	-1	35.2222629966641
EIF3D	0.00313561777120186	0.0916645449955222	0.763820700415511	-0.708575656611342	-1	24.9201190017685
SAFB2	0.00351749166660731	0.0916645449955222	0.816999717620639	-0.656965856070451	-1	26.6568445869682
EIF4A3	0.00372241807088415	0.0916645449955222	0.790904805386513	-0.69942171686869	-1	25.8046343713161
EIF4G2	0.00604955923429382	0.0920454419008717	0.795924297745512	-0.607030641870252	-1	25.9234549423083
SF3B1	0.00709612637352923	0.0920454419008717	0.816197584005036	-0.658092241264612	-1	26.5843929983947
EIF3G	0.00464342205101543	0.0920454419008717	0.761626983210742	-0.673654554122806	-1	24.8053135562788
SND1	0.00545065573659324	0.0920454419008717	0.803402495527317	0.99015162108712	1	26.1672548591873
HNRNPM	0.00513188579313115	0.0920454419008717	0.79227975940521	-0.62406351378606	-1	25.8046377927285
HNRNPAB	0.00709612637352923	0.0920454419008717	0.938602279905008	-0.752852822903036	-1	30.5749607202892
MAGOH	0.00638348648296642	0.0920454419008717	0.753694000180506	-0.627679102800652	-1	24.5466869914559
RBM17	0.00747577193103527	0.0920454419008717	0.777234275189561	-0.640084996665063	-1	25.3141335418106
NOL12	0.0122433513428502	0.141878836149499	0.770920745297839	-0.607189208616296	-1	20.5495117122876
PNPT1	0.0144586219108034	0.158241584246015	0.708459731587434	-0.557048577666622	-1	17.8257381419869
KRR1	0.0198999807724205	0.170650699089192	0.719784801507925	-0.627478261270093	-1	17.3684310699986
SF1	0.0174038032383139	0.170650699089192	0.909253124246317	-0.633971489655973	-1	21.9468393941432
DDX27	0.0174038032383139	0.170650699089192	0.765775235773282	-0.612880158542256	-1	18.4797671710854
PUM1	0.0207899328839624	0.170650699089192	0.751988620271883	-0.602287154487226	-1	18.1466204251751
MATR3	0.0207899328839624	0.170650699089192	0.650007087195502	-0.643827572945219	-1	15.6822871097289
DAZAP1	0.0190393702519223	0.170650699089192	0.763961407033278	0.890754209736477	1	18.4359368965478
DDX47	0.0236417248164078	0.186296791553294	0.78014018078343	-0.666232967113119	-1	17.8916023986046
FKBP4	0.0257003614655208	0.194729661873369	0.705759858671191	0.717225073735985	1	15.756398820322
IGF2BP3	0.0387701379742787	0.246377973578481	0.742935325250599	-0.601529882373285	-1	14.1990215210029
EIF4G1	0.0344474936138941	0.246377973578481	0.776484787558055	0.810073033758959	1	14.8413412146968
XRCC5	0.0372881884558082	0.246377973578481	0.806503761564227	-0.694642623756262	-1	15.4160681063514
BOP1	0.0372881884558082	0.246377973578481	0.667443450970319	-0.491387672878825	-1	12.753695300281
RTF1	0.0387701379742787	0.246377973578481	0.823418375204167	-0.699775608009839	-1	15.7399060669301
PABPC1	0.0478651648440799	0.277336396302463	0.767513011952691	-0.629149973997632	-1	13.4280093052893
CSTF2T	0.0451211362926579	0.277336396302463	0.754349319409468	-0.678446894448566	-1	13.1972786073747
SSRP1	0.0468172320984351	0.277336396302463	0.727995858468163	-0.703319094935725	-1	12.7353601589237
SLTM	0.0597427088094587	0.336266103870382	0.686553669915256	-0.593140884992595	-1	10.2011527391423
UTP3	0.0618997676390491	0.338729284024796	0.673250470917325	-0.608202590611962	-1	9.93585336013393
GRWD1	0.0784652475548664	0.406780362323913	0.790822995277779	-0.586150809620524	-1	9.69669966123262
NAA15	0.0784652475548664	0.406780362323913	0.724195927371078	-0.592169661487543	-1	8.87765940939732
SMN1	0.084305934672073	0.41520672825996	0.766430380345155	-0.582874042717682	-1	9.18208257858398
NONO	0.0836772053130504	0.41520672825996	0.720469467175491	-0.599651262580491	-1	8.62996809307248
RPS3A	0.096007454624914	0.461304111246538	0.690811225616741	-0.687243434237999	-1	7.27972701432972
HSPD1	0.115331777009896	0.490168477122843	0.692049154926296	-0.556751372227295	-1	6.71879530775338
ASCC1	0.122242362217218	0.490168477122843	0.635781266220888	-0.540510289501407	-1	6.17049814856413
YBX3	0.111963998427344	0.490168477122843	0.737849026514125	0.911874938504993	1	7.16508785685387
NPM1	0.111963998427344	0.490168477122843	0.799673801846829	-0.682940737743964	-1	7.76753357611502
AUH	0.122242362217218	0.490168477122843	0.667711144257293	-0.582851532919972	-1	6.48163584758601
DKC1	0.118757977439487	0.490168477122843	0.649129898264338	-0.514877199084713	-1	6.3005726403725
SUPT6H	0.125784661368686	0.490168477122843	0.686092895447686	0.729876500723461	1	6.66075509642407
DDX52	0.129384572641563	0.490168477122843	0.745056536704411	0.831386062859738	1	7.23532076327855
CELF1	0.115331777009896	0.490168477122843	0.680943056522499	-0.567749274020295	-1	6.61057297447268
SUPV3L1	0.129384572641563	0.490168477122843	0.642229504428889	-0.528281640191064	-1	6.23333240043614
PRPF6	0.129384572641563	0.490168477122843	0.736121791697637	-0.610067143928995	-1	7.14825697933346
EEF2	0.133041761736187	0.494513718151488	0.73586423216619	-0.603466281831781	-1	7.05698862032446
KIF1C	0.136755862568526	0.498905646777772	0.61402897419037	-0.538899721093117	-1	5.81027149504209
PUF60	0.140294166380195	0.502508195943606	0.687233640961774	-0.625204660025247	-1	6.43835514393596
ABCF1	0.148235504289362	0.521471327589364	0.701920788434836	-0.656802265557416	-1	6.22113837619015
SERBP1	0.152545275325212	0.527217881387136	0.640635642662968	-0.569255577534837	-1	5.57984531680373
CSTF2	0.161011500334804	0.546883889068215	0.671000352303089	-0.579788651986553	-1	5.50965233137417
LSM11	0.165332253310612	0.552041591562552	0.692487473434251	-0.494055467334333	-1	5.59804255641134
DNAJC2	0.178636134168366	0.586521973852801	0.675184151179351	0.675007206802935	1	4.89847858794975
SUGP2	0.187781974120193	0.587191252407588	0.661252638952309	0.677444931109518	1	4.78658678672187
FUS	0.187781974120193	0.587191252407588	0.591675457644999	-0.50747641988123	-1	4.28033003141528
FXR1	0.187781974120193	0.587191252407588	0.666966612125209	-0.546926052245377	-1	4.82816273826329
XRCC6	0.192435277267207	0.592339837838122	0.697033346449431	-0.578896167822271	-1	4.96377160473483
SRSF1	0.211562508986768	0.612909033388138	0.667123844990537	-0.557371766477375	-1	4.43848297158348
DDX19B	0.206705555548588	0.612909033388138	0.633271467840564	-0.526936158285072	-1	4.21199853390444
PPIL4	0.206705555548588	0.612909033388138	0.743528555177042	-0.626007138344481	-1	4.94965764466354
TUFM	0.211562508986768	0.612909033388138	0.78848757245424	-0.656388106187548	-1	5.25044945321269
SUCLG1	0.30344907812594	0.756702131529243	0.711708439162864	-0.472778180833157	-1	2.68684304592828
DDX6	0.274680546192408	0.756702131529243	0.641937620390975	-0.530137856012549	-1	2.42101165737454
ILF2	0.291843661444513	0.756702131529243	0.675258167098401	0.716319855410972	1	2.54796512236918
RRP9	0.280366898906864	0.756702131529243	0.641544711689052	-0.595945090228746	-1	2.41951464949007
PHF6	0.291843661444513	0.756702131529243	0.644854425186394	-0.488697572573932	-1	2.43212487465584
XPO5	0.297631049515851	0.756702131529243	0.642282017063301	-0.518402794976165	-1	2.42232383124936
HNRNPA0	0.286088439202669	0.756702131529243	0.708388832957311	-0.654289517682693	-1	2.67419512889639
TAF15	0.30344907812594	0.756702131529243	0.746608763531246	0.900495882665886	1	2.81981556726497
MTPAP	0.274680546192408	0.756702131529243	0.762430151250842	-0.546403737686508	-1	2.88009609056079
EWSR1	0.30344907812594	0.756702131529243	0.70603516058852	-0.501555542519338	-1	2.665227483038
U2AF2	0.286088439202669	0.756702131529243	0.579881183357852	-0.59101980974362	-1	2.18457256843182
TROVE2	0.321071643796971	0.790638922850042	0.600040789031032	-0.566228532115099	-1	1.90161006144373
U2AF1	0.362702535411976	0.88212838859456	0.630322804111014	-0.529291321345914	-1	1.05558551179034
AKAP8	0.426844939394685	0.886297287934077	0.558444385693411	-0.49195022691941	-1	0.896399223580729
SUB1	0.446098331661404	0.886297287934077	0.670312561547308	-0.495825980852045	-1	1.08093738301219
DDX24	0.458895042483634	0.886297287934077	0.556991904602885	-0.503078849636076	-1	0.894003205365463
EIF2S2	0.38187931963394	0.886297287934077	0.709610692983572	-0.521081348356642	-1	1.14576372695665
ESF1	0.39470984200539	0.886297287934077	0.709301069557523	-0.580520367820021	-1	1.14525297100015
CNOT7	0.426844939394685	0.886297287934077	0.611552729134884	-0.555156562067083	-1	0.984006944671517
TARDBP	0.433268367006095	0.886297287934077	0.609064889795016	-0.534106601601007	-1	0.979902995632964
ADAR	0.44351587722621	0.886297287934077	0.746725155560175	0.951932924970397	1	1.20698788261929
ATP5C1	0.458895042483634	0.886297287934077	0.519349911342678	-0.43419667036773	-1	0.831908833122884
DHX30	0.458895042483634	0.886297287934077	0.646190772452632	-0.537474409977414	-1	1.04114598990376
SF3A3	0.458895042483634	0.886297287934077	0.532849659929692	-0.540993689752707	-1	0.854178068658545
AARS	0.413989431719516	0.886297287934077	0.626144568021687	-0.600159381209613	-1	1.00807769643212
PUS1	0.433268367006095	0.886297287934077	0.558493372024137	-0.518153130066799	-1	0.896480031614296
EIF4B	0.458895042483634	0.886297287934077	0.614150504536733	-0.545969846364319	-1	0.988292244647264
HNRNPA2B1	0.433268367006095	0.886297287934077	0.542451242542791	-0.500275514993521	-1	0.870016875088753
SRFBP1	0.446098331661404	0.886297287934077	0.650875803189191	-0.522093433876663	-1	1.04887443405157
NSUN2	0.452501637489346	0.886297287934077	0.597602021387451	-0.501937112475738	-1	0.960993805225677
SNRNP200	0.446098331661404	0.886297287934077	0.659275621047908	-0.608686106563001	-1	1.06273080486816
RBM22	0.439686706642714	0.886297287934077	0.669871711494236	-0.557924260962831	-1	1.08021015512313
SART3	0.39470984200539	0.886297287934077	0.718329408486289	0.753379301263735	1	1.1601461525142
HLTF	0.426844939394685	0.886297287934077	0.567512358123608	-0.495658684632901	-1	0.911357784666317
DDX3X	0.536666359956381	0.93301113780054	0.637630675406161	-0.543782845120939	-1	0.579418996646481
PABPC4	0.581087425323411	0.93301113780054	0.592840923735839	-0.512724378733525	-1	0.536975323005072
TBRG4	0.549542581268644	0.93301113780054	0.608515710549778	-0.554710698580331	-1	0.551829067692617
DNAJC21	0.549542581268644	0.93301113780054	0.631980160386587	-0.573479120774756	-1	0.574064454447588
STIP1	0.549542581268644	0.93301113780054	0.740263504280758	-0.534277869316858	-1	0.676675938942376
EFTUD2	0.587276046128259	0.93301113780054	0.568399315332482	-0.568995309659087	-1	0.513813961049351
PUM2	0.530178089669547	0.93301113780054	0.604159284119738	-0.545017809030775	-1	0.547700829987696
PRPF8	0.543121642605791	0.93301113780054	0.636239772763083	-0.555322162475839	-1	0.578100949199281
RBM25	0.562276199537483	0.93301113780054	0.557546406557088	-0.509525349074223	-1	0.503529525415205
CPSF6	0.587276046128259	0.93301113780054	0.582346846053202	-0.537905637866999	-1	0.527030922964459
GEMIN5	0.568586365259126	0.93301113780054	0.550948722740075	-0.439607260211947	-1	0.497277426926701
BCLAF1	0.562276199537483	0.93301113780054	0.595287946544994	-0.514778619564389	-1	0.539294171260122
PTBP1	0.574857159462087	0.93301113780054	0.583622491716948	-0.558799040224754	-1	0.528239750569323
HNRNPL	0.543121642605791	0.93301113780054	0.722328808465569	-0.599495939158912	-1	0.65968065882471
LIN28B	0.530178089669547	0.93301113780054	0.593582000685019	-0.550001251082635	-1	0.537677582495271
BCCIP	0.490636606110664	0.93301113780054	0.625543616480515	-0.590634248867089	-1	0.567965055394458
STAU1	0.574857159462087	0.93301113780054	0.586742629653483	-0.574690474759759	-1	0.531196456319094
UPF2	0.497292135800191	0.93301113780054	0.632549312174241	0.669679040191759	1	0.574603794181048
ZRANB2	0.510529505548638	0.93301113780054	0.566045425524242	-0.538647695181149	-1	0.511583367507682
SSB	0.543121642605791	0.93301113780054	0.546274079898118	-0.54437878959279	-1	0.492847640920416
RAVER1	0.549542581268644	0.93301113780054	0.623608237413397	-0.57129588321068	-1	0.566131051086914
SRSF5	0.574857159462087	0.93301113780054	0.61111890481898	-0.512255948210394	-1	0.554295907178588
CIRBP	0.593421945238906	0.935232985696515	0.582822264264784	-0.596882439268879	-1	0.508535804366528
