p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	1	1	0.416658296744398	-0.41496809641618	-1	0
AKAP8	1	1	0.402077751423633	-0.37127581204458	-1	0
RPS10	1	1	0.429643700064253	-0.377663577323825	-1	0
KHDRBS1	1	1	0.347270468089077	0.346274048728976	1	0
HNRNPUL1	1	1	0.472812025319034	-0.463032909051934	-1	0
EIF4G2	1	1	0.429211674024708	-0.393561913025979	-1	0
SUB1	1	1	0.322131578623421	-0.357410253901355	-1	0
PABPC4	1	1	0.388348345005012	-0.380704913346845	-1	0
HNRNPU	1	1	0.321060507438172	-0.327283744474279	-1	0
SF3B1	1	1	0.476850585122422	0.508652079145204	1	0
HNRNPA1	1	1	0.559642285403108	0.681567104475726	1	0
CIRBP	1	1	0.35668997081079	-0.295024549701696	-1	0
TROVE2	1	1	0.335256150218159	-0.327875128647577	-1	0
SRSF1	1	1	0.343419005778286	-0.336528893039372	-1	0
DDX24	1	1	0.343886787285146	-0.299974036181431	-1	0
EIF2S2	1	1	0.29735277466395	-0.256403624746463	-1	0
ESF1	1	1	0.43860571421313	0.425110372371226	1	0
TBRG4	1	1	0.395067536319577	-0.381021675478799	-1	0
DNAJC21	1	1	0.471323546811014	-0.462215060840131	-1	0
SF3B4	1	1	0.331093985061466	-0.34242422436241	-1	0
STIP1	1	1	0.51489690524409	-0.487589276293322	-1	0
RPS19	1	1	0.435674428112425	-0.439069000275189	-1	0
SUCLG1	1	1	0.361893229232179	-0.324386994832144	-1	0
SLBP	1	1	0.360243734791955	-0.28561704427283	-1	0
CNOT7	1	1	0.354771045251269	-0.311302927862228	-1	0
EFTUD2	1	1	0.292450193248885	0.344028079739411	1	0
PUM2	1	1	0.396613655715425	-0.379023399645163	-1	0
DDX6	1	1	0.394445646012473	-0.376085770366276	-1	0
ILF2	1	1	0.463615840466719	0.534799930012997	1	0
SMN1	1	1	0.421584565546863	-0.481664695387323	-1	0
TARDBP	1	1	0.297760295206399	-0.279402226492577	-1	0
PRPF8	1	1	0.411424168743531	-0.43073130290599	-1	0
EIF3G	1	1	0.464252297972958	-0.463232372075436	-1	0
RBM25	1	1	0.253416025188376	-0.263707957040557	-1	0
DDX47	1	1	0.428246041284172	-0.425264104359759	-1	0
ADAR	1	1	0.538054376556477	0.605865122215619	1	0
UTP18	1	1	0.455660966601051	-0.43218928612468	-1	0
MSI2	1	1	0.352621397133817	-0.326392634753138	-1	0
EEF2	1	1	0.415762391836894	-0.3664185896251	-1	0
GTF2F1	1	1	0.533251371563835	-0.486247809523801	-1	0
PNPT1	1	1	0.458783973395883	-0.438079707392828	-1	0
SUGP2	1	1	0.582239387660131	0.593577314412842	1	0
PABPC1	1	1	0.435362887099579	-0.36533482424913	-1	0
NELFE	1	1	0.360643428466801	-0.383319035867176	-1	0
DDX28	1	1	0.388503954218568	-0.407281498365601	-1	0
DDX1	1	1	0.443686361390198	-0.461410127824831	-1	0
RRP9	1	1	0.448512273067438	-0.331697283539213	-1	0
SBDS	1	1	0.432462838484336	-0.371394975281087	-1	0
HSPD1	1	1	0.43377356686787	-0.449072988152774	-1	0
CPSF7	1	1	0.536859212102611	0.587163623999633	1	0
NOL12	1	1	0.493641672023451	-0.489713033961334	-1	0
ATP5C1	1	1	0.323536292985371	-0.290405992888639	-1	0
XRCC6	1	1	0.452959232208767	-0.4400602065975	-1	0
SND1	1	1	0.353963083496828	0.414673088621728	1	0
SLTM	1	1	0.38870923886232	-0.343591711114281	-1	0
KRR1	1	1	0.445584930728073	-0.379406674194095	-1	0
G3BP2	1	1	0.273398817915186	-0.298343467974428	-1	0
UPF1	1	1	0.297995436500913	-0.27944507568665	-1	0
ASCC1	1	1	0.360319559726108	-0.314281067769845	-1	0
QKI	1	1	0.303854147634201	-0.293843591138762	-1	0
BUD13	1	1	0.316817073492065	0.30400894250111	1	0
AGO1	1	1	0.427783398271627	-0.410407940133304	-1	0
ILF3	1	1	0.335031442908454	0.381385078857497	1	0
DDX19B	1	1	0.322828874134554	-0.291782325778768	-1	0
CSTF2T	1	1	0.40016099783733	-0.402580237983442	-1	0
TRIM56	1	1	0.367643712382743	-0.36129822668274	-1	0
IGF2BP3	1	1	0.339242162784101	-0.30758115141708	-1	0
YBX3	1	1	0.495143556252863	0.526805658119753	1	0
PARN	1	1	0.463986617157516	-0.467497751097192	-1	0
PA2G4	1	1	0.403030060590767	-0.393765621241232	-1	0
RECQL	1	1	0.355512720384191	-0.369662717357651	-1	0
SRP68	1	1	0.320661227820022	-0.321210127535091	-1	0
PHF6	1	1	0.428409812467882	-0.408863268919564	-1	0
FUS	1	1	0.385237433340766	0.439239068830676	1	0
RBFOX2	1	1	0.406715142036561	-0.433082857579679	-1	0
AKAP1	1	1	0.389959577263246	-0.282340588223607	-1	0
U2AF1	1	1	0.348236035175978	-0.334884679063423	-1	0
DHX30	1	1	0.355463018832632	-0.35102579247038	-1	0
NPM1	1	1	0.435326519505524	-0.449658482912484	-1	0
NCBP2	1	1	0.496441219091815	0.513028315203309	1	0
UBE2L3	1	1	0.406855903484764	-0.42879894546052	-1	0
FUBP3	1	1	0.42023849249802	0.479997135564663	1	0
FKBP4	1	1	0.440336123289807	0.472533632892039	1	0
CPSF6	1	1	0.273769343367741	-0.278637494666211	-1	0
RBM15	1	1	0.322711664250426	-0.290073035955297	-1	0
CCAR1	1	1	0.311917713784862	-0.334476554578716	-1	0
AUH	1	1	0.47337850398189	-0.481066331453684	-1	0
GEMIN5	1	1	0.286377116696632	-0.270289877477278	-1	0
NONO	1	1	0.369295751305731	-0.392941749602447	-1	0
SMNDC1	1	1	0.264689877080384	-0.217202310961511	-1	0
BCLAF1	1	1	0.308548389869866	-0.273748055361521	-1	0
ZC3H8	1	1	0.286657967157139	-0.234433582678008	-1	0
XPO5	1	1	0.33586233644466	0.357199255874481	1	0
SF3A3	1	1	0.346820403426401	0.380918122411106	1	0
FAM120A	1	1	0.380554237368949	0.404065808541224	1	0
DKC1	1	1	0.440848132812568	-0.36468705720276	-1	0
FIP1L1	1	1	0.375579774906937	-0.33989813173812	-1	0
PTBP1	1	1	0.410920439842562	-0.452216069726565	-1	0
GRWD1	1	1	0.411518075307828	-0.336037292471331	-1	0
HNRNPK	1	1	0.372199486178234	0.420765625797299	1	0
PPIG	1	1	0.363931766322035	-0.398498992563664	-1	0
SUPT6H	1	1	0.42302037290322	0.495617472111107	1	0
SFPQ	1	1	0.381268708840825	-0.364994985022692	-1	0
PCBP1	1	1	0.411140878607886	0.477222903416297	1	0
EIF2S1	1	1	0.296586255566933	-0.27979900571306	-1	0
HNRNPA0	1	1	0.483697406201923	-0.499140747055155	-1	0
FMR1	1	1	0.378027023366418	-0.365840951314347	-1	0
PPIL4	1	1	0.383433948068051	0.43085370154024	1	0
PUF60	1	1	0.421543004033507	0.423517334731733	1	0
RBM34	1	1	0.325746669984085	-0.309115032509432	-1	0
DDX52	1	1	0.540767199369317	0.60048056443306	1	0
KHSRP	1	1	0.357819971465284	0.412194854778248	1	0
SF1	1	1	0.580204148318914	-0.499743864907771	-1	0
HNRNPL	1	1	0.369787152718038	-0.374492940854435	-1	0
DNAJC2	1	1	0.536521086125506	0.596414633383433	1	0
DDX27	1	1	0.47657114681616	0.515650790143221	1	0
LIN28B	1	1	0.377614231113398	-0.374356379332029	-1	0
AARS	1	1	0.360417369383922	-0.37013728135641	-1	0
TUFM	1	1	0.454350279751422	-0.398591629295061	-1	0
CELF1	1	1	0.416623513254129	0.525671030771021	1	0
BCCIP	1	1	0.370280103721014	-0.366767892661704	-1	0
FASTKD2	1	1	0.373501185747147	0.352468984449832	1	0
PSIP1	1	1	0.370806229318561	-0.388231370572546	-1	0
TAF15	1	1	0.391858167815394	-0.409885838624458	-1	0
PUS1	1	1	0.356747635363028	-0.32764167786777	-1	0
MTPAP	1	1	0.371632765825937	-0.313708495912105	-1	0
