p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	3.75887957775893e-15	7.40499276818509e-13	1.17728204287427	-1.21931084478586	-1	100
EIF3D	2.93062119930345e-12	2.8866618813139e-10	1.2443494083757	-1.46780430446803	-1	83.1204660733179
EIF4A3	7.77717375548237e-11	5.10701076610009e-09	1.28237024286332	-1.27386850533375	-1	74.4551700714253
KRR1	5.62429977668788e-09	2.21597411201503e-07	1.23712327014864	-1.30528454722191	-1	57.6424900623252
MAGOH	5.40155684698560e-09	2.21597411201503e-07	1.21333004613759	-1.13660892125519	-1	56.5337298981304
HNRNPA1	1.80816862597304e-08	5.19060924968061e-07	1.31424584083946	1.4369875969847	1	57.8343070393703
ASCC1	1.84437892120631e-08	5.19060924968061e-07	1.04020413172918	-0.919089406548665	-1	45.7733998707856
DDX47	1.0223759835956e-07	2.51760085960417e-06	1.08199562252726	-1.12958620127487	-1	42.4166097982272
YBX3	1.19227630827007e-07	2.60976036365783e-06	1.32995061163156	1.37929158598097	1	51.9932335692063
XRCC5	3.79035721516812e-06	6.78818519443745e-05	0.975796062121131	-0.975051828331782	-1	28.475745676537
DAZAP1	3.79035721516812e-06	6.78818519443745e-05	1.12750466973597	1.28020050184523	1	32.9040423657869
EEF2	6.01595009527092e-06	9.87618473973642e-05	1.06494306038577	-0.852690648101914	-1	29.863537620261
FKBP4	2.1729468694819e-05	0.000329285025606103	1.31332549343148	1.36821684378746	1	32.0205964584065
EIF3G	3.27017989732287e-05	0.000429483626515071	1.09372255136308	-1.2037275745239	-1	25.7815069524386
RPS3A	3.24097540178337e-05	0.000429483626515071	1.17481328805672	-1.13807291458568	-1	27.6935354516716
RPS19	3.60244917663418e-05	0.000443551554873084	1.08649267134311	-1.08762455715807	-1	25.5045343520005
SF3B4	0.000146093478465736	0.00151475869777632	0.911355575836089	-1.00799037181535	-1	17.9879783032803
EIF4G1	0.000132912569133847	0.00151475869777632	1.01603646433088	1.11385274691253	1	20.0549604432505
U2AF2	0.000146093478465736	0.00151475869777632	0.935034845103277	-0.990055969256991	-1	18.4555385940517
DKC1	0.000160430441124676	0.00158023984507806	1.045665596776	1.18734324905868	1	20.5054177698404
RTF1	0.000176010535035314	0.00165114644771223	1.07673983274453	-0.976831682680813	-1	20.9712601955483
DDX27	0.000312303078680313	0.00279653211363735	1.08463826644438	1.08103357367867	1	19.387031208601
FUS	0.000766184367185495	0.00656253566676272	0.870095902189433	-0.868060444008204	-1	13.2936172168595
XRCC6	0.00083140337697572	0.00682443605267571	1.02829295817323	-0.976538519447659	-1	15.5895408684393
AKAP1	0.0012352206034574	0.00935917149542719	0.893410697360701	0.936119074753448	1	12.6855006325751
SNRNP200	0.0012352206034574	0.00935917149542719	0.948909711228454	-0.92929735045358	-1	13.4739786831862
SLBP	0.00133373097886099	0.00973129640131906	0.952139880381272	-0.811591440916241	-1	13.4069643367783
NAA15	0.00239541573910365	0.0168534607358364	1.16735507474524	-1.13067038410727	-1	14.4891845546684
SART3	0.00296722088316245	0.020156638413207	1.05749442049345	1.10524603752261	1	12.5492970586643
FXR1	0.00342150854814051	0.0224679061327894	0.939169463652278	-0.844145916631216	-1	10.8342615568244
IGF2BP3	0.00393303066075649	0.0244045143910684	0.839532271327676	-0.943475914573406	-1	9.47297424251748
SUPT6H	0.00421194664617424	0.0244045143910684	1.14926147790397	1.24126105182873	1	12.9705169796824
PUM1	0.00421194664617424	0.0244045143910684	1.06406119746403	1.31741092384711	1	12.0084132589804
GRSF1	0.00421194664617424	0.0244045143910684	1.00800034659457	-1.056698059644	-1	11.3753595538903
GRWD1	0.00481964004250652	0.027127688239251	1.1549823414427	-1.05825629466004	-1	12.6635283267412
TRIM56	0.00514989485781133	0.0281813690830231	0.955900394149674	-0.967814907466881	-1	10.3687124045971
EFTUD2	0.00549877110547667	0.0292772407507812	0.796522198875507	-0.795677468138335	-1	8.54630441693448
SF1	0.00636418273420609	0.0329932631220684	1.00045249514181	-0.909218583080672	-1	10.3726569795986
PRPF8	0.00679220807036112	0.0343093587143882	0.86333733520818	-0.83924245332187	-1	8.84735715943271
PNPT1	0.00952767499199525	0.0469237993355766	0.867597837733129	-0.778613939827575	-1	8.06488581241876
NOL12	0.0104972401754216	0.0469990071490465	0.919477899656814	1.03073416318225	1	8.54309941091805
CSTF2T	0.00988518273828547	0.0469990071490465	0.957621875103993	-1.02117734067044	-1	8.89780508748088
NONO	0.0104972401754216	0.0469990071490465	0.977305548162995	-1.04579761609744	-1	9.08084606545402
HNRNPC	0.0104972401754216	0.0469990071490465	0.821899332778636	-0.818598086466164	-1	7.63570391328603
RBM17	0.0107847064381742	0.0472130481848961	0.993073853348929	1.09136879143355	1	9.21375418542164
PCBP2	0.0111395781778607	0.0477064543704034	0.777118694244652	-0.803459413165611	-1	7.18397272504524
PUF60	0.012510915002848	0.0524393671395971	0.96522577484954	-0.912248647569454	-1	8.64698298766541
HSPD1	0.0129174729421671	0.0530154618668109	1.08972885321855	-1.09119948794007	-1	9.72706826869294
RAVER1	0.0136988985942384	0.0550751637360196	0.784733864504419	-0.813321975604604	-1	6.91164847771317
EIF4G2	0.0158955849821036	0.0616422970151406	0.955471382700691	-0.74795151810426	-1	8.08967404761894
NELFE	0.0162710631715092	0.0616422970151406	0.909087685389303	-0.801532025975918	-1	7.69660636253915
PUS1	0.0162710631715092	0.0616422970151406	0.847993626890359	-0.765554268784924	-1	7.17887919678315
SND1	0.0181876353324265	0.0663511881571854	1.06973721959352	-0.9426593970622	-1	8.81850069104563
KIF1C	0.0181876353324265	0.0663511881571854	0.91530679647625	-0.766173531554495	-1	7.54439035389668
HNRNPM	0.024489198181192	0.0872397557957403	1.03232763406559	-0.911531352123703	-1	7.65055220597656
BOP1	0.0247991183987891	0.0872397557957403	0.879784293580454	-0.691503477403684	-1	6.51898743823995
AUH	0.0261375516250008	0.090335046844301	0.946425362179317	-0.953539930089677	-1	6.91297537893457
TAF15	0.0275304158368252	0.0935084813768027	0.9788278950682	-0.941432734023343	-1	7.04711893524262
TARDBP	0.0289789875247606	0.0951476757062972	0.774523005858008	-0.778343855594463	-1	5.53376954525979
NUFIP2	0.0287705510099729	0.0951476757062972	0.944051695625401	-0.683078686534202	-1	6.74659408184033
AKAP8L	0.0304845314102031	0.096862140125968	0.808310226710366	-0.86225659063412	-1	5.73158479471953
SRSF5	0.0304845314102031	0.096862140125968	0.883198325895124	-0.894057812233362	-1	6.26327405292353
DNAJC2	0.0371296151615996	0.116103717251351	1.29467230234761	1.31457721788266	1	8.47119942173482
PPIG	0.0389100347172499	0.119769950614035	0.938529651796526	-0.946993799068903	-1	6.05018387853905
BCLAF1	0.0471590832773022	0.140762718267099	0.816539046850844	-0.832184421591344	-1	4.86177154502515
HLTF	0.0471590832773022	0.140762718267099	0.83247523390216	-0.824807234771392	-1	4.95679886585898
CKAP4	0.0540406730915741	0.158895710433434	0.902986864787654	-0.887014008581883	-1	5.04449007879655
RPS10	0.0624221974763365	0.180840777982916	0.823503720982397	-0.678248391589101	-1	4.27581821478668
