Name	ID	Size	meanAbsT0	padog0	PmeanAbsT	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	DDX3X	DDX3X	188	1.74541136086998	5.81005252725154	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.589681191407855	-0.582592741128697	-1	56.5363873990177
HNRNPU	HNRNPU	HNRNPU	195	1.01558213623273	5.15446714114152	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.640378699702139	-0.705282210862711	-1	61.3970714616166
HNRNPA1	HNRNPA1	HNRNPA1	183	4.08178267134773	7.5555575576713	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.756896570297169	0.59851062238813	1	72.5683612481225
SRSF1	SRSF1	SRSF1	194	2.26380643773757	6.13766586047368	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.594255707262845	-0.635288291589886	-1	56.974974561554
EFTUD2	EFTUD2	EFTUD2	196	1.34940627811745	5.59321005922156	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.528139357555035	-0.523124223982207	-1	50.635990692041
TARDBP	TARDBP	TARDBP	193	2.81574525841956	7.86996474455366	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.704976246606748	-0.699028635838467	-1	67.5904383012573
PRPF8	PRPF8	PRPF8	189	4.05421679491611	8.39866933902813	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.71961195359097	-0.789477688209027	-1	68.9936541609033
EIF3G	EIF3G	EIF3G	192	4.75179769650641	9.16499767065974	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.614420637012945	-0.611147476175067	-1	58.9083112472702
UPF1	UPF1	UPF1	186	2.08431464027405	6.48563748212101	0.421052631578947	0.000526315789473684	0.0033446519524618	0.62695437465687	-0.63165612774856	-1	60.1099982898954
CSTF2T	CSTF2T	CSTF2T	195	2.77648693640633	7.51932120633179	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.587274690240567	-0.612702293371416	-1	56.3056612299411
U2AF1	U2AF1	U2AF1	182	2.5759067631216	6.87908444748752	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.6881252822121	-0.666785197167814	-1	65.9748319957749
RBM15	RBM15	RBM15	194	0.484782559505949	2.69269443078322	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.527886430742894	-0.545223404880521	-1	50.6117410323211
AUH	AUH	AUH	191	1.06689003569665	6.8208786609729	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.88505581674665	-0.965396576777354	-1	84.8557818265797
GEMIN5	GEMIN5	GEMIN5	193	-0.416971095248343	4.3527125814291	0.105263157894737	0.000526315789473684	0.0033446519524618	0.567877874731601	-0.577108708743573	-1	54.4459684130412
DKC1	DKC1	DKC1	190	2.03969034848448	5.98039438474689	0.210526315789474	0.000526315789473684	0.0033446519524618	0.552273448356493	-0.542865000528295	-1	52.9498754266323
