Name	ID	Size	meanAbsT0	padog0	PmeanAbsT	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
EIF4G2	EIF4G2	EIF4G2	182	4.3934944766725	6.27613942814116	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.714756977600263	-0.672511342794755	-1	75.1224562286991
HNRNPU	HNRNPU	HNRNPU	195	1.19638279903134	4.82495487009326	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.738330025943976	0.772459176102103	1	77.6000330105629
EIF2S2	EIF2S2	EIF2S2	185	2.48081296726743	5.38293750816793	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.645844960229898	-0.682361979360305	-1	67.8796587873682
DNAJC21	DNAJC21	DNAJC21	190	5.46687919378884	9.95031059751673	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.899444616092271	-0.805998795939475	-1	94.533514075492
EFTUD2	EFTUD2	EFTUD2	196	1.13073032734394	4.52504847760762	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.642562676898739	-0.600644482062316	-1	67.534683930735
PUM2	PUM2	PUM2	187	3.29324091822386	5.50013553618665	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.688606253193867	0.692110850806115	1	72.3739602907315
EIF3G	EIF3G	EIF3G	192	5.19252488561269	9.43893540745942	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.712632281550375	0.779809078119007	1	74.8991462212292
MSI2	MSI2	MSI2	193	2.50080199972742	5.4038513863726	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.663376402121294	-0.596839601521803	-1	69.7222500699802
NELFE	NELFE	NELFE	193	4.39989396604761	10.0911607218792	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.682834664595364	-0.609385088531967	-1	71.7673542337794
DDX28	DDX28	DDX28	189	1.28037728175561	6.82044085007741	0.210526315789474	0.000526315789473684	0.0033446519524618	0.619043377259879	0.6942610112838	1	65.0627562503899
XRCC6	XRCC6	XRCC6	190	4.22605067276693	8.90834916645559	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.846405832780314	0.839168137429238	1	88.9590267984972
FUS	FUS	FUS	189	3.73729287527839	8.21935803914009	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.951455814256516	-0.791312710007099	-1	100
AKAP1	AKAP1	AKAP1	195	3.27574761653096	8.35081937175434	0.421052631578947	0.000526315789473684	0.0033446519524618	0.727881594931814	0.77327202484209	1	76.5018810148943
PTBP1	PTBP1	PTBP1	194	4.83855771815649	10.5283588115624	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.710611325241911	0.682249747775928	1	74.6867394779857
EIF2S1	EIF2S1	EIF2S1	198	1.75522840694204	5.48967417960545	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.665680267340336	0.714894421648444	1	69.9643911326046
HNRNPL	HNRNPL	HNRNPL	189	4.19474782898515	9.03172949112246	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.701322725752387	-0.674844323839675	-1	73.7104882059513
HNRNPC	HNRNPC	HNRNPC	196	1.8157882500759	4.58940101718652	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.701668421889005	-0.632117853676891	-1	73.7468215943692
PCBP2	PCBP2	PCBP2	197	2.55727226298369	7.73488415889049	0.0526315789473684	0.000526315789473684	0.0033446519524618	0.675372953127849	-0.723387126392398	-1	70.9831127213824
UCHL5	UCHL5	UCHL5	197	0.428678368363468	3.87491674365637	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.58318963515369	-0.538846597105056	-1	61.2944528180118
ABCF1	ABCF1	ABCF1	198	4.56615048435888	8.57938950151943	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.785579812653775	-0.689473937717308	-1	82.5660846129403
SAFB2	SAFB2	SAFB2	187	3.57143686736955	8.30103730102271	0.105263157894737	0.000526315789473684	0.0033446519524618	0.800844502508579	0.88030833828869	1	84.1704355061799
EIF4B	EIF4B	EIF4B	197	1.84096611960044	7.01297888193867	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.57376731803243	-0.629111666745006	-1	60.3041475426562
SUPV3L1	SUPV3L1	SUPV3L1	193	1.28042509263754	3.47240774807342	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.608282023022862	-0.601705471143519	-1	63.9317153680105
FXR1	FXR1	FXR1	189	3.67142147475629	9.41406392943702	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.605720422386169	-0.572293278707135	-1	63.6624857728669
PRPF6	PRPF6	PRPF6	193	3.34351381325217	8.44701619958082	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.661372684984993	-0.675222734074374	-1	69.5116551998583
HNRNPA2B1	HNRNPA2B1	HNRNPA2B1	193	2.88612570680939	6.29667129692803	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.661636977134824	-0.523151638917993	-1	69.5394328586703
SSB	SSB	SSB	189	2.5414315000857	5.65842467863671	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.76408430255824	0.754299781418153	1	80.3068614547602
SERBP1	SERBP1	SERBP1	181	3.2603089372026	8.05481195187517	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.799486554794045	-0.710488055133782	-1	84.0277123555946
RBM22	RBM22	RBM22	194	3.25881799544391	7.66892580443408	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.652702735832677	0.665268334356738	1	68.6004253747412
APOBEC3C	APOBEC3C	APOBEC3C	183	4.70352083481187	8.75831028506535	0.210526315789474	0.000526315789473684	0.0033446519524618	0.732892667316732	0.77991820539301	1	77.0285552240203
AATF	AATF	AATF	193	5.16574137608429	11.1774043308549	0.000526315789473684	0.000526315789473684	0.0033446519524618	0.793491634515248	-0.757469053461733	-1	83.3976336710177
KHDRBS1	KHDRBS1	KHDRBS1	192	1.64381985796177	5.8394984936081	0.0526315789473684	0.0526315789473684	0.235645933014354	0.736978616808801	-0.68838121170505	-1	19.6407025834316
