Name	ID	Size	meanAbsT0	padog0	PmeanAbsT	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
RPS10	RPS10	RPS10	187	3.63008457677258	6.2040602191308	0.210526315789474	0.000526315789473684	0.002468671679198	0.809995946583709	-0.879912823319645	-1	79.5190851585314
EIF4G2	EIF4G2	EIF4G2	182	7.03482190452898	8.44279653068983	0.000526315789473684	0.000526315789473684	0.002468671679198	0.905250048455408	-0.949363506401815	-1	88.8703900266383
HNRNPA1	HNRNPA1	HNRNPA1	183	4.63810751413023	7.48785573929132	0.947368421052632	0.000526315789473684	0.002468671679198	1.01861829140624	-1.10565046379107	-1	100
TROVE2	TROVE2	TROVE2	195	2.52776455550075	4.31863536397959	0.210526315789474	0.000526315789473684	0.002468671679198	0.64688430973426	-0.627735496151901	-1	63.5060567036558
DDX24	DDX24	DDX24	197	3.14054963611915	6.51149724415555	0.000526315789473684	0.000526315789473684	0.002468671679198	0.566167590364509	-0.635123466540316	-1	55.5819186775933
SF3B4	SF3B4	SF3B4	189	2.98223493990304	6.55259479720147	0.000526315789473684	0.000526315789473684	0.002468671679198	0.654992284234246	-0.666560315875231	-1	64.3020344087874
SLBP	SLBP	SLBP	196	2.19852639272021	5.3838033450876	0.000526315789473684	0.000526315789473684	0.002468671679198	0.636719139199924	-0.727593227943143	-1	62.5081195352291
CNOT7	CNOT7	CNOT7	192	2.97464970126723	6.74529228608476	0.421052631578947	0.000526315789473684	0.002468671679198	0.700616701185604	-0.67836974662956	-1	68.7810838560904
EIF3G	EIF3G	EIF3G	192	8.54196339950238	12.4398289014686	0.000526315789473684	0.000526315789473684	0.002468671679198	0.752814297749684	-0.773474699379891	-1	73.9054368158256
DDX47	DDX47	DDX47	195	6.21789615516874	9.56868714698473	0.0526315789473684	0.000526315789473684	0.002468671679198	0.781303794111118	-0.839186398641878	-1	76.7023133889041
QKI	QKI	QKI	196	2.39417609727357	6.90235526046799	0.000526315789473684	0.000526315789473684	0.002468671679198	0.596112407594794	-0.61915337475483	-1	58.5216673040336
CSTF2T	CSTF2T	CSTF2T	195	7.75735504429537	12.8929395692712	0.000526315789473684	0.000526315789473684	0.002468671679198	0.762270947122849	-0.723869926813373	-1	74.8338169021589
RECQL	RECQL	RECQL	195	2.91106098395358	7.87953222172849	0.105263157894737	0.000526315789473684	0.002468671679198	0.636196891097495	-0.707655026221062	-1	62.4568492893642
AKAP1	AKAP1	AKAP1	195	6.21680000518758	11.1953771499916	0.0526315789473684	0.000526315789473684	0.002468671679198	0.751512467818199	-0.842472381312135	-1	73.7776333056719
RBM15	RBM15	RBM15	194	1.53266280313532	3.46490537418457	0.210526315789474	0.000526315789473684	0.002468671679198	0.610592294403162	-0.69336577026553	-1	59.9431896672712
ZC3H8	ZC3H8	ZC3H8	194	0.973604348463576	3.73132981076044	0.000526315789473684	0.000526315789473684	0.002468671679198	0.540312733313515	-0.592214262074605	-1	53.0436904453768
PTBP1	PTBP1	PTBP1	194	4.03108459485849	8.3698520419176	0.000526315789473684	0.000526315789473684	0.002468671679198	0.604602047087742	-0.626586517987945	-1	59.3551139017015
HNRNPL	HNRNPL	HNRNPL	189	6.67738099518695	10.9167781186417	0.000526315789473684	0.000526315789473684	0.002468671679198	0.699778150808752	-0.707788396879447	-1	68.6987615196542
CELF1	CELF1	CELF1	189	5.70548271904771	8.88000754003318	0.000526315789473684	0.000526315789473684	0.002468671679198	0.857785270704158	-0.865258433366997	-1	84.2106683083366
HNRNPC	HNRNPC	HNRNPC	196	5.37443750353168	8.63114002355144	0.000526315789473684	0.000526315789473684	0.002468671679198	0.689532607761847	-0.710009508150809	-1	67.6929340047408
EIF3D	EIF3D	EIF3D	185	5.91831097428793	9.14016251613148	0.000526315789473684	0.000526315789473684	0.002468671679198	0.766268774613938	-0.816531014836277	-1	75.226292427566
UCHL5	UCHL5	UCHL5	197	0.730500018933123	3.99026235817206	0.210526315789474	0.000526315789473684	0.002468671679198	0.468886267926496	-0.472317364690454	-1	46.0315971038748
XRN2	XRN2	XRN2	193	4.40281471035622	7.7042537480211	0.000526315789473684	0.000526315789473684	0.002468671679198	0.692140606822637	-0.685412007780254	-1	67.9489670136503
ABCF1	ABCF1	ABCF1	198	8.96542985205208	13.0383592454269	0.000526315789473684	0.000526315789473684	0.002468671679198	0.768829980992814	-0.784621260666828	-1	75.4777316958851
SAFB2	SAFB2	SAFB2	187	5.65351063261448	9.54118456762975	0.000526315789473684	0.000526315789473684	0.002468671679198	0.869511276349218	-0.902692390289901	-1	85.3618360955233
EIF4B	EIF4B	EIF4B	197	2.78648746275687	7.26426018060034	0.000526315789473684	0.000526315789473684	0.002468671679198	0.645927633296244	-0.659402035476961	-1	63.4121376717587
BOP1	BOP1	BOP1	190	3.77856763127906	6.42019447912906	0.421052631578947	0.000526315789473684	0.002468671679198	0.826488086718341	-0.951376495728249	-1	81.1381548604768
STAU1	STAU1	STAU1	194	3.02111167728014	5.88746105883323	0.000526315789473684	0.000526315789473684	0.002468671679198	0.681249075193187	-0.694521610712471	-1	66.8797213775432
PRPF6	PRPF6	PRPF6	193	5.23734132982826	9.69053573033729	0.000526315789473684	0.000526315789473684	0.002468671679198	0.697917880870808	-0.741728951675526	-1	68.516134724746
G3BP1	G3BP1	G3BP1	197	2.47314583605866	6.14596111187851	0.000526315789473684	0.000526315789473684	0.002468671679198	0.628057859836924	-0.818767116745201	-1	61.6578226736793
MATR3	MATR3	MATR3	192	6.89581608878057	12.6524219219291	0.000526315789473684	0.000526315789473684	0.002468671679198	0.825068695836772	-0.801385848731946	-1	80.9988101330608
HNRNPA2B1	HNRNPA2B1	HNRNPA2B1	193	2.53611130876266	5.0876473658233	0.421052631578947	0.000526315789473684	0.002468671679198	0.71897822456934	-0.782826820272074	-1	70.5836750267621
UTP3	UTP3	UTP3	187	5.282104407385	6.90883464781474	0.000526315789473684	0.000526315789473684	0.002468671679198	0.784875051568009	-0.774384831530669	-1	77.0529115950252
NSUN2	NSUN2	NSUN2	196	1.93167044534276	4.38453917955042	0.000526315789473684	0.000526315789473684	0.002468671679198	0.701496300225581	-0.665141152052996	-1	68.8674360301479
GRSF1	GRSF1	GRSF1	192	3.59015141619725	6.14952890810466	0.105263157894737	0.000526315789473684	0.002468671679198	0.801803869908994	-0.887324565280965	-1	78.7148509577685
RAVER1	RAVER1	RAVER1	190	4.37488486011395	8.71033888725975	0.000526315789473684	0.000526315789473684	0.002468671679198	0.69875190269566	-0.745196916825327	-1	68.5980124832634
U2AF2	U2AF2	U2AF2	189	3.39150191435479	7.02701868237681	0.000526315789473684	0.000526315789473684	0.002468671679198	0.592218754123615	-0.619320686114474	-1	58.1394187714844
TFIP11	TFIP11	TFIP11	196	4.30835639623615	8.55024545391584	0.000526315789473684	0.000526315789473684	0.002468671679198	0.766380838015766	-0.68590178418157	-1	75.2372939384139
RBM22	RBM22	RBM22	194	4.38964358510985	8.11076799602984	0.000526315789473684	0.000526315789473684	0.002468671679198	0.720564858123126	-0.709122380178885	-1	70.7394383354688
CKAP4	CKAP4	CKAP4	195	4.60663907072945	7.17162773619472	0.000526315789473684	0.000526315789473684	0.002468671679198	0.737051135280665	-0.702137025123893	-1	72.3579324560465
EIF4A3	EIF4A3	EIF4A3	188	5.66207637934973	9.79191309824962	0.000526315789473684	0.000526315789473684	0.002468671679198	0.944199192698265	-1.02431118506361	-1	92.694113257554
GPKOW	GPKOW	GPKOW	196	1.85381784101821	5.52507568991447	0.000526315789473684	0.000526315789473684	0.002468671679198	0.751911451024046	-0.67439837269578	-1	73.8168023652905
SRSF1	SRSF1	SRSF1	194	3.1250315520074	6.17207927289935	0.0526315789473684	0.0526315789473684	0.195630585898709	0.711323490946256	-0.781027220915817	-1	18.9759652774345
DNAJC21	DNAJC21	DNAJC21	190	4.26708264711441	7.81428555086199	0.0526315789473684	0.0526315789473684	0.195630585898709	0.798561031024547	-0.868614769869775	-1	21.30319972489
RPS19	RPS19	RPS19	184	6.65672191451831	9.90126141520326	0.0526315789473684	0.0526315789473684	0.195630585898709	0.942944692388752	-0.996554504405676	-1	25.154920326766
EEF2	EEF2	EEF2	194	5.66687239325791	9.99121402170437	0.473684210526316	0.0526315789473684	0.195630585898709	0.826650851627903	-0.857517166665397	-1	22.0525514153699
NOL12	NOL12	NOL12	196	5.99079672321945	9.36188644852217	0.0526315789473684	0.0526315789473684	0.195630585898709	0.854282911895787	-0.907490964073837	-1	22.789691440775
XRCC6	XRCC6	XRCC6	190	6.28676990455861	9.95247346508373	0.0526315789473684	0.0526315789473684	0.195630585898709	0.803787706522145	-0.869681658406238	-1	21.4426316627091
ILF3	ILF3	ILF3	194	4.13202883468748	8.97439025751996	0.0526315789473684	0.0526315789473684	0.195630585898709	0.660451796265096	-0.708027129741114	-1	17.6188619001936
KIF1C	KIF1C	KIF1C	195	2.85143813798404	5.63852099892829	0.0526315789473684	0.0526315789473684	0.195630585898709	0.710929641331098	-0.768045982171507	-1	18.965458557613
RBM17	RBM17	RBM17	186	5.77065480181829	10.0899511853236	0.684210526315789	0.0526315789473684	0.195630585898709	1.01432795818631	-1.02983150529093	-1	27.0592105553404
SSRP1	SSRP1	SSRP1	196	4.33510550220363	7.93838067010303	0.0526315789473684	0.0526315789473684	0.195630585898709	0.757304297890439	-0.854132187721847	-1	20.2025945215222
AATF	AATF	AATF	193	2.76796486912024	7.05759241898653	0.0526315789473684	0.0526315789473684	0.195630585898709	0.61205609869855	-0.704033650291026	-1	16.3278106579826
SUPV3L1	SUPV3L1	SUPV3L1	193	1.29794387359423	3.32367818481235	0.105263157894737	0.105263157894737	0.38401559454191	0.693044129047056	-0.67324008821455	-1	10.8454598094666
