Name	ID	Size	meanAbsT0	padog0	PmeanAbsT	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
RPS10	RPS10	RPS10	187	2.20856642385562	5.01157310511403	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.886605811015768	-0.88212766918508	-1	72.4826120990719
HNRNPU	HNRNPU	HNRNPU	195	0.899742436758832	4.07068390205598	0.421052631578947	0.000526315789473684	0.0028022759601707	0.780965327068716	-0.76902617558163	-1	63.8461942854781
RPS19	RPS19	RPS19	184	4.48063626470338	7.80924408556719	0.000526315789473684	0.000526315789473684	0.0028022759601707	1.01288345295227	1.06573130294746	1	82.8061777959659
EFTUD2	EFTUD2	EFTUD2	196	1.1323743010552	4.24958537371786	0.0526315789473684	0.000526315789473684	0.0028022759601707	0.777318484694096	-0.761294803331177	-1	63.5480542801433
PRPF8	PRPF8	PRPF8	189	2.7402812188085	5.88075485747184	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.863690014074636	-0.730628692523204	-1	70.6091788325764
EIF3G	EIF3G	EIF3G	192	4.92152806644295	8.29349539445175	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.981116570459349	-0.889961672886871	-1	80.2091424588148
RBM25	RBM25	RBM25	192	-0.37872562305268	2.69659538985498	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.7004963708404	-0.64638323357028	-1	57.2676223115002
DDX47	DDX47	DDX47	195	5.18007244649096	8.70538975244212	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.916941046290965	0.897132156819132	1	74.9626060987357
ADAR	ADAR	ADAR	174	6.58362065697728	12.8587201500324	0.000526315789473684	0.000526315789473684	0.0028022759601707	1.12849774344172	-1.1709535014642	-1	92.2579833972121
EEF2	EEF2	EEF2	194	4.65568034876209	9.3907968626706	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.970091190441893	-1.12018758200116	-1	79.3077854711648
PNPT1	PNPT1	PNPT1	184	3.54181752791856	5.99156310015523	0.000526315789473684	0.000526315789473684	0.0028022759601707	1.10094085082772	-1.1980816432394	-1	90.0051270170943
ATP5C1	ATP5C1	ATP5C1	197	1.18666542318556	3.47986542257828	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.926546310752789	-1.1040059382153	-1	75.7478644959232
IGF2BP3	IGF2BP3	IGF2BP3	191	2.68718375031977	5.94036167092195	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.866619084859092	-0.934254113846927	-1	70.8486389160121
AKAP1	AKAP1	AKAP1	195	3.50422494619915	8.42374958051286	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.872420799321467	-0.86410796733651	-1	71.3229460022742
CPSF6	CPSF6	CPSF6	196	1.02386018974796	4.75469938612932	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.947209540359813	-0.979545581865631	-1	77.4371438100348
RBM15	RBM15	RBM15	194	0.00709512372006816	1.78831233921327	0.315789473684211	0.000526315789473684	0.0028022759601707	0.746988673477902	-0.712678012578611	-1	61.06850371313
GEMIN5	GEMIN5	GEMIN5	193	-5.25196714564262e-05	3.66401207164704	0.105263157894737	0.000526315789473684	0.0028022759601707	0.817361796036555	-0.864395049252709	-1	66.8217118257357
SMNDC1	SMNDC1	SMNDC1	196	-0.862525923371465	1.66397147178828	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.658155549079789	-0.762559599837817	-1	53.8061365852627
FIP1L1	FIP1L1	FIP1L1	188	1.31630806989843	3.78546459010333	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.758203617514496	-0.730574040641869	-1	61.9853581124779
PTBP1	PTBP1	PTBP1	194	2.56765123668565	6.43223928673517	0.0526315789473684	0.000526315789473684	0.0028022759601707	0.776270141644797	0.773631507599419	1	63.4623491768776
PUF60	PUF60	PUF60	178	2.97689184655379	5.73489165763717	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.951304937780317	1.01058813153765	1	77.7719544992201
DDX27	DDX27	DDX27	188	3.02476253753957	6.52078674126303	0.421052631578947	0.000526315789473684	0.0028022759601707	1.22319793028971	-1.28556866509911	-1	100
CELF1	CELF1	CELF1	189	3.70132759852554	6.88571906186736	0.421052631578947	0.000526315789473684	0.0028022759601707	0.994065471453626	-1.00852644106314	-1	81.2677528990082
HNRNPC	HNRNPC	HNRNPC	196	2.23647263541336	4.94735396633734	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.728152492322804	-0.734015747786345	-1	59.5285909411523
PCBP2	PCBP2	PCBP2	197	2.66109351346613	7.13834778739677	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.811166735335557	-0.778601482699453	-1	66.3152475367117
EIF3D	EIF3D	EIF3D	185	2.07781865644908	4.47046841821287	0.0526315789473684	0.000526315789473684	0.0028022759601707	0.886482360496686	-0.832898326757829	-1	72.4725196589177
UCHL5	UCHL5	UCHL5	197	0.165139050818522	3.16204143403972	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.689404134702443	-0.691726677509325	-1	56.3607996409182
XRCC5	XRCC5	XRCC5	190	2.68378790169912	6.74123850682569	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.966477802525881	-1.01916296693766	-1	79.0123804654389
ABCF1	ABCF1	ABCF1	198	2.93565019745524	5.76851284208062	0.0526315789473684	0.000526315789473684	0.0028022759601707	1.06667037165828	1.24075155123205	1	87.2034153463324
EIF4B	EIF4B	EIF4B	197	1.81193010878307	6.17035645020861	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.77089164014406	-0.723970166720385	-1	63.0226409851328
MATR3	MATR3	MATR3	192	2.76052067195123	7.49098611966643	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.777625974128978	-0.770269270123805	-1	63.5731924386758
HNRNPA2B1	HNRNPA2B1	HNRNPA2B1	193	2.50524075114475	5.44610352313339	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.84212187344288	-0.845555202296289	-1	68.8459204017313
UTP3	UTP3	UTP3	187	2.42835716737589	4.53690978461315	0.000526315789473684	0.000526315789473684	0.0028022759601707	1.0001286892051	-0.918171362587357	-1	81.7634386422011
NSUN2	NSUN2	NSUN2	196	1.36869590231555	4.05663722742449	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.878614180824314	-0.982406325581631	-1	71.8292730119496
RBM17	RBM17	RBM17	186	3.81986082667479	7.59158980674196	0.210526315789474	0.000526315789473684	0.0028022759601707	1.01603193621256	-0.99671371727286	-1	83.0635754895299
RAVER1	RAVER1	RAVER1	190	3.1211940411354	7.47575177360082	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.911824381463487	-0.982897846508362	-1	74.5443038190494
RBM22	RBM22	RBM22	194	3.91627660800194	8.53346078348888	0.000526315789473684	0.000526315789473684	0.0028022759601707	0.752076528872798	-0.742728444089663	-1	61.484450737639
EIF4G2	EIF4G2	EIF4G2	182	3.80492554722881	5.07429258296935	0.0526315789473684	0.0526315789473684	0.175735950044603	1.08540820992851	-1.01794425996045	-1	26.2518304944823
TROVE2	TROVE2	TROVE2	195	1.11633077432246	2.60147229058639	0.0526315789473684	0.0526315789473684	0.175735950044603	0.911271785026774	-0.909611081091127	-1	22.040143253111
DDX24	DDX24	DDX24	197	0.740655516626402	3.57826882130181	0.0526315789473684	0.0526315789473684	0.175735950044603	0.778632500913713	-0.780957073518572	-1	18.8321114991639
MSI2	MSI2	MSI2	193	1.35797167388538	3.42502829308025	0.473684210526316	0.0526315789473684	0.175735950044603	0.782310449574364	-0.72551303883059	-1	18.9210668653788
PABPC1	PABPC1	PABPC1	180	2.74303749180016	5.59563653623291	0.0526315789473684	0.0526315789473684	0.175735950044603	1.02715207314915	1.00876664828008	1	24.8428396521375
NELFE	NELFE	NELFE	193	4.91901333821174	10.0748885133423	0.0526315789473684	0.0526315789473684	0.175735950044603	0.898155822877588	0.987105335735186	1	21.7229188098436
NOL12	NOL12	NOL12	196	3.69962001237739	6.9142406636635	0.0526315789473684	0.0526315789473684	0.175735950044603	1.07852979747579	-1.00117616182046	-1	26.085468275984
XRCC6	XRCC6	XRCC6	190	4.01298220521541	7.63945291614665	0.0526315789473684	0.0526315789473684	0.175735950044603	1.0174490882248	0.993243225162062	1	24.6081619399232
SLTM	SLTM	SLTM	186	2.84007629564611	6.75893438879843	0.0526315789473684	0.0526315789473684	0.175735950044603	0.987024868127757	-0.877660741859737	-1	23.8723176173831
FUS	FUS	FUS	189	1.04383659813693	4.45801875812726	0.0526315789473684	0.0526315789473684	0.175735950044603	0.813670090778932	-0.869921848689365	-1	19.6795354099684
ZC3H8	ZC3H8	ZC3H8	194	0.0312509014230339	2.29652246577398	0.000526315789473684	0.0526315789473684	0.175735950044603	0.928584653535288	-1.20185564777706	-1	22.4588746440305
HNRNPL	HNRNPL	HNRNPL	189	3.02325183813841	6.65260847782302	0.0526315789473684	0.0526315789473684	0.175735950044603	0.771500242324503	0.793991298375408	1	18.6596097235056
