Name	ID	Size	meanAbsT0	padog0	PmeanAbsT	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
RPS10	RPS10	RPS10	187	4.87814196641284	8.16981455082149	0.210526315789474	0.000526315789473684	0.00357531760435572	0.945807825936421	1.00838039311924	1	79.3443960553273
EIF4G2	EIF4G2	EIF4G2	182	5.36971766679333	6.87554090298687	0.421052631578947	0.000526315789473684	0.00357531760435572	0.964271954525192	1.00270240978051	1	80.8933630773684
CIRBP	CIRBP	CIRBP	197	3.17275631229372	7.72219890349577	0.210526315789474	0.000526315789473684	0.00357531760435572	1.0631481320917	-1.0122843078013	-1	89.1881459900666
TROVE2	TROVE2	TROVE2	195	2.46974167014774	4.03900800352652	0.421052631578947	0.000526315789473684	0.00357531760435572	0.834022085604841	0.94759921167189	1	69.9666220393159
DDX24	DDX24	DDX24	197	4.8326236611715	8.8709277987268	0.000526315789473684	0.000526315789473684	0.00357531760435572	1.10142404557262	-1.13209919652831	-1	92.3991357443572
RPS19	RPS19	RPS19	184	7.26251658199839	11.0690637084009	0.0526315789473684	0.000526315789473684	0.00357531760435572	1.19202851487697	-1.12367517584444	-1	100
SLBP	SLBP	SLBP	196	3.89139778519724	7.5160887752974	0.000526315789473684	0.000526315789473684	0.00357531760435572	0.906552115390975	-0.789894078833139	-1	76.0512105270015
EIF3G	EIF3G	EIF3G	192	8.44118471748385	12.3701651043807	0.000526315789473684	0.000526315789473684	0.00357531760435572	1.01910666392749	0.939713088194561	1	85.4934803327817
DDX47	DDX47	DDX47	195	8.94512711665335	13.6886179235433	0.000526315789473684	0.000526315789473684	0.00357531760435572	1.08096634689069	-1.01582156837096	-1	90.6829269098698
PABPC1	PABPC1	PABPC1	180	4.80167830327916	8.31400259592244	0.000526315789473684	0.000526315789473684	0.00357531760435572	0.854007846578631	0.971442422177458	1	71.6432397312888
NELFE	NELFE	NELFE	193	7.01292302296692	12.3436646659783	0.000526315789473684	0.000526315789473684	0.00357531760435572	1.04637767041673	1.14601623492999	1	87.7812617196264
XRCC6	XRCC6	XRCC6	190	6.42538874893557	10.5455123923921	0.000526315789473684	0.000526315789473684	0.00357531760435572	1.06887853555097	1.14135435592475	1	89.6688730354147
CSTF2T	CSTF2T	CSTF2T	195	3.69053453092912	7.88758235686744	0.000526315789473684	0.000526315789473684	0.00357531760435572	1.04924091953909	0.994305313772122	1	88.0214614368836
FUS	FUS	FUS	189	4.26486623769787	9.0168728095818	0.000526315789473684	0.000526315789473684	0.00357531760435572	0.906892918624842	-0.887294165379559	-1	76.0798007183948
AKAP1	AKAP1	AKAP1	195	4.36049311834059	9.21108355821176	0.000526315789473684	0.000526315789473684	0.00357531760435572	0.896454269901741	0.853890653817248	1	75.204096102874
AUH	AUH	AUH	191	4.09848216731557	9.54677011935565	0.000526315789473684	0.000526315789473684	0.00357531760435572	1.07002628320598	1.1331813480388	1	89.7651582870408
