Name	ID	Size	meanAbsT0	padog0	PmeanAbsT	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
HNRNPA1	HNRNPA1	HNRNPA1	183	4.33073665951747	7.44368787988665	0.210526315789474	0.000526315789473684	0.00370300751879699	1.70207142123611	2.02133060517593	1	100
RPS19	RPS19	RPS19	184	6.26053918996522	9.74159936163809	0.421052631578947	0.000526315789473684	0.00370300751879699	1.52912385959791	-1.40328619316592	-1	89.8389950339098
SLBP	SLBP	SLBP	196	1.85751271452376	4.70671771453253	0.210526315789474	0.000526315789473684	0.00370300751879699	1.18193154103434	1.34230940714506	1	69.4407723605379
PRPF8	PRPF8	PRPF8	189	4.19980135082481	7.61558435003021	0.421052631578947	0.000526315789473684	0.00370300751879699	1.2110138533651	-1.23213697518875	-1	71.1494146635524
DDX47	DDX47	DDX47	195	6.79678158007422	11.1904104054048	0.000526315789473684	0.000526315789473684	0.00370300751879699	1.37622012566083	-1.33147499433099	-1	80.8556038536484
PNPT1	PNPT1	PNPT1	184	4.86760020732132	7.01550881880801	0.000526315789473684	0.000526315789473684	0.00370300751879699	1.6797570319657	-1.66894376262152	-1	98.6889863144401
PABPC1	PABPC1	PABPC1	180	4.86032372038011	7.97308091195012	0.421052631578947	0.000526315789473684	0.00370300751879699	1.65363341815367	-1.4831487461946	-1	97.1541732927246
NELFE	NELFE	NELFE	193	3.15011137171093	7.62125672479978	0.000526315789473684	0.000526315789473684	0.00370300751879699	1.16900237849931	-1.12394084889507	-1	68.6811589639604
NOL12	NOL12	NOL12	196	5.33466761200403	8.52524911700353	0.421052631578947	0.000526315789473684	0.00370300751879699	1.61132191416056	-1.37615957416641	-1	94.668290299496
ATP5C1	ATP5C1	ATP5C1	197	1.01667971327374	3.10151897288581	0.210526315789474	0.000526315789473684	0.00370300751879699	0.972325484533733	0.99116770991072	1	57.1260096610747
XRCC6	XRCC6	XRCC6	190	6.03166633038101	9.97958064760262	0.000526315789473684	0.000526315789473684	0.00370300751879699	1.5245610823544	-1.33517938723418	-1	89.570923013748
FUS	FUS	FUS	189	3.2753571424975	7.43264195193154	0.000526315789473684	0.000526315789473684	0.00370300751879699	1.13806928010367	1.19196990497873	1	66.8637793869517
AKAP1	AKAP1	AKAP1	195	7.94950786324072	14.1668920750502	0.000526315789473684	0.000526315789473684	0.00370300751879699	1.43484030245803	-1.2022916519859	-1	84.2996530319506
HNRNPL	HNRNPL	HNRNPL	189	4.34503316320821	8.49911425715187	0.000526315789473684	0.000526315789473684	0.00370300751879699	1.26178920583356	-1.27625754162173	-1	74.1325651844384
DDX27	DDX27	DDX27	188	6.68763781373649	10.5461681994685	0.000526315789473684	0.000526315789473684	0.00370300751879699	1.55987450691793	-1.42879590590217	-1	91.6456552560579
CELF1	CELF1	CELF1	189	3.42246037952565	6.27046010695238	0.000526315789473684	0.000526315789473684	0.00370300751879699	1.35171357556489	1.53029678261039	1	79.4157964642416
PCBP2	PCBP2	PCBP2	197	3.25560355449786	7.85435014933791	0.000526315789473684	0.000526315789473684	0.00370300751879699	1.02325797473884	-1.06972616077329	-1	60.1183923290193
RBM39	RBM39	RBM39	192	1.64459396453427	5.0331696247137	0.000526315789473684	0.000526315789473684	0.00370300751879699	1.1061373486227	-1.09074203687849	-1	64.9877164272801
FTO	FTO	FTO	192	2.84961195825231	6.43899752154348	0.210526315789474	0.000526315789473684	0.00370300751879699	1.22222740793332	-1.20575678497966	-1	71.8082327618009
ABCF1	ABCF1	ABCF1	198	3.64929278217141	6.2200982930781	0.000526315789473684	0.000526315789473684	0.00370300751879699	1.25250461514445	-1.27622822783016	-1	73.5870774585258
SAFB2	SAFB2	SAFB2	187	5.30264792039505	10.0671998403396	0.000526315789473684	0.000526315789473684	0.00370300751879699	1.49907004374009	1.8199767041201	1	88.0732750128313
FXR1	FXR1	FXR1	189	4.65367803198782	10.0908543294389	0.421052631578947	0.000526315789473684	0.00370300751879699	1.30496122235775	-1.11669175835346	-1	76.6690049592652
HNRNPA2B1	HNRNPA2B1	HNRNPA2B1	193	2.98316780239045	5.58584472291597	0.000526315789473684	0.000526315789473684	0.00370300751879699	1.20594932325062	1.23587392116102	1	70.8518636882353
GRSF1	GRSF1	GRSF1	192	1.91680217209917	4.08292179860305	0.210526315789474	0.000526315789473684	0.00370300751879699	1.37180176947766	-1.02104529589525	-1	80.5960168511264
RBM17	RBM17	RBM17	186	4.39351652493862	8.78785514364801	0.210526315789474	0.000526315789473684	0.00370300751879699	1.61184322837075	1.91514270374072	1	94.6989185213016
RAVER1	RAVER1	RAVER1	190	1.87277406271225	5.63954346928328	0.000526315789473684	0.000526315789473684	0.00370300751879699	1.09182392023129	-0.957480396389795	-1	64.1467747245511
SERBP1	SERBP1	SERBP1	181	4.34407061225504	9.10511634773849	0.000526315789473684	0.000526315789473684	0.00370300751879699	1.48427002760665	1.79093249567065	1	87.2037453357105
APOBEC3C	APOBEC3C	APOBEC3C	183	4.61878230130807	8.08179428923333	0.631578947368421	0.000526315789473684	0.00370300751879699	1.54841742615248	-1.38312824143806	-1	90.9725295209973
AKAP8	AKAP8	AKAP8	192	3.95018364553871	6.01785309420647	0.0526315789473684	0.0526315789473684	0.144005847953216	1.35448139707156	1.36107090530325	1	27.545250304202
RPS10	RPS10	RPS10	187	3.37152831158286	6.5581872036847	0.0526315789473684	0.0526315789473684	0.144005847953216	1.40028462157806	1.64832635174753	1	28.4767221475946
EIF4G2	EIF4G2	EIF4G2	182	5.96117830716026	7.40243532574304	0.0526315789473684	0.0526315789473684	0.144005847953216	1.39538431034305	-1.36864304301517	-1	28.3770675492894
HNRNPU	HNRNPU	HNRNPU	195	2.44159698014211	5.58022906586574	0.0526315789473684	0.0526315789473684	0.144005847953216	1.03310765766689	-1.04938876436668	-1	21.009671364367
TROVE2	TROVE2	TROVE2	195	1.6694935208325	3.07316023160767	0.0526315789473684	0.0526315789473684	0.144005847953216	0.949619020737415	0.883868235853101	1	19.311814600331
SRSF1	SRSF1	SRSF1	194	3.32836639175486	7.02581676807372	0.0526315789473684	0.0526315789473684	0.144005847953216	1.11794118825008	-1.11883735520741	-1	22.7348783987017
EIF2S2	EIF2S2	EIF2S2	185	3.96417219814408	5.99447149964287	0.473684210526316	0.0526315789473684	0.144005847953216	1.28030081376551	-1.46724657234209	-1	26.0366856688408
SF3B4	SF3B4	SF3B4	189	4.19743744157781	8.66418506125538	0.0526315789473684	0.0526315789473684	0.144005847953216	1.13868041042807	-1.06608005135284	-1	23.1566391310692
CNOT7	CNOT7	CNOT7	192	2.02949145072813	5.11437288140124	0.0526315789473684	0.0526315789473684	0.144005847953216	1.18605756807969	1.29860104700642	1	24.1201190792155
EFTUD2	EFTUD2	EFTUD2	196	3.04573840969181	6.49540488964628	0.000526315789473684	0.0526315789473684	0.144005847953216	0.982920206201842	-0.94701760219216	-1	19.9890402093556
PUM2	PUM2	PUM2	187	2.89037469499376	4.50713158646444	0.0526315789473684	0.0526315789473684	0.144005847953216	1.32037494241137	1.24321941100218	1	26.8516484336742
TARDBP	TARDBP	TARDBP	193	1.29330922548124	5.18080766522452	0.0526315789473684	0.0526315789473684	0.144005847953216	1.03661566579255	-0.823529711472424	-1	21.0810115556015
EIF3G	EIF3G	EIF3G	192	5.39567815072644	8.41275769756544	0.0526315789473684	0.0526315789473684	0.144005847953216	1.33215672828439	-1.25061813893887	-1	27.0912473248843
EEF2	EEF2	EEF2	194	5.82035253521278	10.258704737348	0.0526315789473684	0.0526315789473684	0.144005847953216	1.49601374827373	-1.2701157983169	-1	30.4235061801666
DDX28	DDX28	DDX28	189	3.12589255982605	8.57767758897261	0.000526315789473684	0.0526315789473684	0.144005847953216	1.19185891646007	1.17904295337426	1	24.2380975125738
HSPD1	HSPD1	HSPD1	189	4.08833177013728	7.10087620685598	0.0526315789473684	0.0526315789473684	0.144005847953216	1.40298563002324	-1.51107166476872	-1	28.5316508855286
CSTF2T	CSTF2T	CSTF2T	195	3.52668347899844	7.83883145120385	0.0526315789473684	0.0526315789473684	0.144005847953216	1.21652893065981	-0.93470943312227	-1	24.7397963307409
TRIM56	TRIM56	TRIM56	195	2.05820690449957	4.46230429926646	0.0526315789473684	0.0526315789473684	0.144005847953216	1.24155254656385	1.42568501962492	1	25.2486861280338
IGF2BP3	IGF2BP3	IGF2BP3	191	2.24842633306991	4.86312361681493	0.473684210526316	0.0526315789473684	0.144005847953216	1.06772457493908	1.02923029889121	1	21.7136541972682
DHX30	DHX30	DHX30	197	1.6400601874689	5.57032104804453	0.0526315789473684	0.0526315789473684	0.144005847953216	1.07811081440756	1.06695601836783	1	21.9248727245195
RBM15	RBM15	RBM15	194	2.05673766516985	3.85579442408736	0.0526315789473684	0.0526315789473684	0.144005847953216	1.06284894846861	1.1419687528455	1	21.6145015977499
BCLAF1	BCLAF1	BCLAF1	192	1.17350191969992	3.22603060730848	0.0526315789473684	0.0526315789473684	0.144005847953216	1.03284266149874	1.00669633964771	1	21.0042823012193
DKC1	DKC1	DKC1	190	4.58390127690013	8.2749394309159	0.0526315789473684	0.0526315789473684	0.144005847953216	1.53283709722817	-1.34403918726173	-1	31.172359849314
FIP1L1	FIP1L1	FIP1L1	188	1.82102583623996	3.83713853259752	0.473684210526316	0.0526315789473684	0.144005847953216	1.12624179527926	1.13192946035835	1	22.9036827091853
PTBP1	PTBP1	PTBP1	194	3.60656740455923	8.04824068296611	0.000526315789473684	0.0526315789473684	0.144005847953216	1.13614959485945	-1.13652959203678	-1	23.1051715003863
GRWD1	GRWD1	GRWD1	194	4.32630169033656	7.61304894978825	0.0526315789473684	0.0526315789473684	0.144005847953216	1.45596126394456	1.59362737243434	1	29.6089835824126
EIF2S1	EIF2S1	EIF2S1	198	1.90589545628768	4.92762355998484	0.0526315789473684	0.0526315789473684	0.144005847953216	0.929675916548863	0.942694895972303	1	18.9062440270443
MTPAP	MTPAP	MTPAP	187	1.9591687252356	5.04187931974363	0.263157894736842	0.0526315789473684	0.144005847953216	1.32926842363633	1.58228463740669	1	27.0325096599316
HNRNPC	HNRNPC	HNRNPC	196	4.15062665304704	6.99933708199254	0.0526315789473684	0.0526315789473684	0.144005847953216	1.11389286251784	-1.13772688786815	-1	22.6525501025371
EIF3D	EIF3D	EIF3D	185	4.83450690293392	8.13461411817384	0.0526315789473684	0.0526315789473684	0.144005847953216	1.41746573042098	-1.27011202027408	-1	28.8261237300785
UCHL5	UCHL5	UCHL5	197	1.07867361357877	4.15845090774107	0.0526315789473684	0.0526315789473684	0.144005847953216	0.88309545799682	0.873745105200789	1	17.9589660556565
EIF4B	EIF4B	EIF4B	197	3.51300912414904	8.04327640244284	0.0526315789473684	0.0526315789473684	0.144005847953216	1.04786316730764	-1.08936804405358	-1	21.3097450363269
SUPV3L1	SUPV3L1	SUPV3L1	193	0.953720594650574	2.74071058858079	0.0526315789473684	0.0526315789473684	0.144005847953216	1.10062726260267	-1.12150385293632	-1	22.3827758030238
MATR3	MATR3	MATR3	192	1.8939342796813	6.29750140182836	0.0526315789473684	0.0526315789473684	0.144005847953216	1.12662892906724	-0.903593137894576	-1	22.9115556095546
AKAP8L	AKAP8L	AKAP8L	194	0.737903360611938	2.80927119902405	0.0526315789473684	0.0526315789473684	0.144005847953216	0.90172370566552	0.837325293060652	1	18.3377972052554
UTP3	UTP3	UTP3	187	3.90233174140605	5.86067474907276	0.473684210526316	0.0526315789473684	0.144005847953216	1.36331953809511	-1.36226100499744	-1	27.7249861110162
NSUN2	NSUN2	NSUN2	196	2.74371600204115	4.95479168466781	0.0526315789473684	0.0526315789473684	0.144005847953216	1.14239396130478	1.21293472328605	1	23.232159318085
MAGOH	MAGOH	MAGOH	183	6.19120112880059	10.9318886141046	0.0526315789473684	0.0526315789473684	0.144005847953216	1.51539693465087	-1.28131396423915	-1	30.8176900512819
U2AF2	U2AF2	U2AF2	189	1.143724623849	4.80713782902531	0.0526315789473684	0.0526315789473684	0.144005847953216	1.03902289267214	-0.875619944109479	-1	21.1299658395664
