Name	ID	Size	meanAbsT0	padog0	PmeanAbsT	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
HNRNPU	HNRNPU	HNRNPU	195	1.1639207890822	4.94736393688077	0.000526315789473684	0.000526315789473684	0.00450800915331808	0.531746988684212	-0.503316841811288	-1	57.1540022632794
HNRNPA1	HNRNPA1	HNRNPA1	183	3.81830147076559	6.84096168180903	0.000526315789473684	0.000526315789473684	0.00450800915331808	0.930375770072451	-0.714918999194148	-1	100
RPS19	RPS19	RPS19	184	3.73416514461986	7.29910984254525	0.000526315789473684	0.000526315789473684	0.00450800915331808	0.790600773230125	-0.665310831760544	-1	84.9765007496443
EIF3G	EIF3G	EIF3G	192	5.706179887613	10.0811349803083	0.000526315789473684	0.000526315789473684	0.00450800915331808	0.761626983210742	-0.673654554122806	-1	81.862297762917
EEF2	EEF2	EEF2	194	2.36456403035109	6.56384201548159	0.000526315789473684	0.000526315789473684	0.00450800915331808	0.73586423216619	-0.603466281831781	-1	79.0932283316971
NOL12	NOL12	NOL12	196	2.56679275886247	5.78092273457529	0.0526315789473684	0.000526315789473684	0.00450800915331808	0.770920745297839	-0.607189208616296	-1	82.8612233998533
U2AF1	U2AF1	U2AF1	182	2.05899705607986	5.60515663052578	0.210526315789474	0.000526315789473684	0.00450800915331808	0.630322804111014	-0.529291321345914	-1	67.7492712500379
FIP1L1	FIP1L1	FIP1L1	188	0.894277450235506	2.97995221731092	0.631578947368421	0.000526315789473684	0.00450800915331808	0.58389369239162	-0.540460702532045	-1	62.7589100204265
GRWD1	GRWD1	GRWD1	194	2.40819562221423	6.07665817315588	0.421052631578947	0.000526315789473684	0.00450800915331808	0.790822995277779	-0.586150809620524	-1	85.000385942574
HNRNPL	HNRNPL	HNRNPL	189	2.76656611356976	7.1803114729961	0.000526315789473684	0.000526315789473684	0.00450800915331808	0.722328808465569	-0.599495939158912	-1	77.6383942596999
CELF1	CELF1	CELF1	189	2.59478390235679	5.65147992872612	0.000526315789473684	0.000526315789473684	0.00450800915331808	0.680943056522499	-0.567749274020295	-1	73.1901107516452
PUS1	PUS1	PUS1	193	1.65394644227554	4.8826080192652	0.000526315789473684	0.000526315789473684	0.00450800915331808	0.558493372024137	-0.518153130066799	-1	60.0287958897129
EIF3D	EIF3D	EIF3D	185	2.33687446129651	5.61206342125506	0.631578947368421	0.000526315789473684	0.00450800915331808	0.763820700415511	-0.708575656611342	-1	82.0980860621542
EIF4B	EIF4B	EIF4B	197	2.2263524914195	6.71009748803265	0.000526315789473684	0.000526315789473684	0.00450800915331808	0.614150504536733	-0.545969846364319	-1	66.0110166550132
BOP1	BOP1	BOP1	190	1.98691872606763	4.81708126145661	0.210526315789474	0.000526315789473684	0.00450800915331808	0.667443450970319	-0.491387672878825	-1	71.7391265379088
MATR3	MATR3	MATR3	192	2.33394186382502	7.10947898802938	0.000526315789473684	0.000526315789473684	0.00450800915331808	0.650007087195502	-0.643827572945219	-1	69.865005958279
