Name	ID	Size	meanAbsT0	padog0	PmeanAbsT	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
EIF4G2	EIF4G2	EIF4G2	182	2.38585415246155	5.21576591199478	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.429211674024708	-0.393561913025979	-1	76.6939320383107
HNRNPA1	HNRNPA1	HNRNPA1	183	1.91363386157916	5.16037945705341	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.559642285403108	0.681567104475726	1	100
DNAJC21	DNAJC21	DNAJC21	190	2.65119470766912	7.00691176659162	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.471323546811014	-0.462215060840131	-1	84.2187159734583
DDX6	DDX6	DDX6	187	0.205187476592006	4.00588915177196	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.394445646012473	-0.376085770366276	-1	70.4817445537297
PRPF8	PRPF8	PRPF8	189	1.75827657134247	6.13723600181005	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.411424168743531	-0.43073130290599	-1	73.5155615425278
DDX47	DDX47	DDX47	195	3.6364025293558	8.6261532850418	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.428246041284172	-0.425264104359759	-1	76.5213874029745
PABPC1	PABPC1	PABPC1	180	1.6321388896521	5.28107368542233	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.435362887099579	-0.36533482424913	-1	77.7930650443952
NELFE	NELFE	NELFE	193	1.61800482374149	6.99773185661733	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.360643428466801	-0.383319035867176	-1	64.4417760904237
DDX1	DDX1	DDX1	181	1.38609849566457	6.9588686698093	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.443686361390198	-0.461410127824831	-1	79.2803497810415
HSPD1	HSPD1	HSPD1	189	1.44340078990218	5.33590765537055	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.43377356686787	-0.449072988152774	-1	77.5090764550476
NOL12	NOL12	NOL12	196	1.89461036806315	5.7420577168605	0.0526315789473684	0.000526315789473684	0.00432017543859649	0.493641672023451	-0.489713033961334	-1	88.2066428679319
XRCC6	XRCC6	XRCC6	190	4.20998545845889	9.84253618664595	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.452959232208767	-0.4400602065975	-1	80.9372779761456
AKAP1	AKAP1	AKAP1	195	2.07420643811381	7.28881817014084	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.389959577263246	-0.282340588223607	-1	69.6801488083339
PTBP1	PTBP1	PTBP1	194	3.74413297265676	9.99906668407861	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.410920439842562	-0.452216069726565	-1	73.4255524574198
PUF60	PUF60	PUF60	178	1.13010117347163	4.99458736471138	0.210526315789474	0.000526315789473684	0.00432017543859649	0.421543004033507	0.423517334731733	1	75.3236513802511
CELF1	CELF1	CELF1	189	1.89142827252885	5.04204119355373	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.416623513254129	0.525671030771021	1	74.4446093729385
PCBP2	PCBP2	PCBP2	197	1.52095737047677	6.80885301625668	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.338776635362305	0.36058247904109	1	60.5344957303014
EIF3D	EIF3D	EIF3D	185	2.16733574484278	6.61242240225902	0.210526315789474	0.000526315789473684	0.00432017543859649	0.425297937051142	-0.443572122419874	-1	75.9946037216973
ABCF1	ABCF1	ABCF1	198	2.3103212538327	6.38994831357653	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.385270798488249	-0.339618787575959	-1	68.8423317067151
PRPF6	PRPF6	PRPF6	193	1.68990614914713	6.78527816092758	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.390733344129795	-0.423892817136891	-1	69.8184097808749
UTP3	UTP3	UTP3	187	1.14434070141469	3.47920942674459	0.0526315789473684	0.000526315789473684	0.00432017543859649	0.400385646682748	-0.362128446434528	-1	71.5431369511959
MAGOH	MAGOH	MAGOH	183	3.71141219219934	9.1428368904922	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.459546811919364	-0.447113273182177	-1	82.1143834026684
U2AF2	U2AF2	U2AF2	189	1.66189259963888	6.41048932601575	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.341272581047986	-0.350163414736245	-1	60.9804852044318
EIF4A3	EIF4A3	EIF4A3	188	2.95283329609676	8.3470482877485	0.000526315789473684	0.000526315789473684	0.00432017543859649	0.459573873316007	-0.486633276080352	-1	82.1192188837157
DDX3X	DDX3X	DDX3X	188	4.08419517457116	8.97447369564223	0.0526315789473684	0.0526315789473684	0.195630585898709	0.416658296744398	-0.41496809641618	-1	22.3104879466689
AKAP8	AKAP8	AKAP8	192	0.0404127423297338	2.39992398164774	0.0526315789473684	0.0526315789473684	0.195630585898709	0.402077751423633	-0.37127581204458	-1	21.5297544699169
RPS10	RPS10	RPS10	187	1.87610834566216	5.84018943735747	0.0526315789473684	0.0526315789473684	0.195630585898709	0.429643700064253	-0.377663577323825	-1	23.0058075563201
KHDRBS1	KHDRBS1	KHDRBS1	192	-0.412005593428093	3.65271795018811	0.157894736842105	0.0526315789473684	0.195630585898709	0.347270468089077	0.346274048728976	1	18.5950301555818
SRSF1	SRSF1	SRSF1	194	1.27184783309878	5.86232239712454	0.0526315789473684	0.0526315789473684	0.195630585898709	0.343419005778286	-0.336528893039372	-1	18.3887988045362
