Name	ID	Size	meanAbsT0	padog0	PmeanAbsT	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	DDX3X	DDX3X	188	9.57590533617556	14.3214163472404	0.000526315789473684	0.000526315789473684	0.00357531760435572	1.17728204287427	-1.21931084478586	-1	89.5785252873458
EIF4G2	EIF4G2	EIF4G2	182	4.86139708130213	6.35707382812723	0.000526315789473684	0.000526315789473684	0.00357531760435572	0.955471382700691	-0.74795151810426	-1	72.7011151954944
HNRNPA1	HNRNPA1	HNRNPA1	183	5.88861220095076	8.0888115572212	0.210526315789474	0.000526315789473684	0.00357531760435572	1.31424584083946	1.4369875969847	1	100
CIRBP	CIRBP	CIRBP	197	4.64688625852814	8.76068188042058	0.000526315789473684	0.000526315789473684	0.00357531760435572	0.939857717216588	-0.915065235813408	-1	71.5130828655515
DDX24	DDX24	DDX24	197	3.27090791233433	5.8576119035597	0.000526315789473684	0.000526315789473684	0.00357531760435572	0.824129103444265	-0.834668049208244	-1	62.7073777093227
EFTUD2	EFTUD2	EFTUD2	196	5.26469208025953	8.80919702711551	0.0526315789473684	0.000526315789473684	0.00357531760435572	0.796522198875507	-0.795677468138335	-1	60.6067886329955
PRPF8	PRPF8	PRPF8	189	4.79108176682011	7.87676541106808	0.000526315789473684	0.000526315789473684	0.00357531760435572	0.86333733520818	-0.83924245332187	-1	65.690703244435
DDX47	DDX47	DDX47	195	10.4360257672588	15.3708785943432	0.000526315789473684	0.000526315789473684	0.00357531760435572	1.08199562252726	-1.12958620127487	-1	82.3282516029226
PNPT1	PNPT1	PNPT1	184	5.12775921025285	7.10474633757139	0.421052631578947	0.000526315789473684	0.00357531760435572	0.867597837733129	-0.778613939827575	-1	66.0148817498985
ATP5C1	ATP5C1	ATP5C1	197	3.81329133328266	5.67927210237736	0.000526315789473684	0.000526315789473684	0.00357531760435572	0.798075132998971	-0.761535547126064	-1	60.7249502489739
XRCC6	XRCC6	XRCC6	190	5.19829334960139	8.97486144204604	0.421052631578947	0.000526315789473684	0.00357531760435572	1.02829295817323	-0.976538519447659	-1	78.2420553460851
ASCC1	ASCC1	ASCC1	191	9.03860169109218	15.3963016850244	0.0526315789473684	0.000526315789473684	0.00357531760435572	1.04020413172918	-0.919089406548665	-1	79.1483677867115
BUD13	BUD13	BUD13	191	2.83290861361983	4.91214198509618	0.000526315789473684	0.000526315789473684	0.00357531760435572	0.791945841785608	-0.829509828517643	-1	60.2585769858522
AKAP1	AKAP1	AKAP1	195	4.52240456669249	8.44016878349127	0.000526315789473684	0.000526315789473684	0.00357531760435572	0.893410697360701	0.936119074753448	1	67.978963265354
U2AF1	U2AF1	U2AF1	182	4.43671365480071	7.52614789755557	0.000526315789473684	0.000526315789473684	0.00357531760435572	0.867605485717177	-0.811456601339233	-1	66.015463679383
NONO	NONO	NONO	196	4.55960319478815	8.33422058397367	0.000526315789473684	0.000526315789473684	0.00357531760435572	0.977305548162995	-1.04579761609744	-1	74.3624607964329
PTBP1	PTBP1	PTBP1	194	4.0076232590831	8.13564546243156	0.000526315789473684	0.000526315789473684	0.00357531760435572	0.828536709065558	-0.891668015811348	-1	63.0427491812596
PUS1	PUS1	PUS1	193	4.21417914204838	7.1553843187055	0.000526315789473684	0.000526315789473684	0.00357531760435572	0.847993626890359	-0.765554268784924	-1	64.5232117568438
PCBP2	PCBP2	PCBP2	197	4.65930654451879	9.13979289337096	0.000526315789473684	0.000526315789473684	0.00357531760435572	0.777118694244652	-0.803459413165611	-1	59.1303902280775
EIF3D	EIF3D	EIF3D	185	8.49872064032117	12.7706596478413	0.000526315789473684	0.000526315789473684	0.00357531760435572	1.2443494083757	-1.46780430446803	-1	94.6816318308364
RBM39	RBM39	RBM39	192	3.26123989915726	6.41754448014401	0.000526315789473684	0.000526315789473684	0.00357531760435572	0.81889255758196	-0.833131142808303	-1	62.3089327837553
ABCF1	ABCF1	ABCF1	198	3.0634975135135	5.56486871566316	0.000526315789473684	0.000526315789473684	0.00357531760435572	0.768492138169317	-0.722850493282439	-1	58.4740019172098
