logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	0.988879922078552	8.32667268468867e-17	6.9680962566784	0.000817697599181647	0.00198897241145085	0.0898268180648802	0.589681191407855	-0.582592741128697	-1	31.1247290286632
KHDRBS1	0.998964349785599	4.16333634234434e-16	7.83386294852344	0.000467078834815996	0.00198897241145085	0.564410954847942	0.614388502107018	-0.604991787390786	-1	32.4862744910627
EIF4G2	0.990072280916614	5.55111512312578e-17	7.05694938019277	0.000769996097390133	0.00198897241145085	0.14204307149907	0.643426786329601	-0.662484892763279	-1	34.0864868573751
HNRNPU	0.992655073758294	0	7.26047278038276	0.000672545026821953	0.00198897241145085	0.258501785127406	0.640378699702139	-0.705282210862711	-1	33.9185159856298
SF3B1	0.987217351277405	9.71445146547012e-17	6.84912370968979	0.000887124636137174	0.00198897241145085	0.0185656026121572	1.08157595440881	-1.07494201757879	-1	58.2315675954651
HNRNPA1	0.993789555151443	-1.94289029309402e-16	7.35506815497232	0.000632237546897769	0.00198897241145085	0.31117900476635	0.756896570297169	0.59851062238813	1	40.3394648265932
SRSF1	-0.992506793164817	-1.80411241501588e-16	-7.24835324145653	0.000677925003370623	0.00198897241145085	0.251687104009007	0.594255707262845	-0.635288291589886	-1	31.376816816803
TBRG4	-0.991978606395017	1.2490009027033e-16	-7.2056272649318	0.000697300021425957	0.00198897241145085	0.227542514536297	0.718442884453098	-0.661621201598794	-1	38.2203980406114
DNAJC21	-0.999515871192793	2.4980018054066e-16	-7.8901011252057	0.000451236215309711	0.00198897241145085	0.592749668827243	0.783280857682454	-0.871897366631371	-1	41.7934234223094
STIP1	-0.990529991256716	-6.93889390390723e-17	-7.09188342209793	0.000752143470637607	0.00198897241145085	0.162341465134326	1.52392535851605	-1.59781144959957	-1	82.6081106879405
RPS19	0.995772823883535	0	7.52886329675775	0.000565358534359082	0.00198897241145085	0.405636486293969	0.679291197695832	-0.655135543705008	-1	36.0628665270158
SLBP	-0.995606121191703	-1.66533453693773e-16	-7.51381978354525	0.000570806398314961	0.00198897241145085	0.397577247659594	0.498922366587084	-0.509259651810077	-1	26.1232836017589
EFTUD2	0.993690468425287	1.38777878078145e-17	7.3466714981794	0.000635698083999318	0.00198897241145085	0.306539678683616	0.528139357555035	-0.523124223982207	-1	27.7333439584585
PUM2	0.991435283176147	-1.94289029309402e-16	7.16238644200432	0.000717575812179547	0.00198897241145085	0.202914927521203	0.863344266359774	-0.804997533021219	-1	46.2054766852546
SMN1	-0.993351424851681	1.80411241501588e-16	-7.31813807978392	0.000647625539838114	0.00198897241145085	0.290721433222993	0.716014843444044	-0.837903224671293	-1	38.0865960150227
TARDBP	-0.995932309362996	-6.93889390390723e-17	-7.54333328612846	0.000560176106692348	0.00198897241145085	0.413367839724972	0.704976246606748	-0.699028635838467	-1	37.4782921968501
EIF3G	0.999845864192217	1.11022302462516e-16	7.92428940722687	0.000441915068841061	0.00198897241145085	0.609838548646587	0.614420637012945	-0.611147476175067	-1	32.4880453489226
DDX47	0.999767827074436	-4.16333634234434e-17	7.91616747918859	0.000444108701862757	0.00198897241145085	0.605788283973887	0.614193214741393	-0.636694320107253	-1	32.475512792642
ADAR	0.991091027852243	-2.08166817117217e-16	7.13535208183748	0.000730605043939551	0.00198897241145085	0.187418720663819	1.7076370097582	-2.08074746370461	-1	92.731906360577
MSI2	-0.998275017797577	-8.32667268468867e-17	-7.7651082295038	0.000487347865991038	0.00198897241145085	0.529375047492864	0.833399580242479	-0.880821853952078	-1	44.5553152410404
PABPC1	0.989248620947869	-1.66533453693773e-16	6.99524604918204	0.000802762252045821	0.00198897241145085	0.105872109138359	0.696691458017561	-0.705172384348937	-1	37.0217424554438
NELFE	0.999070938792747	2.77555756156289e-17	7.84464521577687	0.000463991187158467	0.00198897241145085	0.569866318527355	0.778783559274088	-0.74342313067036	-1	41.5455908550372
DDX1	-0.993229966588162	6.93889390390723e-17	-7.30798988004115	0.000651931077932996	0.00198897241145085	0.285075726505141	0.757356736345003	-0.950388547116489	-1	40.3648231912493
RRP9	0.989338761151406	5.55111512312578e-17	7.00192744201295	0.00079913611351247	0.00198897241145085	0.109808538397342	0.599956470404605	0.473027528998172	1	31.6909687001215
CPSF7	0.987450355619072	-2.77555756156289e-17	6.86546636236729	0.00087718834264417	0.00198897241145085	0.028446819505576	1.25966498783933	0.889862369426667	1	68.0455177385153
NOL12	0.990855481262771	-1.38777878078145e-17	7.11701400231728	0.000739601709177593	0.00198897241145085	0.176863666309703	0.993763724065491	-1.05099525656903	-1	53.3925001136619
ATP5C1	0.994355646154766	8.32667268468867e-17	7.40354818943607	0.00061268586508583	0.00198897241145085	0.337827500684366	0.725385883372699	-0.778135936482537	-1	38.6030057954387
XRCC6	0.994825708358063	-9.71445146547012e-17	7.44447661435373	0.00059673244984223	0.00198897241145085	0.360143488340301	0.708907786604648	-0.739914375399851	-1	37.6949475224564
ASCC1	-0.998801611717947	-1.52655665885959e-16	-7.81747960608888	0.000471816956921905	0.00198897241145085	0.556101498154863	0.755306549708032	-0.702866001743383	-1	40.2518435818281
CSTF2T	0.99661400682294	-1.80411241501588e-16	7.60605680210481	0.000538349292691003	0.00198897241145085	0.446648747646804	0.587274690240567	-0.612702293371416	-1	30.9921139988659
TRIM56	0.992101639869482	2.77555756156289e-17	7.21551821010267	0.000692757376490368	0.00198897241145085	0.233148637956702	0.794791563476554	-0.944623315142464	-1	42.4277437428737
YBX3	-0.986950874502633	-4.16333634234434e-17	-6.83056161574819	0.000898571292482872	0.00198897241145085	0.00730640766432611	0.612095576401676	-0.616480768913401	-1	32.3599182628297
FUS	0.991573196332469	1.2490009027033e-16	7.17329531477308	0.000712395858752474	0.00198897241145085	0.209146337129754	0.609152329231353	-0.559183932644246	-1	32.1977247777407
U2AF1	0.994738841405692	-2.77555756156289e-16	7.43686634599102	0.000599661445620648	0.00198897241145085	0.356006541475783	0.6881252822121	-0.666785197167814	-1	36.5496863122215
CPSF6	0.993305891229378	1.80411241501588e-16	7.31432909469707	0.000649237625469057	0.00198897241145085	0.288603615883888	0.717268448134773	0.886080377355786	1	38.1556783930721
RBM15	0.990328097665276	0	7.07641635510719	0.000759986968833301	0.00198897241145085	0.153370322397507	0.527886430742894	-0.545223404880521	-1	27.7194059237778
AUH	-0.99139839735599	-1.11022302462516e-16	-7.15947644582221	0.000718965073919198	0.00198897241145085	0.201250572845223	0.88505581674665	-0.965396576777354	-1	47.4019348215062
GEMIN5	0.994328975689411	1.66533453693773e-16	7.40124445109532	0.000613598676897051	0.00198897241145085	0.336566475475072	0.567877874731601	-0.577108708743573	-1	29.9232139286479
NONO	0.995682561739773	-1.38777878078145e-16	7.52070763251679	0.00056830438539507	0.00198897241145085	0.401269982776658	0.709197226585713	-0.634656510575965	-1	37.7108976878813
