logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	-0.99040404998752	1.38777878078145e-16	-5.69381345744232	2.43134564160126e-08	7.71118457517419e-08	9.35836365755268	0.735660696095787	0.773378332691829	1	49.0120826853976
AKAP8	-0.976089865333047	-2.08166817117217e-16	-5.61152149062435	3.78631361575609e-08	7.71118457517419e-08	8.91160261418936	0.743959713611139	-0.640291483573802	-1	50.3532150988453
RPS10	0.974991317348147	-2.77555756156289e-17	5.60520595980625	3.91640787697413e-08	7.71118457517419e-08	8.87758448341613	0.732705753092423	0.792670411471002	1	48.5345599142537
KHDRBS1	-0.979231472936005	-6.93889390390723e-17	-5.62958253111379	3.43706019271943e-08	7.71118457517419e-08	9.00909846941066	0.736978616808801	-0.68838121170505	-1	49.2250604485254
EIF4G2	0.99245698483696	2.77555756156289e-16	5.70561573962517	2.28073401774388e-08	7.71118457517419e-08	9.42297124437032	0.714756977600263	-0.672511342794755	-1	45.6340136086577
HNRNPU	-0.980892790381759	-9.71445146547012e-17	-5.6391334125241	3.26526191832293e-08	7.71118457517419e-08	9.06078201560102	0.738330025943976	0.772459176102103	1	49.4434499858
SF3B1	0.98171929823779	5.55111512312578e-17	5.64388498997717	3.18293605039008e-08	7.71118457517419e-08	9.08652729027658	0.885709018566868	-0.829343829197501	-1	73.2600937875748
HNRNPA1	-0.974442776432653	-2.4980018054066e-16	-5.60205240884224	3.98298674490824e-08	7.71118457517419e-08	8.86061245858868	0.799036303454242	0.839099579880328	1	59.2536662334658
TROVE2	0.985758488909807	-1.66533453693773e-16	5.66710621792529	2.80881434067581e-08	7.71118457517419e-08	9.21265783368414	0.805033307669311	0.89502132546566	1	60.2227901956135
SRSF1	0.991263319296156	-8.32667268468867e-17	5.69875337984383	2.3671625491816e-08	7.71118457517419e-08	9.38538930657535	0.721499519036253	0.673353287182991	1	46.7236173903213
DDX24	0.977689965329053	-2.91433543964104e-16	5.62072043411678	3.60432024205869e-08	7.71118457517419e-08	8.96122056455012	0.650043562072258	-0.538343872576031	-1	35.1762384576872
EIF2S2	0.991964570877408	6.93889390390723e-17	5.70278486142999	2.31600860868832e-08	7.71118457517419e-08	9.40746236684143	0.645844960229898	-0.682361979360305	-1	34.4977387423254
TBRG4	0.973053512747157	2.35922392732846e-16	5.59406555916356	4.15657459278382e-08	7.71118457517419e-08	8.81767094020961	0.708189222484312	0.803235190900572	1	44.5726555318379
DNAJC21	-0.976983683190775	1.38777878078145e-17	-5.61666003195695	3.68357697863795e-08	7.71118457517419e-08	8.93930924384105	0.899444616092271	-0.805998795939475	-1	75.4797848564649
SF3B4	-0.997979173900113	-1.38777878078145e-17	-5.73736269623619	1.91930577159116e-08	7.71118457517419e-08	9.59742310197079	0.624032490651399	0.620939465648299	1	30.9728142660302
