logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	0.997281319912112	1.38777878078145e-17	15.8067733957356	6.1571708971133e-44	1.10873592009752e-43	117.05278176311	0.690643583741759	-0.698930501850509	-1	40.2740693912129
KHDRBS1	0.996456502564879	3.33066907387547e-16	15.79370015287	6.99055881514819e-44	1.10873592009752e-43	116.847295343302	0.573903440429338	0.434329698690243	1	19.2916406682128
HNRNPUL1	-0.997365141514017	2.77555756156289e-17	-15.8081019567349	6.07824260756043e-44	1.10873592009752e-43	117.073673722771	0.750157276854783	-0.642940892878048	-1	50.9708339175731
EIF4G2	0.997417847805691	1.11022302462516e-16	15.8089373442955	6.02913140525597e-44	1.10873592009752e-43	117.086811303828	0.905250048455408	-0.949363506401815	-1	78.8466179728804
PABPC4	-0.996442861486868	-1.52655665885959e-16	-15.7934839436372	7.00524903326275e-44	1.10873592009752e-43	116.843898376109	0.55608506009834	-0.549845163281478	-1	16.0890328535734
SF3B1	-0.998948216501179	-8.32667268468867e-17	-15.8331934801505	4.76360804244627e-44	1.10873592009752e-43	117.46857404785	0.809295038327821	-0.914955566716618	-1	61.6000299227984
HNRNPA1	0.996776911815845	4.16333634234434e-17	15.798778595956	6.65421690973275e-44	1.10873592009752e-43	116.927098578368	1.01861829140624	-1.10565046379107	-1	99.2229941676712
CIRBP	0.99965181808166	1.66533453693773e-16	15.8443454695857	4.27447428219509e-44	1.10873592009752e-43	117.644289513745	0.559515956280933	-0.587194531439237	-1	16.7056890659494
TROVE2	0.996360447654462	-1.38777878078145e-16	15.7921776955932	7.09465938027438e-44	1.10873592009752e-43	116.823376274324	0.64688430973426	-0.627735496151901	-1	32.4089441499721
SRSF1	-0.999709981394912	0	-15.8452673501967	4.23635867814083e-44	1.10873592009752e-43	117.658820591259	0.711323490946256	-0.781027220915817	-1	43.9909971472065
ESF1	-0.99866944591993	-1.80411241501588e-16	-15.8287750043211	4.97252322360854e-44	1.10873592009752e-43	117.398988892473	0.763810194686252	0.724797878129909	1	53.4247573678222
DNAJC21	0.998844646303651	-5.55111512312578e-17	15.8315519065943	4.84018175940798e-44	1.10873592009752e-43	117.442719166255	0.798561031024547	-0.868614769869775	-1	59.6707403334379
SF3B4	-0.997620165767515	8.32667268468867e-17	-15.8121440564965	5.84426549048475e-44	1.10873592009752e-43	117.137247567656	0.654992284234246	-0.666560315875231	-1	33.8662406052161
STIP1	0.997042034347347	-2.08166817117217e-16	15.8029807520516	6.38816376325189e-44	1.10873592009752e-43	116.993151137403	0.961299037396178	-1.0077114530343	-1	88.9206497675697
