logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	-0.999747266347231	1.38777878078145e-16	-17.8702642683942	2.36375942118435e-06	1.11491288291796e-05	5.74864777961347	0.908448329303795	0.941533549292427	1	54.5326857686654
HNRNPUL1	-0.99862249449046	-1.52655665885959e-16	-16.8517363548351	3.31978284280674e-06	1.11491288291796e-05	5.43299552770328	0.993715201776475	-1.11558405649188	-1	63.7208128374625
EIF4G2	-0.998844779935712	-8.32667268468867e-17	-17.0394847691707	3.11374454363522e-06	1.11491288291796e-05	5.49309757229211	1.08540820992851	-1.01794425996045	-1	73.6014028695537
HNRNPU	-0.999320446637219	-1.94289029309402e-16	-17.462827087291	2.70152756053896e-06	1.11491288291796e-05	5.62539314275852	0.780965327068716	-0.76902617558163	-1	40.7954629800266
HNRNPA1	-0.999414269750116	-2.63677968348475e-16	-17.5500421205368	2.62472247520436e-06	1.11491288291796e-05	5.65210658718789	1.12541931473847	-1.12367694494345	-1	77.9128910770601
TROVE2	0.999156621839289	-1.66533453693773e-16	17.3135516102562	2.83915894371461e-06	1.11491288291796e-05	5.57924582281383	0.911271785026774	-0.909611081091127	-1	54.8369337046286
SRSF1	-0.9996940856361	-1.38777878078145e-16	-17.8179680072915	2.40423310279728e-06	1.11491288291796e-05	5.73304485107943	0.793221670015017	0.74438893522309	1	42.1161732761085
DDX24	-0.998013642988683	2.22044604925031e-16	-16.3670612152151	3.92961844304103e-06	1.11491288291796e-05	5.27361558202918	0.778632500913713	-0.780957073518572	-1	40.5440839564973
DNAJC21	-0.998658985530257	-2.77555756156289e-17	-16.8821407063789	3.28536124113441e-06	1.11491288291796e-05	5.44278945056227	1.1928046655183	1.16462248942489	1	85.1741538346324
STIP1	0.999434842214554	5.55111512312578e-17	17.5693376099076	2.60807613239215e-06	1.11491288291796e-05	5.65799215223066	0.845163114025602	-0.896455178963843	-1	47.7132424996686
RPS19	-0.999370754514394	-1.11022302462516e-16	-17.5094326436749	2.66016333767032e-06	1.11491288291796e-05	5.63969078237593	1.01288345295227	1.06573130294746	1	65.7863316301952
SLBP	-0.999178342000033	3.05311331771918e-16	-17.3331270706564	2.82065206210665e-06	1.11491288291796e-05	5.58532822933346	0.86006517784261	-1.08663063670326	-1	49.3190485057687
DDX6	-0.998340270320041	1.80411241501588e-16	-16.621898656976	3.59405331143342e-06	1.11491288291796e-05	5.35818695417247	0.987273694328131	-1.09562831169538	-1	63.0266934540061
PRPF8	-0.9992629390833	-6.93889390390723e-17	-17.4099963489364	2.74932779534149e-06	1.11491288291796e-05	5.6091226049996	0.863690014074636	-0.730628692523204	-1	49.7096510333107
EIF3G	-0.998087650696132	-2.4980018054066e-16	-16.4237966284562	3.85185334712158e-06	1.11491288291796e-05	5.29259428482543	0.981116570459349	-0.889961672886871	-1	62.3632184742851
ADAR	-0.999526365065286	-1.94289029309402e-16	-17.6559427825566	2.53486248426121e-06	1.11491288291796e-05	5.68429998378254	1.12849774344172	-1.1709535014642	-1	78.244614210294
MSI2	-0.999814135669389	-4.16333634234434e-17	-17.9366676651456	2.31350823206474e-06	1.11491288291796e-05	5.76836894219106	0.782310449574364	-0.72551303883059	-1	40.940409735391
EEF2	-0.999127454933285	2.22044604925031e-16	-17.2873667462811	2.8641364471543e-06	1.11491288291796e-05	5.57109513916857	0.970091190441893	-1.12018758200116	-1	61.1751534069915
PNPT1	-0.99815642581364	5.55111512312578e-17	-16.4770415628426	3.78050115859e-06	1.11491288291796e-05	5.31032667516029	1.10094085082772	-1.1980816432394	-1	75.2751581529047
PABPC1	-0.999289869774103	-1.38777878078145e-16	-17.4346782539172	2.72687427882906e-06	1.11491288291796e-05	5.61673238277434	1.02715207314915	1.00876664828008	1	67.323879468687
NELFE	-0.999035574749268	5.55111512312578e-17	-17.2056358072696	2.94376441116639e-06	1.11491288291796e-05	5.54554619153709	0.898155822877588	0.987105335735186	1	53.4235931731711
DDX28	0.998544887855575	2.08166817117217e-16	16.7876059392015	3.39377610549352e-06	1.11491288291796e-05	5.41225983339672	0.797084588209327	-0.815643525150289	-1	42.5324308706047
RRP9	-0.998415534475599	1.11022302462516e-16	-16.6822902266656	3.51950586359093e-06	1.11491288291796e-05	5.37797661970623	0.857555786631811	-0.907180188905374	-1	49.0486433103918
HSPD1	-0.998135448601407	1.52655665885959e-16	-16.4607475505438	3.80217134047869e-06	1.11491288291796e-05	5.30490827412661	0.854971940517671	-0.867472153342043	-1	48.770215056435
CPSF7	-0.998646828378734	-2.22044604925031e-16	-16.8719934593552	3.29680271193406e-06	1.11491288291796e-05	5.43952342648534	1.09520958905169	-1.2714108309579	-1	74.6575729180344
NOL12	-0.998578082551446	-9.71445146547012e-17	-16.8149485413787	3.36199548279538e-06	1.11491288291796e-05	5.421113638449	1.07852979747579	-1.00117616182046	-1	72.8602037870208
ATP5C1	-0.998813453261044	3.05311331771918e-16	-17.0126527972804	3.14225656778064e-06	1.11491288291796e-05	5.48456280676853	0.926546310752789	-1.1040059382153	-1	56.4828751965157
XRCC6	-0.999095090006781	1.11022302462516e-16	-17.2584467662298	2.89202152189339e-06	1.11491288291796e-05	5.56207357352471	1.0174490882248	0.993243225162062	1	66.2783121123827
SLTM	0.998410758858113	1.11022302462516e-16	16.678439128967	3.52420546452565e-06	1.11491288291796e-05	5.37671750767188	0.987024868127757	-0.877660741859737	-1	62.9998806170769
KRR1	-0.998180104957895	2.77555756156289e-17	-16.4954913203808	3.7561376776588e-06	1.11491288291796e-05	5.31645338322204	1.00913242284585	-1.0999151139775	-1	65.382130792786
UPF1	-0.998557889180841	-3.60822483003176e-16	-16.7982996082469	3.38130516949115e-06	1.11491288291796e-05	5.4157248454005	0.747598480327433	-0.771745335970058	-1	37.1999420132851
ASCC1	0.999912835327332	2.22044604925031e-16	18.0360215589119	2.24063094250681e-06	1.11491288291796e-05	5.79768794966272	0.767221579727577	-0.927229116455577	-1	39.3144740178445
BUD13	0.997968775399263	-1.11022302462516e-16	16.3329439364412	3.97726342256594e-06	1.11491288291796e-05	5.26216104651499	0.77593936744429	-0.87677930916038	-1	40.2538791933495
DDX19B	-0.99932765915351	-2.77555756156289e-17	-17.4694863949025	2.69557144588975e-06	1.11491288291796e-05	5.62743927380488	1.00697387446144	0.835945629920086	1	65.1495314694507
IGF2BP3	0.998657568608553	-5.55111512312578e-17	16.8809571164211	3.28669340159769e-06	1.11491288291796e-05	5.44240863234479	0.866619084859092	-0.934254113846927	-1	50.0252797620378
YBX3	-0.999479417042246	-1.2490009027033e-16	-17.6113607565176	2.57224700649266e-06	1.11491288291796e-05	5.6707795775664	1.05087741136578	-1.23742820581485	-1	69.880457609329
SRP68	-0.998919527889233	0	-17.1040140445632	3.04640204795548e-06	1.11491288291796e-05	5.51354916807148	0.584653973978186	-0.623069324002839	-1	19.6414836567998
FUS	-0.998080020700913	-9.71445146547012e-17	-16.4179206523307	3.85982344267023e-06	1.11491288291796e-05	5.29063272285272	0.813670090778932	-0.869921848689365	-1	44.3196396738619
AKAP1	-0.997788449638671	1.80411241501588e-16	-16.1979000473423	4.17258656923497e-06	1.11491288291796e-05	5.21651017128435	0.872420799321467	-0.86410796733651	-1	50.6504567874325
SMNDC1	0.99805807985628	-2.77555756156289e-17	16.4010580030188	3.88280276847766e-06	1.11491288291796e-05	5.28499834995948	0.658155549079789	-0.762559599837817	-1	27.5618141697624
ZC3H8	0.999698838940709	1.66533453693773e-16	17.8226239236226	2.4005971224766e-06	1.11491288291796e-05	5.7344365369696	0.928584653535288	-1.20185564777706	-1	56.702521489997
DKC1	-0.999594083424059	0	-17.7208377175991	2.48157172950663e-06	1.11491288291796e-05	5.70389709507808	0.977965289223881	-1.2060306404181	-1	62.0236449496401
GRWD1	-0.999278750347831	1.2490009027033e-16	-17.4244748548763	2.73613042487604e-06	1.11491288291796e-05	5.61358831423178	0.973330872384406	-1.0955689389124	-1	61.5242527522247
PUF60	0.999038764401163	3.60822483003176e-16	17.2084541025048	2.94097597225052e-06	1.11491288291796e-05	5.54642992362044	0.951304937780317	1.01058813153765	1	59.1507977387759
DDX27	-0.999808056235513	-2.4980018054066e-16	-17.930600533274	2.31804746044843e-06	1.11491288291796e-05	5.76657126010214	1.22319793028971	-1.28556866509911	-1	88.4492496679499
AARS	-0.998772988948058	-8.32667268468867e-17	-16.978177413245	3.17933897693506e-06	1.11491288291796e-05	5.47357016018802	0.889317537692176	0.866153044720225	1	52.4712035170377
TUFM	-0.999632757514191	-2.35922392732846e-16	-17.7582159072941	2.45147105129222e-06	1.11491288291796e-05	5.71513988783408	1.12980580985596	-1.14611766760769	-1	78.3855679016856
CELF1	-0.999640593812771	8.32667268468867e-17	-17.7658179532939	2.4454013852749e-06	1.11491288291796e-05	5.71742248019785	0.994065471453626	-1.00852644106314	-1	63.7585569484951
HNRNPC	-0.998976135651336	-2.22044604925031e-16	-17.1533640720229	2.99604591186192e-06	1.11491288291796e-05	5.52911973723889	0.728152492322804	-0.734015747786345	-1	35.1044950526607
PCBP2	0.998623810554687	2.91433543964104e-16	16.8528301039209	3.31853730502201e-06	1.11491288291796e-05	5.43334825949218	0.811166735335557	-0.778601482699453	-1	44.0498848764232
UCHL5	-0.999736456062866	2.77555756156289e-17	-17.8595971606663	2.37195005811197e-06	1.11491288291796e-05	5.74547030357626	0.689404134702443	-0.691726677509325	-1	30.9290770597333
RBM39	-0.999991813894011	0	-18.1167022083234	2.18341700153016e-06	1.11491288291796e-05	5.821332011974	0.878696764490822	-0.831670871775908	-1	51.3267377835937
FTO	-0.9989125101277	-8.32667268468867e-17	-17.097925084697	3.05268333680162e-06	1.11491288291796e-05	5.51162381563628	0.841724757228608	-0.848888564788328	-1	47.3427344906084
NUFIP2	-0.999084012406404	-1.38777878078145e-16	-17.2485809208375	2.90160670384019e-06	1.11491288291796e-05	5.55899123523362	0.776776588752943	0.781899278526108	1	40.3440958923503
BOP1	-0.999198946001763	1.11022302462516e-16	-17.3517568998463	2.80316981283032e-06	1.11491288291796e-05	5.59110814234347	0.87396793433488	-0.950528461201439	-1	50.8171718630954
STAU1	-0.997917108779857	-1.94289029309402e-16	-16.2939141021661	4.03259761108829e-06	1.11491288291796e-05	5.24901841078566	0.823971420210634	-0.869387522796844	-1	45.4296830125142
HNRNPAB	-0.997843943456112	-1.38777878078145e-17	-16.2391091579139	4.11182010993761e-06	1.11491288291796e-05	5.2304936268314	0.988729546963595	-0.9418949707084	-1	63.1835721880347
G3BP1	-0.999436599042209	-1.38777878078145e-16	-17.5709882834334	2.60665781548938e-06	1.11491288291796e-05	5.65849523427249	0.840873165359562	-1.0048352050118	-1	47.2509692589699
HNRNPA2B1	0.999371972734735	5.55111512312578e-17	17.5105657555365	2.659166899e-06	1.11491288291796e-05	5.64003775027048	0.84212187344288	-0.845555202296289	-1	47.3855266575075
UTP3	-0.997916243048254	-1.52655665885959e-16	-16.2932624439009	4.03352908796612e-06	1.11491288291796e-05	5.24879862388236	1.0001286892051	-0.918171362587357	-1	64.4119128595401
KIF1C	-0.998421998173943	0	-16.6875067700406	3.51315162719129e-06	1.11491288291796e-05	5.37968154476683	0.960053898258242	-1.03826545676234	-1	60.0935620065379
GRSF1	-0.998821443648667	-2.4980018054066e-16	-17.0194849319524	3.13496783983666e-06	1.11491288291796e-05	5.4867377057125	0.974549036341285	-0.998501665677584	-1	61.6555187984846
ZRANB2	0.997774460463459	-1.38777878078145e-16	16.1875601736551	4.18799763126542e-06	1.11491288291796e-05	5.21299421433063	0.953040209844736	-1.08505526438819	-1	59.3377859531252
PES1	0.999655123926002	-3.60822483003176e-16	17.7799391116401	2.43417318253024e-06	1.11491288291796e-05	5.72165893282948	0.65908472022221	-0.746756468895956	-1	27.6619391336277
RBM17	-0.997831929929487	5.55111512312578e-17	-16.2301619545186	4.12492532582662e-06	1.11491288291796e-05	5.22746154561623	1.01603193621256	-0.99671371727286	-1	66.1256036526184
RAVER1	-0.999827298517599	1.66533453693773e-16	-17.9498246286534	2.30370022112991e-06	1.11491288291796e-05	5.77226443883274	0.911824381463487	-0.982897846508362	-1	54.8964799988815
U2AF2	0.999936268448769	2.4980018054066e-16	18.0598491375592	2.22355366749729e-06	1.11491288291796e-05	5.80468607810154	0.698629537872668	-0.85205780173342	-1	31.9231815006587
SERBP1	-0.999950423609727	-1.66533453693773e-16	-18.0742875956405	2.21327951976404e-06	1.11491288291796e-05	5.80892039323748	0.880660341546155	-0.928456740126781	-1	51.5383275249619
TIAL1	-0.99889149448063	-1.94289029309402e-16	-17.0797289186031	3.07154451622559e-06	1.11491288291796e-05	5.50586459625917	0.864095339878983	-0.852113268403244	-1	49.7533278433849
SNRNP200	-0.998510129676118	-1.66533453693773e-16	-16.759115063364	3.42726495583789e-06	1.11491288291796e-05	5.40301366081941	0.751565196612887	-0.75121213641939	-1	37.6273846087468
EIF4A3	-0.99782754827988	-1.94289029309402e-16	-16.2269022721238	4.12971197832672e-06	1.11491288291796e-05	5.22635633898996	0.918511286150585	-0.988468367727053	-1	55.6170427236569
APOBEC3C	-0.999793256604664	8.32667268468867e-17	-17.9158560873297	2.32912216601904e-06	1.11491288291796e-05	5.76219899023335	1.11144595021118	1.0678349963424	1	76.4071591892567
AATF	-0.997844387203401	2.77555756156289e-17	-16.2394399207306	4.11133656429691e-06	1.11491288291796e-05	5.23060567558788	0.909622139865058	-0.865478106905519	-1	54.6591724132299
CCAR2	-0.999962080236654	1.66533453693773e-16	-18.0862030888697	2.20484238486708e-06	1.11491288291796e-05	5.81241126644563	1.01175542968493	1.02003610342583	1	65.6647789003202
PUM2	-0.997713888180478	6.93889390390723e-17	-16.1430115672059	4.25515902323405e-06	1.11768843676948e-05	5.19781219257591	0.830979010474658	-0.865002939288715	-1	46.1652791270803
AKAP8	-0.997581115682578	-1.11022302462516e-16	-16.0466074093294	4.40484663037356e-06	1.12397020554165e-05	5.16476922654205	0.912088720631364	-1.03777213594839	-1	54.8552341540029
HNRNPA0	-0.997591166968768	1.2490009027033e-16	-16.053846485883	4.39339543836866e-06	1.12397020554165e-05	5.16725946326538	0.757415959876334	-0.773255286222632	-1	38.199941607803
SF1	-0.997520332502629	2.77555756156289e-17	-16.0030335896724	4.47451436693726e-06	1.12397020554165e-05	5.14974879797126	1.31684293275364	1.17763042913152	1	98.4395070362851
AKAP8L	-0.997491950592137	-1.11022302462516e-16	-15.9828058628585	4.50729168719748e-06	1.12397020554165e-05	5.142757895884	0.637360259102656	-0.652337264592014	-1	25.2722431012021
SART3	-0.997389164619003	-2.91433543964104e-16	-15.9101730584245	4.62731788758347e-06	1.13947702981743e-05	5.11755990232216	1.02990759498982	0.899043102085019	1	67.4087259826912
SUPV3L1	-0.997313233784744	1.11022302462516e-16	-15.8571344760625	4.71732271496833e-06	1.14729947512193e-05	5.09906482052508	0.918424327228216	-0.881356446309462	-1	55.359176668437
PABPC4	-0.9971778908408	-1.66533453693773e-16	-15.7638675018161	4.88059529488538e-06	1.14915857337081e-05	5.06634606913308	0.857965744078846	-0.880906412656003	-1	48.8475558764234
SF3B1	0.997202518259903	3.33066907387547e-16	15.7807189967861	4.85061323162654e-06	1.14915857337081e-05	5.07227625109041	0.996448384286069	-0.997665060186976	-1	63.7304823444503
G3BP2	0.997117354473362	2.91433543964104e-16	15.7226681474003	4.95481172022962e-06	1.14915857337081e-05	5.05181304076664	0.796600381428001	-0.991794002854378	-1	42.2525330009952
TRIM56	-0.997067383909155	-3.33066907387547e-16	-15.6888962821219	5.01663133552738e-06	1.14915857337081e-05	5.0398632615126	0.772617795859379	-0.694160996689915	-1	39.6750903916049
IGF2BP2	0.997090094547872	4.16333634234434e-17	15.7042185579734	4.98847298457807e-06	1.14915857337081e-05	5.04528898636817	0.699396784589791	-0.864414355890002	-1	31.8059240830396
MAGOH	-0.996969735040121	-3.19189119579733e-16	-15.6235106483682	5.13889578424749e-06	1.16363502241006e-05	5.01663260992507	0.891374507478984	-0.91300917646107	-1	52.3326033764422
EFTUD2	0.996908523105412	5.82867087928207e-16	15.5829279786111	5.21652912597785e-06	1.16779117933822e-05	5.00215096792357	0.777318484694096	-0.761294803331177	-1	40.0621449702164
DDX47	-0.996778490429694	2.77555756156289e-17	-15.4977327975594	5.38399893764218e-06	1.18177272433231e-05	4.97159114473084	0.916941046290965	0.897132156819132	1	54.9432443744477
DDX1	-0.996767002807563	-2.63677968348475e-16	-15.4902717169185	5.39896168476688e-06	1.18177272433231e-05	4.96890454890575	0.71514224303665	-0.68797498307837	-1	33.3090023743931
KHDRBS1	-0.996637929081498	5.55111512312578e-17	-15.4071563677051	5.5689667826217e-06	1.20558951228184e-05	4.93886357247105	0.879533654465847	-1.11036244090521	-1	50.7670872641897
UTP18	0.996567119780281	3.19189119579733e-16	15.3621106792414	5.66370943159153e-06	1.21277256306906e-05	4.92249551740168	0.810049457067544	-0.912455602242239	-1	43.2855270678145
RPS3A	-0.996457208298728	-2.77555756156289e-17	-15.2929472481225	5.81286189134513e-06	1.23132665870429e-05	4.89724413822912	1.0095465972489	0.946510090203984	1	64.4793708090538
AGO1	-0.996285134145256	-1.80411241501588e-16	-15.1864738760335	6.05152389922958e-06	1.24182313348774e-05	4.85808503548461	1.05129186110648	0.711778650071648	1	68.8542318140319
U2AF1	0.99637531515049	3.05311331771918e-16	15.2420031750334	5.92565731983872e-06	1.24182313348774e-05	4.8785512311965	0.800574492757272	-0.746715238745155	-1	42.0929979732544
HNRNPM	-0.996325824736591	-1.80411241501588e-16	-15.2114558732638	5.99451602989132e-06	1.24182313348774e-05	4.86730430418564	1.02540595037116	-1.18849930840336	-1	66.0912046056234
ABCF1	-0.996237982528639	-1.38777878078145e-16	-15.1576747152795	6.11802861303546e-06	1.24252746058555e-05	4.84743314558699	1.06667037165828	1.24075155123205	1	70.4899984355649
ESF1	-0.996083016547453	-1.11022302462516e-16	-15.0641382568265	6.33998367017779e-06	1.24689189097438e-05	4.81265904764836	0.953462582903433	0.889892637090791	1	58.3753684013824
RBFOX2	0.995893177536229	1.38777878078145e-17	14.9518209144857	6.6190264586949e-06	1.24689189097438e-05	4.77053990127195	0.890088064877892	-0.982697751538052	-1	51.6132970436296
BCLAF1	-0.996010787255822	1.66533453693773e-16	-15.0211140903157	6.44522129103155e-06	1.24689189097438e-05	4.79657197016064	0.725416224598945	-0.740652458826872	-1	34.0427849628918
LSM11	-0.995875194682965	-2.77555756156289e-17	-14.9413079454839	6.64587048488885e-06	1.24689189097438e-05	4.76657708579983	0.976633804207272	-1.03745447657563	-1	60.8477414747318
FXR1	-0.995891506114056	0	-14.9508428716188	6.62151847226592e-06	1.24689189097438e-05	4.7701713807581	0.919898202948288	-0.973357831362658	-1	54.7940436133352
MATR3	-0.99595086480763	-3.60822483003176e-16	-14.9856920153204	6.53339517083634e-06	1.24689189097438e-05	4.78328358955355	0.777625974128978	-0.770269270123805	-1	39.6135737103535
SSB	-0.996023976983125	-4.16333634234434e-17	-15.0289438822914	6.42591880778849e-06	1.24689189097438e-05	4.79950392637343	0.94682129403079	-0.973113366431741	-1	57.6667418009219
TFIP11	0.996147901805066	-9.71445146547012e-17	15.1030966770611	6.24641602061504e-06	1.24689189097438e-05	4.8271758133609	0.857344993187867	-0.81327102789778	-1	48.1196059807528
NSUN2	-0.995798795829891	8.32667268468867e-17	-14.8968840198416	6.76071407885138e-06	1.25647233352238e-05	4.74979280798551	0.878614180824314	-0.982406325581631	-1	50.3254875961359
EXOSC9	0.995684985351273	5.55111512312578e-17	14.831416299135	6.93420482296195e-06	1.27667135525561e-05	4.72494258188973	0.684587362761868	-0.70995260841783	-1	29.5336646365945
PKM	-0.995563475143998	-8.32667268468867e-17	-14.762439094126	7.12263889295276e-06	1.29922209436268e-05	4.69861072089755	0.762102645579322	0.726355509114318	1	37.6611834583901
RBM25	0.995458495502124	-1.38777878078145e-17	14.7035943385618	7.28812488998003e-06	1.31721156268446e-05	4.67602470200256	0.7004963708404	-0.64638323357028	-1	31.0206960593486
EIF4G1	0.995400150800005	1.38777878078145e-16	14.6711848491666	7.38118124830047e-06	1.3219024599229e-05	4.66353681505062	1.05126625347903	-0.833131728976983	-1	68.2307485862598
EIF3D	-0.995291937212918	-1.52655665885959e-16	-14.6116222945307	7.5558385045618e-06	1.34099115801682e-05	4.64049632174979	0.886482360496686	-0.832898326757829	-1	50.619147427461
SUPT6H	0.995233269181747	1.94289029309402e-16	14.579624163759	7.65165533888171e-06	1.3458715194283e-05	4.62807010557553	0.930977303371572	-1.02352929355459	-1	55.304220051878
BCCIP	-0.995165502649922	-3.46944695195361e-16	-14.5429170140406	7.76332279993586e-06	1.35342884211271e-05	4.61377327852894	1.11277043025033	-1.07360341672361	-1	74.5114847992068
SRSF5	-0.995039203713259	-8.32667268468867e-17	-14.4752184436248	7.97429228189879e-06	1.37801366625795e-05	4.5872877283854	0.831211653717027	-0.810913901866744	-1	44.5458517227743
RPS10	-0.994774117369772	2.77555756156289e-17	-14.3360671391374	8.42928292123565e-06	1.38004979084388e-05	4.5323623042904	0.886605811015768	-0.88212766918508	-1	50.3917120183946
FIP1L1	0.994980378316573	1.66533453693773e-16	14.4439993211646	8.0738278748689e-06	1.38004979084388e-05	4.57502207424009	0.758203617514496	-0.730574040641869	-1	36.814281963139
PTBP1	-0.994767200094476	2.77555756156289e-17	-14.3324881296918	8.44137866672218e-06	1.38004979084388e-05	4.53094091588503	0.776270141644797	0.773631507599419	1	38.7246618486533
PCBP1	-0.994864711850291	-1.38777878078145e-16	-14.3831827907789	8.27191796118067e-06	1.38004979084388e-05	4.55103329470419	0.899889659493789	-1.18760671714521	-1	51.7963649971085
DAZAP1	0.994748852511841	-5.55111512312578e-17	14.323007668627	8.47351707043695e-06	1.38004979084388e-05	4.5271736714589	0.98935438222132	-1.17481153989882	-1	61.2564916672488
RBM22	-0.994846358320189	-5.55111512312578e-17	-14.3736011547336	8.30364102753206e-06	1.38004979084388e-05	4.54724241557066	0.752076528872798	-0.742728444089663	-1	36.1663949200396
HLTF	0.994747181570908	-1.66533453693773e-16	14.322145177652	8.47644795391419e-06	1.38004979084388e-05	4.52683079119657	0.873248455051939	-0.961818071635415	-1	48.979286253875
EIF2S2	-0.994346721640169	-9.71445146547012e-17	-14.1197071326889	9.19826370952165e-06	1.47863988628672e-05	4.44564114550783	0.757134147426582	-0.702084418520072	-1	36.2075378542675
SAFB2	-0.994328455669965	-2.77555756156289e-17	-14.1106712526119	9.23211705651099e-06	1.47863988628672e-05	4.4419839182304	1.04288862356632	-0.958439827600247	-1	66.2373075087192
PUM1	-0.994075359052436	-1.94289029309402e-16	-13.9871776963602	9.70966145423109e-06	1.54258331168026e-05	4.39171132495852	0.959694528897746	-1.14261299584072	-1	57.1105832324946
SF3B4	-0.993432054868566	-3.46944695195361e-16	-13.686931066063	1.09958958456251e-05	1.64105415271829e-05	4.26719609909822	0.76460532548244	-0.756035930522276	-1	36.2397469965604
SBDS	-0.993664176296088	-1.66533453693773e-16	-13.7930923447612	1.05196343359613e-05	1.64105415271829e-05	4.31159780438212	0.895540866709268	-0.95943556578748	-1	49.8707493055206
QKI	-0.993609122525064	4.16333634234434e-17	-13.7676967872306	1.06313394227404e-05	1.64105415271829e-05	4.30101390286929	0.679428467496549	-0.685574844022561	-1	27.3724376549028
RBM15	-0.993462215378978	-2.22044604925031e-16	-13.7005907821714	1.09332279485569e-05	1.64105415271829e-05	4.27293255217385	0.746988673477902	-0.712678012578611	-1	34.4057711188115
TAF15	0.993554367031818	1.2490009027033e-16	13.7425732954322	1.07432102518127e-05	1.64105415271829e-05	4.2905200946182	1.04879047794383	-0.87479773027907	-1	65.8247506791179
PRPF6	-0.993465132045358	1.2490009027033e-16	-13.7019138461159	1.09271801478103e-05	1.64105415271829e-05	4.27348781115125	0.87304383352654	0.851644643442173	1	47.5287029185332
RTF1	-0.993439833525501	4.16333634234434e-17	-13.6904502339479	1.09797107078491e-05	1.64105415271829e-05	4.26867464904784	0.909196975386857	0.994168331039416	1	51.2924140970011
CKAP4	-0.993463378651454	-1.2490009027033e-16	-13.7011184235698	1.09308156021645e-05	1.64105415271829e-05	4.27315399868904	0.930715259914618	-0.983656816085154	-1	53.5325681707879
TBRG4	0.993336058514478	-2.77555756156289e-17	13.6437165100437	1.11969297258715e-05	1.65287496348014e-05	4.2490023468618	0.930472478604815	-1.00076247035065	-1	53.4441901855088
RBM34	0.993314263836875	1.38777878078145e-16	13.6339603829835	1.12429058429614e-05	1.65287496348014e-05	4.24488530145782	0.703197477927495	-0.866264179475513	-1	29.7992129740926
SUCLG1	0.99314449013681	-1.11022302462516e-16	13.558651339734	1.16053017815082e-05	1.69351440811638e-05	4.21298529648307	0.922573872193675	-1.04962225053097	-1	52.4107017162269
AUH	-0.99287104321215	-5.55111512312578e-17	-13.4398566904704	1.22050025877773e-05	1.76793052190598e-05	4.1622300051697	0.722873911416015	-0.744908553487133	-1	31.3866456500772
SMN1	0.992792442646071	-1.66533453693773e-16	13.4062658142506	1.23810740719538e-05	1.78034422786489e-05	4.14778065353228	0.819809864099012	-0.742604934306246	-1	41.3557189668361
GTF2F1	0.992737831062636	6.93889390390723e-17	13.3830699968702	1.25043863792856e-05	1.78504646139078e-05	4.13777751332985	1.38766130368136	-0.743491794917748	-1	100
FASTKD2	-0.992619189465216	-1.11022302462516e-16	-13.333077038444	1.27750543458759e-05	1.79763264724111e-05	4.11614758241634	0.943988336074405	-1.11630857227591	-1	54.1014889622076
RCC2	0.992645173476608	3.7470027081099e-16	13.3439797372727	1.27154485005662e-05	1.79763264724111e-05	4.12087298319996	0.727617213194082	-0.782753845405928	-1	31.7625601797892
HNRNPL	-0.992097395824358	-1.2490009027033e-16	-13.1194686097327	1.4011204358903e-05	1.95759380049921e-05	4.02262809327838	0.771500242324503	0.793991298375408	1	35.671772679138
UPF2	0.991711967906352	1.80411241501588e-16	12.9679120400599	1.49730669794757e-05	2.0772494330681e-05	3.95517491776022	0.946091041737307	-1.04215288578133	-1	53.0261499724507
DHX30	0.991412522007755	1.38777878078145e-16	12.8536068232457	1.5749587422941e-05	2.16969840721634e-05	3.90368417176778	0.699694298692691	0.775123713236514	1	27.6359818876392
EIF4B	-0.990981095881344	-5.55111512312578e-17	-12.6939381696096	1.69141948286248e-05	2.31395582030492e-05	3.83085378052136	0.77089164014406	-0.723970166720385	-1	34.3912143732951
