logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	-0.998295045854056	-6.93889390390723e-17	-7.91875444919068	1.34858149392654e-07	4.80302918875645e-07	7.7142755437456	1.12155211189009	-1.05502514982209	-1	70.3193662122627
AKAP8	0.996055414624095	6.93889390390723e-17	7.84614432751318	1.55362558110474e-07	4.80302918875645e-07	7.57998683849735	0.889564537164666	-0.770016371292024	-1	40.6667041631197
RPS10	0.997773780072773	-3.60822483003176e-16	7.90171878786185	1.39402815445131e-07	4.80302918875645e-07	7.68283987331128	0.945807825936421	1.00838039311924	1	47.8557238183972
EIF4G2	-0.999898613222255	1.38777878078145e-17	-7.97168937848157	1.21690538244078e-07	4.80302918875645e-07	7.81167839278161	0.964271954525192	1.00270240978051	1	50.215809550242
SUB1	0.995554603399052	4.02455846426619e-16	7.83011348526342	1.60309303906348e-07	4.80302918875645e-07	7.5502321451918	0.697944655002048	-0.691597956617828	-1	16.1738423605427
HNRNPU	-0.996596686244234	-2.22044604925031e-16	-7.86355406431051	1.50168909800188e-07	4.80302918875645e-07	7.61225725215729	1.03863521285565	-0.990975652808225	-1	59.7209245149388
SF3B1	-0.987699343493384	-2.22044604925031e-16	-7.58796351971581	2.58461808258202e-07	4.80302918875645e-07	7.09609095206175	0.999026409295534	-0.868868201852076	-1	54.6581254942186
HNRNPA1	0.996567281793373	1.38777878078145e-16	7.86260603684424	1.50447044007335e-07	4.80302918875645e-07	7.61050117284508	1.01890391505973	0.968071763934938	1	57.1988691590606
CIRBP	-0.98886997000662	-8.32667268468867e-17	-7.62298346985806	2.41093256700242e-07	4.80302918875645e-07	7.16231346745716	1.0631481320917	-1.0122843078013	-1	62.8541669345153
TROVE2	0.994881408595528	8.32667268468867e-17	7.80868096565154	1.67178787335575e-07	4.80302918875645e-07	7.51039126097743	0.834022085604841	0.94759921167189	1	33.5672655512296
SRSF1	-0.999979230531394	-2.63677968348475e-16	-7.97437192344452	1.21059794184942e-07	4.80302918875645e-07	7.81660324335204	0.941185074579944	1.04952964541033	1	47.2648435358086
DDX24	0.996462848409119	5.55111512312578e-17	7.85924109716543	1.51438569356422e-07	4.80302918875645e-07	7.60426703710995	1.10142404557262	-1.13209919652831	-1	67.7465958864337
EIF2S2	0.992693915311221	1.38777878078145e-17	7.73994173845499	1.9133971170784e-07	4.80302918875645e-07	7.38214720111545	0.748007768928762	-0.702450788457773	-1	22.5729117941262
TBRG4	-0.993308726685631	-8.32667268468867e-17	-7.75912341425494	1.84254648190324e-07	4.80302918875645e-07	7.41800499216825	0.950530246988212	-0.918505885875391	-1	48.4593438858438
SF3B4	-0.993679942189754	6.93889390390723e-17	-7.77075697507071	1.80090366630349e-07	4.80302918875645e-07	7.4397256177641	1.00793783764572	-0.996271147222616	-1	55.7971846595897
STIP1	-0.987798619763154	-3.05311331771918e-16	-7.59091951650725	2.56946972674597e-07	4.80302918875645e-07	7.10168783489854	0.955947265837009	-0.73000646491398	-1	49.1517474743866
RPS19	-0.993258650636518	-2.77555756156289e-17	-7.75755707635371	1.84822887996865e-07	4.80302918875645e-07	7.41507898517879	1.19202851487697	-1.12367517584444	-1	79.3276631552471
SUCLG1	-0.99318828704912	-1.11022302462516e-16	-7.75535736297274	1.85623968217898e-07	4.80302918875645e-07	7.4109691759058	0.972828348030128	-0.81110775608318	-1	51.3094881460102
SLBP	0.994421646301052	8.32667268468867e-17	7.79411945919432	1.72019207564477e-07	4.80302918875645e-07	7.48328359811002	0.906552115390975	-0.789894078833139	-1	42.83805716241
CNOT7	-0.992984815733215	0	-7.74900431266274	1.87957821817469e-07	4.80302918875645e-07	7.39909545144383	0.88037676684325	0.955710875584489	1	39.4923229547789
EFTUD2	0.997652191182066	1.11022302462516e-16	7.89775706696523	1.40482240951237e-07	4.80302918875645e-07	7.67552313527413	0.888076294600546	-0.889394033997146	-1	40.4764769328328
PUM2	-0.995109963817647	-2.77555756156289e-17	-7.81594260934429	1.64817816949878e-07	4.80302918875645e-07	7.52389763612797	0.877371301075548	0.942913575682497	1	39.1081641875887
DDX6	0.998160973964552	-1.66533453693773e-16	7.91436483117697	1.36014313272884e-07	4.80302918875645e-07	7.70617959878082	0.911608838568967	-1.02038733674718	-1	43.4844077423949
