logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	0.999912320197605	-2.77555756156289e-17	49.7717312548354	3.48300021431489e-10	1.30756426112098e-09	14.4112095274942	1.06267638626219	-1.04916464759108	-1	34.2501522434393
AKAP8	0.999958376813955	5.55111512312578e-17	50.6060926676103	3.1013913340963e-10	1.30756426112098e-09	14.5206626996756	1.35448139707156	1.36107090530325	1	58.7868673657816
RPS10	-0.999888014924351	-1.38777878078145e-16	-49.3476827883986	3.69734443874482e-10	1.30756426112098e-09	14.3546357161721	1.40028462157806	1.64832635174753	1	62.6382771420687
KHDRBS1	0.999694033353186	-5.55111512312578e-17	46.3106475259134	5.75962687856366e-10	1.30756426112098e-09	13.9297410264298	0.924934232993529	0.991150362491139	1	22.6679660235492
HNRNPUL1	-0.999628798267546	5.55111512312578e-17	-45.4083678603489	6.60709027405358e-10	1.30756426112098e-09	13.7964448931963	1.55391644453726	-1.50780615837896	-1	75.5565620722015
EIF4G2	0.999881301985747	-2.77555756156289e-17	49.2324556763965	3.75816596667087e-10	1.30756426112098e-09	14.3391507206036	1.39538431034305	-1.36864304301517	-1	62.2262295886325
PABPC4	-0.999982626759627	0	-51.0625683401309	2.91295269073579e-10	1.30756426112098e-09	14.5795215995872	1.13927952985131	1.25348056456373	1	40.6914039084078
HNRNPU	-0.999934461453612	1.11022302462516e-16	-50.1676656602628	3.29559911950116e-10	1.30756426112098e-09	14.4634536127349	1.03310765766689	-1.04938876436668	-1	31.7638362337844
SF3B1	-0.999990610512149	5.55111512312578e-17	-51.2155698194642	2.85274498775236e-10	1.30756426112098e-09	14.5990910195195	1.27576520871534	-1.20146828757678	-1	52.167938225888
HNRNPA1	0.99969933104781	-9.71445146547012e-17	46.3862964003681	5.69440850266248e-10	1.30756426112098e-09	13.9407639229967	1.70207142123611	2.02133060517593	1	88.0143209267668
CIRBP	-0.999904413857	1.52655665885959e-16	-49.6325971082404	3.55172357398131e-10	1.30756426112098e-09	14.3927183183167	1.02622404241202	0.974745005310956	1	31.1850205854448
DDX24	0.999683450116863	-4.16333634234434e-17	46.1606214024515	5.89150811529134e-10	1.30756426112098e-09	13.9078112621244	0.831954773348649	0.822472783674533	1	14.8496955037666
TBRG4	0.999678847824656	0	46.0958319738751	5.94952583092274e-10	1.30756426112098e-09	13.8983122143968	1.13631291430112	1.22715290144123	1	40.4419530835898
DNAJC21	-0.999847852366315	1.52655665885959e-16	-48.6700559476824	4.07192701588171e-10	1.30756426112098e-09	14.2628740960805	1.41971855040798	-1.3619132280037	-1	64.2723984139584
SF3B4	-0.999692304959555	6.93889390390723e-17	-46.2860464841708	5.78101949732471e-10	1.30756426112098e-09	13.9261513398339	1.13868041042807	-1.06608005135284	-1	40.6410263546726
RPS19	0.999715179180893	9.71445146547012e-17	46.6148265704065	5.50245448328527e-10	1.30756426112098e-09	13.9739220235797	1.52912385959791	-1.40328619316592	-1	73.4718528613622
SUCLG1	-0.999854350989097	2.77555756156289e-17	-48.7778155506333	4.00955861512298e-10	1.30756426112098e-09	14.2775795520297	1.1847679019263	1.26900263392281	1	44.5163390042358
SLBP	-0.9996649222605	1.52655665885959e-16	-45.9014366036383	6.12755950976617e-10	1.30756426112098e-09	13.8697070405807	1.18193154103434	1.34230940714506	1	44.2778407721556
EFTUD2	-0.999971819373307	2.77555756156289e-17	-50.8576163792041	2.99589232647048e-10	1.30756426112098e-09	14.553182913704	0.982920206201842	-0.94701760219216	-1	27.543774364735
PUM2	0.999920724631308	-1.38777878078145e-16	49.9209176829309	3.41099393849387e-10	1.30756426112098e-09	14.4309600432664	1.32037494241137	1.24321941100218	1	55.9189921380426
