logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
RPS10	-0.999687011846563	-8.32667268468867e-17	-25.8074067827002	7.72593298872607e-11	2.68762893576539e-10	15.5509796560427	0.579896438920481	-0.558131905594222	-1	33.7797670501167
KHDRBS1	0.999358453965431	-1.94289029309402e-16	25.2773046589586	9.57616863549953e-11	2.68762893576539e-10	15.3437016643991	0.499114869548539	-0.519499064397773	-1	18.8667833998229
HNRNPU	0.999411831126902	-2.63677968348475e-16	25.361239916846	9.25342405933202e-11	2.68762893576539e-10	15.3768669031113	0.531746988684212	-0.503316841811288	-1	24.8909577619734
SF3B1	-0.999468740721895	-4.16333634234434e-17	-25.4516423342639	8.91906501383175e-11	2.68762893576539e-10	15.4124409701394	0.816197584005036	-0.658092241264612	-1	77.4030234511697
HNRNPA1	0.999419009943688	-1.11022302462516e-16	25.3725914371895	9.21069676909212e-11	2.68762893576539e-10	15.3813421404257	0.930375770072451	-0.714918999194148	-1	98.4813143940416
SRSF1	-0.999425075620605	-4.16333634234434e-16	-25.3821945014344	9.17471917245701e-11	2.68762893576539e-10	15.3851261945094	0.667123844990537	-0.557371766477375	-1	49.8827084845784
TBRG4	-0.999798439415493	8.32667268468867e-17	-25.9947798531822	7.16865816467262e-11	2.68762893576539e-10	15.62302420189	0.608515710549778	-0.554710698580331	-1	39.063134694609
STIP1	-0.999264346561659	-4.16333634234434e-17	-25.1312974480964	1.01673260590777e-10	2.68762893576539e-10	15.2856954762532	0.740263504280758	-0.534277869316858	-1	63.3849287516926
RPS19	0.9996307771792	0	25.7143465663653	8.02018017006675e-11	2.68762893576539e-10	15.51496357067	0.790600773230125	-0.665310831760544	-1	72.6776284934619
EFTUD2	-0.999674922976952	1.2490009027033e-16	-25.7873175411597	7.78843922261465e-11	2.68762893576539e-10	15.5432179785332	0.568399315332482	-0.568995309659087	-1	31.6572975632489
ILF2	-0.999341580586875	3.33066907387547e-16	-25.2509414681197	9.68006486544559e-11	2.68762893576539e-10	15.3332576437397	0.675258167098401	0.716319855410972	1	51.3843754309367
SMN1	0.999099275039244	-1.38777878078145e-16	24.8810924105676	1.12753489555533e-10	2.68762893576539e-10	15.1853537885412	0.766430380345155	-0.582874042717682	-1	68.2155627435986
UTP18	-0.999520166263775	8.32667268468867e-17	-25.5341566850988	8.62539184886469e-11	2.68762893576539e-10	15.4447791682976	0.507150139323353	-0.449540914532357	-1	20.3501644198891
MSI2	-0.999548581475533	1.2490009027033e-16	-25.5800901548294	8.4665074139544e-11	2.68762893576539e-10	15.4627267124547	0.590344060457905	-0.552894346764941	-1	35.7084892869266
EEF2	0.99910286201917	-2.08166817117217e-16	24.88645143393	1.12502771212205e-10	2.68762893576539e-10	15.1875155115234	0.73586423216619	-0.603466281831781	-1	62.5727846744257
PABPC1	0.999164188871147	-1.38777878078145e-17	24.9786050578704	1.08285460212073e-10	2.68762893576539e-10	15.2246021659725	0.767513011952691	-0.629149973997632	-1	68.4154259993882
DDX28	0.999248495838273	5.55111512312578e-17	25.1069491941636	1.02697360458918e-10	2.68762893576539e-10	15.2759832323507	0.587526256963415	-0.499397116785838	-1	35.1882981372647
RRP9	0.999739285209916	-3.33066907387547e-16	25.8948096328736	7.46030028182841e-11	2.68762893576539e-10	15.5846640925844	0.641544711689052	-0.595945090228746	-1	45.1605769429471
HSPD1	0.99965708889409	-8.32667268468867e-17	25.7577650698754	7.88139732423779e-11	2.68762893576539e-10	15.5317868483679	0.692049154926296	-0.556751372227295	-1	54.4841385191822
XRCC6	0.999844069894916	1.11022302462516e-16	26.0726787839264	6.95004773580966e-11	2.68762893576539e-10	15.6527919322375	0.697033346449431	-0.578896167822271	-1	55.4042638308385
QKI	-0.999270160783794	-2.22044604925031e-16	-25.1402461419021	1.01299685554006e-10	2.68762893576539e-10	15.2892621916288	0.620826466055914	-0.534177995179961	-1	41.3358077438347
PHF6	-0.999397113368407	-1.38777878078145e-16	-25.3380142230286	9.34152310947201e-11	2.68762893576539e-10	15.3677029072687	0.644854425186394	-0.488697572573932	-1	45.7715789779007
FUS	0.999940962325779	9.71445146547012e-17	26.240403966197	6.50369781706197e-11	2.68762893576539e-10	15.7165215694812	0.591675457644999	-0.50747641988123	-1	35.9542768426468
RBFOX2	0.999702791872132	-6.93889390390723e-17	25.8336996544274	7.64495225220464e-11	2.68762893576539e-10	15.5611271808202	0.641204939137071	-0.569789212762081	-1	45.0978519606038
AKAP1	0.99940179143289	-9.71445146547012e-17	25.3453897414185	9.3134474880331e-11	2.68762893576539e-10	15.3706141008634	0.56915258097471	-0.481577445115292	-1	31.7963569835376
U2AF1	0.999615062458275	2.77555756156289e-17	25.6885176517862	8.10400634044851e-11	2.68762893576539e-10	15.5049394798373	0.630322804111014	-0.529291321345914	-1	43.0889147366108
NPM1	0.999102882138578	-2.35922392732846e-16	24.8864815023513	1.12501366202539e-10	2.68762893576539e-10	15.1875276389647	0.799673801846829	-0.682940737743964	-1	74.3525888646396
NCBP2	-0.999838164791497	1.11022302462516e-16	-26.062558913954	6.97803080206058e-11	2.68762893576539e-10	15.6489308781941	0.590573622236754	-0.53056827281862	-1	35.7508683974258
FUBP3	0.999758184013394	-2.35922392732846e-16	25.9266249346941	7.36610179410031e-11	2.68762893576539e-10	15.596891471865	0.564183465130277	-0.479590257510963	-1	30.879014773915
FKBP4	0.999503930563234	1.2490009027033e-16	25.5080205937196	8.71725069738566e-11	2.68762893576539e-10	15.4345497426037	0.705759858671191	0.717225073735985	1	57.0152542473282
AUH	-0.999425186328924	1.38777878078145e-17	-25.3823698724475	9.1740635810142e-11	2.68762893576539e-10	15.3851952829216	0.667711144257293	-0.582851532919972	-1	49.991129061587
GEMIN5	0.999871179963879	0	26.1192881068252	6.82274051650239e-11	2.68762893576539e-10	15.6705515117846	0.550948722740075	-0.439607260211947	-1	28.4357656712368
DKC1	-0.99943565495526	5.55111512312578e-17	-25.398969208619	9.11224144744236e-11	2.68762893576539e-10	15.3917321018545	0.649129898264338	-0.514877199084713	-1	46.5608686711362
FIP1L1	-0.99919945812288	9.71445146547012e-17	-25.0320609960173	1.0591857087834e-10	2.68762893576539e-10	15.2460407159082	0.58389369239162	-0.540460702532045	-1	34.517694972595
GRWD1	0.999683098935978	-6.93889390390723e-17	25.8008992630978	7.7461203736769e-11	2.68762893576539e-10	15.54846620823	0.790822995277779	-0.586150809620524	-1	72.7186526254409
HNRNPK	0.999582713470377	-6.93889390390723e-17	25.6355887318696	8.27879414102242e-11	2.68762893576539e-10	15.4843600939577	0.574459547455831	-0.523919467693486	-1	32.776069373145
SFPQ	0.999575693238251	-1.52655665885959e-16	25.6241448020057	8.31712524520106e-11	2.68762893576539e-10	15.4799038477285	0.687231019959726	-0.570813198328875	-1	53.5946686990239
PCBP1	0.999562342326194	0	25.6024225650547	8.39041831884661e-11	2.68762893576539e-10	15.4714386695085	0.507939193070682	0.547152389264944	1	20.4958306371291
HNRNPA0	0.999148226681232	0	24.9545223807252	1.09370628977138e-10	2.68762893576539e-10	15.2149259534367	0.708388832957311	-0.654289517682693	-1	57.5005858749602
FMR1	0.999837200114112	2.22044604925031e-16	26.0609068007223	6.98261085232497e-11	2.68762893576539e-10	15.6483003720459	0.494982287776799	-0.497005814393528	-1	18.1038726904295
PPIL4	0.999888798241566	2.35922392732846e-16	26.1497108545076	6.74102183362366e-11	2.68762893576539e-10	15.6821228407922	0.743528555177042	-0.626007138344481	-1	63.987685680188
PUF60	-0.999456764940284	2.77555756156289e-17	-25.4325394628738	8.98860131907773e-11	2.68762893576539e-10	15.4049364558009	0.687233640961774	-0.625204660025247	-1	53.5951525589066
RBM34	-0.999612913932425	-4.16333634234434e-17	-25.6849922576251	8.11552193341654e-11	2.68762893576539e-10	15.5035703497339	0.552899305477856	-0.596145668237574	-1	28.7958602906312
DDX52	0.999209106793786	2.77555756156289e-17	25.0467439280839	1.05278397461016e-10	2.68762893576539e-10	15.2519197844278	0.745056536704411	0.831386062859738	1	64.2697644230591
KHSRP	-0.999593231557196	-2.77555756156289e-17	-25.6527629183494	8.22163182629338e-11	2.68762893576539e-10	15.4910432103324	0.582424915188218	0.54925579646226	1	34.2465458653104
HNRNPL	0.99995804206306	1.66533453693773e-16	26.2703015864443	6.42747773109711e-11	2.68762893576539e-10	15.7278297856238	0.722328808465569	-0.599495939158912	-1	60.0740271742123
DNAJC2	0.999886468549805	6.93889390390723e-17	26.1456820006126	6.7517819865393e-11	2.68762893576539e-10	15.6805913976223	0.675184151179351	0.675007206802935	1	51.3707114454605
