logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	0.96960449441991	-2.22044604925031e-16	2.75501238380992	0.00614122077276854	0.0202926042240822	-4.35043822996302	0.416658296744398	-0.41496809641618	-1	66.9300303850867
RPS10	-0.957046959946127	1.52655665885959e-16	-2.71933168803707	0.00683072384629487	0.0202926042240822	-4.35773405416048	0.429643700064253	-0.377663577323825	-1	69.5557582105909
HNRNPUL1	-0.973864430796545	-5.55111512312578e-17	-2.76711647113565	0.00592201759898588	0.0202926042240822	-4.34794163815817	0.472812025319034	-0.463032909051934	-1	78.2846571142227
EIF4G2	0.978441986356552	-1.38777878078145e-16	2.78012303445912	0.0056943816695086	0.0202926042240822	-4.34524670230128	0.429211674024708	-0.393561913025979	-1	69.4683999079312
SF3B1	-0.928282526821362	-2.77555756156289e-17	-2.6376010752686	0.00868005959313368	0.0202926042240822	-4.37408752370141	0.476850585122422	0.508652079145204	1	79.1012785613598
HNRNPA1	0.976707533015947	-1.52655665885959e-16	2.77519479778117	0.00577968481896991	0.0202926042240822	-4.34626931086061	0.559642285403108	0.681567104475726	1	95.8422657908757
SRSF1	-0.966270677016787	9.71445146547012e-17	-2.7455397500878	0.00631785630169304	0.0202926042240822	-4.3523844233207	0.343419005778286	-0.336528893039372	-1	52.1205986352172
TBRG4	-0.960280918053884	1.38777878078145e-17	-2.72852058380526	0.00664677980119568	0.0202926042240822	-4.35586424362024	0.395067536319577	-0.381021675478799	-1	62.5642468183517
DNAJC21	0.950932388372718	-2.77555756156289e-17	2.70195788201267	0.00719110794384078	0.0202926042240822	-4.3612521407906	0.471323546811014	-0.462215060840131	-1	77.9836776729298
SF3B4	0.979497946339563	2.08166817117217e-16	2.78312341538427	0.00564300776299152	0.0202926042240822	-4.34462323504302	0.331093985061466	-0.34242422436241	-1	49.6284042035979
STIP1	0.942038042838803	1.38777878078145e-16	2.676685688832	0.00774593944077838	0.0202926042240822	-4.36632934526649	0.51489690524409	-0.487589276293322	-1	86.7944767578884
RPS19	-0.977397236039337	2.4980018054066e-16	-2.77715450442602	0.00574562657269599	0.0202926042240822	-4.34586288924191	0.435674428112425	-0.439069000275189	-1	70.7752082387562
SUCLG1	-0.918902791140159	-1.04083408558608e-16	-2.61094970544998	0.00937374103752021	0.0202926042240822	-4.3793123023388	0.361893229232179	-0.324386994832144	-1	55.8561994003701
SLBP	0.951077824579746	-9.71445146547012e-17	2.70237112117742	0.00718234098647437	0.0202926042240822	-4.3611687242431	0.360243734791955	-0.28561704427283	-1	55.5226615546038
CNOT7	0.935576640165998	-5.55111512312578e-17	2.65832640472925	0.00817283942738743	0.0202926042240822	-4.36998782039247	0.354771045251269	-0.311302927862228	-1	54.4160503194061
EFTUD2	0.992324013791471	5.55111512312578e-17	2.81956711471627	0.00505166164729584	0.0202926042240822	-4.33699668638619	0.292450193248885	0.344028079739411	1	41.8143935836782
PUM2	0.946695350700455	-1.2490009027033e-16	2.68991885855008	0.00745078794673943	0.0202926042240822	-4.36367674118999	0.396613655715425	-0.379023399645163	-1	62.8768815990537
PRPF8	-0.986239463608186	1.94289029309402e-16	-2.80227861079396	0.00532479889206455	0.0202926042240822	-4.34062700959631	0.411424168743531	-0.43073130290599	-1	65.8716577496281
EIF3G	0.946583433098089	0	2.68960085839408	0.00745776017724831	0.0202926042240822	-4.36374063809058	0.464252297972958	-0.463232372075436	-1	76.5538279888033
DDX47	0.996393422117882	-4.16333634234434e-17	2.83112983992903	0.00487614702010201	0.0202926042240822	-4.33455622928717	0.428246041284172	-0.425264104359759	-1	69.2731430727303
ADAR	0.963290875536759	4.16333634234434e-17	2.73707300924035	0.0064796059850157	0.0202926042240822	-4.35411827840123	0.538054376556477	0.605865122215619	1	91.4770588306593
MSI2	-0.931235574854638	-1.38777878078145e-17	-2.64599179947469	0.00847140178478342	0.0202926042240822	-4.37243160981427	0.352621397133817	-0.326392634753138	-1	53.9813783467298
EEF2	0.951252758100262	-5.55111512312578e-17	2.70286817334471	0.00717180867691419	0.0202926042240822	-4.36106837228453	0.415762391836894	-0.3664185896251	-1	66.7488729434044
GTF2F1	0.979390116864615	-2.63677968348475e-16	2.78281703114149	0.00564823450727038	0.0202926042240822	-4.34468693130363	0.533251371563835	-0.486247809523801	-1	90.5058618994147
PNPT1	0.993388420671647	4.16333634234434e-17	2.82259149646488	0.005005208177479	0.0202926042240822	-4.33635931750566	0.458783973395883	-0.438079707392828	-1	75.4480993758953
PABPC1	0.975518081040216	-2.77555756156289e-17	2.77181511571292	0.00583885072742078	0.0202926042240822	-4.34696954574944	0.435362887099579	-0.36533482424913	-1	70.7122127440408
NELFE	0.996316677742032	-1.38777878078145e-16	2.83091178018708	0.00487940513513578	0.0202926042240822	-4.3346023459112	0.360643428466801	-0.383319035867176	-1	55.6034820557364
DDX1	0.977585144651962	-1.11022302462516e-16	2.77768842372794	0.00573637899593009	0.0202926042240822	-4.34575211051737	0.443686361390198	-0.461410127824831	-1	72.3952700593519
RRP9	-0.982107136893281	1.38777878078145e-17	-2.79053711068848	0.00551786204656018	0.0202926042240822	-4.34307981476239	0.448512273067438	-0.331697283539213	-1	73.3710988620644
HSPD1	0.936782722776858	-1.38777878078145e-16	2.66175334070979	0.00809158492792604	0.0202926042240822	-4.36930684238011	0.43377356686787	-0.449072988152774	-1	70.390842490592
NOL12	0.978666543478617	-1.66533453693773e-16	2.78076108601078	0.00568342133951704	0.0202926042240822	-4.34511417401861	0.493641672023451	-0.489713033961334	-1	82.4965388401899
ATP5C1	0.930136504091678	-2.77555756156289e-17	2.64286892454984	0.00854852854322131	0.0202926042240822	-4.37304852530713	0.323536292985371	-0.290405992888639	-1	48.1001927270662
XRCC6	0.991241224584175	-1.52655665885959e-16	2.81649050183718	0.00509931848695416	0.0202926042240822	-4.33764436153543	0.452959232208767	-0.4400602065975	-1	74.2703011485592
G3BP2	0.926701606791557	8.32667268468867e-17	2.63310908468379	0.0087936496316668	0.0202926042240822	-4.37497185893397	0.273398817915186	-0.298343467974428	-1	37.96208918499
ASCC1	-0.992678125914718	1.11022302462516e-16	-2.82057328093189	0.00503616402703828	0.0202926042240822	-4.33678471921626	0.360319559726108	-0.314281067769845	-1	55.5379938191912
