logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	-0.99896230310973	1.38777878078145e-17	-24.6276720632677	8.80275108609671e-24	1.8785185218632e-23	44.227939066499	1.17728204287427	-1.21931084478586	-1	71.1345497035738
EIF4G2	0.999330840927509	2.4980018054066e-16	24.794881775583	7.02504454610017e-24	1.8785185218632e-23	44.4508220036526	0.955471382700691	-0.74795151810426	-1	45.1163382424261
HNRNPA1	0.999574987441858	9.71445146547012e-17	24.9074434648998	6.03991344845292e-24	1.8785185218632e-23	44.6000476526441	1.31424584083946	1.4369875969847	1	87.2002926899194
CIRBP	-0.999714971127005	3.33066907387547e-16	-24.9726395456868	5.53535784052359e-24	1.8785185218632e-23	44.6861822934221	0.939857717216588	-0.915065235813408	-1	43.2848678796802
SRSF1	-0.999019966206683	2.77555756156289e-17	-24.653623450637	8.499128923074e-24	1.8785185218632e-23	44.2626263571881	0.762762718189794	-0.787775548330595	-1	22.5117673903478
DDX24	0.999319683613188	-3.19189119579733e-16	24.7897722293555	7.07349479056946e-24	1.8785185218632e-23	44.4440326734431	0.824129103444265	-0.834668049208244	-1	29.7099948646614
EIF2S2	0.999642245588707	-4.16333634234434e-17	24.9387079219341	5.79231367724286e-24	1.8785185218632e-23	44.6413802242455	0.836858712441907	-0.666535740722095	-1	31.2031677286671
ESF1	0.99942717649657	-1.11022302462516e-16	24.8391237698717	6.61951634764479e-24	1.8785185218632e-23	44.5095524126964	0.951080760100226	-0.977574568046512	-1	44.6013217541492
TBRG4	0.999636998505321	-2.77555756156289e-17	24.9362648457798	5.81128075775338e-24	1.8785185218632e-23	44.6381522048634	0.886563352932459	-0.908700800260348	-1	37.0334819519397
STIP1	-0.999206722776082	1.2490009027033e-16	-24.73820894568	7.58206900201701e-24	1.8785185218632e-23	44.3754422098877	0.864431164147658	-0.751836807250148	-1	34.4373940657652
RPS19	-0.999863626630583	-1.38777878078145e-17	-25.0424077132606	5.04315050958413e-24	1.8785185218632e-23	44.7781171161417	1.08649267134311	-1.08762455715807	-1	60.4850296801725
SUCLG1	-0.998909334589902	-1.38777878078145e-16	-24.6039016111144	9.09062889194116e-24	1.8785185218632e-23	44.1961360256358	0.85410139262316	-0.858933468895792	-1	33.2257202009501
SLBP	-0.999398158131089	2.22044604925031e-16	-24.8257735514439	6.73928886021012e-24	1.8785185218632e-23	44.4918408803654	0.952139880381272	-0.811591440916241	-1	44.7255557085203
EFTUD2	-0.999556845574925	-4.16333634234434e-17	-24.8990293893227	6.10838707255763e-24	1.8785185218632e-23	44.5889154343513	0.796522198875507	-0.795677468138335	-1	26.4717272345322
DDX6	0.999922837025522	1.38777878078145e-17	25.0703513648107	4.85882947736172e-24	1.8785185218632e-23	44.8148695564883	0.855716594779279	-0.93423718307009	-1	33.4151821105693
TARDBP	0.999381995625732	-1.2490009027033e-16	24.8183466368487	6.80688109252315e-24	1.8785185218632e-23	44.4819837301776	0.774523005858008	-0.778343855594463	-1	23.891239644549
PRPF8	-0.999762696720273	-8.32667268468867e-17	-24.9949782933874	5.37260838750727e-24	1.8785185218632e-23	44.7156454667046	0.86333733520818	-0.83924245332187	-1	34.3090888137661
EIF3G	0.999862741827499	-8.32667268468867e-17	25.0419908115344	5.04595417770619e-24	1.8785185218632e-23	44.7775684926011	1.09372255136308	-1.2037275745239	-1	61.3330887727837
DDX47	0.99954771974582	5.55111512312578e-17	24.8947999405427	6.14310680555784e-24	1.8785185218632e-23	44.5833183032816	1.08199562252726	-1.12958620127487	-1	59.957529482705
ADAR	-0.999939814226771	1.2490009027033e-16	-25.0783799092203	4.80716174413238e-24	1.8785185218632e-23	44.8254216435037	0.946907785684911	1.06363365421245	1	44.1118352223717
UTP18	-0.999934903713266	8.32667268468867e-17	-25.0760569691185	4.82205276739309e-24	1.8785185218632e-23	44.8223688898528	0.747104842269545	-0.640734541688847	-1	20.6751111791149
PNPT1	0.999802106732457	8.32667268468867e-17	25.0134676361441	5.24162408807683e-24	1.8785185218632e-23	44.740012317221	0.867597837733129	-0.778613939827575	-1	34.8088423221779
PABPC1	0.999688101037502	0	24.9600874787408	5.62901922171484e-24	1.8785185218632e-23	44.669615861102	0.814753981035849	-0.683365502511038	-1	28.610300570864
NELFE	0.999422425118248	-5.55111512312578e-17	24.8369364510546	6.63898929978065e-24	1.8785185218632e-23	44.506651158749	0.909087685389303	-0.801532025975918	-1	39.6755679744273
DDX28	0.999259980935576	-1.66533453693773e-16	24.7624817732098	7.33814397756411e-24	1.8785185218632e-23	44.4077475240194	0.717219803708924	-0.582343317556932	-1	17.1696202699479
HSPD1	0.999735608715522	6.93889390390723e-17	24.9822923478602	5.46441978817456e-24	1.8785185218632e-23	44.6989167560578	1.08972885321855	-1.09119948794007	-1	60.8646312029129
CPSF7	0.99911084221932	1.52655665885959e-16	24.694680241447	8.04056689106342e-24	1.8785185218632e-23	44.3174322629672	1.04865715168031	-0.921532195561819	-1	56.0469537528982
NOL12	-0.999767587751825	-1.38777878078145e-16	-24.9972708281483	5.35618647103186e-24	1.8785185218632e-23	44.7186677125921	0.919477899656814	1.03073416318225	1	40.8943317242273
ATP5C1	0.999430229087205	-2.35922392732846e-16	24.8405293324571	6.60703406598925e-24	1.8785185218632e-23	44.5114166172251	0.798075132998971	-0.761535547126064	-1	26.6538851541647
XRCC6	0.999119637166756	-1.2490009027033e-16	24.6986640017386	7.9974462323315e-24	1.8785185218632e-23	44.3227454403534	1.02829295817323	-0.976538519447659	-1	53.6582502862199
SND1	-0.999263608042202	-1.11022302462516e-16	-24.764137314169	7.32180336310796e-24	1.8785185218632e-23	44.4099498139026	1.06973721959352	-0.9426593970622	-1	58.5196287097828
SLTM	0.999491841359947	0	24.8689469927844	6.35978582399967e-24	1.8785185218632e-23	44.549085296967	0.845131142620367	-0.729806884946062	-1	32.173517113644
KRR1	-0.999964451059167	-1.38777878078145e-17	-25.0900437065595	4.73310253910563e-24	1.8785185218632e-23	44.8407457992822	1.23712327014864	-1.30528454722191	-1	78.1538773774599
G3BP2	0.999425538066038	-6.93889390390723e-17	24.8383694491022	6.62622517371217e-24	1.8785185218632e-23	44.508551911432	0.888228573166196	-0.736634716301097	-1	37.2288109417045
ASCC1	0.999926443339701	4.16333634234434e-17	25.0720561854936	4.84781061139941e-24	1.8785185218632e-23	44.8171105119984	1.04020413172918	-0.919089406548665	-1	55.0554213333032
