NGenes	PropDown	PropUp	Direction	p.value	p.adj	PValue.Mixed	FDR.Mixed	avg.logfc	avg.logfc.dir	direction	significance
GTF2F1	184	0.184782608695652	0.125	Down	0.001	0.0985	0.019	0.0293911290322581	1.28153342744842	-1.44456743299906	-1	100
RPS19	184	0.304347826086957	0.146739130434783	Down	0.004	0.229833333333333	0.004	0.0197	0.679291197695832	-0.655135543705008	-1	33.6120107983829
XRCC6	190	0.373684210526316	0.178947368421053	Down	0.004	0.229833333333333	0.01	0.0217616279069767	0.708907786604648	-0.739914375399851	-1	35.0785389047607
KRR1	191	0.261780104712042	0.172774869109948	Down	0.018	0.4555625	0.004	0.0197	0.634305727186746	-0.569434955586156	-1	16.7698353756484
DDX27	188	0.25	0.138297872340426	Down	0.015	0.4555625	0.012	0.0241010638297872	0.681315168809433	-0.624755366109621	-1	18.0144935219889
FXR1	189	0.37037037037037	0.19047619047619	Down	0.015	0.4555625	0.022	0.0318458646616541	0.710028225736385	-0.713404538816607	-1	18.7747225095466
SNRNP200	195	0.328205128205128	0.107692307692308	Down	0.01	0.4555625	0.008	0.0211071428571429	1.04301179919059	-1.06607062720303	-1	27.5910518040711
EIF4A3	188	0.351063829787234	0.143617021276596	Down	0.019	0.4555625	0.001	0.0164166666666667	0.655927791463677	-0.664098614397633	-1	17.3423177858626
PABPC1	180	0.288888888888889	0.166666666666667	Down	0.025	0.536277777777778	0.009	0.0217467532467532	0.696691458017561	-0.705172384348937	-1	14.5945453525267
CIRBP	197	0.213197969543147	0.142131979695431	Down	0.074	0.572057692307692	0.065	0.0726085714285714	0.649892199488789	-0.573605460757701	-1	12.1989837342242
SRSF1	194	0.345360824742268	0.139175257731959	Down	0.075	0.572057692307692	0.012	0.0241010638297872	0.594255707262845	-0.635288291589886	-1	11.152543280248
PRPF8	189	0.349206349206349	0.158730158730159	Down	0.052	0.572057692307692	0.02	0.03001171875	0.71961195359097	-0.789477688209027	-1	13.5103095963491
DDX47	195	0.364102564102564	0.179487179487179	Down	0.075	0.572057692307692	0.001	0.0164166666666667	0.614193214741393	-0.636694320107253	-1	11.5275384235845
MSI2	193	0.310880829015544	0.134715025906736	Down	0.056	0.572057692307692	0.014	0.0243990825688073	0.833399580242479	-0.880821853952078	-1	15.6504872194551
PNPT1	184	0.315217391304348	0.173913043478261	Down	0.067	0.572057692307692	0.02	0.03001171875	0.761453503727258	-0.845884968874969	-1	14.2972875126036
HSPD1	189	0.338624338624339	0.105820105820106	Down	0.062	0.572057692307692	0.021	0.0308282442748092	0.699112709799628	-0.748752576172019	-1	13.1247490205302
ATP5C1	197	0.314720812182741	0.121827411167513	Down	0.059	0.572057692307692	0.008	0.0211071428571429	0.725385883372699	-0.778135936482537	-1	13.6189087092745
AGO1	182	0.203296703296703	0.0769230769230769	Down	0.058	0.572057692307692	0.01	0.0217616279069767	0.743444759836603	-0.732362871369229	-1	13.9585695708623
PPIL4	193	0.227979274611399	0.16580310880829	Down	0.048	0.572057692307692	0.009	0.0217467532467532	0.768966563382006	-0.691127775133901	-1	14.4385970963196
PUF60	178	0.297752808988764	0.134831460674157	Down	0.056	0.572057692307692	0.015	0.0255044642857143	0.738454333386468	-0.767655367035463	-1	13.8647070013314
DDX52	193	0.0829015544041451	0.310880829015544	Up	0.071	0.572057692307692	0.105	0.113112637362637	1.19211033883248	0.87854243656788	1	22.3973081286643
PUS1	193	0.274611398963731	0.170984455958549	Down	0.076	0.572057692307692	0.006	0.0197	0.69679604168708	-0.570286272532666	-1	13.081175906295
HNRNPC	196	0.392857142857143	0.122448979591837	Down	0.076	0.572057692307692	0.003	0.0197	0.533809867299124	-0.525108675172547	-1	10.0156460805516
HNRNPA2B1	193	0.341968911917098	0.176165803108808	Down	0.031	0.572057692307692	0.013	0.0243990825688073	0.550688972128149	-0.559162320940654	-1	10.3331171757505
UTP3	187	0.320855614973262	0.0909090909090909	Down	0.062	0.572057692307692	0.024	0.0333057553956835	0.802164659447607	-0.838238432049365	-1	15.063004375214
CCAR2	178	0.241573033707865	0.174157303370787	Down	0.064	0.572057692307692	0.041	0.050496835443038	0.950422394270591	-1.13697532113143	-1	17.8515139509722
U2AF2	189	0.306878306878307	0.126984126984127	Down	0.08	0.580055555555556	0.004	0.0197	0.560215548232239	-0.584999990470805	-1	10.2503648451199
BOP1	190	0.231578947368421	0.115789473684211	Down	0.083	0.580446428571429	0.006	0.0197	0.913165015438193	-1.0221641757913	-1	16.7030848688783
CELF1	189	0.285714285714286	0.19047619047619	Down	0.09	0.587716666666667	0.008	0.0211071428571429	0.622936419537238	-0.649642363205259	-1	11.1254726913485
EIF3D	185	0.356756756756757	0.167567567567568	Down	0.089	0.587716666666667	0.005	0.0197	0.625997625635366	-0.639488889948522	-1	11.1802655378443
FMR1	187	0.240641711229947	0.133689839572193	Down	0.108	0.641742424242424	0.05	0.0594603658536585	0.938079063678334	-0.970554238676054	-1	13.9880942924487
MAGOH	183	0.278688524590164	0.191256830601093	Down	0.107	0.641742424242424	0.005	0.0197	0.665201331366306	-0.649670873229818	-1	9.9119629833052
RAVER1	190	0.373684210526316	0.157894736842105	Down	0.107	0.641742424242424	0.002	0.0164166666666667	0.810025334652765	-0.714363441931582	-1	12.0752822439491
FUS	189	0.243386243386243	0.121693121693122	Down	0.117	0.675014705882353	0.012	0.0241010638297872	0.609152329231353	-0.559183932644246	-1	8.03780778199089
RBM39	192	0.3125	0.119791666666667	Down	0.125	0.700757142857143	0.006	0.0197	1.16979764316236	-1.37766327690454	-1	13.9837433406578
DDX3X	188	0.345744680851064	0.0851063829787234	Down	0.14	0.742743243243243	0.002	0.0164166666666667	0.589681191407855	-0.582592741128697	-1	5.88135329214477
AARS	190	0.389473684210526	0.152631578947368	Down	0.137	0.742743243243243	0.05	0.0594603658536585	0.719105424318865	-0.787654084102071	-1	7.17758686507372
LARP4	189	0.28042328042328	0.148148148148148	Down	0.145	0.749118421052631	0.003	0.0197	0.724765055287314	-0.763430715464838	-1	7.0256707638758
DNAJC21	190	0.305263157894737	0.142105263157895	Down	0.17	0.765535087719298	0.008	0.0211071428571429	0.783280857682454	-0.871897366631371	-1	7.02307191025702
STIP1	190	0.221052631578947	0.157894736842105	Down	0.217	0.765535087719298	0.013	0.0243990825688073	1.52392535851605	-1.59781144959957	-1	13.6870524803757
EFTUD2	196	0.316326530612245	0.147959183673469	Down	0.184	0.765535087719298	0.004	0.0197	0.528139357555035	-0.523124223982207	-1	4.72742535166324
DDX1	181	0.220994475138122	0.138121546961326	Down	0.22	0.765535087719298	0.014	0.0243990825688073	0.757356736345003	-0.950388547116489	-1	6.78981851987104
NOL12	196	0.275510204081633	0.183673469387755	Down	0.16	0.765535087719298	0.014	0.0243990825688073	0.993763724065491	-1.05099525656903	-1	8.91690050189681
SLTM	186	0.225806451612903	0.118279569892473	Down	0.206	0.765535087719298	0.111	0.118953551912568	0.52821438092532	-0.547108032778392	-1	4.72810037764577
UPF1	186	0.338709677419355	0.139784946236559	Down	0.221	0.765535087719298	0.002	0.0164166666666667	0.62695437465687	-0.63165612774856	-1	5.61651769388874
ASCC1	191	0.230366492146597	0.136125654450262	Down	0.222	0.765535087719298	0.008	0.0211071428571429	0.755306549708032	-0.702866001743383	-1	6.77137187792809
BUD13	191	0.293193717277487	0.104712041884817	Down	0.178	0.765535087719298	0.006	0.0197	0.958899186213008	-0.919642213646707	-1	8.60320533157743
ZC3H8	194	0.247422680412371	0.134020618556701	Down	0.219	0.765535087719298	0.006	0.0197	0.505958788615223	-0.493419819833791	-1	4.52785473406907
PTBP1	194	0.304123711340206	0.190721649484536	Down	0.168	0.765535087719298	0.014	0.0243990825688073	0.770677483649215	-0.862960230360044	-1	6.90967251340616
HNRNPA0	189	0.259259259259259	0.137566137566138	Down	0.154	0.765535087719298	0.045	0.0544503105590062	1.1906464063574	-1.33836401969588	-1	10.6883608555611
HNRNPL	189	0.312169312169312	0.17989417989418	Down	0.207	0.765535087719298	0.005	0.0197	0.71072426962387	-0.735633553579924	-1	6.37024090629721
PCBP2	197	0.294416243654822	0.16243654822335	Down	0.217	0.765535087719298	0.024	0.0333057553956835	0.592377632094329	-0.609512177936784	-1	5.30541197399825
ABCF1	198	0.323232323232323	0.121212121212121	Down	0.157	0.765535087719298	0.042	0.0514182389937107	0.567345220455853	-0.593641114691565	-1	5.080181779763
