NGenes	PropDown	PropUp	Direction	p.value	p.adj	PValue.Mixed	FDR.Mixed	avg.logfc	avg.logfc.dir	direction	significance
SF3B1	185	0.389189189189189	0.216216216216216	Down	0.006	0.467875	0.007	0.0232569444444444	0.885709018566868	-0.829343829197501	-1	93.8799613903602
ESF1	187	0.609625668449198	0.112299465240642	Down	0.028	0.467875	0.014	0.0239594594594595	0.802898860279257	-0.746987621948583	-1	85.0021343183969
RPS19	184	0.380434782608696	0.277173913043478	Down	0.014	0.467875	0.004	0.0229833333333333	0.754935433986838	-0.718456272843548	-1	79.8601201838017
BUD13	191	0.429319371727749	0.204188481675393	Down	0.02	0.467875	0.009	0.0232569444444444	0.732207923457019	-0.660752309330618	-1	77.4235723926578
DDX19B	193	0.378238341968912	0.191709844559585	Down	0.029	0.467875	0.007	0.0232569444444444	0.7586517332116	-0.702035900783042	-1	80.2585334044421
PTBP1	194	0.216494845360825	0.438144329896907	Up	0.025	0.467875	0.004	0.0229833333333333	0.710611325241911	0.682249747775928	1	75.1082662966292
FMR1	187	0.385026737967914	0.240641711229947	Down	0.016	0.467875	0.04	0.0439632768361582	0.712944815350221	-0.832043198866554	-1	75.3584327264984
NUFIP2	182	0.274725274725275	0.230769230769231	Down	0.007	0.467875	0.008	0.0232569444444444	0.699082412248567	-0.677123468878066	-1	73.8722863395913
LARP4	189	0.444444444444444	0.195767195767196	Down	0.028	0.467875	0.011	0.0238473684210526	0.748574262154923	-0.777219179993917	-1	79.1781581556331
RBM17	186	0.220430107526882	0.360215053763441	Up	0.013	0.467875	0.002	0.0229833333333333	0.826352776538577	0.928527937589612	1	87.5165578748327
SNRNP200	195	0.364102564102564	0.282051282051282	Down	0.022	0.467875	0.009	0.0232569444444444	0.736507689659532	-0.769141541710869	-1	77.8845373465371
AATF	193	0.476683937823834	0.176165803108808	Down	0.019	0.467875	0.002	0.0229833333333333	0.793491634515248	-0.757469053461733	-1	83.9936140439913
KHDRBS1	192	0.46875	0.182291666666667	Down	0.042	0.4925	0.01	0.0236898734177215	0.736978616808801	-0.68838121170505	-1	72.5994662466275
DDX47	195	0.435897435897436	0.276923076923077	Down	0.043	0.4925	0.008	0.0232569444444444	0.740415889106429	-0.744303855477513	-1	72.9430807621286
GTF2F1	184	0.298913043478261	0.255434782608696	Down	0.034	0.4925	0.02	0.0274392857142857	0.779527708984241	-0.921965523895417	-1	76.8529802038917
FUBP3	187	0.363636363636364	0.213903743315508	Down	0.037	0.4925	0.062	0.0651370967741935	0.707602113640744	-0.718361896040242	-1	69.6627792375197
DDX52	193	0.233160621761658	0.393782383419689	Up	0.039	0.4925	0.075	0.0760440414507772	1.01107383503123	0.741180536114646	1	100
RPS10	187	0.160427807486631	0.454545454545455	Up	0.054	0.496362745098039	0.013	0.0239594594594595	0.732705753092423	0.792670411471002	1	71.3643668225627
CIRBP	197	0.365482233502538	0.238578680203046	Down	0.092	0.496362745098039	0.018	0.0265192307692308	0.684388371127281	-0.732468132324547	-1	66.5874925191642
STIP1	190	0.189473684210526	0.305263157894737	Up	0.097	0.496362745098039	0.019	0.0274022556390977	0.773128816661379	0.899002857794941	1	75.3607732041522
RBM25	192	0.130208333333333	0.484375	Up	0.109	0.496362745098039	0.01	0.0236898734177215	0.604618968014025	0.582024122280496	1	58.7011295493317
ADAR	174	0.224137931034483	0.316091954022989	Up	0.127	0.496362745098039	0.007	0.0232569444444444	0.970491840089299	1.17651191576832	1	94.8729718521258
SUGP2	189	0.571428571428571	0.0740740740740741	Down	0.106	0.496362745098039	0.068	0.0696204188481675	0.949649923128461	-0.888067424979712	-1	92.8124459396164
