NGenes	PropDown	PropUp	Direction	p.value	p.adj	PValue.Mixed	FDR.Mixed	avg.logfc	avg.logfc.dir	direction	significance
EIF4G2	182	0.587912087912088	0.175824175824176	Down	0.002	0.027703125	0.002	0.00250423728813559	0.905250048455408	-0.949363506401815	-1	88.8467366026852
HNRNPA1	183	0.486338797814208	0.202185792349727	Down	0.004	0.027703125	0.001	0.00149242424242424	1.01861829140624	-1.10565046379107	-1	100
SRSF1	194	0.443298969072165	0.242268041237113	Down	0.004	0.027703125	0.001	0.00149242424242424	0.711323490946256	-0.781027220915817	-1	69.7680782470815
DNAJC21	190	0.447368421052632	0.263157894736842	Down	0.002	0.027703125	0.002	0.00250423728813559	0.798561031024547	-0.868614769869775	-1	78.350581047702
STIP1	190	0.331578947368421	0.273684210526316	Down	0.005	0.027703125	0.001	0.00149242424242424	0.961299037396178	-1.0077114530343	-1	94.3608834266832
RPS19	184	0.548913043478261	0.168478260869565	Down	0.005	0.027703125	0.003	0.00344405594405594	0.942944692388752	-0.996554504405676	-1	92.5551674781545
EIF3G	192	0.65625	0.114583333333333	Down	0.004	0.027703125	0.003	0.00344405594405594	0.752814297749684	-0.773474699379891	-1	73.8499788287674
EEF2	194	0.525773195876289	0.206185567010309	Down	0.003	0.027703125	0.002	0.00250423728813559	0.826650851627903	-0.857517166665397	-1	81.1140812997825
PNPT1	184	0.565217391304348	0.16304347826087	Down	0.003	0.027703125	0.003	0.00344405594405594	0.915164121259711	-0.901670743074026	-1	89.8220914502901
PABPC1	180	0.5	0.177777777777778	Down	0.005	0.027703125	0.003	0.00344405594405594	0.802825181871053	-0.763246284812013	-1	78.7700918059096
NELFE	193	0.512953367875648	0.212435233160622	Down	0.005	0.027703125	0.004	0.00403216374269006	0.665755498366461	-0.68276448090982	-1	65.2850606885422
NOL12	196	0.459183673469388	0.26530612244898	Down	0.002	0.027703125	0.001	0.00149242424242424	0.854282911895787	-0.907490964073837	-1	83.8325467038183
XRCC6	190	0.536842105263158	0.215789473684211	Down	0.001	0.027703125	0.001	0.00149242424242424	0.803787706522145	-0.869681658406238	-1	78.8647857932257
CSTF2T	195	0.548717948717949	0.21025641025641	Down	0.005	0.027703125	0.001	0.00149242424242424	0.762270947122849	-0.723869926813373	-1	74.7803319732604
AKAP1	195	0.517948717948718	0.194871794871795	Down	0.002	0.027703125	0.001	0.00149242424242424	0.751512467818199	-0.842472381312135	-1	73.7219037016733
NPM1	188	0.420212765957447	0.159574468085106	Down	0.005	0.027703125	0.001	0.00149242424242424	0.960001998624526	-0.866170134926378	-1	94.2332796579361
PTBP1	194	0.530927835051546	0.201030927835052	Down	0.003	0.027703125	0.001	0.00149242424242424	0.604602047087742	-0.626586517987945	-1	59.2687325527855
RBM34	191	0.319371727748691	0.214659685863874	Down	0.003	0.027703125	0.002	0.00250423728813559	0.68853285724067	-0.707836259062884	-1	67.525916473256
HNRNPL	189	0.513227513227513	0.206349206349206	Down	0.004	0.027703125	0.001	0.00149242424242424	0.699778150808752	-0.707788396879447	-1	68.6322379428349
CELF1	189	0.476190476190476	0.248677248677249	Down	0.005	0.027703125	0.002	0.00250423728813559	0.857785270704158	-0.865258433366997	-1	84.1771117185431
HNRNPC	196	0.586734693877551	0.142857142857143	Down	0.002	0.027703125	0.001	0.00149242424242424	0.689532607761847	-0.710009508150809	-1	67.6242727730809
EIF3D	185	0.551351351351351	0.178378378378378	Down	0.003	0.027703125	0.002	0.00250423728813559	0.766268774613938	-0.816531014836277	-1	75.1736416150485
XRCC5	190	0.526315789473684	0.142105263157895	Down	0.003	0.027703125	0.001	0.00149242424242424	0.871400232157586	-0.925745958187406	-1	85.5165631141179
ABCF1	198	0.646464646464647	0.111111111111111	Down	0.004	0.027703125	0.004	0.00403216374269006	0.768829980992814	-0.784621260666828	-1	75.4256152596509
MATR3	192	0.552083333333333	0.171875	Down	0.001	0.027703125	0.001	0.00149242424242424	0.825068695836772	-0.801385848731946	-1	80.9584274780881
UPF2	182	0.395604395604396	0.285714285714286	Down	0.005	0.027703125	0.002	0.00250423728813559	0.9343592476941	-0.945148479553634	-1	91.7105241850229
UTP3	187	0.53475935828877	0.192513368983957	Down	0.001	0.027703125	0.002	0.00250423728813559	0.784875051568009	-0.774384831530669	-1	77.0041428410589
MAGOH	183	0.453551912568306	0.245901639344262	Down	0.002	0.027703125	0.001	0.00149242424242424	0.786446504373104	-0.868160929294997	-1	77.1587436939562
RBM17	186	0.553763440860215	0.198924731182796	Down	0.004	0.027703125	0.004	0.00403216374269006	1.01432795818631	-1.02983150529093	-1	99.5779133978033
U2AF2	189	0.481481481481481	0.201058201058201	Down	0.005	0.027703125	0.001	0.00149242424242424	0.592218754123615	-0.619320686114474	-1	58.0504537424232
RBM22	194	0.45360824742268	0.268041237113402	Down	0.004	0.027703125	0.003	0.00344405594405594	0.720564858123126	-0.709122380178885	-1	70.677251747456
APOBEC3C	183	0.513661202185792	0.202185792349727	Down	0.004	0.027703125	0.004	0.00403216374269006	0.910770816685597	-0.946658578040178	-1	89.3898744393854
HSPD1	189	0.513227513227513	0.164021164021164	Down	0.006	0.0285131578947368	0.008	0.008	0.835405230460568	-0.85236615808647	-1	81.3148448229778
FTO	192	0.390625	0.255208333333333	Down	0.006	0.0285131578947368	0.001	0.00149242424242424	0.727461634562013	-0.835164124271231	-1	70.7806066404956
HNRNPAB	185	0.454054054054054	0.243243243243243	Down	0.006	0.0285131578947368	0.002	0.00250423728813559	0.9184976222472	-0.94752999737173	-1	89.4238487795917
PRPF6	193	0.523316062176166	0.227979274611399	Down	0.006	0.0285131578947368	0.003	0.00344405594405594	0.697917880870808	-0.741728951675526	-1	67.8974255161589
RAVER1	190	0.484210526315789	0.215789473684211	Down	0.006	0.0285131578947368	0.003	0.00344405594405594	0.69875190269566	-0.745196916825327	-1	67.9788178811181
