NGenes	PropDown	PropUp	Direction	p.value	p.adj	PValue.Mixed	FDR.Mixed	avg.logfc	avg.logfc.dir	direction	significance
EIF4G2	182	0.401098901098901	0.296703296703297	Down	0.001	0.0197	0.002	0.00399324324324324	1.08540820992851	-1.01794425996045	-1	96.4266343814904
HNRNPA1	183	0.442622950819672	0.202185792349727	Down	0.001	0.0197	0.001	0.0023452380952381	1.12541931473847	-1.12367694494345	-1	100
AKAP1	195	0.41025641025641	0.241025641025641	Down	0.001	0.0197	0.001	0.0023452380952381	0.872420799321467	-0.86410796733651	-1	77.4048679530603
DKC1	190	0.368421052631579	0.268421052631579	Down	0.001	0.0197	0.001	0.0023452380952381	0.977965289223881	-1.2060306404181	-1	86.8309773602288
EIF4A3	188	0.436170212765957	0.228723404255319	Down	0.001	0.0197	0.001	0.0023452380952381	0.918511286150585	-0.988468367727053	-1	81.5211792060931
ADAR	174	0.511494252873563	0.109195402298851	Down	0.003	0.0378846153846154	0.003	0.00487623762376238	1.12849774344172	-1.1709535014642	-1	83.492669991196
FUS	189	0.328042328042328	0.312169312169312	Down	0.003	0.0378846153846154	0.002	0.00399324324324324	0.813670090778932	-0.869921848689365	-1	60.057524058179
ZC3H8	194	0.38659793814433	0.201030927835052	Down	0.002	0.0378846153846154	0.002	0.00399324324324324	0.928584653535288	-1.20185564777706	-1	68.6115361509748
NUFIP2	182	0.241758241758242	0.379120879120879	Up	0.003	0.0378846153846154	0.002	0.00399324324324324	0.776776588752943	0.781899278526108	1	57.3112449538934
HNRNPAB	185	0.383783783783784	0.281081081081081	Down	0.003	0.0378846153846154	0.006	0.00732094594594595	0.988729546963595	-0.9418949707084	-1	73.0886027069035
HNRNPA2B1	193	0.352331606217617	0.274611398963731	Down	0.003	0.0378846153846154	0.004	0.00574583333333333	0.84212187344288	-0.845555202296289	-1	62.1754183191964
RBM17	186	0.467741935483871	0.172043010752688	Down	0.003	0.0378846153846154	0.004	0.00574583333333333	1.01603193621256	-0.99671371727286	-1	75.1209384021891
SERBP1	181	0.375690607734807	0.215469613259669	Down	0.002	0.0378846153846154	0.001	0.0023452380952381	0.880660341546155	-0.928456740126781	-1	65.0441454351162
SF3B1	185	0.345945945945946	0.232432432432432	Down	0.004	0.0451458333333333	0.003	0.00487623762376238	0.996448384286069	-0.997665060186976	-1	69.6895366524347
SLBP	196	0.311224489795918	0.229591836734694	Down	0.005	0.0451458333333333	0.001	0.0023452380952381	0.86006517784261	-1.08663063670326	-1	60.0813108267949
EEF2	194	0.412371134020619	0.293814432989691	Down	0.006	0.0451458333333333	0.001	0.0023452380952381	0.970091190441893	-1.12018758200116	-1	67.8326667548202
ATP5C1	197	0.395939086294416	0.223350253807107	Down	0.006	0.0451458333333333	0.001	0.0023452380952381	0.926546310752789	-1.1040059382153	-1	64.7649207433148
SLTM	186	0.381720430107527	0.258064516129032	Down	0.006	0.0451458333333333	0.003	0.00487623762376238	0.987024868127757	-0.877660741859737	-1	69.0256479400208
CELF1	189	0.46031746031746	0.216931216931217	Down	0.005	0.0451458333333333	0.001	0.0023452380952381	0.994065471453626	-1.00852644106314	-1	69.5216599378891
PUS1	193	0.336787564766839	0.274611398963731	Down	0.005	0.0451458333333333	0.01	0.0113424242424242	0.842104694305521	-0.846373636711631	-1	58.8159909515536
FTO	192	0.395833333333333	0.197916666666667	Down	0.006	0.0451458333333333	0.001	0.0023452380952381	0.841724757228608	-0.848888564788328	-1	58.789224303887
ZRANB2	184	0.380434782608696	0.217391304347826	Down	0.006	0.0451458333333333	0.003	0.00487623762376238	0.953040209844736	-1.08505526438819	-1	66.6314215546349
SSB	189	0.391534391534392	0.153439153439153	Down	0.005	0.0451458333333333	0.001	0.0023452380952381	0.94682129403079	-0.973113366431741	-1	66.1932976162905
AATF	193	0.383419689119171	0.22279792746114	Down	0.005	0.0451458333333333	0.005	0.00661567164179104	0.909622139865058	-0.865478106905519	-1	63.5726093140594
CIRBP	197	0.269035532994924	0.279187817258883	Up	0.011	0.0713275862068965	0.003	0.00487623762376238	0.618728233132071	0.685218554622805	1	36.6432664328436
TBRG4	190	0.405263157894737	0.163157894736842	Down	0.011	0.0713275862068965	0.002	0.00399324324324324	0.930472478604815	-1.00076247035065	-1	55.363054627034
RBM39	192	0.390625	0.21875	Down	0.01	0.0713275862068965	0.002	0.00399324324324324	0.878696764490822	-0.831670871775908	-1	52.2539983544888
MATR3	192	0.447916666666667	0.182291666666667	Down	0.01	0.0713275862068965	0.003	0.00487623762376238	0.777625974128978	-0.770269270123805	-1	46.1848445026704
CCAR2	178	0.230337078651685	0.353932584269663	Up	0.011	0.0713275862068965	0.004	0.00574583333333333	1.01175542968493	1.02003610342583	1	60.2439775313557
RPS19	184	0.28804347826087	0.369565217391304	Up	0.013	0.0746212121212121	0.001	0.0023452380952381	1.01288345295227	1.06573130294746	1	59.2718944244848
SAFB2	187	0.411764705882353	0.294117647058824	Down	0.012	0.0746212121212121	0.006	0.00732094594594595	1.04288862356632	-0.958439827600247	-1	61.042858143043
RAVER1	190	0.363157894736842	0.268421052631579	Down	0.013	0.0746212121212121	0.001	0.0023452380952381	0.911824381463487	-0.982897846508362	-1	53.3071908292293
RBM22	194	0.474226804123711	0.237113402061856	Down	0.013	0.0746212121212121	0.003	0.00487623762376238	0.752076528872798	-0.742728444089663	-1	43.8785608542571
SF1	188	0.25531914893617	0.351063829787234	Up	0.014	0.0759857142857143	0.002	0.00399324324324324	1.31684293275364	1.17763042913152	1	76.669518251522
UPF2	182	0.357142857142857	0.203296703296703	Down	0.014	0.0759857142857143	0.002	0.00399324324324324	0.946091041737307	-1.04215288578133	-1	54.9398013391367
DDX47	195	0.292307692307692	0.456410256410256	Up	0.016	0.0848194444444444	0.005	0.00661567164179104	0.916941046290965	0.897132156819132	1	50.9379553412358
SNRNP200	195	0.38974358974359	0.220512820512821	Down	0.017	0.0878513513513514	0.002	0.00399324324324324	0.751565196612887	-0.75121213641939	-1	41.0586353142519
MAGOH	183	0.431693989071038	0.218579234972678	Down	0.02	0.101092105263158	0.003	0.00487623762376238	0.891374507478984	-0.91300917646107	-1	45.9456932516432
UCHL5	197	0.441624365482233	0.182741116751269	Down	0.022	0.108602564102564	0.005	0.00661567164179104	0.689404134702443	-0.691726677509325	-1	34.2959717245559
MSI2	193	0.362694300518135	0.264248704663212	Down	0.025	0.1206625	0.001	0.0023452380952381	0.782310449574364	-0.72551303883059	-1	37.1131655662251
EIF3D	185	0.421621621621622	0.243243243243243	Down	0.026	0.122524390243902	0.005	0.00661567164179104	0.886482360496686	-0.832898326757829	-1	41.8143968093952
FXR1	189	0.375661375661376	0.26984126984127	Down	0.037	0.171202380952381	0.003	0.00487623762376238	0.919898202948288	-0.973357831362658	-1	36.4113449629356
PNPT1	184	0.369565217391304	0.21195652173913	Down	0.039	0.176383720930233	0.002	0.00399324324324324	1.10094085082772	-1.1980816432394	-1	42.9313303082981
RPS10	187	0.390374331550802	0.229946524064171	Down	0.044	0.190433333333333	0.001	0.0023452380952381	0.886605811015768	-0.88212766918508	-1	32.9286432681678
XRCC6	190	0.305263157894737	0.389473684210526	Up	0.044	0.190433333333333	0.005	0.00661567164179104	1.0174490882248	0.993243225162062	1	37.8635108827977
NSUN2	196	0.438775510204082	0.158163265306122	Down	0.045	0.190576086956522	0.001	0.0023452380952381	0.878614180824314	-0.982406325581631	-1	32.6122592936797
HNRNPA0	189	0.375661375661376	0.216931216931217	Down	0.046	0.190712765957447	0.003	0.00487623762376238	0.757415959876334	-0.773255286222632	-1	28.0308796738257
AKAP8	192	0.354166666666667	0.1875	Down	0.048	0.194947916666667	0.001	0.0023452380952381	0.912088720631364	-1.03777213594839	-1	33.4037547810488
DDX27	188	0.351063829787234	0.287234042553192	Down	0.05	0.199010204081633	0.001	0.0023452380952381	1.22319793028971	-1.28556866509911	-1	44.3980380974605
RRP9	188	0.345744680851064	0.26063829787234	Down	0.053	0.20685	0.002	0.00399324324324324	0.857555786631811	-0.907180188905374	-1	30.2203272470804
U2AF2	189	0.428571428571429	0.243386243386243	Down	0.055	0.210519607843137	0.003	0.00487623762376238	0.698629537872668	-0.85205780173342	-1	24.24576533731
HNRNPC	196	0.489795918367347	0.224489795918367	Down	0.057	0.214048076923077	0.001	0.0023452380952381	0.728152492322804	-0.734015747786345	-1	25.0166765157399
GEMIN5	193	0.409326424870466	0.176165803108808	Down	0.059	0.217443396226415	0.004	0.00574583333333333	0.817361796036555	-0.864395049252709	-1	27.851585376494
XRCC5	190	0.442105263157895	0.178947368421053	Down	0.063	0.228009259259259	0.006	0.00732094594594595	0.966477802525881	-1.01916296693766	-1	31.9829728345408
MTPAP	187	0.438502673796791	0.13903743315508	Down	0.066	0.234609090909091	0.012	0.0130953757225434	0.951226214081705	-0.992300284639934	-1	30.8529387085905
DDX28	189	0.465608465608466	0.216931216931217	Down	0.07	0.236060344827586	0.004	0.00574583333333333	0.797084588209327	-0.815643525150289	-1	25.6588653320727
CPSF7	176	0.318181818181818	0.232954545454545	Down	0.068	0.236060344827586	0.001	0.0023452380952381	1.09520958905169	-1.2714108309579	-1	35.4466987269537
