NGenes	PropDown	PropUp	Direction	p.value	p.adj	PValue.Mixed	FDR.Mixed	avg.logfc	avg.logfc.dir	direction	significance
EIF4G2	182	0.159340659340659	0.505494505494505	Up	0.019	0.202184210526316	0.001	0.00469047619047619	0.964271954525192	1.00270240978051	1	82.164503570708
PRPF8	189	0.206349206349206	0.417989417989418	Up	0.004	0.202184210526316	0.002	0.00820833333333333	1.10117811867529	1.21258075457096	1	93.8540920123749
EEF2	194	0.175257731958763	0.479381443298969	Up	0.017	0.202184210526316	0.007	0.0114330357142857	0.878052721338751	0.873202287081214	1	74.8027652738066
XRCC6	190	0.231578947368421	0.468421052631579	Up	0.013	0.202184210526316	0.001	0.00469047619047619	1.06887853555097	1.14135435592475	1	91.0962261711649
SLTM	186	0.231182795698925	0.349462365591398	Up	0.017	0.202184210526316	0.033	0.0359691011235955	1.07960507949854	1.26973360526813	1	92.0121008136755
KRR1	191	0.445026178010471	0.214659685863874	Down	0.019	0.202184210526316	0.006	0.010835	1.0956416209093	-1.12176683336479	-1	93.3813639895399
BUD13	191	0.528795811518325	0.141361256544503	Down	0.009	0.202184210526316	0.005	0.0103081395348837	0.884452553531038	-0.878501852337717	-1	75.3492081961395
AGO1	182	0.489010989010989	0.131868131868132	Down	0.014	0.202184210526316	0.001	0.00469047619047619	0.981159949067751	-0.991440095727494	-1	83.6064671742693
DDX19B	193	0.507772020725389	0.176165803108808	Down	0.019	0.202184210526316	0.014	0.0179695945945946	0.772026123631387	-0.76465331949913	-1	65.7497960465739
FMR1	187	0.374331550802139	0.229946524064171	Down	0.008	0.202184210526316	0.032	0.0352585227272727	0.909318293309666	-0.970471797171017	-1	77.4723431631749
SF1	188	0.191489361702128	0.335106382978723	Up	0.012	0.202184210526316	0.001	0.00469047619047619	1.1218670403488	1.32451309455898	1	95.6205937704706
NUFIP2	182	0.225274725274725	0.368131868131868	Up	0.009	0.202184210526316	0.003	0.00849137931034483	1.0179192451248	1.17771858705892	1	86.7451209009288
SAFB2	187	0.144385026737968	0.491978609625668	Up	0.018	0.202184210526316	0.01	0.0140714285714286	0.927705100958431	0.954088579599877	1	79.042281343128
FXR1	189	0.275132275132275	0.380952380952381	Up	0.02	0.202184210526316	0.012	0.0160673758865248	0.924838691614284	0.976696627053698	1	78.7975360042571
PRPF6	193	0.253886010362694	0.409326424870466	Up	0.008	0.202184210526316	0.01	0.0140714285714286	0.912137465996167	0.902295194803676	1	77.7130552498495
LARP4	189	0.476190476190476	0.195767195767196	Down	0.02	0.202184210526316	0.006	0.010835	1.17315778605228	-1.22359146401368	-1	100
RBM17	186	0.231182795698925	0.408602150537634	Up	0.003	0.202184210526316	0.005	0.0103081395348837	0.961945957434994	1.04638604528956	1	81.9659007622098
SNRNP200	195	0.441025641025641	0.215384615384615	Down	0.012	0.202184210526316	0.002	0.00820833333333333	0.944048598038747	-0.928784362027739	-1	80.4377536051149
APOBEC3C	183	0.120218579234973	0.524590163934426	Up	0.004	0.202184210526316	0.004	0.0102910447761194	1.13339872895897	1.16269824167631	1	96.605214840874
NOL12	196	0.204081632653061	0.443877551020408	Up	0.025	0.241325	0.002	0.00820833333333333	1.09616475392409	1.21658565151656	1	83.0649039734544
DDX47	195	0.415384615384615	0.343589743589744	Down	0.028	0.24625	0.001	0.00469047619047619	1.08096634689069	-1.01582156837096	-1	80.7444157732223
STAU1	194	0.520618556701031	0.211340206185567	Down	0.027	0.24625	0.003	0.00849137931034483	0.890368926717079	-0.784677941979704	-1	66.4776831276685
ZRANB2	184	0.429347826086957	0.190217391304348	Down	0.03	0.252673913043478	0.004	0.0102910447761194	0.88948260025123	-0.874383234883295	-1	65.1878512335131
AKAP1	195	0.230769230769231	0.425641025641026	Up	0.033	0.266770833333333	0.003	0.00849137931034483	0.896454269901741	0.853890653817248	1	63.1005934519356
RPS10	187	0.171122994652406	0.486631016042781	Up	0.035	0.27186	0.003	0.00849137931034483	0.945807825936421	1.00838039311924	1	65.6291902907236
KHDRBS1	192	0.505208333333333	0.145833333333333	Down	0.045	0.301128571428571	0.016	0.0200888157894737	0.864141354462948	-0.856630698492751	-1	55.2283607287998
CIRBP	197	0.426395939086294	0.258883248730964	Down	0.051	0.301128571428571	0.005	0.0103081395348837	1.0631481320917	-1.0122843078013	-1	67.986017117056
RPS19	184	0.277173913043478	0.402173913043478	Up	0.047	0.301128571428571	0.003	0.00849137931034483	1.19202851487697	-1.12367517584444	-1	76.2481057672666
UBE2L3	194	0.489690721649485	0.0979381443298969	Down	0.052	0.301128571428571	0.001	0.00469047619047619	0.962765886581294	-0.982287452030986	-1	61.5508483707314
FUBP3	187	0.411764705882353	0.262032085561497	Down	0.053	0.301128571428571	0.028	0.0314970930232558	1.24468559316091	-0.981374140202923	-1	79.6237742704226
HNRNPL	189	0.185185185185185	0.486772486772487	Up	0.041	0.301128571428571	0.011	0.0150985401459854	0.877928621618584	0.904771062806797	1	56.1122161381509
PCBP2	197	0.461928934010152	0.223350253807107	Down	0.044	0.301128571428571	0.005	0.0103081395348837	0.841119131711141	-0.845419479070304	-1	53.7524833206978
RBM39	192	0.375	0.161458333333333	Down	0.053	0.301128571428571	0.006	0.010835	0.852894991494288	-0.801190771907022	-1	54.5073941562972
HNRNPAB	185	0.275675675675676	0.421621621621622	Up	0.05	0.301128571428571	0.006	0.010835	1.07871408498536	1.20542905667894	1	68.98389809749
U2AF2	189	0.407407407407407	0.19047619047619	Down	0.054	0.301128571428571	0.003	0.00849137931034483	0.901138654984317	-0.897174762144654	-1	57.600133454175
DDX24	197	0.446700507614213	0.274111675126904	Down	0.066	0.301182692307692	0.005	0.0103081395348837	1.10142404557262	-1.13209919652831	-1	70.4291850817274
ESF1	187	0.566844919786096	0.181818181818182	Down	0.066	0.301182692307692	0.019	0.0224969135802469	1.07498521837423	-1.14191920769877	-1	68.7345344140342
SLBP	196	0.459183673469388	0.25	Down	0.07	0.301182692307692	0.003	0.00849137931034483	0.906552115390975	-0.789894078833139	-1	57.9384704173073
EIF3G	192	0.208333333333333	0.578125	Up	0.08	0.301182692307692	0.005	0.0103081395348837	1.01910666392749	0.939713088194561	1	65.1528842563955
CPSF7	176	0.1875	0.346590909090909	Up	0.079	0.301182692307692	0.011	0.0150985401459854	1.22200035834501	1.33003955100509	1	78.157770295226
ASCC1	191	0.418848167539267	0.230366492146597	Down	0.072	0.301182692307692	0.009	0.0131850393700787	0.911625323162839	-0.727004817812519	-1	58.2636480385922
FUS	189	0.375661375661376	0.253968253968254	Down	0.063	0.301182692307692	0.005	0.0103081395348837	0.906892918624842	-0.887294165379559	-1	57.9603148971509
ZC3H8	194	0.458762886597938	0.15979381443299	Down	0.076	0.301182692307692	0.008	0.0123125	0.817376744688315	-0.792339756103816	-1	52.2225927662645
XPO5	191	0.617801047120419	0.0837696335078534	Down	0.06	0.301182692307692	0.042	0.0449203296703297	0.971621820636825	-0.860549183877887	-1	62.1092461712408
PTBP1	194	0.252577319587629	0.407216494845361	Up	0.077	0.301182692307692	0.007	0.0114330357142857	0.912078125993897	0.899823184432021	1	58.2926713615342
DDX27	188	0.23936170212766	0.377659574468085	Up	0.077	0.301182692307692	0.001	0.00469047619047619	1.12222558113392	1.19781511409748	1	71.7625020198614
FASTKD2	190	0.521052631578947	0.189473684210526	Down	0.063	0.301182692307692	0.013	0.0169827586206897	0.989227820066148	-0.812463413783003	-1	63.2377386896278
UCHL5	197	0.472081218274112	0.182741116751269	Down	0.08	0.301182692307692	0.009	0.0131850393700787	0.717811059138253	-0.691574284924298	-1	45.8407266482764
EIF4G1	188	0.218085106382979	0.340425531914894	Up	0.078	0.301182692307692	0.005	0.0103081395348837	1.17342273233698	1.37332165859973	1	75.0440880682597
UPF2	182	0.181318681318681	0.362637362637363	Up	0.074	0.301182692307692	0.008	0.0123125	1.01579411542756	1.0629740374436	1	64.9405596897627
KIF1C	195	0.482051282051282	0.220512820512821	Down	0.074	0.301182692307692	0.008	0.0123125	0.857168814813345	-0.804736083452738	-1	54.7731468320813
AATF	193	0.398963730569948	0.191709844559585	Down	0.08	0.301182692307692	0.023	0.0267018072289157	0.917420751921132	-0.747981416918772	-1	58.6351178901524
SF3B1	185	0.372972972972973	0.254054054054054	Down	0.083	0.306650943396226	0.007	0.0114330357142857	0.999026409295534	-0.868868201852076	-1	62.9056797429399
HNRNPA1	183	0.262295081967213	0.387978142076503	Up	0.108	0.353631147540984	0.002	0.00820833333333333	1.01890391505973	0.968071763934938	1	56.4030901414538
ADAR	174	0.155172413793103	0.362068965517241	Up	0.103	0.353631147540984	0.015	0.0190433333333333	1.06357005509012	1.08539365479234	1	58.8830587926689
PABPC1	180	0.25	0.377777777777778	Up	0.102	0.353631147540984	0.005	0.0103081395348837	0.854007846578631	0.971442422177458	1	47.2476744224435
DDX1	181	0.193370165745856	0.342541436464088	Up	0.101	0.353631147540984	0.004	0.0102910447761194	0.858753982276188	0.863835638220165	1	47.5111909863629
ATP5C1	197	0.431472081218274	0.208121827411168	Down	0.11	0.353631147540984	0.006	0.010835	0.810181879969824	-0.742698511414406	-1	44.8143541663146
NCBP2	188	0.50531914893617	0.143617021276596	Down	0.106	0.353631147540984	0.066	0.0675575916230367	1.13399061218462	-0.920872768146437	-1	62.792972966507
GRSF1	192	0.177083333333333	0.5	Up	0.102	0.353631147540984	0.003	0.00849137931034483	1.04966653984173	1.0880201691545	1	58.1111030800361
MAGOH	183	0.202185792349727	0.360655737704918	Up	0.11	0.353631147540984	0.002	0.00820833333333333	1.11266353526276	-1.17133052304366	-1	61.60884373232
LARP7	194	0.618556701030928	0.0927835051546392	Down	0.119	0.376524193548387	0.104	0.10402806122449	1.01444159519485	-1.04429815721836	-1	52.7564923015709
TFIP11	196	0.204081632653061	0.397959183673469	Up	0.121	0.376801587301587	0.004	0.0102910447761194	0.920871176811999	0.969713658216997	1	47.8385238713424
PNPT1	184	0.233695652173913	0.380434782608696	Up	0.125	0.380361538461538	0.008	0.0123125	0.988114232301633	1.07800400073665	1	50.8477832803869
XRCC5	190	0.210526315789474	0.452631578947368	Up	0.126	0.380361538461538	0.007	0.0114330357142857	1.02313925263467	0.955415930258929	1	52.6561352104017
UTP18	191	0.382198952879581	0.225130890052356	Down	0.129	0.38355303030303	0.001	0.00469047619047619	0.880640896016244	-0.846168980950095	-1	44.9058760793741
HSPD1	189	0.253968253968254	0.386243386243386	Up	0.139	0.407231343283582	0.004	0.0102910447761194	1.05054676358287	1.01029092610054	1	50.2410091926255
DDX52	193	0.274611398963731	0.336787564766839	Up	0.15	0.433110294117647	0.057	0.0592047872340426	0.788664485425117	0.736708720883393	1	35.0794124459923
RECQL	195	0.0871794871794872	0.538461538461538	Up	0.165	0.44325	0.064	0.0658394736842105	0.776139841041512	0.74849884723894	1	33.5602957804832
SMNDC1	196	0.403061224489796	0.193877551020408	Down	0.16	0.44325	0.005	0.0103081395348837	0.81843353722838	-0.808916640406775	-1	35.3982762056652
NAA15	194	0.572164948453608	0.118556701030928	Down	0.165	0.44325	0.078	0.0795182291666667	1.00965699586723	-1.12293731053209	-1	43.7083792588696
RBM22	194	0.252577319587629	0.417525773195876	Up	0.159	0.44325	0.004	0.0102910447761194	0.822679095922406	0.835372827620429	1	35.5827777857376
METAP2	192	0.0989583333333333	0.546875	Up	0.167	0.44325	0.045	0.0471317204301075	0.885699881518576	0.859568002745275	1	38.321506739423
SART3	187	0.235294117647059	0.283422459893048	Up	0.161	0.44325	0.006	0.010835	1.06410174790821	1.14925045632137	1	46.0744148038141
NPM1	188	0.345744680851064	0.212765957446809	Down	0.174	0.446448051948052	0.019	0.0224969135802469	1.04317251275655	-0.852668906864592	-1	44.7643157889891
HNRNPA0	189	0.227513227513228	0.35978835978836	Up	0.175	0.446448051948052	0.003	0.00849137931034483	0.921095011806585	0.927925506555641	1	39.5060029586947
AKAP8L	194	0.412371134020619	0.221649484536082	Down	0.173	0.446448051948052	0.005	0.0103081395348837	0.904265719753339	-0.831281223989962	-1	38.7811054006702
MATR3	192	0.177083333333333	0.416666666666667	Up	0.178	0.448301282051282	0.009	0.0131850393700787	0.803666694586154	0.71429700263524	1	34.2701283199793
NELFE	193	0.336787564766839	0.373056994818653	Up	0.181	0.450107594936709	0.002	0.00820833333333333	1.04637767041673	1.14601623492999	1	44.4461123062935
HNRNPK	194	0.56701030927835	0.180412371134021	Down	0.186	0.451154320987654	0.049	0.0510935828877005	0.98263919220115	-0.910980287389385	-1	41.6065486664117
BCCIP	181	0.176795580110497	0.414364640883978	Up	0.186	0.451154320987654	0.017	0.0204433962264151	0.747864241607063	0.805605108467215	1	31.625453912553
EFTUD2	196	0.408163265306122	0.219387755102041	Down	0.216	0.46708064516129	0.006	0.010835	0.888076294600546	-0.889394033997146	-1	35.940737122942
ILF2	190	0.484210526315789	0.205263157894737	Down	0.206	0.46708064516129	0.063	0.0651455026455026	0.975119768537883	-0.993291525761168	-1	39.4799635187816
GTF2F1	184	0.326086956521739	0.260869565217391	Down	0.217	0.46708064516129	0.024	0.0275565476190476	1.19820821427089	-0.887531080227835	-1	48.5508390253533
SUGP2	189	0.502645502645503	0.142857142857143	Down	0.221	0.46708064516129	0.099	0.0995102564102564	1.27053304585062	-1.18849453561787	-1	51.4915988712427
RRP9	188	0.24468085106383	0.345744680851064	Up	0.206	0.46708064516129	0.002	0.00820833333333333	0.914189309980439	1.09505882882043	1	37.0025039519408
SND1	195	0.507692307692308	0.128205128205128	Down	0.213	0.46708064516129	0.045	0.0471317204301075	1.18394652925469	-1.13026057328921	-1	47.9709525643094
FAM120A	197	0.593908629441624	0.0964467005076142	Down	0.207	0.46708064516129	0.132	0.132	1.15350578104726	-1.21292562489489	-1	46.7332181921449
