NGenes	PropDown	PropUp	Direction	p.value	p.adj	PValue.Mixed	FDR.Mixed	avg.logfc	avg.logfc.dir	direction	significance
EIF4G2	182	0.456043956043956	0.43956043956044	Down	0.001	0.00518421052631579	0.001	0.001	1.39538431034305	-1.36864304301517	-1	75.6430915529216
RPS19	184	0.581521739130435	0.277173913043478	Down	0.001	0.00518421052631579	0.001	0.001	1.52912385959791	-1.40328619316592	-1	82.8943829517221
PRPF8	189	0.576719576719577	0.312169312169312	Down	0.001	0.00518421052631579	0.001	0.001	1.2110138533651	-1.23213697518875	-1	65.6466176876674
EEF2	194	0.474226804123711	0.34020618556701	Down	0.001	0.00518421052631579	0.001	0.001	1.49601374827373	-1.2701157983169	-1	81.0991692935632
PABPC1	180	0.511111111111111	0.366666666666667	Down	0.001	0.00518421052631579	0.001	0.001	1.65363341815367	-1.4831487461946	-1	89.6452288761638
HSPD1	189	0.518518518518518	0.338624338624339	Down	0.001	0.00518421052631579	0.001	0.001	1.40298563002324	-1.51107166476872	-1	76.0552313000917
XRCC6	190	0.547368421052632	0.321052631578947	Down	0.001	0.00518421052631579	0.001	0.001	1.5245610823544	-1.33517938723418	-1	82.6469914541074
SLTM	186	0.456989247311828	0.376344086021505	Down	0.001	0.00518421052631579	0.002	0.002	1.16678363138623	-1.24761384512528	-1	63.248477197518
DDX19B	193	0.440414507772021	0.424870466321244	Down	0.001	0.00518421052631579	0.001	0.001	1.12482852688385	-1.20355561971125	-1	60.9736924378196
AKAP1	195	0.584615384615385	0.312820512820513	Down	0.001	0.00518421052631579	0.001	0.001	1.43484030245803	-1.2022916519859	-1	77.7823756902512
FMR1	187	0.470588235294118	0.358288770053476	Down	0.001	0.00518421052631579	0.001	0.001	1.09292883971083	-1.2007816584755	-1	59.2441073710915
DDX52	193	0.212435233160622	0.544041450777202	Up	0.001	0.00518421052631579	0.001	0.001	1.33405164085868	1.31094706951273	1	72.3176649220158
DDX27	188	0.452127659574468	0.382978723404255	Down	0.001	0.00518421052631579	0.001	0.001	1.55987450691793	-1.42879590590217	-1	84.5616676529312
HNRNPM	179	0.396648044692737	0.368715083798883	Down	0.001	0.00518421052631579	0.001	0.001	1.78478613898632	-1.70798237876382	-1	96.756263733106
NUFIP2	182	0.445054945054945	0.340659340659341	Down	0.001	0.00518421052631579	0.001	0.001	1.84461214822763	-1.61812544628745	-1	100
FXR1	189	0.592592592592593	0.285714285714286	Down	0.001	0.00518421052631579	0.001	0.001	1.30496122235775	-1.11669175835346	-1	70.7403969961211
UTP3	187	0.491978609625668	0.336898395721925	Down	0.001	0.00518421052631579	0.001	0.001	1.36331953809511	-1.36226100499744	-1	73.9045556560876
LARP4	189	0.486772486772487	0.328042328042328	Down	0.001	0.00518421052631579	0.001	0.001	1.05768195753567	-1.08511014206014	-1	57.3330390672485
SERBP1	181	0.414364640883978	0.414364640883978	Down	0.001	0.00518421052631579	0.001	0.001	1.48427002760665	1.79093249567065	1	80.4624306389349
SF3B1	185	0.454054054054054	0.302702702702703	Down	0.002	0.00869117647058824	0.001	0.001	1.27576520871534	-1.20146828757678	-1	62.3654498656063
SRSF1	194	0.54639175257732	0.345360824742268	Down	0.002	0.00869117647058824	0.001	0.001	1.11794118825008	-1.11883735520741	-1	54.6485383553179
STIP1	190	0.342105263157895	0.436842105263158	Up	0.002	0.00869117647058824	0.003	0.003	1.36282225775936	1.4683043574176	1	66.622162765449
DDX47	195	0.615384615384615	0.276923076923077	Down	0.002	0.00869117647058824	0.001	0.001	1.37622012566083	-1.33147499433099	-1	67.2772605174731
NELFE	193	0.538860103626943	0.300518134715026	Down	0.002	0.00869117647058824	0.002	0.002	1.16900237849931	-1.12394084889507	-1	57.1452095565818
SF1	188	0.478723404255319	0.292553191489362	Down	0.002	0.00869117647058824	0.001	0.001	1.70511282837419	-1.63034411624848	-1	83.3586901739761
HNRNPL	189	0.513227513227513	0.317460317460317	Down	0.002	0.00869117647058824	0.001	0.001	1.26178920583356	-1.27625754162173	-1	61.682083815316
PUS1	193	0.440414507772021	0.409326424870466	Down	0.002	0.00869117647058824	0.001	0.001	1.2097735409161	-1.10649829794663	-1	59.138742933912
PCBP2	197	0.527918781725888	0.355329949238579	Down	0.002	0.00869117647058824	0.001	0.001	1.02325797473884	-1.06972616077329	-1	50.0189390204255
RBM39	192	0.421875	0.411458333333333	Down	0.002	0.00869117647058824	0.001	0.001	1.1061373486227	-1.09074203687849	-1	54.0713816866586
ABCF1	198	0.474747474747475	0.363636363636364	Down	0.002	0.00869117647058824	0.001	0.001	1.25250461514445	-1.27622822783016	-1	61.2281075159802
EXOSC9	193	0.207253886010363	0.647668393782383	Up	0.002	0.00869117647058824	0.001	0.001	0.945686368882155	0.90158325872017	1	46.2260232377562
ZRANB2	184	0.271739130434783	0.559782608695652	Up	0.002	0.00869117647058824	0.001	0.001	1.13112500855986	1.19860028479348	1	55.293170106544
EIF4A3	188	0.457446808510638	0.388297872340426	Down	0.002	0.00869117647058824	0.002	0.002	1.51621282613007	-1.36445534515645	-1	74.1222976570841
APOBEC3C	183	0.448087431693989	0.366120218579235	Down	0.002	0.00869117647058824	0.001	0.001	1.54841742615248	-1.38312824143806	-1	75.6969632109365
PNPT1	184	0.451086956521739	0.380434782608696	Down	0.003	0.0126282051282051	0.001	0.001	1.6797570319657	-1.66894376262152	-1	75.6523146840469
PUF60	178	0.51123595505618	0.303370786516854	Down	0.003	0.0126282051282051	0.003	0.003	1.32688112380556	-1.29465742180132	-1	59.7566819606391
AARS	190	0.536842105263158	0.289473684210526	Down	0.003	0.0126282051282051	0.003	0.003	1.48671296849595	-1.37026932672916	-1	66.9564602451635
EIF3D	185	0.481081081081081	0.405405405405405	Down	0.003	0.0126282051282051	0.002	0.002	1.41746573042098	-1.27011202027408	-1	63.8371521878659
MAGOH	183	0.437158469945355	0.39344262295082	Down	0.003	0.0126282051282051	0.002	0.002	1.51539693465087	-1.28131396423915	-1	68.2485569298777
NOL12	196	0.48469387755102	0.423469387755102	Down	0.004	0.0164166666666667	0.001	0.001	1.61132191416056	-1.37615957416641	-1	68.2136654158939
PTBP1	194	0.597938144329897	0.288659793814433	Down	0.004	0.0164166666666667	0.001	0.001	1.13614959485945	-1.13652959203678	-1	48.0936182698844
