NGenes	PropDown	PropUp	Direction	p.value	p.adj	PValue.Mixed	FDR.Mixed	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	188	0.579787234042553	0.143617021276596	Down	0.008	0.052328125	0.004	0.00415361445783133	0.637630675406161	-0.543782845120939	-1	70.0630396069309
KHDRBS1	192	0.4375	0.265625	Down	0.009	0.052328125	0.002	0.00230859375	0.499114869548539	-0.519499064397773	-1	54.7964730492679
SF3B1	185	0.4	0.264864864864865	Down	0.006	0.052328125	0.001	0.00127922077922078	0.816197584005036	-0.658092241264612	-1	89.7438520473753
SRSF1	194	0.510309278350515	0.201030927835052	Down	0.003	0.052328125	0.001	0.00127922077922078	0.667123844990537	-0.557371766477375	-1	73.313639303251
DNAJC21	190	0.463157894736842	0.247368421052632	Down	0.009	0.052328125	0.002	0.00230859375	0.631980160386587	-0.573479120774756	-1	69.4402661761495
RPS19	184	0.5	0.25	Down	0.001	0.052328125	0.001	0.00127922077922078	0.790600773230125	-0.665310831760544	-1	86.9226908597434
EFTUD2	196	0.571428571428571	0.204081632653061	Down	0.002	0.052328125	0.001	0.00127922077922078	0.568399315332482	-0.568995309659087	-1	62.4326817578869
PRPF8	189	0.481481481481481	0.248677248677249	Down	0.006	0.052328125	0.002	0.00230859375	0.636239772763083	-0.555322162475839	-1	69.9097408000235
MSI2	193	0.559585492227979	0.150259067357513	Down	0.004	0.052328125	0.001	0.00127922077922078	0.590344060457905	-0.552894346764941	-1	64.8513292903756
XRCC6	190	0.442105263157895	0.3	Down	0.007	0.052328125	0.001	0.00127922077922078	0.697033346449431	-0.578896167822271	-1	76.6101251584325
PTBP1	194	0.520618556701031	0.201030927835052	Down	0.003	0.052328125	0.001	0.00127922077922078	0.583622491716948	-0.558799040224754	-1	64.1105093101548
FMR1	187	0.518716577540107	0.160427807486631	Down	0.006	0.052328125	0.001	0.00127922077922078	0.494982287776799	-0.497005814393528	-1	54.3409991466137
PUF60	178	0.48314606741573	0.230337078651685	Down	0.003	0.052328125	0.001	0.00127922077922078	0.687233640961774	-0.625204660025247	-1	75.5300472918922
SF1	188	0.313829787234043	0.287234042553192	Down	0.009	0.052328125	0.001	0.00127922077922078	0.909253124246317	-0.633971489655973	-1	100
CELF1	189	0.391534391534392	0.296296296296296	Down	0.006	0.052328125	0.006	0.006	0.680943056522499	-0.567749274020295	-1	74.836728392766
HNRNPC	196	0.63265306122449	0.13265306122449	Down	0.005	0.052328125	0.002	0.00230859375	0.528267437899915	-0.536733787306998	-1	58.0095332650859
