NGenes	PropDown	PropUp	Direction	p.value	p.adj	PValue.Mixed	FDR.Mixed	avg.logfc	avg.logfc.dir	direction	significance
NUFIP2	182	0.269230769230769	0.0989010989010989	Down	0.001	0.0985	0.011	0.0779791666666667	0.477627320769938	-0.429328785004468	-1	100
PA2G4	193	0.284974093264249	0.119170984455959	Down	0.004	0.34475	0.121	0.153151612903226	0.403030060590767	-0.393765621241232	-1	38.7716878505927
RPS19	184	0.298913043478261	0.152173913043478	Down	0.013	0.6107	0.018	0.0779791666666667	0.435674428112425	-0.439069000275189	-1	19.4086115996945
EEF2	194	0.293814432989691	0.190721649484536	Down	0.014	0.6107	0.028	0.0779791666666667	0.415762391836894	-0.3664185896251	-1	18.5215616530057
PUF60	178	0.230337078651685	0.247191011235955	Up	0.016	0.6107	0.018	0.0779791666666667	0.421543004033507	0.423517334731733	1	18.7790788486295
XRCC6	190	0.394736842105263	0.173684210526316	Down	0.02	0.64025	0.005	0.0779791666666667	0.452959232208767	-0.4400602065975	-1	18.245135284819
PRPF8	189	0.322751322751323	0.169312169312169	Down	0.038	0.704653846153846	0.016	0.0779791666666667	0.411424168743531	-0.43073130290599	-1	13.0098411983285
AKAP1	195	0.271794871794872	0.194871794871795	Down	0.047	0.704653846153846	0.012	0.0779791666666667	0.389959577263246	-0.282340588223607	-1	12.3310990442195
PTBP1	194	0.458762886597938	0.103092783505155	Down	0.045	0.704653846153846	0.027	0.0779791666666667	0.410920439842562	-0.452216069726565	-1	12.9939125448694
RBM34	191	0.293193717277487	0.0575916230366492	Down	0.028	0.704653846153846	0.004	0.0779791666666667	0.325746669984085	-0.309115032509432	-1	10.3005918692615
PRPF6	193	0.383419689119171	0.0880829015544041	Down	0.042	0.704653846153846	0.047	0.0918701923076923	0.390733344129795	-0.423892817136891	-1	12.3555666978556
SNRNP200	195	0.153846153846154	0.261538461538462	Up	0.044	0.704653846153846	0.042	0.0908388888888889	0.443646182419897	0.44668669121818	1	14.0287489652205
