NGenes	PropDown	PropUp	Direction	p.value	p.adj	PValue.Mixed	FDR.Mixed	avg.logfc	avg.logfc.dir	direction	significance
CIRBP	197	0.472081218274112	0.263959390862944	Down	0.001	0.0140714285714286	0.001	0.00140714285714286	0.939857717216588	-0.915065235813408	-1	73.2330793153043
ATP5C1	197	0.49238578680203	0.258883248730964	Down	0.001	0.0140714285714286	0.001	0.00140714285714286	0.798075132998971	-0.761535547126064	-1	62.1529496789989
PUF60	178	0.432584269662921	0.308988764044944	Down	0.001	0.0140714285714286	0.002	0.0023452380952381	0.96522577484954	-0.912248647569454	-1	75.2155609349293
RBM17	186	0.274193548387097	0.419354838709677	Up	0.001	0.0140714285714286	0.002	0.0023452380952381	0.993073853348929	1.09136879143355	1	77.3918530486465
U2AF2	189	0.529100529100529	0.243386243386243	Down	0.001	0.0140714285714286	0.001	0.00140714285714286	0.935034845103277	-0.990055969256991	-1	72.856177959403
SNRNP200	195	0.476923076923077	0.261538461538462	Down	0.001	0.0140714285714286	0.001	0.00140714285714286	0.948909711228454	-0.92929735045358	-1	73.9404811987725
EIF4A3	188	0.388297872340426	0.335106382978723	Down	0.001	0.0140714285714286	0.005	0.005	1.28237024286332	-1.27386850533375	-1	100
ASCC1	191	0.643979057591623	0.12565445026178	Down	0.002	0.02955	0.001	0.00140714285714286	1.04020413172918	-0.919089406548665	-1	66.9291306228631
FMR1	187	0.427807486631016	0.267379679144385	Down	0.002	0.02955	0.002	0.0023452380952381	0.718610072430694	-0.729736387796109	-1	46.1703681133539
RBM39	192	0.484375	0.229166666666667	Down	0.002	0.02955	0.002	0.0023452380952381	0.81889255758196	-0.833131142808303	-1	52.6435607390497
MSI2	193	0.476683937823834	0.238341968911917	Down	0.003	0.0351785714285714	0.002	0.0023452380952381	0.843942861802299	-0.848417568312666	-1	51.5635034552767
HSPD1	189	0.439153439153439	0.306878306878307	Down	0.003	0.0351785714285714	0.003	0.00321895424836601	1.08972885321855	-1.09119948794007	-1	66.6434122371197
FXR1	189	0.455026455026455	0.322751322751323	Down	0.003	0.0351785714285714	0.001	0.00140714285714286	0.939169463652278	-0.844145916631216	-1	57.4060189754986
RAVER1	190	0.468421052631579	0.305263157894737	Down	0.003	0.0351785714285714	0.001	0.00140714285714286	0.784733864504419	-0.813321975604604	-1	47.9308054598718
DDX3X	188	0.590425531914894	0.218085106382979	Down	0.005	0.0361166666666667	0.002	0.0023452380952381	1.17728204287427	-1.21931084478586	-1	71.4472415389344
RPS19	184	0.445652173913043	0.298913043478261	Down	0.006	0.0361166666666667	0.004	0.00400872093023256	1.08649267134311	-1.08762455715807	-1	65.9207616878859
SLBP	196	0.38265306122449	0.331632653061224	Down	0.006	0.0361166666666667	0.003	0.00321895424836601	0.952139880381272	-0.811591440916241	-1	57.7425137315387
PRPF8	189	0.455026455026455	0.328042328042328	Down	0.004	0.0361166666666667	0.002	0.0023452380952381	0.86333733520818	-0.83924245332187	-1	52.3369748634511
DDX47	195	0.512820512820513	0.297435897435897	Down	0.004	0.0361166666666667	0.001	0.00140714285714286	1.08199562252726	-1.12958620127487	-1	65.6470198472844
PNPT1	184	0.467391304347826	0.298913043478261	Down	0.005	0.0361166666666667	0.001	0.00140714285714286	0.867597837733129	-0.778613939827575	-1	52.5963177905182
NELFE	193	0.44559585492228	0.295336787564767	Down	0.004	0.0361166666666667	0.001	0.00140714285714286	0.909087685389303	-0.801532025975918	-1	55.1218645943775
XRCC6	190	0.405263157894737	0.368421052631579	Down	0.006	0.0361166666666667	0.002	0.0023452380952381	1.02829295817323	-0.976538519447659	-1	62.3780612952551
KRR1	191	0.397905759162304	0.277486910994764	Down	0.006	0.0361166666666667	0.001	0.00140714285714286	1.23712327014864	-1.30528454722191	-1	75.0898632601385
DDX19B	193	0.440414507772021	0.284974093264249	Down	0.005	0.0361166666666667	0.001	0.00140714285714286	0.8164005289422	-0.758629121895256	-1	49.4798638412376
ZC3H8	194	0.469072164948454	0.283505154639175	Down	0.005	0.0361166666666667	0.002	0.0023452380952381	0.696053094567515	-0.752563647376433	-1	42.1541421187468
