Size	Statistic	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	188	2415466.5	0.1	0.2558	0.589681191407855	-0.582592741128697	-1	31.7640182301291
AKAP8	192	2416255.5	0.1	0.2558	0.93766156908568	-0.853094063078166	-1	50.5084774758041
HNRNPUL1	184	2254425	0.1	0.2558	1.1478077266037	-1.28763030085798	-1	61.8282999080868
EIF4G2	182	2249481	0.1	0.2558	0.643426786329601	-0.662484892763279	-1	34.6591013390334
HNRNPU	195	2559268	0.1	0.2558	0.640378699702139	-0.705282210862711	-1	34.4949118064309
HNRNPA1	183	2389965	0.1	0.2558	0.756896570297169	0.59851062238813	1	40.7713130545021
SRSF1	194	2524083	0.1	0.2558	0.594255707262845	-0.635288291589886	-1	32.0104310496816
TBRG4	190	2273203.5	0.1	0.2558	0.718442884453098	-0.661621201598794	-1	38.6999504335399
SF3B4	189	2499059	0.1	0.2558	0.454438817124086	-0.459532371381704	-1	24.4789948906881
RPS19	184	2415838	0.1	0.2558	0.679291197695832	-0.655135543705008	-1	36.5909889980751
EFTUD2	196	2639056	0.1	0.2558	0.528139357555035	-0.523124223982207	-1	28.4489795941681
PUM2	187	2340454.5	0.1	0.2558	0.863344266359774	-0.804997533021219	-1	46.505269991835
DDX6	187	2363083.5	0.1	0.2558	0.657582940771451	-0.665711831447253	-1	35.4216427839892
TARDBP	193	2592830	0.1	0.2558	0.704976246606748	-0.699028635838467	-1	37.9745507832157
PRPF8	189	2570072	0.1	0.2558	0.71961195359097	-0.789477688209027	-1	38.7629240096836
EIF3G	192	2694186	0.1	0.2558	0.614420637012945	-0.611147476175067	-1	33.0966437448198
DDX47	195	2580060.5	0.1	0.2558	0.614193214741393	-0.636694320107253	-1	33.0843933198703
MSI2	193	2367265.5	0.1	0.2558	0.833399580242479	-0.880821853952078	-1	44.89225677455
PNPT1	184	2383622.5	0.1	0.2558	0.761453503727258	-0.845884968874969	-1	41.0167787716658
PABPC1	180	2257432	0.1	0.2558	0.696691458017561	-0.705172384348937	-1	37.5282788321782
NELFE	193	2510443.5	0.1	0.2558	0.778783559274088	-0.74342313067036	-1	41.9502869254605
DDX28	189	2310301.5	0.1	0.2558	0.797275676378856	-0.876285658831125	-1	42.9463911821135
RRP9	188	2334105.5	0.1	0.2558	0.599956470404605	0.473027528998172	1	32.3175107853065
ATP5C1	197	2524166.5	0.1	0.2558	0.725385883372699	-0.778135936482537	-1	39.0739449707023
XRCC6	190	2521015	0.1	0.2558	0.708907786604648	-0.739914375399851	-1	38.1863287913757
KRR1	191	2423291	0.1	0.2558	0.634305727186746	-0.569434955586156	-1	34.1677824821439
UPF1	186	2443802.5	0.1	0.2558	0.62695437465687	-0.63165612774856	-1	33.7717913954729
ASCC1	191	2383922	0.1	0.2558	0.755306549708032	-0.702866001743383	-1	40.685664328181
DDX19B	193	2373708	0.1	0.2558	0.843847855763419	-0.56634330046016	-1	45.4550680341871
TRIM56	195	2343145	0.1	0.2558	0.794791563476554	-0.944623315142464	-1	42.8125808984142
PARN	187	2417102	0.1	0.2558	1.85644393960373	-2.09244589745995	-1	100
U2AF1	182	2417926	0.1	0.2558	0.6881252822121	-0.666785197167814	-1	37.0668495574924
DHX30	197	2316991.5	0.1	0.2558	0.6979416975034	0.756383638780298	1	37.5956247648599
NPM1	188	2355471	0.1	0.2558	1.71408658771505	0.922725758916502	1	92.3317182462797
RBM15	194	2466061.5	0.1	0.2558	0.527886430742894	-0.545223404880521	-1	28.4353553307715
AUH	191	2403979.5	0.1	0.2558	0.88505581674665	-0.965396576777354	-1	47.6747936129744
ZC3H8	194	2402539	0.1	0.2558	0.505958788615223	-0.493419819833791	-1	27.2541916198785
DKC1	190	2511341	0.1	0.2558	0.552273448356493	-0.542865000528295	-1	29.7489968091565
PTBP1	194	2656075.5	0.1	0.2558	0.770677483649215	-0.862960230360044	-1	41.5136416030813
PCBP1	196	2431866	0.1	0.2558	0.760713997882863	-0.803305641161337	-1	40.9769442348603
PUF60	178	2277779	0.1	0.2558	0.738454333386468	-0.767655367035463	-1	39.7778956656292
SF1	188	2220021	0.1	0.2558	0.882657310890261	0.979494087689802	1	47.5455946748745
DDX27	188	2465711	0.1	0.2558	0.681315168809433	-0.624755366109621	-1	36.7000130881875
CELF1	189	2453751	0.1	0.2558	0.622936419537238	-0.649642363205259	-1	33.5553585135573
PSIP1	187	2339254	0.1	0.2558	0.754052350664349	-0.83071966942638	-1	40.6181051082699
PUS1	193	2538466	0.1	0.2558	0.69679604168708	-0.570286272532666	-1	37.5339123806677
HNRNPC	196	2598622.5	0.1	0.2558	0.533809867299124	-0.525108675172547	-1	28.7544296873877
EIF3D	185	2588759	0.1	0.2558	0.625997625635366	-0.639488889948522	-1	33.7202547451548
RBM39	192	2515159.5	0.1	0.2558	1.16979764316236	-1.37766327690454	-1	63.0128181200053
FTO	192	2418162	0.1	0.2558	0.677623617448575	-0.540871510366874	-1	36.5011624101732
XRCC5	190	2525874.5	0.1	0.2558	0.849810133699123	-0.843271075499131	-1	45.7762346370944
XRN2	193	2413239.5	0.1	0.2558	0.633692873543583	-0.683045298644787	-1	34.1347702467573
HNRNPM	179	2286141	0.1	0.2558	0.729054409147031	-0.64774701422806	-1	39.2715553426651
NUFIP2	182	2220686	0.1	0.2558	0.867143781888329	0.788045217501792	1	46.7099363136937
SAFB2	187	2489893.5	0.1	0.2558	0.846606149236123	-0.837666954485748	-1	45.6036474452784
EIF4B	197	2466111	0.1	0.2558	0.943143200731921	-0.970316970107187	-1	50.8037533809527
FXR1	189	2575735.5	0.1	0.2558	0.710028225736385	-0.713404538816607	-1	38.246682842895
MATR3	192	2648987	0.1	0.2558	0.559408300037553	-0.606898690035369	-1	30.133325768887
HNRNPA2B1	193	2627517.5	0.1	0.2558	0.550688972128149	-0.559162320940654	-1	29.6636467377355
AKAP8L	194	2581278	0.1	0.2558	0.577035217145637	-0.517334979823333	-1	31.082824793988
KIF1C	195	2313093	0.1	0.2558	0.780114159501651	-0.869172790223768	-1	42.0219616040855
GRSF1	192	2502547	0.1	0.2558	0.679097061348446	-0.74736712206942	-1	36.5805315668947
MAGOH	183	2392910	0.1	0.2558	0.665201331366306	-0.649670873229818	-1	35.8320182568129
ZRANB2	184	2255008	0.1	0.2558	0.691857793073901	-0.549586252950587	-1	37.2679065774312
LARP4	189	2373984	0.1	0.2558	0.724765055287314	-0.763430715464838	-1	39.0405031806142
RBM17	186	2432075.5	0.1	0.2558	0.953292075646528	-1.11096040135059	-1	51.3504369999998
RAVER1	190	2541276.5	0.1	0.2558	0.810025334652765	-0.714363441931582	-1	43.6331697053922
U2AF2	189	2454911.5	0.1	0.2558	0.560215548232239	-0.584999990470805	-1	30.1768093439881
RCC2	190	2524883.5	0.1	0.2558	0.832636342004226	-0.900980322704648	-1	44.8511438585082
SNRNP200	195	2530174.5	0.1	0.2558	1.04301179919059	-1.06607062720303	-1	56.1833178443959
RBM22	194	2444110	0.1	0.2558	0.593246340645295	-0.608845456652627	-1	31.9560600775226
CKAP4	195	2384129	0.1	0.2558	0.741850538908231	-0.749165434508082	-1	39.9608371188727
SART3	187	2273483	0.1	0.2558	0.889315733931031	-0.971490866594486	-1	47.9042601265331
EIF4A3	188	2598699	0.1	0.2558	0.655927791463677	-0.664098614397633	-1	35.3324858063686
APOBEC3C	183	2427190.5	0.1	0.2558	0.958929311593107	-1.15639302871529	-1	51.6540947526698
GPKOW	196	2470876	0.1	0.2558	0.643755347238937	-0.73923619560251	-1	34.6767997409257
PKM	186	2250541	0.1	0.2558	1.01954703955157	-1.14532334154561	-1	54.9193551069042
EIF2S2	185	2235114	0.2	0.4477	1.0334332355707	-1.12466736649509	-1	32.8131109444449
QKI	196	2399426.5	0.2	0.4477	0.62322960850705	-0.725143564776476	-1	19.78850842407
PHF6	190	2266817	0.2	0.4477	0.902683328419121	-1.10888260289211	-1	28.6615982374131
XPO5	191	2206039.5	0.2	0.4477	0.566558037196104	-0.594018126959409	-1	17.9890979804963
PPIL4	193	2321476	0.2	0.4477	0.768966563382006	-0.691127775133901	-1	24.415883182708
DDX52	193	2258049	0.2	0.4477	1.19211033883248	0.87854243656788	1	37.8513555203476
RPS3A	183	2143578.5	0.2	0.4477	0.803002934470317	0.75998196510517	1	25.4965908493725
EWSR1	192	2284617	0.2	0.4477	0.72808193041827	-0.611605765837607	-1	23.1177325608915
