Size	Statistic	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	188	2514099	0.1	0.1187	0.735660696095787	0.773378332691829	1	67.8035155094892
AKAP8	192	2392239	0.1	0.1187	0.743959713611139	-0.640291483573802	-1	68.5684096594717
RPS10	187	2481292.5	0.1	0.1187	0.732705753092423	0.792670411471002	1	67.5311677752394
KHDRBS1	192	2650117	0.1	0.1187	0.736978616808801	-0.68838121170505	-1	67.9249840859394
EIF4G2	182	2520829.5	0.1	0.1187	0.714756977600263	-0.672511342794755	-1	65.8768860065958
PABPC4	195	2550569.5	0.1	0.1187	0.557894148265122	-0.570734478758795	-1	51.4193360271923
HNRNPU	195	2575492.5	0.1	0.1187	0.738330025943976	0.772459176102103	1	68.0495391841563
SF3B1	185	2358992	0.1	0.1187	0.885709018566868	-0.829343829197501	-1	81.6329939821519
HNRNPA1	183	2276668	0.1	0.1187	0.799036303454242	0.839099579880328	1	73.6446444419676
CIRBP	197	2579803.5	0.1	0.1187	0.684388371127281	-0.732468132324547	-1	63.0779077671435
TROVE2	195	2588333	0.1	0.1187	0.805033307669311	0.89502132546566	1	74.1973693197066
SRSF1	194	2546833	0.1	0.1187	0.721499519036253	0.673353287182991	1	66.4983246878448
DDX24	197	2512421.5	0.1	0.1187	0.650043562072258	-0.538343872576031	-1	59.9124555338091
EIF2S2	185	2543695	0.1	0.1187	0.645844960229898	-0.682361979360305	-1	59.525483704748
ESF1	187	2758557	0.1	0.1187	0.802898860279257	-0.746987621948583	-1	74.0006440664971
TBRG4	190	2395998	0.1	0.1187	0.708189222484312	0.803235190900572	1	65.271556826676
DNAJC21	190	2679174.5	0.1	0.1187	0.899444616092271	-0.805998795939475	-1	82.8989604865314
SF3B4	189	2468406	0.1	0.1187	0.624032490651399	0.620939465648299	1	57.5150974938018
RPS19	184	2564318.5	0.1	0.1187	0.754935433986838	-0.718456272843548	-1	69.5800070312913
SUCLG1	192	2479352	0.1	0.1187	0.758688543797138	0.819968742027696	1	69.9259192712437
SLBP	196	2601485.5	0.1	0.1187	0.605053482482937	-0.663132204560984	-1	55.7658624435478
