Size	Statistic	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	188	2534160.5	0.1	0.1071	0.690643583741759	-0.698930501850509	-1	67.5154640801791
AKAP8	192	2582085	0.1	0.1071	0.732426234853183	-0.759101085626423	-1	71.6000239699626
RPS10	187	2569428	0.1	0.1071	0.809995946583709	-0.879912823319645	-1	79.1830309063022
KHDRBS1	192	2579109.5	0.1	0.1071	0.573903440429338	0.434329698690243	1	56.103260827927
HNRNPUL1	184	2172782	0.1	0.1071	0.750157276854783	-0.642940892878048	-1	73.3333630721337
EIF4G2	182	2709882.5	0.1	0.1071	0.905250048455408	-0.949363506401815	-1	88.4948163840822
PABPC4	195	2545799.5	0.1	0.1071	0.55608506009834	-0.549845163281478	-1	54.3613837649609
HNRNPU	195	2696716	0.1	0.1071	0.605836610597163	-0.610978971285752	-1	59.224961882111
SF3B1	185	2467747.5	0.1	0.1071	0.809295038327821	-0.914955566716618	-1	79.1145119954082
HNRNPA1	183	2480489.5	0.1	0.1071	1.01861829140624	-1.10565046379107	-1	99.5773917021817
CIRBP	197	2532098	0.1	0.1071	0.559515956280933	-0.587194531439237	-1	54.6967789723177
TROVE2	195	2698210.5	0.1	0.1071	0.64688430973426	-0.627735496151901	-1	63.237674838409
SRSF1	194	2706740	0.1	0.1071	0.711323490946256	-0.781027220915817	-1	69.5370763341904
DDX24	197	2726354.5	0.1	0.1071	0.566167590364509	-0.635123466540316	-1	55.3470248771752
EIF2S2	185	2605334.5	0.1	0.1071	0.674834450146919	-0.651740458145417	-1	65.9700055882917
ESF1	187	2425754	0.1	0.1071	0.763810194686252	0.724797878129909	1	74.6680356950895
TBRG4	190	2512031	0.1	0.1071	0.661143420280856	-0.688809381074219	-1	64.6316072350704
DNAJC21	190	2636508	0.1	0.1071	0.798561031024547	-0.868614769869775	-1	78.0651842356479
SF3B4	189	2689242	0.1	0.1071	0.654992284234246	-0.666560315875231	-1	64.0302886757099
STIP1	190	2355884.5	0.1	0.1071	0.961299037396178	-1.0077114530343	-1	93.9740151903015
RPS19	184	2690743.5	0.1	0.1071	0.942944692388752	-0.996554504405676	-1	92.1797436583048
SUCLG1	192	2487733.5	0.1	0.1071	0.775318679424844	-0.854743204002923	-1	75.793074291374
SLBP	196	2682597	0.1	0.1071	0.636719139199924	-0.727593227943143	-1	62.2439550352631
CNOT7	192	2618881	0.1	0.1071	0.700616701185604	-0.67836974662956	-1	68.4904092883851
EFTUD2	196	2807929	0.1	0.1071	0.590241125816876	-0.644064192962485	-1	57.7003891252168
PUM2	187	2657980.5	0.1	0.1071	0.718631815897242	-0.775503021392945	-1	70.2515185766584
DDX6	187	2555891	0.1	0.1071	0.628151711734792	-0.614850379982852	-1	61.4064263085821
ILF2	190	2638060.5	0.1	0.1071	0.883754470383892	-1.10435823612164	-1	86.3934663341659
SMN1	179	2225530	0.1	0.1071	0.578402195790375	-0.60251042406942	-1	56.543047084013
TARDBP	193	2530028.5	0.1	0.1071	0.613021146839838	-0.620174860695241	-1	59.9273028725203
PRPF8	189	2788889.5	0.1	0.1071	0.8483015956032	-0.93163128761559	-1	82.9276883987121
EIF3G	192	2890681	0.1	0.1071	0.752814297749684	-0.773474699379891	-1	73.593106307303
RBM25	192	2567848	0.1	0.1071	0.552568234001017	-0.573211764189329	-1	54.017588279649
DDX47	195	2790129	0.1	0.1071	0.781303794111118	-0.839186398641878	-1	76.378163047904
ADAR	174	2328157	0.1	0.1071	0.994853663154102	-1.01507052223493	-1	97.2542253933837
UTP18	191	2483905.5	0.1	0.1071	0.706678635313314	-0.719939402854067	-1	69.0830077074401
MSI2	193	2646183.5	0.1	0.1071	0.62617414396771	-0.581192942274324	-1	61.2131045885406
EEF2	194	2778016.5	0.1	0.1071	0.826650851627903	-0.857517166665397	-1	80.8111697462781
GTF2F1	184	2321116	0.1	0.1071	0.863616126440009	0.894400197323863	1	84.4247958517569
PNPT1	184	2625648.5	0.1	0.1071	0.915164121259711	-0.901670743074026	-1	89.4639895467152
SUGP2	189	2505916	0.1	0.1071	0.883193812509819	0.720454051765923	1	86.3386579243734
PABPC1	180	2476710.5	0.1	0.1071	0.802825181871053	-0.763246284812013	-1	78.4820361837251
NELFE	193	2772131.5	0.1	0.1071	0.665755498366461	-0.68276448090982	-1	65.0824716167195
DDX28	189	2490618.5	0.1	0.1071	0.705671103925468	-0.831544448465433	-1	68.9845141416891
DDX1	181	2297031	0.1	0.1071	0.714584291153422	-0.760266405389632	-1	69.8558434152755
RRP9	188	2557342.5	0.1	0.1071	0.835597414713096	-0.99812332537684	-1	81.6857617541367
