Size	Statistic	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	188	2889609	0.1	0.118	1.12155211189009	-1.05502514982209	-1	82.264970391723
AKAP8	192	2519330	0.1	0.118	0.889564537164666	-0.770016371292024	-1	64.5466546991836
RPS10	187	2639670	0.1	0.118	0.945807825936421	1.00838039311924	1	68.8423000466731
KHDRBS1	192	2620959.5	0.1	0.118	0.864141354462948	-0.856630698492751	-1	62.6049301152213
HNRNPUL1	184	2206621.5	0.1	0.118	0.911746338900868	0.752297049293406	1	66.2408151138374
EIF4G2	182	2575751.5	0.1	0.118	0.964271954525192	1.00270240978051	1	70.2525189332264
PABPC4	195	2534979.5	0.1	0.118	0.983936942967491	-1.13110699733887	-1	71.7544548611449
HNRNPU	195	2503124	0.1	0.118	1.03863521285565	-0.990975652808225	-1	75.9320976286995
SF3B1	185	2444794	0.1	0.118	0.999026409295534	-0.868868201852076	-1	72.9069300674083
HNRNPA1	183	2590194	0.1	0.118	1.01890391505973	0.968071763934938	1	74.4250972482463
CIRBP	197	2718930	0.1	0.118	1.0631481320917	-1.0122843078013	-1	77.8042998019583
TROVE2	195	2716789	0.1	0.118	0.834022085604841	0.94759921167189	1	60.3045365933352
SRSF1	194	2776596.5	0.1	0.118	0.941185074579944	1.04952964541033	1	68.4892321377598
DDX24	197	2821879	0.1	0.118	1.10142404557262	-1.13209919652831	-1	80.7276663627665
EIF2S2	185	2304483	0.1	0.118	0.748007768928762	-0.702450788457773	-1	53.7350950241104
ESF1	187	2761837	0.1	0.118	1.07498521837423	-1.14191920769877	-1	78.7083707716298
TBRG4	190	2366908	0.1	0.118	0.950530246988212	-0.918505885875391	-1	69.2029803422784
DNAJC21	190	2611519	0.1	0.118	1.01671008914092	1.13994190259019	1	74.2575412907773
SF3B4	189	2454681.5	0.1	0.118	1.00793783764572	-0.996271147222616	-1	73.5875505746355
STIP1	190	2328362	0.1	0.118	0.955947265837009	-0.73000646491398	-1	69.6167113370915
RPS19	184	2615150	0.1	0.118	1.19202851487697	-1.12367517584444	-1	87.6476860758465
SUCLG1	192	2505935.5	0.1	0.118	0.972828348030128	-0.81110775608318	-1	70.9060232490911
SLBP	196	2803472.5	0.1	0.118	0.906552115390975	-0.789894078833139	-1	65.8441003672187
CNOT7	192	2408863	0.1	0.118	0.88037676684325	0.955710875584489	1	63.8449282586272
EFTUD2	196	2618124	0.1	0.118	0.888076294600546	-0.889394033997146	-1	64.4329884754241
PUM2	187	2457105.5	0.1	0.118	0.877371301075548	0.942913575682497	1	63.6153823817055
ILF2	190	2544329.5	0.1	0.118	0.975119768537883	-0.993291525761168	-1	71.0810331046354
SMN1	179	2188744.5	0.1	0.118	1.10047494363429	1.07835998372992	1	80.6551776194031
TARDBP	193	2530833	0.1	0.118	0.909697784475402	-0.913127223032393	-1	66.084354432412
PRPF8	189	2515700	0.1	0.118	1.10117811867529	1.21258075457096	1	80.7088834154065
EIF3G	192	3009055.5	0.1	0.118	1.01910666392749	0.939713088194561	1	74.4405824243362
RBM25	192	2567109	0.1	0.118	0.988042540227967	1.01566090480447	1	72.0680245359589
DDX47	195	3025340.5	0.1	0.118	1.08096634689069	-1.01582156837096	-1	79.1651862858992
ADAR	174	2101437.5	0.1	0.118	1.06357005509012	1.08539365479234	1	77.8365246523319
UTP18	191	2426353.5	0.1	0.118	0.880640896016244	-0.846168980950095	-1	63.8651014255575
MSI2	193	2699321.5	0.1	0.118	0.850452332543604	-0.817614308406007	-1	61.5594154484288
EEF2	194	2799989	0.1	0.118	0.878052721338751	0.873202287081214	1	63.6674266317349
PNPT1	184	2393733.5	0.1	0.118	0.988114232301633	1.07800400073665	1	72.0735000998781
PABPC1	180	2477107.5	0.1	0.118	0.854007846578631	0.971442422177458	1	61.8309718893134
NELFE	193	2832486.5	0.1	0.118	1.04637767041673	1.14601623492999	1	76.5234366582386
DDX28	189	2438150.5	0.1	0.118	0.808265536223219	0.799797522242521	1	58.3373507488597
DDX1	181	2235517.5	0.1	0.118	0.858753982276188	0.863835638220165	1	62.1934634180449
RRP9	188	2497753	0.1	0.118	0.914189309980439	1.09505882882043	1	66.427399817207
SBDS	187	2217109	0.1	0.118	0.841802680130232	0.766519188019958	1	60.8987883770339
HSPD1	189	2614271	0.1	0.118	1.05054676358287	1.01029092610054	1	76.8418559052898
CPSF7	176	2158431.5	0.1	0.118	1.22200035834501	1.33003955100509	1	89.9368198153693
NOL12	196	2682256.5	0.1	0.118	1.09616475392409	1.21658565151656	1	80.3259819628238
ATP5C1	197	2679093	0.1	0.118	0.810181879969824	-0.742698511414406	-1	58.4837136888488
XRCC6	190	2771651	0.1	0.118	1.06887853555097	1.14135435592475	1	78.2419659039348
SND1	195	2495264.5	0.1	0.118	1.18394652925469	-1.13026057328921	-1	87.0304152032679
SLTM	186	2273700	0.1	0.118	1.07960507949854	1.26973360526813	1	79.0612179357635
KRR1	191	2688494	0.1	0.118	1.0956416209093	-1.12176683336479	-1	80.2860270819804
G3BP2	194	2594771.5	0.1	0.118	0.794628343064596	-0.699438880769639	-1	57.2957945627984
UPF1	186	2409276.5	0.1	0.118	1.00337438649339	0.974862933983864	1	73.2390117864694
ASCC1	191	2615184.5	0.1	0.118	0.911625323162839	-0.727004817812519	-1	66.2315723987795
BUD13	191	2628812.5	0.1	0.118	0.884452553531038	-0.878501852337717	-1	64.1562211169414
AGO1	182	2444316.5	0.1	0.118	0.981159949067751	-0.991440095727494	-1	71.5423587838008
ILF3	194	2578968.5	0.1	0.118	0.865098191120819	-0.821640328191636	-1	62.6780096066139
DDX19B	193	2683327	0.1	0.118	0.772026123631387	-0.76465331949913	-1	55.5695242668842
CSTF2T	195	2600292	0.1	0.118	1.04924091953909	0.994305313772122	1	76.7421205766183
TRIM56	195	2564313.5	0.1	0.118	1.13266848549266	-1.06104146278061	-1	83.113996108207
IGF2BP3	191	2576493	0.1	0.118	0.975868425892069	-1.04050765899662	-1	71.1382126641989
