Size	Statistic	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	188	2694693	0.1	0.134	0.900138736181632	-0.877744063980779	-1	83.9425613363856
AKAP8	192	2770706	0.1	0.134	0.700081689092245	-0.591427083641299	-1	64.5581259156565
RPS10	187	2464116.5	0.1	0.134	0.749684991254317	-0.592801561357596	-1	69.3644150287112
KHDRBS1	192	2440702.5	0.1	0.134	0.639683227226769	-0.535855170267415	-1	58.7058447759696
EIF4G2	182	2514942.5	0.1	0.134	0.86393472837134	1.14621614645076	1	80.4345906771135
HNRNPU	195	2684367.5	0.1	0.134	0.636806014953571	-0.571456403578331	-1	58.4270586181562
SF3B1	185	2299691.5	0.1	0.134	0.825855664458369	-0.737056760809634	-1	76.7449373205238
HNRNPA1	183	2535534	0.1	0.134	0.832991326330935	0.903041507652001	1	77.4363439905978
CIRBP	197	2473723.5	0.1	0.134	0.753426246316763	-0.699922851557687	-1	69.7269222145643
TROVE2	195	2636192	0.1	0.134	0.686039965782546	-0.560001680699891	-1	63.1975596039335
SRSF1	194	2627531.5	0.1	0.134	0.618049259407811	-0.529064913882414	-1	56.6096314299166
DDX24	197	2570664	0.1	0.134	0.690619218953443	-0.655314172857951	-1	63.6412642304781
EIF2S2	185	2397761	0.1	0.134	0.751692383396878	-0.632124040052849	-1	69.5589203656522
ESF1	187	2271532.5	0.1	0.134	0.713732565436341	0.759816674177675	1	65.8808212906925
TBRG4	190	2436517	0.1	0.134	0.748301104102873	-0.655779332598844	-1	69.2303239206647
DNAJC21	190	2643013.5	0.1	0.134	0.755282793622652	-0.711316217143245	-1	69.9068115105433
SF3B4	189	2534154.5	0.1	0.134	0.6445511107416	-0.694818738851054	-1	59.1775161067311
RPS19	184	2562890	0.1	0.134	0.777573845515969	-0.712796867024452	-1	72.0666927152932
SUCLG1	192	2495866.5	0.1	0.134	0.814656540465098	0.962750989433544	1	75.6598033601124
SLBP	196	2611682	0.1	0.134	0.668271968682241	-0.56370092412171	-1	61.4759377097912
CNOT7	192	2454758	0.1	0.134	0.713368384804114	-0.586524718005674	-1	65.845534176094
EFTUD2	196	2660438.5	0.1	0.134	0.7435823906749	-0.68782297464315	-1	68.7731063567534
PUM2	187	2479628.5	0.1	0.134	0.767130808419437	-0.599588007266145	-1	71.0548194464473
ILF2	190	2532058	0.1	0.134	0.889344985532598	1.00163605525751	1	82.8967058394274
TARDBP	193	2572941	0.1	0.134	0.740191502820404	-0.696842449761704	-1	68.4445478401168
PRPF8	189	2492851.5	0.1	0.134	0.661086859660215	-0.578852862813083	-1	60.7797398809481
