Size	Statistic	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	188	2644666	0.1	0.1101	0.637630675406161	-0.543782845120939	-1	60.9178466245605
AKAP8	192	2548399.5	0.1	0.1101	0.558444385693411	-0.49195022691941	-1	50.6352462944103
RPS10	187	2445217	0.1	0.1101	0.579896438920481	-0.558131905594222	-1	53.4208660070555
KHDRBS1	192	2439668	0.1	0.1101	0.499114869548539	-0.519499064397773	-1	42.9311133629152
HNRNPUL1	184	2197785.5	0.1	0.1101	0.705531744605809	-0.582733275108119	-1	69.7350239301596
EIF4G2	182	2466253.5	0.1	0.1101	0.795924297745512	-0.607030641870252	-1	81.4727944473679
SUB1	195	2568790.5	0.1	0.1101	0.670312561547308	-0.495825980852045	-1	65.1616970997367
HNRNPU	195	2736648	0.1	0.1101	0.531746988684212	-0.503316841811288	-1	47.1685014286417
SF3B1	185	2296489.5	0.1	0.1101	0.816197584005036	-0.658092241264612	-1	84.105347389823
HNRNPA1	183	2509028	0.1	0.1101	0.930375770072451	-0.714918999194148	-1	98.9317606238771
CIRBP	197	2614324	0.1	0.1101	0.582822264264784	-0.596882439268879	-1	53.8007940572322
TROVE2	195	2649301.5	0.1	0.1101	0.600040789031032	-0.566228532115099	-1	56.0366761662232
SRSF1	194	2689009	0.1	0.1101	0.667123844990537	-0.557371766477375	-1	64.7476317604165
DDX24	197	2692073.5	0.1	0.1101	0.556991904602885	-0.503078849636076	-1	50.4466368445275
EIF2S2	185	2524785	0.1	0.1101	0.709610692983572	-0.521081348356642	-1	70.2646888012881
TBRG4	190	2346792.5	0.1	0.1101	0.608515710549778	-0.554710698580331	-1	57.1371726173485
DNAJC21	190	2572557.5	0.1	0.1101	0.631980160386587	-0.573479120774756	-1	60.184108652791
SF3B4	189	2728537	0.1	0.1101	0.569170558732537	-0.547900845794945	-1	52.0280751645778
STIP1	190	2311000.5	0.1	0.1101	0.740263504280758	-0.534277869316858	-1	74.2450572300633
RPS19	184	2618976.5	0.1	0.1101	0.790600773230125	-0.665310831760544	-1	80.7815172687294
SUCLG1	192	2391817.5	0.1	0.1101	0.711708439162864	-0.472778180833157	-1	70.5370880465868
SLBP	196	2550048.5	0.1	0.1101	0.543147852509106	-0.48626133413445	-1	48.6489411178241
CNOT7	192	2584555.5	0.1	0.1101	0.611552729134884	-0.555156562067083	-1	57.5315394757928
EFTUD2	196	2843732.5	0.1	0.1101	0.568399315332482	-0.568995309659087	-1	51.9279266708322
PUM2	187	2551960	0.1	0.1101	0.604159284119738	-0.545017809030775	-1	56.5714763079203
DDX6	187	2610587.5	0.1	0.1101	0.641937620390975	-0.530137856012549	-1	61.477117605477
ILF2	190	2388471	0.1	0.1101	0.675258167098401	0.716319855410972	1	65.8039002570879
TARDBP	193	2702561	0.1	0.1101	0.609064889795016	-0.534106601601007	-1	57.2084853497531
PRPF8	189	2634831.5	0.1	0.1101	0.636239772763083	-0.555322162475839	-1	60.7372333387404
EIF3G	192	2937266	0.1	0.1101	0.761626983210742	-0.673654554122806	-1	77.019175278724
RBM25	192	2599688.5	0.1	0.1101	0.557546406557088	-0.509525349074223	-1	50.5186407482089
DDX47	195	2726522.5	0.1	0.1101	0.78014018078343	-0.666232967113119	-1	79.4231749125445
ADAR	174	2113688	0.1	0.1101	0.746725155560175	0.951932924970397	1	75.0841239147138
UTP18	191	2377108.5	0.1	0.1101	0.507150139323353	-0.449540914532357	-1	43.9745195881476
MSI2	193	2620675.5	0.1	0.1101	0.590344060457905	-0.552894346764941	-1	54.7775240479828
EEF2	194	2623181.5	0.1	0.1101	0.73586423216619	-0.603466281831781	-1	73.6737972674893
PNPT1	184	2312271	0.1	0.1101	0.708459731587434	-0.557048577666622	-1	70.1152326760567
SUGP2	189	2389432	0.1	0.1101	0.661252638952309	0.677444931109518	1	63.9852363335559
PABPC1	180	2374658	0.1	0.1101	0.767513011952691	-0.629149973997632	-1	77.7834954824459
NELFE	193	2657203.5	0.1	0.1101	0.598023238162649	-0.527996341599291	-1	55.7746905459778
DDX28	189	2616745	0.1	0.1101	0.587526256963415	-0.499397116785838	-1	54.4116229905163
DDX1	181	2316597	0.1	0.1101	0.633521490611078	-0.581580075287332	-1	60.3842554551315
RRP9	188	2469575.5	0.1	0.1101	0.641544711689052	-0.595945090228746	-1	61.4260971174258
HSPD1	189	2525064	0.1	0.1101	0.692049154926296	-0.556751372227295	-1	67.9842652875619
CPSF7	176	2062406	0.1	0.1101	0.713710353891539	0.841963426829054	1	70.797043262631
NOL12	196	2748487.5	0.1	0.1101	0.770920745297839	-0.607189208616296	-1	78.2260008725457
ATP5C1	197	2747972.5	0.1	0.1101	0.519349911342678	-0.43419667036773	-1	45.5587001356732
XRCC6	190	2647110	0.1	0.1101	0.697033346449431	-0.578896167822271	-1	68.6314789603736
SND1	195	2568877.5	0.1	0.1101	0.803402495527317	0.99015162108712	1	82.4438630409218
SLTM	186	2487725	0.1	0.1101	0.686553669915256	-0.593140884992595	-1	67.2706584726216
KRR1	191	2646588.5	0.1	0.1101	0.719784801507925	-0.627478261270093	-1	71.5858302773062
UPF1	186	2352655.5	0.1	0.1101	0.610726898365339	-0.541011898609754	-1	57.4243026324659
ASCC1	191	2462395.5	0.1	0.1101	0.635781266220888	-0.540510289501407	-1	60.6776947552401
QKI	196	2613969.5	0.1	0.1101	0.620826466055914	-0.534177995179961	-1	58.7357647358956
BUD13	191	2584436	0.1	0.1101	0.584068021356542	-0.53865500582352	-1	53.9625597155231
ILF3	194	2566023	0.1	0.1101	0.544949513634247	-0.520266749423281	-1	48.8828927443922
DDX19B	193	2461105	0.1	0.1101	0.633271467840564	-0.526936158285072	-1	60.3517891755273
CSTF2T	195	2789735.5	0.1	0.1101	0.754349319409468	-0.678446894448566	-1	76.0741466825217
TRIM56	195	2553910.5	0.1	0.1101	0.597443625841873	-0.474495748097421	-1	55.6994259785559
IGF2BP3	191	2538714.5	0.1	0.1101	0.742935325250599	-0.601529882373285	-1	74.5920019762593
YBX3	188	2599876.5	0.1	0.1101	0.737849026514125	0.911874938504993	1	73.9315293457493
PA2G4	193	2368527.5	0.1	0.1101	0.546057633961149	-0.494024258943174	-1	49.0267858157886
SRP68	192	2342809.5	0.1	0.1101	0.535913741433234	-0.513687394886063	-1	47.7095679863522
PHF6	190	2464611.5	0.1	0.1101	0.644854425186394	-0.488697572573932	-1	61.8558743076934
FUS	189	2518379	0.1	0.1101	0.591675457644999	-0.50747641988123	-1	54.9504103545042
RBFOX2	183	2149113	0.1	0.1101	0.641204939137071	-0.569789212762081	-1	61.3819765333215
AKAP1	195	2709457.5	0.1	0.1101	0.56915258097471	-0.481577445115292	-1	52.0257406935571
U2AF1	182	2459442.5	0.1	0.1101	0.630322804111014	-0.529291321345914	-1	59.9688954858627
DHX30	197	2537601	0.1	0.1101	0.646190772452632	-0.537474409977414	-1	62.0294033982829
NCBP2	188	2524293	0.1	0.1101	0.590573622236754	-0.53056827281862	-1	54.8073334004799
FUBP3	187	2387346	0.1	0.1101	0.564183465130277	-0.479590257510963	-1	51.3804846472407
FKBP4	197	2770244	0.1	0.1101	0.705759858671191	0.717225073735985	1	69.7646452922984
CPSF6	196	2557269	0.1	0.1101	0.582346846053202	-0.537905637866999	-1	53.7390594378037
RBM15	194	2705580.5	0.1	0.1101	0.521152481050794	-0.476768102616288	-1	45.7927697447309
CCAR1	190	2416935	0.1	0.1101	0.53207587588473	-0.535604895162675	-1	47.2112085140335
AUH	191	2506513	0.1	0.1101	0.667711144257293	-0.582851532919972	-1	64.8238945030725
GEMIN5	193	2519251	0.1	0.1101	0.550948722740075	-0.439607260211947	-1	49.6619097908532
NONO	196	2552385.5	0.1	0.1101	0.720469467175491	-0.599651262580491	-1	71.6747363675511
SMNDC1	196	2488275.5	0.1	0.1101	0.507550621507513	-0.454584610473739	-1	44.0265235177925
BCLAF1	192	2666471.5	0.1	0.1101	0.595287946544994	-0.514778619564389	-1	55.4195039272741
ZC3H8	194	2570490.5	0.1	0.1101	0.491824832409421	-0.486816227659245	-1	41.9844780480718
XPO5	191	2653802.5	0.1	0.1101	0.642282017063301	-0.518402794976165	-1	61.5218386468265
SF3A3	197	2596074	0.1	0.1101	0.532849659929692	-0.540993689752707	-1	47.3116869188819
FAM120A	197	2485282	0.1	0.1101	0.570652783179347	-0.599162525198665	-1	52.2205468871628
DKC1	190	2655532	0.1	0.1101	0.649129898264338	-0.514877199084713	-1	62.4110585579253
FIP1L1	188	2408611.5	0.1	0.1101	0.58389369239162	-0.540460702532045	-1	53.9399225256918
PTBP1	194	2750547.5	0.1	0.1101	0.583622491716948	-0.558799040224754	-1	53.9047062255339
GRWD1	194	2483358.5	0.1	0.1101	0.790822995277779	-0.586150809620524	-1	80.8103735329748
HNRNPK	194	2569136.5	0.1	0.1101	0.574459547455831	-0.523919467693486	-1	52.7148677569518
PPIG	199	2670044.5	0.1	0.1101	0.59210687980033	-0.588345571854755	-1	55.0064319412327
SUPT6H	192	2544907.5	0.1	0.1101	0.686092895447686	0.729876500723461	1	67.2108253915472
SFPQ	188	2329627	0.1	0.1101	0.687231019959726	-0.570813198328875	-1	67.358614605131
PCBP1	196	2613434.5	0.1	0.1101	0.507939193070682	0.547152389264944	1	44.0769808141026
EIF2S1	198	2661420.5	0.1	0.1101	0.50256056182735	-0.493090211566223	-1	43.3785478454781
HNRNPA0	189	2368573	0.1	0.1101	0.708388832957311	-0.654289517682693	-1	70.1060262555999
FMR1	187	2451686.5	0.1	0.1101	0.494982287776799	-0.497005814393528	-1	42.3944840190652
PPIL4	193	2439930	0.1	0.1101	0.743528555177042	-0.626007138344481	-1	74.6690348345941
PUF60	178	2338857.5	0.1	0.1101	0.687233640961774	-0.625204660025247	-1	67.3589549508728
RBM34	191	2406335.5	0.1	0.1101	0.552899305477856	-0.596145668237574	-1	49.9151993789404
DDX52	193	2464535	0.1	0.1101	0.745056536704411	0.831386062859738	1	74.8674482646812
KHSRP	195	2731061.5	0.1	0.1101	0.582424915188218	0.54925579646226	1	53.7491969719198
SF1	188	2324402.5	0.1	0.1101	0.909253124246317	-0.633971489655973	-1	96.1889155463601
HNRNPL	189	2501803.5	0.1	0.1101	0.722328808465569	-0.599495939158912	-1	71.9161779533682
DNAJC2	187	2435571.5	0.1	0.1101	0.675184151179351	0.675007206802935	1	65.7942890464046
DDX27	188	2585924	0.1	0.1101	0.765775235773282	-0.612880158542256	-1	77.5578395263337
LIN28B	187	2365065.5	0.1	0.1101	0.593582000685019	-0.550001251082635	-1	55.1979812428975
AARS	190	2617828	0.1	0.1101	0.626144568021687	-0.600159381209613	-1	59.4263377786206
CELF1	189	2501455.5	0.1	0.1101	0.680943056522499	-0.567749274020295	-1	66.542101858415
BCCIP	181	2205583	0.1	0.1101	0.625543616480515	-0.590634248867089	-1	59.3483022432005
FASTKD2	190	2499775.5	0.1	0.1101	0.52732336870621	-0.524193909621127	-1	46.5940798158692
PSIP1	187	2361175	0.1	0.1101	0.565180820365699	-0.478717541917841	-1	51.5099945069679
TAF15	192	2389069.5	0.1	0.1101	0.746608763531246	0.900495882665886	1	75.0690100266982
PUS1	193	2730935.5	0.1	0.1101	0.558493372024137	-0.518153130066799	-1	50.6416073306745
MTPAP	187	2529777.5	0.1	0.1101	0.762430151250842	-0.546403737686508	-1	77.1234692920469
HNRNPC	196	2802591	0.1	0.1101	0.528267437899915	-0.536733787306998	-1	46.7166703077093
EIF3D	185	2598384	0.1	0.1101	0.763820700415511	-0.708575656611342	-1	77.3040366775323
UCHL5	197	2648487	0.1	0.1101	0.455326109128884	-0.450438417111075	-1	37.2449987087074
RBM39	192	2489760.5	0.1	0.1101	0.54538249728365	-0.517285501230427	-1	48.939117096265
FTO	192	2576513.5	0.1	0.1101	0.607822408106587	-0.541560526751901	-1	57.0471450133642
EIF4G1	188	2447737.5	0.1	0.1101	0.776484787558055	0.810073033758959	1	78.948510071921
XRCC5	190	2594006	0.1	0.1101	0.806503761564227	-0.694642623756262	-1	82.8465726424284
XRN2	193	2463247	0.1	0.1101	0.620056789420635	-0.532914897120121	-1	58.6358196917126
ABCF1	198	2696325.5	0.1	0.1101	0.701920788434836	-0.656802265557416	-1	69.2661293872975
PUM1	192	2511158.5	0.1	0.1101	0.751988620271883	-0.602287154487226	-1	75.767602130181
HNRNPM	179	2400501.5	0.1	0.1101	0.79227975940521	-0.62406351378606	-1	80.9995391492957
NUFIP2	182	2331351.5	0.1	0.1101	0.824582987520274	-0.61241318009375	-1	85.194219633579
LSM11	184	2327017.5	0.1	0.1101	0.692487473434251	-0.494055467334333	-1	68.0411823883752
SAFB2	187	2471816	0.1	0.1101	0.816999717620639	-0.656965856070451	-1	84.2095070797207
EIF4B	197	2745538	0.1	0.1101	0.614150504536733	-0.545969846364319	-1	57.8688691612928
BOP1	190	2642487	0.1	0.1101	0.667443450970319	-0.491387672878825	-1	64.7891336487503
STAU1	194	2754780	0.1	0.1101	0.586742629653483	-0.574690474759759	-1	54.3098664053164
SUPV3L1	193	2701158.5	0.1	0.1101	0.642229504428889	-0.528281640191064	-1	61.5150197084232
HNRNPAB	185	2430571	0.1	0.1101	0.938602279905008	-0.752852822903036	-1	100
FXR1	189	2692420.5	0.1	0.1101	0.666966612125209	-0.546926052245377	-1	64.7272145553827
