Size	Statistic	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	188	2532005	0.1	0.2118	0.416658296744398	-0.41496809641618	-1	71.8123608649861
AKAP8	192	2323008.5	0.1	0.2118	0.402077751423633	-0.37127581204458	-1	69.2993582670193
RPS10	187	2483848	0.1	0.2118	0.429643700064253	-0.377663577323825	-1	74.0504357490555
EIF4G2	182	2519277	0.1	0.2118	0.429211674024708	-0.393561913025979	-1	73.9759747096444
HNRNPU	195	2439768.5	0.1	0.2118	0.321060507438172	-0.327283744474279	-1	55.3357828220315
SF3B1	185	2267798	0.1	0.2118	0.476850585122422	0.508652079145204	1	82.1866900648765
HNRNPA1	183	2322460.5	0.1	0.2118	0.559642285403108	0.681567104475726	1	96.4560986033308
SRSF1	194	2570494	0.1	0.2118	0.343419005778286	-0.336528893039372	-1	59.189339954447
TBRG4	190	2368630	0.1	0.2118	0.395067536319577	-0.381021675478799	-1	68.0911257639655
DNAJC21	190	2373767	0.1	0.2118	0.471323546811014	-0.462215060840131	-1	81.234087721818
SF3B4	189	2362727	0.1	0.2118	0.331093985061466	-0.34242422436241	-1	57.0650840778679
STIP1	190	2289760	0.1	0.2118	0.51489690524409	-0.487589276293322	-1	88.7440923571391
RPS19	184	2390353.5	0.1	0.2118	0.435674428112425	-0.439069000275189	-1	75.0898505939245
SLBP	196	2399216.5	0.1	0.2118	0.360243734791955	-0.28561704427283	-1	62.089134632306
CNOT7	192	2329709	0.1	0.2118	0.354771045251269	-0.311302927862228	-1	61.1458994698993
EFTUD2	196	2501140.5	0.1	0.2118	0.292450193248885	0.344028079739411	1	50.4047056706214
PUM2	187	2372769	0.1	0.2118	0.396613655715425	-0.379023399645163	-1	68.3576042785241
PRPF8	189	2612979.5	0.1	0.2118	0.411424168743531	-0.43073130290599	-1	70.9102425302529
EIF3G	192	2771908.5	0.1	0.2118	0.464252297972958	-0.463232372075436	-1	80.015335863779
DDX47	195	2705167	0.1	0.2118	0.428246041284172	-0.425264104359759	-1	73.8095448860498
ADAR	174	2181462	0.1	0.2118	0.538054376556477	0.605865122215619	1	92.7353549807318
MSI2	193	2395010	0.1	0.2118	0.352621397133817	-0.326392634753138	-1	60.7754008921693
EEF2	194	2496155	0.1	0.2118	0.415762391836894	-0.3664185896251	-1	71.6579488515423
GTF2F1	184	2245393	0.1	0.2118	0.533251371563835	-0.486247809523801	-1	91.9075420451369
PNPT1	184	2458476.5	0.1	0.2118	0.458783973395883	-0.438079707392828	-1	79.0728530165055
PABPC1	180	2385934	0.1	0.2118	0.435362887099579	-0.36533482424913	-1	75.0361555257751
NELFE	193	2501634	0.1	0.2118	0.360643428466801	-0.383319035867176	-1	62.1580230875167
DDX1	181	2225572	0.1	0.2118	0.443686361390198	-0.461410127824831	-1	76.4707323578669
RRP9	188	2319528.5	0.1	0.2118	0.448512273067438	-0.331697283539213	-1	77.3024933322105
HSPD1	189	2550661.5	0.1	0.2118	0.43377356686787	-0.449072988152774	-1	74.7622312120117
NOL12	196	2686399	0.1	0.2118	0.493641672023451	-0.489713033961334	-1	85.0806864193802
ATP5C1	197	2568897	0.1	0.2118	0.323536292985371	-0.290405992888639	-1	55.7624922060254
XRCC6	190	2698410	0.1	0.2118	0.452959232208767	-0.4400602065975	-1	78.0689406515229
ASCC1	191	2533791.5	0.1	0.2118	0.360319559726108	-0.314281067769845	-1	62.1022032969084
AGO1	182	2173785.5	0.1	0.2118	0.427783398271627	-0.410407940133304	-1	73.7298069155638
DDX19B	193	2343473	0.1	0.2118	0.322828874134554	-0.291782325778768	-1	55.6405663540875
IGF2BP3	191	2312508	0.1	0.2118	0.339242162784101	-0.30758115141708	-1	58.4694479980922
YBX3	188	2368197.5	0.1	0.2118	0.495143556252863	0.526805658119753	1	85.3395408646239
FUS	189	2509429	0.1	0.2118	0.385237433340766	0.439239068830676	1	66.3968767643172
AKAP1	195	2545661	0.1	0.2118	0.389959577263246	-0.282340588223607	-1	67.2107530415142
U2AF1	182	2299832.5	0.1	0.2118	0.348236035175978	-0.334884679063423	-1	60.0195700401243
DHX30	197	2553442.5	0.1	0.2118	0.355463018832632	-0.35102579247038	-1	61.2651632813298
AUH	191	2436935.5	0.1	0.2118	0.47337850398189	-0.481066331453684	-1	81.5882660186865
DKC1	190	2458288	0.1	0.2118	0.440848132812568	-0.36468705720276	-1	75.9815547837573
PTBP1	194	2697787	0.1	0.2118	0.410920439842562	-0.452216069726565	-1	70.8234232783692
GRWD1	194	2258829.5	0.1	0.2118	0.411518075307828	-0.336037292471331	-1	70.926427620375
SFPQ	188	2308701	0.1	0.2118	0.381268708840825	-0.364994985022692	-1	65.7128546814969
HNRNPA0	189	2303251	0.1	0.2118	0.483697406201923	-0.499140747055155	-1	83.3667610966569
PPIL4	193	2408366	0.1	0.2118	0.383433948068051	0.43085370154024	1	66.0860404357696
PUF60	178	2284140	0.1	0.2118	0.421543004033507	0.423517334731733	1	72.6542554469642
RBM34	191	2417130.5	0.1	0.2118	0.325746669984085	-0.309115032509432	-1	56.1434575964176
SF1	188	2444121	0.1	0.2118	0.580204148318914	-0.499743864907771	-1	100
HNRNPL	189	2439075.5	0.1	0.2118	0.369787152718038	-0.374492940854435	-1	63.7339725662873
DDX27	188	2567870.5	0.1	0.2118	0.47657114681616	0.515650790143221	1	82.1385279986328
CELF1	189	2353616.5	0.1	0.2118	0.416623513254129	0.525671030771021	1	71.8063658216259
