Size	Statistic	p.value	p.adj	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	188	3011400	0.1	0.1059	1.17728204287427	-1.21931084478586	-1	87.7138937093457
AKAP8	192	2800926	0.1	0.1059	0.774730457487414	-0.739059318971472	-1	55.3182827083883
RPS10	187	2576411.5	0.1	0.1059	0.823503720982397	-0.678248391589101	-1	59.2433440639714
KHDRBS1	192	2688369	0.1	0.1059	0.692804229124388	-0.715432334746295	-1	48.7252140901797
HNRNPUL1	184	2391815	0.1	0.1059	0.978239843361807	-0.981123589558054	-1	71.6958381302478
EIF4G2	182	2688344.5	0.1	0.1059	0.955471382700691	-0.74795151810426	-1	69.863530864685
SUB1	195	2811429.5	0.1	0.1059	0.727975553028984	-0.700234064359554	-1	51.5556501608934
PABPC4	195	2674180	0.1	0.1059	0.862372590270314	-0.908248285154771	-1	62.3713425993352
HNRNPU	195	2979008.5	0.1	0.1059	0.769902287443078	-0.7840542326267	-1	54.9297324597228
SF3B1	185	2349571.5	0.1	0.1059	0.950446834193906	-0.806563447882128	-1	69.4591769264815
HNRNPA1	183	2587647	0.1	0.1059	1.31424584083946	1.4369875969847	1	98.7361479524389
CIRBP	197	2814993.5	0.1	0.1059	0.939857717216588	-0.915065235813408	-1	68.6070105783819
TROVE2	195	2766373.5	0.1	0.1059	0.696614156475948	-0.698054286673464	-1	49.0318205697056
SRSF1	194	2849038.5	0.1	0.1059	0.762762718189794	-0.787775548330595	-1	54.3551707969696
DDX24	197	2830823.5	0.1	0.1059	0.824129103444265	-0.834668049208244	-1	59.2936721404142
EIF2S2	185	2682002.5	0.1	0.1059	0.836858712441907	-0.666535740722095	-1	60.3180960310457
ESF1	187	2449894.5	0.1	0.1059	0.951080760100226	-0.977574568046512	-1	69.5101925423928
TBRG4	190	2632968.5	0.1	0.1059	0.886563352932459	-0.908700800260348	-1	64.3181105800555
DNAJC21	190	2646992	0.1	0.1059	0.845198321067203	-0.760560998294089	-1	60.9892316736136
SF3B4	189	2927052	0.1	0.1059	0.911355575836089	-1.00799037181535	-1	66.3132814803593
STIP1	190	2457094.5	0.1	0.1059	0.864431164147658	-0.751836807250148	-1	62.5370077239255
RPS19	184	2753457	0.1	0.1059	1.08649267134311	-1.08762455715807	-1	80.4075576522704
SUCLG1	192	2669543	0.1	0.1059	0.85410139262316	-0.858933468895792	-1	61.7057123764863
SLBP	196	2795415	0.1	0.1059	0.952139880381272	-0.811591440916241	-1	69.595425963086
CNOT7	192	2492845	0.1	0.1059	0.69920252017477	-0.728037633171697	-1	49.2401208883728
EFTUD2	196	3079314.5	0.1	0.1059	0.796522198875507	-0.795677468138335	-1	57.0719878300902
PUM2	187	2566900	0.1	0.1059	0.761717289203901	-0.720730094946065	-1	54.2710391925106
DDX6	187	2737153	0.1	0.1059	0.855716594779279	-0.93423718307009	-1	61.8356968620454
SMN1	179	2454052	0.1	0.1059	0.792588753432582	-0.834738303771887	-1	56.7554411486505
TARDBP	193	3019892.5	0.1	0.1059	0.774523005858008	-0.778343855594463	-1	55.3015878982528
PRPF8	189	2820049	0.1	0.1059	0.86333733520818	-0.83924245332187	-1	62.4489811004784
EIF3G	192	3060304.5	0.1	0.1059	1.09372255136308	-1.2037275745239	-1	80.9893871350321
RBM25	192	2696255	0.1	0.1059	0.753961898139761	-0.752863162042257	-1	53.6469188531689
DDX47	195	3137743.5	0.1	0.1059	1.08199562252726	-1.12958620127487	-1	80.0456546083396
ADAR	174	2300757.5	0.1	0.1059	0.946907785684911	1.06363365421245	1	69.1743696049534
UTP18	191	2574606.5	0.1	0.1059	0.747104842269545	-0.640734541688847	-1	53.0950926459267
MSI2	193	2675960	0.1	0.1059	0.843942861802299	-0.848417568312666	-1	60.8881977404488
EEF2	194	2812442.5	0.1	0.1059	1.06494306038577	-0.852690648101914	-1	78.673338140689
GTF2F1	184	2253689.5	0.1	0.1059	0.841562019538849	-0.632392990505647	-1	60.6965978495994
PNPT1	184	2714822.5	0.1	0.1059	0.867597837733129	-0.778613939827575	-1	62.7918479217187
