logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
DDX3X	-0.0543043613861161	1.27929259676176	-2.68761638754593	0.029033286888163	0.861666126837114	-3.52132486333468	0.589681191407855	-0.582592741128697	-1	31.1578574188208
AKAP8	-0.0259554028368645	1.34964279934402	-1.25951349681008	0.245316795258689	0.861666126837114	-5.46086837617655	0.93766156908568	-0.853094063078166	-1	50.0688293507529
TROVE2	-0.0357720900810101	1.49738736180963	-1.55876439863383	0.159831180183933	0.861666126837114	-5.10085812032306	0.772755877647373	-0.691690781728917	-1	41.1070398296985
SRSF1	-0.0316075834327405	1.37230876709169	-1.80714473118298	0.110514081136555	0.861666126837114	-4.77413249863658	0.594255707262845	-0.635288291589886	-1	31.4064591977866
EIF2S2	-0.0499169691477117	1.24636314311781	-2.37229802456053	0.0468320764935622	0.861666126837114	-3.97777895284242	1.0334332355707	-1.12466736649509	-1	55.2735345955109
DNAJC21	-0.0341329184870804	1.05950049070827	-1.96334204966089	0.0872967910059614	0.861666126837114	-4.55951842544866	0.783280857682454	-0.871897366631371	-1	41.6790192135816
SF3B4	-0.0258153647900643	1.42943664248466	-1.19880041168426	0.266810323538396	0.861666126837114	-5.52818150301138	0.454438817124086	-0.459532371381704	-1	23.8081190193294
STIP1	-0.0282476680858744	0.617570468986021	-1.42294746178551	0.194657539407579	0.861666126837114	-5.2695875427884	1.52392535851605	-1.59781144959957	-1	81.9292984398763
RPS19	-0.0339191521227453	1.06437434149714	-2.00530921227144	0.0819109486649548	0.861666126837114	-4.50093842084121	0.679291197695832	-0.655135543705008	-1	36.027707624286
EFTUD2	-0.0353719645000292	1.46653616657305	-1.86455584854463	0.101363866824157	0.861666126837114	-4.69593414069118	0.528139357555035	-0.523124223982207	-1	27.8133702945847
PUM2	-0.0341946777032334	1.23149390920661	-1.65334245282903	0.139035052159565	0.861666126837114	-4.97892122669297	0.863344266359774	-0.804997533021219	-1	46.030060167027
PRPF8	-0.0364584241497379	1.34178475586684	-2.11696931299051	0.0691153535407316	0.861666126837114	-4.34355711523454	0.71961195359097	-0.789477688209027	-1	38.2189365898261
EIF3G	-0.0304118376864202	1.42253523459669	-1.53764209535837	0.164848507742701	0.861666126837114	-5.12761799006946	0.614420637012945	-0.611147476175067	-1	32.5023210479814
DDX47	-0.0358860921998734	1.46461205784093	-2.06262118528547	0.0750770026440809	0.861666126837114	-4.42041445164711	0.614193214741393	-0.636694320107253	-1	32.4899617988114
MSI2	-0.0377076089691921	1.31775842375992	-2.1402026971835	0.0667116918607787	0.861666126837114	-4.31056908770333	0.833399580242479	-0.880821853952078	-1	44.4027180667234
GTF2F1	-0.0367657887227968	0.748451510691319	-2.10561200271264	0.0703213054806575	0.861666126837114	-4.35965511023605	1.28153342744842	-1.44456743299906	-1	68.7565240566301
