logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
RPS10	0.0668765353854939	1.14653970719735	4.69508184271349	0.00385014607607408	0.0815600251815281	-1.5450292335366	0.732705753092423	0.792670411471002	1	70.5959862614015
ESF1	-0.0764931926050987	0.962789966351289	-4.86676899517208	0.00325289256494884	0.0815600251815281	-1.36834389599718	0.802898860279257	-0.746987621948583	-1	77.3767579840374
SUCLG1	0.0571094114894464	1.10106460338134	4.14708377427915	0.006778954411775	0.0815600251815281	-2.14062815592883	0.758688543797138	0.819968742027696	1	73.1059673627758
SUGP2	-0.130228344273417	0.479991150024911	-3.96946702255737	0.0082205729303468	0.0815600251815281	-2.34420664785572	0.949649923128461	-0.888067424979712	-1	91.5531564527073
SND1	-0.0696047444115364	0.831531699698923	-4.01639330037003	0.00780866823237213	0.0815600251815281	-2.28991747486115	0.805847105332617	-0.77569121602181	-1	77.6615633942896
TRIM56	0.061328184093437	1.07007589770163	3.64792447155887	0.0117983802464564	0.0815600251815281	-2.72586257828169	0.890773331502122	0.907415729131355	1	85.8655790875621
NCBP2	-0.0879248733360763	0.780729880547967	-3.88844516011928	0.00899065317176523	0.0815600251815281	-2.43879091801923	0.784348602577901	-0.793317106083223	-1	75.5847720197438
AUH	0.0514653456377367	1.11120578088262	3.87652533113193	0.00911065055650131	0.0815600251815281	-2.45279665615436	0.653277565939833	0.615050654778165	1	62.9230903459815
XPO5	-0.075779474616793	1.11255939119183	-3.99270086306257	0.00801365163081342	0.0815600251815281	-2.31728215694709	0.729619636921497	-0.658964509032989	-1	70.2978622702683
FAM120A	-0.146785555297028	0.73315844844039	-4.26764254360285	0.00596337255922641	0.0815600251815281	-2.00540072082448	0.821334264186462	-0.838013620095552	-1	79.1576488794441
FIP1L1	0.0518699095336044	1.23300380102114	3.91655541796332	0.00871463904139252	0.0815600251815281	-2.40585347271415	0.652643197051932	0.672452842424993	1	62.8618092488882
HNRNPK	-0.102926229655221	1.165069803564	-4.11945197515321	0.00698320157692616	0.0815600251815281	-2.17195825224586	0.751989180467165	-0.759525992483239	-1	72.4587976441505
LIN28B	0.0615317284875607	1.05668958344047	3.67574226755213	0.0114280541334738	0.0815600251815281	-2.69218413967041	0.73978794770945	0.754924000134753	1	71.2801381235711
FTO	0.0455092495846856	1.01207224626132	3.63273090676261	0.0120062981231691	0.0815600251815281	-2.74430918362479	0.806496922557061	-0.813693545072459	-1	77.7243368265678
SAFB2	0.0511139662326817	0.884209382693383	3.86468651467091	0.00923161695793396	0.0815600251815281	-2.46673016831857	0.800844502508579	0.88030833828869	1	77.1783035824889
LARP7	-0.133648463932209	0.881650307370926	-4.23501460072954	0.00617257588134062	0.0815600251815281	-2.04176317139279	0.802448692893645	-0.831654736763919	-1	77.3332710605893
GRSF1	0.0871728084091132	1.40596625313828	5.89804404201288	0.00127814987676309	0.0815600251815281	-0.400076407986822	0.731611471119305	0.784679850011465	1	70.490276789955
