logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
ADAR	-0.152479709806001	0.587709277692522	-15.3543749408688	8.26086590821872e-05	0.0162739058391909	2.47545799653915	1.12849774344172	-1.1709535014642	-1	100
HNRNPA1	-0.0685621637380897	0.784191094087741	-8.16544730639737	0.00105054354915477	0.0689856930611636	-0.0261981829650262	1.12541931473847	-1.12367694494345	-1	64.5991952475975
RBM17	-0.0757207646285267	1.03744996529345	-8.51451876525322	0.000890466825068626	0.0689856930611636	0.152283935303143	1.01603193621256	-0.99671371727286	-1	58.278545862743
EIF4A3	-0.0603160197276804	1.23841482482774	-7.45601125061625	0.00150059487068694	0.073904297381332	-0.416167205687538	0.918511286150585	-0.988468367727053	-1	51.2765383458442
AKAP8	-0.05420272872474	1.23354438736408	-5.82154265332133	0.00387996809829893	0.0955442144206112	-1.48118272265759	0.912088720631364	-1.03777213594839	-1	45.8530208211669
MATR3	-0.0644686243591541	1.56518620368398	-6.20797538688032	0.0030419389851389	0.0955442144206112	-1.20549088193236	0.777625974128978	-0.770269270123805	-1	39.0298341893993
ZRANB2	-0.0583132410248859	1.12489221490033	-6.2777905708489	0.0029150513080601	0.0955442144206112	-1.1573910915186	0.953040209844736	-1.08505526438819	-1	47.9310659378989
SERBP1	-0.0471871407964672	1.13545650499941	-5.83599376994366	0.00384391134006463	0.0955442144206112	-1.47057556469448	0.880660341546155	-0.928456740126781	-1	44.2582170438357
AKAP1	-0.0459953655434753	1.24635850585716	-5.34743259871174	0.00532860382168622	0.105701611145199	-1.84278795263215	0.872420799321467	-0.86410796733651	-1	41.9353626677364
NSUN2	-0.0639760233800633	1.64969769058793	-5.33745857099191	0.00536556401752277	0.105701611145199	-1.85068880347736	0.878614180824314	-0.982406325581631	-1	42.2361180943396
SSB	-0.0540822983086497	1.403608745543	-5.04465641690356	0.00660335610183093	0.11826010473279	-2.08831569416905	0.94682129403079	-0.973113366431741	-1	43.2512396544814
RBM22	-0.0456541163525277	1.61380494204814	-4.82621077046077	0.00775679389411942	0.127340699761794	-2.27301597405903	0.752076528872798	-0.742728444089663	-1	33.0643993384524
FTO	-0.0405997015356088	1.03898186313724	-4.66754176987453	0.00874932004143248	0.132585849858631	-2.41132572604937	0.841724757228608	-0.848888564788328	-1	36.3227573766863
HNRNPU	-0.0346471327248412	1.41570229351825	-3.91950187564519	0.016115166230121	0.135763045499385	-3.11370466589503	0.780965327068716	-0.76902617558163	-1	33.2701224922854
EFTUD2	-0.0404190301317486	1.38713484059558	-3.84296758272267	0.0172288128806326	0.135763045499385	-3.19048844099458	0.777318484694096	-0.761294803331177	-1	33.1127540569601
EEF2	-0.0311258228968163	1.1632455670624	-3.85334116826378	0.0170726193528443	0.135763045499385	-3.1800257136896	0.970091190441893	-1.12018758200116	-1	41.4312762086379
