logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
APOBEC3C	0.114510572394412	1.08449032537253	7.30586929727962	0.000170619563874514	0.0336120540832792	1.41722785162957	1.13339872895897	1.16269824167631	1	100
RPS10	0.080472604690883	1.16853651115047	5.03985648137625	0.00154551840958238	0.038058390835966	-0.664434949033005	0.945807825936421	1.00838039311924	1	80.3518066850307
EIF4G2	0.0746832939696571	1.13779903316885	5.11067578570237	0.00142903673230047	0.038058390835966	-0.587768944550725	0.964271954525192	1.00270240978051	1	81.9245588107876
KRR1	-0.0857922119362847	0.708319551137976	-5.66272202063203	0.00079383815379609	0.038058390835966	-0.0176882294798206	1.0956416209093	-1.12176683336479	-1	93.1144679945453
BUD13	-0.0747914227270692	1.15173874477033	-5.09009400360397	0.00146184969980071	0.038058390835966	-0.609965494898625	0.884452553531038	-0.878501852337717	-1	75.1256388408227
AGO1	-0.0936242620527404	0.505823343870623	-5.29334874424093	0.00117119904790349	0.038058390835966	-0.393771904542318	0.981159949067751	-0.991440095727494	-1	83.3630577461087
SAFB2	0.0865446216683085	0.912403947534335	5.59949757790492	0.00084742752613217	0.038058390835966	-0.0805534805955324	0.927705100958431	0.954088579599877	1	78.8098384814275
LARP4	-0.0835283004667102	1.46833061902199	-5.34315545210724	0.0011102136655726	0.038058390835966	-0.341807731565066	1.17315778605228	-1.22359146401368	-1	99.7172011223512
ESF1	-0.106656400185835	0.961376949481302	-4.77200182481169	0.00209185301574564	0.0382289220259567	-0.961873097560157	1.07498521837423	-1.14191920769877	-1	91.2297386465884
XPO5	-0.110010561129726	1.0817574244731	-4.83564130810611	0.00194491352052751	0.0382289220259567	-0.890127564356439	0.971621820636825	-0.860549183877887	-1	82.4374119619768
GRSF1	0.0828534356110437	1.40654259071755	4.75441130776535	0.00213460985931738	0.0382289220259567	-0.981823343534314	1.04966653984173	1.0880201691545	1	89.0760740249399
UBE2L3	-0.0744106595221881	0.692355477936641	-4.67759213674996	0.00233302697631102	0.0383005261944393	-1.06955395140036	0.962765886581294	-0.982287452030986	-1	81.6371570493998
METAP2	0.111285707497062	1.46904108053499	4.47497437355117	0.00296155295816239	0.0448789179044609	-1.30570167825506	0.885699881518576	0.859568002745275	1	71.4270858103548
DDX19B	-0.0622717784257445	1.03571957382738	-4.32055855780644	0.00356645032678462	0.046839380958438	-1.4903063470465	0.772026123631387	-0.76465331949913	-1	61.3726203811541
SNRNP200	-0.063460301257861	1.27578217757314	-4.37357715889134	0.00334463526279718	0.046839380958438	-1.42647055399194	0.944048598038747	-0.928784362027739	-1	75.0946427563411
KIF1C	-0.0780900946181231	1.38777359853612	-4.21797977421451	0.00404305539229436	0.0468806104950598	-1.61515212001507	0.857168814813345	-0.804736083452738	-1	68.1446953096439
ZRANB2	-0.0621499138029664	1.09461887022402	-4.17116211811485	0.00428350755792425	0.0468806104950598	-1.67271708546726	0.88948260025123	-0.874383234883295	-1	70.7215855501336
TFIP11	0.0688831235250413	1.21128033941643	4.18915052718926	0.0041893102527838	0.0468806104950598	-1.65055609485847	0.920871176811999	0.969713658216997	1	73.2246942236062
NAA15	-0.184050908517836	1.00282087344596	-4.01083661817555	0.00523365119193447	0.0542646992005838	-1.87260021947797	1.00965699586723	-1.12293731053209	-1	76.4564763486957
RECQL	0.0903924409626451	1.12693297229285	3.95756287446834	0.00559871122063902	0.0551473055232944	-1.9399533719051	0.776139841041512	0.74849884723894	1	58.3982298183824
LARP7	-0.137108322068496	0.891495830264332	-3.8876921714741	0.00612034976440225	0.0574147096946306	-2.02898774483583	1.01444159519485	-1.04429815721836	-1	75.328108405356
HNRNPL	0.0580808964824997	1.12103971661641	3.81288539978633	0.00673832172674197	0.0603386081894622	-2.12517991989259	0.877928621618584	0.904771062806797	1	64.0264440272405
EEF2	0.0580238093533287	1.12790044207879	3.7375901256837	0.00742965827672205	0.0633263878072821	-2.22289291257045	0.878052721338751	0.873202287081214	1	62.9296593581817
XRCC6	0.0529271316983022	1.06740943631045	3.67312012308803	0.00808314432714253	0.0633263878072821	-2.30725690630748	1.06887853555097	1.14135435592475	1	76.6519104869921
FAM120A	-0.148583477910536	0.722664276575607	-3.69786913077373	0.0078251724936303	0.0633263878072821	-2.27479541923862	1.15350578104726	-1.21292562489489	-1	82.7374409999029
FMR1	-0.0565161931647054	0.915767960252712	-3.64321659954095	0.00840723783366441	0.0633263878072821	-2.34660352015833	0.909318293309666	-0.970471797171017	-1	65.1779612037258
FASTKD2	-0.0566106552452706	0.852906578039234	-3.61906875072139	0.00867925112079501	0.0633263878072821	-2.37847535386835	0.989227820066148	-0.812463413783003	-1	70.9242413821368
NCBP2	-0.0903606794689192	0.769700949770823	-3.53209206648317	0.00974095170214155	0.0665302575797005	-2.49398965768804	1.13399061218462	-0.920872768146437	-1	79.875618494942
U2AF2	-0.0583336676604362	1.58283740550344	-3.52803501938361	0.0097937942630016	0.0665302575797005	-2.49940484981412	0.901138654984317	-0.897174762144654	-1	63.4307589328306
KHDRBS1	-0.0544632162152154	1.12127290960767	-3.44483047148521	0.0109488133496324	0.0695779428992768	-2.61098097642515	0.864141354462948	-0.856630698492751	-1	59.8092286259334
NOL12	0.0534042713143289	0.989048443647987	3.46336251919059	0.0106793719277282	0.0695779428992768	-2.58604517823954	1.09616475392409	1.21658565151656	1	75.9247494769291
UPF2	0.0501670923815289	1.19179332256314	3.41003726401016	0.0114747069496509	0.0706411646587886	-2.657925398057	1.01579411542756	1.0629740374436	1	69.9410456769348
