logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
AKAP8	0.103178318783472	1.27503232182663	9.72024041818679	0.000286391655426191	0.00550081981663661	1.23382236286999	1.35448139707156	1.36107090530325	1	79.3439028393374
RPS19	-0.119184498159688	1.07165737820583	-11.8153821968736	0.000118837906012292	0.00550081981663661	2.08132865532109	1.52912385959791	-1.40328619316592	-1	89.6322893109085
PRPF8	-0.0980019182025837	1.31812807489122	-9.5795717587871	0.000305686949536802	0.00550081981663661	1.16864807148973	1.2110138533651	-1.23213697518875	-1	70.8920663590975
AKAP1	-0.0981524866750941	0.94362676911654	-10.2077783989258	0.000229964113459728	0.00550081981663661	1.45094056065429	1.43484030245803	-1.2022916519859	-1	84.0779375241936
DDX52	0.109836116464531	0.727300645385432	9.61004068530194	0.000301377790583991	0.00550081981663661	1.18286423761579	1.33405164085868	1.31094706951273	1	78.1403626212396
SF1	-0.103143947639232	0.360282750493827	-9.98264601257399	0.000254174728604884	0.00550081981663661	1.35233412162604	1.70511282837419	-1.63034411624848	-1	100
RTF1	-0.11838217077972	1.0467459309238	-9.74569822260705	0.000283058390066585	0.00550081981663661	1.24549320848617	1.25000302155307	-1.28183321724372	-1	73.1889626849978
EXOSC9	0.168302260931939	1.20073547758049	11.5144848858134	0.00013357089681593	0.00550081981663661	1.9724051070364	0.945686368882155	0.90158325872017	1	55.2613219089699
ZRANB2	0.138874545309272	1.03609503855355	13.4080322222104	6.68610629907558e-05	0.00550081981663661	2.5987307931956	1.13112500855986	1.19860028479348	1	66.1857234787129
SSB	0.1415251763405	1.29412342914931	12.0738572591638	0.000107725927184882	0.00550081981663661	2.17187157942353	1.22313875085367	1.23136125418605	1	71.6063578864044
RBM17	0.0915911022595298	1.03593049635296	9.5693278960622	0.000307152375548237	0.00550081981663661	1.16385604982572	1.61184322837075	1.91514270374072	1	94.5053815835909
FASTKD2	0.0956732749888255	0.848288795846001	9.02020014363019	0.00039974397103498	0.00590685511204159	0.897490919435141	1.13801898508593	1.04819302064659	1	65.6741885411232
TRA2A	0.15547590214069	1.48649111405534	8.92627937506801	0.000418780240335341	0.00590685511204159	0.849995675243925	0.814063390481815	0.819413778483372	1	46.8508241249966
AATF	0.109618231408615	1.22441405512481	8.92150620668858	0.000419776505424275	0.00590685511204159	0.847566221212303	0.971790868673099	0.911305521978928	1	56.015542530491
DNAJC21	-0.0967262216067893	1.04520041555074	-8.70794561444205	0.000467421287438132	0.00605905950257664	0.737286110371246	1.41971855040798	-1.3619132280037	-1	81.6333053227039
DDX47	-0.0826532773652873	1.46003694302052	-8.60735780615384	0.000492106355539219	0.00605905950257664	0.68425127851842	1.37622012566083	-1.33147499433099	-1	79.1183698415206
SLBP	0.0918345555894162	1.23953659241565	8.33848745951673	0.000566206128568714	0.00619681151822425	0.538932901001045	1.18193154103434	1.34230940714506	1	67.5843946836874
HSPD1	-0.0921441121260991	1.22006066946071	-8.34473168349649	0.000564338960916725	0.00619681151822425	0.542367781784687	1.40298563002324	-1.51107166476872	-1	80.3087458773288
HNRNPA1	0.0791883018154776	0.834144061358194	7.8753665188304	0.000728001739843186	0.00669899075973914	0.275853926550861	1.70207142123611	2.02133060517593	1	96.0230356245804
DDX24	0.075652990969838	1.52441714061464	7.90939917387301	0.000714364407759226	0.00669899075973914	0.295760638484664	0.831954773348649	0.822472783674533	1	46.7049430549501
SUCLG1	0.125130511491	1.24211830695193	7.82655647220666	0.0007481106432196	0.00669899075973914	0.247139361213258	1.1847679019263	1.26900263392281	1	66.7023429176222
HLTF	0.123478157648309	1.39838974869639	7.82768364917747	0.000747638797501522	0.00669899075973914	0.247804663170639	0.975140384829733	0.97700752867114	1	54.8206839257954
TAF15	0.0753124399059557	0.689849402622578	7.70959592251015	0.000799075714562943	0.00684425720734347	0.177535523586645	1.26254260547084	1.32893432546139	1	70.803918828062
ADAR	0.101756024241892	0.69110951868437	7.50554629950404	0.000898350360730858	0.00737395921099912	0.0533487565269732	1.67201368748205	1.89163198053532	1	92.5019405494391
UTP18	0.0778866345537119	1.1573597960755	7.12037734331338	0.00112930528282515	0.00889892562866221	-0.191057762932161	1.13767571195701	1.17584901119685	1	60.3750941204506
AARS	-0.072595414571803	1.03578955011842	-6.92553702389446	0.00127306053895524	0.00906091515494127	-0.319923173491483	1.48671296849595	-1.37026932672916	-1	78.7325127068549
HNRNPA2B1	0.0754545936120472	1.42160951803725	6.91532712346084	0.00128118009181698	0.00906091515494127	-0.326776550854753	1.20594932325062	1.23587392116102	1	63.7789805878652
TIAL1	0.0942368666598881	1.11455005023482	6.90700307945107	0.00128784580882414	0.00906091515494127	-0.332371571199004	1.21035156468034	1.28696754272607	1	64.0134449130357
KIF1C	0.0954861061561574	1.30667219598252	6.46214093404508	0.00171308623158355	0.0116371719869641	-0.641518850848477	1.30666900985231	1.37111665529237	1	65.4410641677606
UPF2	0.0685149648964571	1.14045977307918	6.34661169981698	0.00184979269189079	0.0121469720100829	-0.725181102379088	1.37597087779707	1.47187304520975	1	68.2677436753911
RRP9	0.0665536619676931	0.959928651576881	5.99190396397723	0.00235890537623563	0.012686435663194	-0.991289222799476	1.53672309982009	1.73817203960009	1	75.5398382882091
SMNDC1	0.0733569280359261	1.22218234034823	6.03496865563059	0.00228888629289209	0.012686435663194	-0.958216632851938	0.853813500801069	0.852542485515744	1	41.7703938162831
ZC3H8	0.0627385249423964	1.18471152471811	6.03882090590897	0.00228274445134328	0.012686435663194	-0.955268709274084	0.862653007363251	0.851688872166443	1	42.2075017826078
SUPT6H	0.0952406337072355	0.848918722224468	5.93976229616889	0.00244712972183438	0.012686435663194	-1.03162316841506	1.50001590017574	1.49126841386702	1	73.7246906582882
PUF60	-0.059239836883723	0.79645839397463	-6.09949692061964	0.00218854980183417	0.012686435663194	-0.909062573669518	1.32688112380556	-1.29465742180132	-1	65.163286300829
BOP1	0.0590491312711225	0.91501433181319	6.20643622324396	0.00203357037962542	0.012686435663194	-0.828649054753239	1.47512451471882	1.62012742609823	1	72.493827510041
G3BP1	0.067709855253349	1.35869078398598	6.16534250213254	0.0020915245841355	0.012686435663194	-0.859396505660106	1.0558981125702	1.07902382711585	1	51.7633490852838
NSUN2	0.0842771362205115	1.47766357127497	5.96681421003715	0.00240087587209095	0.012686435663194	-1.0106573944819	1.14239396130478	1.21293472328605	1	56.0405136837758
SF3B1	-0.0565735028828644	0.922583503265197	-5.63095897169958	0.00305815259386996	0.015447591307497	-1.27719333714222	1.27576520871534	-1.20146828757678	-1	59.7910748259357
CSTF2	0.106868150647172	0.9055755755864	5.59325254307948	0.00314459421501243	0.0154871265089362	-1.30798424869035	1.36007227940112	1.42808987225011	1	63.7326642860405
XRCC6	-0.0515343755752656	0.952866939463027	-5.4094979866043	0.00360981013275916	0.0173446974671599	-1.46063320183657	1.5245610823544	-1.33517938723418	-1	69.5395700009069
TBRG4	0.0619372599359236	1.08611993475792	5.28120931349835	0.0039833986497573	0.0182495240465625	-1.5698160612557	1.13631291430112	1.22715290144123	1	51.0615537491344
EIF2S1	0.0771034045986581	1.20110407614762	5.2870104854108	0.00396554365891759	0.0182495240465625	-1.56483161502348	0.929675916548863	0.942694895972303	1	41.6942205553557
DDX3X	-0.0880524893625982	1.15019719167175	-5.16362734600169	0.00436669405589048	0.0195508802047824	-1.67182315533672	1.06267638626219	-1.04916464759108	-1	46.8946240759137
FUBP3	0.0545957375353651	0.850170900688343	5.06006219777593	0.00474093887183756	0.0205400349300128	-1.7632371788336	1.1817122649605	1.25466293359231	1	51.5375612447458
PRPF6	-0.0523918859900228	1.17021790732648	-5.04560470076699	0.00479615028822635	0.0205400349300128	-1.77611680851432	1.20864992459366	-1.14039777240165	-1	52.7226441404032
PTBP1	-0.0561922595386402	1.21314783649916	-4.98972258987501	0.00501683431447205	0.0210280076585318	-1.8261756115177	1.13614959485945	-1.13652959203678	-1	49.231049646168
PCBP2	-0.0486363706850004	1.19641349187434	-4.92639919532939	0.00528157861353584	0.0216764788930534	-1.88343359515563	1.02325797473884	-1.06972616077329	-1	43.9426591270831
SNRNP200	-0.0607012590587785	1.15448685952709	-4.82280404614235	0.00575117898776182	0.0231220869507975	-1.97834330356355	1.15241089998617	-1.13273378983397	-1	48.7033785347465
UTP3	-0.0560119954251257	1.19042640129795	-4.74798247468819	0.0061211525939329	0.0241173412200956	-2.04786003764817	1.36331953809511	-1.36226100499744	-1	57.0486722230558
TRIM56	0.0745798146727471	0.934132156670502	4.66953798646746	0.00653957143977281	0.0252606975222597	-2.12162702776237	1.24155254656385	1.42568501962492	1	51.261934645243
SRSF1	-0.055433285505093	1.36843896662943	-4.58005248208661	0.00705871133770074	0.0259182739761239	-2.20689591066462	1.11794118825008	-1.11883735520741	-1	45.7880819156001
