logFC	AveExpr	t	p.value	p.adj	B	avg.logfc	avg.logfc.dir	direction	significance
AKAP8L	-0.165848108840057	1.55420223959816	-18.5425372823186	9.63637565729595e-14	1.8983660044873e-11	21.6902732026023	0.684089452615348	-0.679245091499837	-1	100
U2AF2	-0.0888222061104111	1.51435684892419	-10.1261652646812	3.75429933294688e-09	3.69798484295268e-07	11.1146826313118	0.579881183357852	-0.59101980974362	-1	50.838390172465
SNRNP200	-0.0817768220322903	1.25560316282046	-9.26587868876642	1.57180082468831e-08	1.03214920821199e-06	9.65723856279673	0.659275621047908	-0.608686106563001	-1	53.7948209206128
DDX3X	-0.0788143447196434	1.13659094801068	-8.68481115706945	4.34762091304876e-08	2.14120329967652e-06	8.62041147888577	0.637630675406161	-0.543782845120939	-1	49.2717899546898
UTP3	-0.0726158067936435	1.20835375520194	-8.0837088015693	1.30286362109888e-07	5.1332826671296e-06	7.50133000266134	0.673250470917325	-0.608202590611962	-1	48.5391865204234
EFTUD2	-0.0666223810703972	1.33032459757601	-7.54394228608488	3.63483092401228e-07	1.02294527432917e-05	6.45510862350485	0.568399315332482	-0.568995309659087	-1	38.6538640123968
CKAP4	-0.0741850306688232	1.29115572335772	-7.59752179332574	3.27715726967923e-07	1.02294527432917e-05	6.56072459886262	0.599688017035144	-0.541612208799839	-1	40.7832487878323
EIF2S2	-0.0651273955940981	1.1316586625504	-7.21687493341354	6.89832844153617e-07	1.69871337872828e-05	5.80196334880506	0.709610692983572	-0.521081348356642	-1	46.1324588500046
MSI2	-0.0626503312691338	1.21093084649678	-7.09422352954239	8.80461288913861e-07	1.92723193240034e-05	5.55330915341073	0.590344060457905	-0.552894346764941	-1	37.9326106285504
EIF3G	-0.0651344740512938	1.34874253628715	-6.82377295678784	1.51875163108969e-06	2.99194071324669e-05	4.99791070592945	0.761626983210742	-0.673654554122806	-1	46.9627247254776
EIF3D	-0.0581664736314177	0.927062143385583	-6.60780445618348	2.36390428553925e-06	4.23353767501121e-05	4.54746913386098	0.763820700415511	-0.708575656611342	-1	45.52770105268
MATR3	-0.05827950187634	1.47437220760172	-6.50257566076935	2.93919089263796e-06	4.82517171541398e-05	4.32580694630814	0.650007087195502	-0.643827572945219	-1	38.2358679305978
TROVE2	-0.0630079828125143	1.34298095284225	-6.39182808763312	3.70230727100831e-06	4.91806906987021e-05	4.09099799726346	0.600040789031032	-0.566228532115099	-1	35.2266484366352
CNOT7	-0.0601511778522257	1.07544750323512	-6.38638247573458	3.74472264203316e-06	4.91806906987021e-05	4.07941228895131	0.611552729134884	-0.555156562067083	-1	35.9030399190135
PKM	-0.0583396397947136	1.13380965677565	-6.42749867646432	3.43643673275859e-06	4.91806906987021e-05	4.16679632189936	0.61501491972409	-0.538427273060595	-1	36.10646316512
SF3B4	-0.0601944902273746	1.3119805388257	-6.32359642903953	4.27150122345462e-06	5.2592858813785e-05	3.94556592592324	0.569170558732537	-0.547900845794945	-1	33.1867128594348
TARDBP	-0.060639150035233	1.25991289527979	-6.18502210499701	5.72169353490682e-06	6.6304330963332e-05	3.64843661030476	0.609064889795016	-0.534106601601007	-1	34.6791227948973
ABCF1	-0.0545128903210599	1.10034318646356	-6.09519323370864	6.92444405029891e-06	7.57841932171603e-05	3.4545868255253	0.701920788434836	-0.656802265557416	-1	39.415045265743
PUF60	-0.0542754537798532	0.867066517050693	-5.87309285219699	1.11465693540578e-05	0.000114548232860423	2.97125383483063	0.687233640961774	-0.625204660025247	-1	36.9081799954698
HNRNPC	-0.0516501719232567	1.33595430057987	-5.85345179785925	1.16292622193323e-05	0.000114548232860423	2.92824229580028	0.528267437899915	-0.536733787306998	-1	28.364091747243
PUM2	-0.0531998798963869	1.1078357597911	-5.80058482911905	1.30379263740581e-05	0.000119507565315897	2.81225946829896	0.604159284119738	-0.545017809030775	-1	32.2914478488062
GPKOW	-0.0618169560271109	1.34435470347835	-5.78980469264316	1.33460225225875e-05	0.000119507565315897	2.78857200647406	0.573148859352415	-0.515657506386271	-1	30.6324895901015
DDX6	-0.0546732731690054	1.21271562658441	-5.72281271506426	1.54355042648917e-05	0.00012669976417432	2.6410897710831	0.641937620390975	-0.530137856012549	-1	34.0902673685404
SRSF5	-0.0600556120051441	1.52325962270032	-5.73266592432068	1.51082951793322e-05	0.00012669976417432	2.66281142843034	0.61111890481898	-0.512255948210394	-1	32.4522325274845
FMR1	-0.0500345100112205	0.946894849708563	-5.67567729689738	1.71042376659564e-05	0.000134781392807736	2.53703791420986	0.494982287776799	-0.497005814393528	-1	26.0982138361777
DAZAP1	0.050543063873261	1.02052822830198	5.62746096001567	1.90031141001485e-05	0.000143985133758818	2.43036271243995	0.763961407033278	0.890754209736477	1	39.9972226111233
CSTF2T	-0.0524159742959407	1.04352617867349	-5.52848917406462	2.36066774359988e-05	0.000172241313144139	2.2106641385887	0.754349319409468	-0.678446894448566	-1	38.6930157476706
UPF1	-0.0491153044810615	0.996889899670786	-5.36997055521689	3.34891980475012e-05	0.000235620429119919	1.85683642680139	0.610726898365339	-0.541011898609754	-1	30.1872170024996
TFIP11	-0.0493861312040602	1.1229367522527	-5.30452224684402	3.87209481649706e-05	0.000263035406499973	1.71009234360278	0.701964078691137	-0.570833989221597	-1	34.2436494011794
CSTF2	-0.054559525901803	0.902201458130499	-5.28490909426255	4.04459505043786e-05	0.000265595074978753	1.66604594588887	0.671000352303089	-0.579788651986553	-1	32.6933844146822
EIF2S1	-0.0480099412280373	1.19480914647788	-5.20393056489727	4.84402729163887e-05	0.000307830121436405	1.48385462736272	0.50256056182735	-0.493090211566223	-1	24.0398418921023
EIF4A3	-0.0452579836224005	1.19603219623509	-5.14710076456133	5.49977800193473e-05	0.000338580083244107	1.355687600412	0.790904805386513	-0.69942171686869	-1	37.4034020281428
UBE2L3	-0.0456850981900604	0.608477314827672	-4.9670799717887	8.23881285664956e-05	0.000491832161442413	0.948171213334747	0.641222156490066	-0.562135131734023	-1	28.9010526843416
RBM25	-0.0460480186088126	1.28275175211975	-4.94397635574143	8.67920470093747e-05	0.000502883331201377	0.895718695139704	0.557546406557088	-0.509525349074223	-1	25.0524521928114
RPS19	-0.0444168539843601	1.0414095766895	-4.85716232068806	0.00010559149625084	0.000579474684786143	0.698349318403596	0.790600773230125	-0.665310831760544	-1	34.8727198129425
RBM22	-0.0426248596897496	1.54456214166979	-4.85589820357058	0.000105893851026909	0.000579474684786143	0.695472354374693	0.669871711494236	-0.557924260962831	-1	29.5430155574685
SRSF1	-0.042091878250778	1.29876820983111	-4.76531028677228	0.000130015822076569	0.000692246404029301	0.489101129864726	0.667123844990537	-0.557371766477375	-1	28.7190816954087
SF3A3	-0.0426649468343845	1.02158774361879	-4.7483728450027	0.000135110531817655	0.000699516842836717	0.45047345265414	0.532849659929692	-0.540993689752707	-1	22.8998604767436
NUSAP1	-0.053608381700452	1.23908705089582	-4.7375133915614	0.000138483029800162	0.000699516842836717	0.425700876222013	0.562153434746254	-0.534111766335077	-1	24.160828063159
KRR1	-0.0423126290997651	0.652210923695165	-4.71502143659611	0.000145742019640682	0.000717779446730356	0.374376897650998	0.719784801507925	-0.627478261270093	-1	30.8339721346551
SUB1	-0.045993406343992	1.26249447808697	-4.68201195560521	0.00015709974031962	0.000754845093730858	0.299017600488812	0.670312561547308	-0.495825980852045	-1	28.5127878218388
CCAR1	-0.0452521854665749	0.957574192311291	-4.63684247890858	0.000174109280171829	0.000816655433186914	0.195834694368705	0.53207587588473	-0.535604895162675	-1	22.3786323371897
NONO	-0.0435047084513172	1.031077182495	-4.55841912882118	0.000208192998779367	0.000953814436268262	0.0165410782360889	0.720469467175491	-0.599651262580491	-1	29.6501072080344
EXOSC9	-0.0430767156580405	1.25166682849707	-4.51498738580384	0.00022989612364724	0.00102805854216109	-0.0828189024527104	0.559499440875033	-0.494993030254708	-1	22.7706550251232
SERBP1	-0.0395431867802389	1.10548461431351	-4.50568210800532	0.000234835707600249	0.00102805854216109	-0.104111734069929	0.640635642662968	-0.569255577534837	-1	26.0769826287117
DNAJC21	-0.042923709776202	1.00866300043418	-4.43670952313552	0.000274951099896747	0.00112844513915957	-0.261980203850344	0.631980160386587	-0.573479120774756	-1	25.3755218011273
NPM1	-0.0423427715717427	0.325142711480038	-4.45012076077213	0.000266642922415611	0.00112844513915957	-0.231278930419473	0.799673801846829	-0.682940737743964	-1	32.1165555300528
SUPV3L1	-0.0391987834793492	1.21329649409556	-4.44100207067397	0.000272263859950037	0.00112844513915957	-0.252153411503853	0.642229504428889	-0.528281640191064	-1	25.787530111561
RBM34	-0.0390860199062996	0.822588926496342	-4.40718832086467	0.000294171149401677	0.00117696632015549	-0.329566592719098	0.552899305477856	-0.596145668237574	-1	22.0587225469973
IGF2BP2	-0.0429924091367226	1.39041249861861	-4.40048276410694	0.00029872241628312	0.00117696632015549	-0.344919307436006	0.545336575413498	-0.518956177871612	-1	21.7565978920082
BCLAF1	-0.0398060829279443	1.02365462319981	-4.35860266344849	0.000328798494658708	0.0012700647734856	-0.440810232124476	0.595287946544994	-0.514778619564389	-1	23.4836975304042
KHDRBS1	-0.0385979651776709	1.19690666390419	-4.31718456947888	0.000361543724948728	0.00131896507064629	-0.53564432743248	0.499114869548539	-0.519499064397773	-1	19.5733442537406
AGO1	-0.040848570756579	0.467495869325935	-4.32422988229718	0.000355750451117109	0.00131896507064629	-0.519513138159316	0.638605541841825	-0.605880973324399	-1	25.0517687936911
PPIG	-0.0463547928259971	1.24034141991347	-4.33095505127233	0.00035030761231143	0.00131896507064629	-0.504114790315785	0.59210687980033	-0.588345571854755	-1	23.2255577143769
UCHL5	-0.0385036384238731	1.27271425138673	-4.27264797815945	0.000400428115044599	0.00142682751838326	-0.637609773295954	0.455326109128884	-0.450438417111075	-1	17.6415727879191
RCC2	-0.0403832529334323	1.54725734264849	-4.26705946163304	0.000405595639743464	0.00142682751838326	-0.650403345162112	0.613785210053115	-0.621841308154475	-1	23.7911973570326
DDX1	-0.0374271591398249	0.782612100734944	-4.24041642183165	0.000431168695459411	0.00149017952641235	-0.711391107608971	0.633521490611078	-0.581580075287332	-1	24.3941286545353
BUD13	-0.0375397016967971	1.03018064476403	-4.22760768857789	0.000444033848121824	0.00150818393241378	-0.740707682727363	0.584068021356542	-0.53865500582352	-1	22.4460723390564
FIP1L1	-0.0379147300066631	1.03559957198808	-4.16175756211052	0.000516520255746599	0.00172465237935729	-0.891377118677847	0.58389369239162	-0.540460702532045	-1	21.9755301531838
AKAP8	-0.0381535605034928	1.19542993605131	-4.12846246018723	0.000557578282505203	0.00183071536089208	-0.9675194516454	0.558444385693411	-0.49195022691941	-1	20.8190416127596
AUH	-0.0374221153331056	0.921023406811209	-4.09700231585889	0.000599376935179883	0.00193569272508913	-1.03943511641452	0.667711144257293	-0.582851532919972	-1	24.6777387782566
HLTF	-0.0403435021352971	1.4741243476216	-3.98422116999671	0.000776733671236215	0.00246800860054088	-1.29693262722803	0.567512358123608	-0.495658684632901	-1	20.1535232517819
EIF4B	-0.0355757886279187	1.17878233477348	-3.93163939028613	0.000876509179676775	0.00274083029200515	-1.41677532221967	0.614150504536733	-0.545969846364319	-1	21.4307359466707
STAU1	-0.0340621904263583	1.17574193679245	-3.82917173142753	0.00110916476216846	0.00341414778354978	-1.64982038170318	0.586742629653483	-0.574690474759759	-1	19.7096437233346
DDX47	-0.0340028853625498	1.38774452923778	-3.81081607376431	0.00115691626968084	0.003506346232725	-1.69148734210837	0.78014018078343	-0.666232967113119	-1	26.0926603394516
PTBP1	-0.0337154445784718	1.16257211779739	-3.79425298139432	0.00120175791793977	0.0035870653005172	-1.72906214692892	0.583622491716948	-0.558799040224754	-1	19.4338917445151
CPSF6	-0.0356956159179339	0.998024988630063	-3.74629720656982	0.00134157384978535	0.00387551505406173	-1.83772307446742	0.582346846053202	-0.537905637866999	-1	19.1245746318098
HNRNPA2B1	-0.0330363006730645	1.52057368531131	-3.74118075286638	0.00135741390218406	0.00387551505406173	-1.849304181717	0.542451242542791	-0.500275514993521	-1	17.8123861132197
SRFBP1	-0.0405974527285529	1.45647555400427	-3.74981913188405	0.00133077716237716	0.00387551505406173	-1.82974979687647	0.650875803189191	-0.522093433876663	-1	21.3785300262013
PUS1	-0.0329107216927043	1.15331433055372	-3.72159044151212	0.00141979990081393	0.00399572257800491	-1.89362438449069	0.558493372024137	-0.518153130066799	-1	18.2389772498794
RBM15	-0.0326641308901345	1.17309561477973	-3.66165115044102	0.00162890222245647	0.00451963011019613	-2.02899411805761	0.521152481050794	-0.476768102616288	-1	16.637264377583
QKI	-0.0350537857937667	1.12062074885966	-3.63443790860958	0.00173365306922259	0.00467848841968289	-2.09032947357049	0.620826466055914	-0.534177995179961	-1	19.6978019374089
TUFM	-0.0363520651269607	0.528903660984115	-3.63558922776714	0.00172908908726313	0.00467848841968289	-2.08773619339531	0.78848757245424	-0.656388106187548	-1	25.0252813889606
AATF	-0.031478975392166	1.25318472620357	-3.58212094512224	0.00195412352915678	0.00520219371951198	-2.20800910079841	0.540788441253106	-0.482943505019455	-1	16.8147092462967
RBM39	-0.0313219916751019	1.00031892652446	-3.55785520138627	0.00206558558970071	0.00542560481561387	-2.26247959593509	0.54538249728365	-0.517285501230427	-1	16.8219700184583
ZC3H8	-0.0311726991765773	1.12424178028601	-3.54742343130683	0.00211541276897938	0.00548337257222286	-2.28587347086852	0.491824832409421	-0.486816227659245	-1	15.1363052952376
DHX30	-0.0318400116868963	0.963874871834508	-3.54156046834125	0.00214393640577333	0.00548513599918631	-2.29901536555394	0.646190772452632	-0.537474409977414	-1	19.8949554865969
